year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-5.3,-7.5,-0.7,6.5,14.3,19.2,18.9,19.7,16.7,6.9,4.7,-0.7
1896,-6.4,-3.8,-2.0,8.1,15.2,17.1,21.1,20.1,14.9,7.8,5.6,-3.8
1897,-4.2,-3.6,0.7,7.8,13.2,15.8,21.2,18.7,15.0,9.9,2.8,-1.4
1898,-4.7,-2.7,3.9,5.3,12.4,18.0,21.0,20.6,16.9,10.4,2.9,-2.9
1899,-4.5,-5.7,-0.8,7.0,13.3,19.4,20.7,19.2,14.8,10.4,2.8,-0.7
1900,-3.9,-4.3,-1.6,6.8,11.9,18.5,21.3,20.4,16.9,12.0,4.3,-2.4
1901,-4.9,-7.4,0.1,6.4,12.2,18.5,21.9,20.1,16.3,9.7,0.3,-2.8
1902,-5.4,-4.4,4.3,7.6,12.8,16.5,18.7,17.9,15.3,9.6,5.4,-4.6
1903,-4.4,-3.0,5.2,7.3,14.3,14.7,20.2,16.3,15.8,9.9,1.5,-5.1
1904,-9.1,-8.1,-0.7,5.6,14.9,16.9,20.4,18.4,14.9,7.9,0.5,-6.6
1905,-6.6,-8.0,0.1,6.9,13.0,16.9,21.2,18.3,14.8,9.7,2.3,-1.1
1906,-1.2,-4.0,-2.3,6.9,13.2,17.8,20.4,20.9,16.7,9.8,2.8,-4.4
1907,-5.3,-8.4,1.2,4.7,10.2,16.4,20.7,18.6,15.9,7.3,3.1,-0.5
1908,-3.4,-6.2,1.2,6.6,14.0,18.9,21.8,18.6,16.4,10.9,3.1,-2.5
1909,-3.5,-2.1,0.0,6.5,12.2,18.4,19.6,18.6,15.1,8.8,5.1,-3.8
1910,-3.4,-4.6,3.5,9.3,12.6,16.8,21.7,18.5,15.4,10.6,2.0,-5.7
1911,-2.9,-5.3,-0.9,5.4,15.8,17.1,22.5,19.1,14.8,8.6,2.3,0.7
1912,-9.1,-5.9,-0.6,6.8,13.6,17.6,20.9,18.1,15.1,10.8,4.1,0.3
1913,0.9,-5.3,3.2,7.5,11.8,17.6,21.0,19.3,14.4,11.7,4.9,-0.1
1914,-4.9,-7.6,0.1,5.3,14.1,17.4,18.8,19.5,15.3,11.4,2.7,-3.9
1915,-2.8,-1.9,-0.5,9.0,11.7,16.8,19.7,18.3,17.4,10.3,4.2,-2.6
1916,-2.4,-6.3,-3.5,5.8,12.9,15.3,21.1,20.1,15.7,10.2,2.8,-2.8
1917,-4.4,-6.3,0.2,5.2,8.7,17.6,21.3,20.9,13.4,8.2,0.9,-7.5
1918,-9.6,-6.2,0.8,6.9,15.8,16.1,20.3,20.2,13.8,10.9,4.0,-1.7
1919,-2.4,-2.7,2.6,6.6,13.4,18.8,21.3,18.1,15.6,10.6,3.4,-4.8
1920,-8.8,-5.9,0.9,5.2,11.4,17.0,19.6,20.7,16.4,12.7,2.2,-1.0
1921,-3.3,-2.7,5.4,9.6,13.2,18.3,22.0,18.4,17.8,9.9,2.6,-3.4
1922,-6.3,-3.4,1.5,7.0,14.6,18.8,20.3,19.2,16.3,10.3,3.4,-3.7
1923,-6.6,-8.1,-1.8,6.8,12.4,18.8,19.1,18.4,16.3,9.9,3.6,1.4
1924,-3.4,-6.5,0.3,5.9,11.1,16.8,20.6,19.5,14.4,9.7,3.7,-3.7
1925,-6.3,-0.2,3.1,7.7,11.8,19.7,20.0,19.4,15.8,6.3,3.1,-2.2
1926,-3.9,-5.5,-1.8,4.4,12.0,15.6,20.1,19.6,14.7,8.7,3.7,-5.6
1927,-4.4,-2.2,2.7,6.7,11.4,16.1,20.6,17.6,15.7,11.6,6.2,-0.9
1928,-2.7,-4.0,0.2,5.7,11.8,16.6,21.2,21.2,14.2,10.6,4.0,-0.1
1929,-4.9,-3.7,2.9,6.8,13.4,18.4,20.6,18.5,16.6,8.9,3.7,-2.7
1930,-3.4,-2.0,1.2,6.4,14.1,20.3,20.7,19.1,17.8,8.9,4.1,-2.1
1931,-4.6,-3.8,1.7,7.9,13.8,18.2,21.9,20.1,17.6,11.7,6.6,-0.1
1932,1.0,-3.3,-0.6,6.3,13.6,17.7,19.9,20.3,15.9,11.0,2.8,-0.6
1933,0.2,-2.0,-0.1,6.6,14.8,19.1,20.6,19.8,16.3,9.4,0.8,-5.0
1934,-3.7,-10.7,-0.3,7.4,14.6,18.9,21.6,18.2,17.1,8.2,5.3,-3.6
1935,-6.9,-4.6,2.0,6.4,11.7,17.6,21.7,20.0,14.7,9.8,5.6,-4.6
1936,-5.2,-7.7,4.3,5.7,14.6,17.9,20.3,19.9,15.7,10.1,1.5,-0.4
1937,0.1,-1.4,-1.1,6.0,13.9,18.2,21.2,22.0,15.1,9.1,3.7,-2.9
1938,-5.3,-2.3,2.4,8.3,12.0,18.3,21.0,21.4,14.7,11.6,5.1,-1.5
1939,-4.5,-2.3,-1.1,5.1,13.4,17.9,20.6,21.7,15.7,10.0,2.0,-1.9
1940,-8.1,-3.8,-1.7,4.8,12.7,17.1,20.7,18.4,15.0,7.6,3.5,-1.3
1941,-6.0,-4.0,-1.5,9.7,13.9,18.5,20.8,19.0,16.6,10.8,5.7,-0.4
1942,-4.9,-5.1,3.0,8.8,15.2,18.4,20.4,19.3,16.2,10.6,3.8,-4.4
1943,-6.0,-3.6,0.1,4.4,13.3,20.3,21.3,19.6,15.2,10.1,3.3,-4.2
1944,-3.4,-4.1,-0.6,5.3,16.1,18.2,21.7,21.4,16.6,9.7,3.7,-3.6
1945,-7.3,-3.7,6.2,10.0,11.6,17.9,20.7,19.4,17.6,9.2,4.6,-5.2
1946,-4.4,-5.1,6.3,6.2,12.6,17.7,20.2,18.0,16.8,11.9,6.0,-1.3
1947,-2.4,-4.2,0.5,6.5,12.7,16.7,21.7,21.2,16.2,13.4,2.3,-3.8
1948,-7.8,-6.0,1.1,7.3,12.2,16.6,21.3,20.9,16.4,9.7,7.0,-0.5
1949,-0.6,-1.1,2.1,8.6,13.9,20.3,23.1,21.3,15.1,12.3,3.5,-0.5
1950,0.1,-4.6,-1.4,6.0,12.5,18.2,20.7,19.4,14.1,11.1,5.9,-1.3
1951,-1.9,-1.2,2.0,8.3,13.6,17.3,21.1,19.3,15.9,10.8,2.6,-1.3
1952,-2.1,-2.1,0.9,8.8,12.1,19.2,22.9,20.2,16.4,9.0,4.6,-0.4
1953,-1.1,-0.6,2.6,7.8,14.1,18.9,20.9,19.6,16.7,11.0,5.9,1.6
1954,-5.6,0.2,1.8,8.2,12.0,18.1,20.0,18.5,14.8,12.4,4.4,-1.3
