year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-10.4,-11.4,-5.1,6.6,12.9,18.9,18.4,18.7,16.2,4.8,-0.5,-4.4
1896,-7.0,-7.1,-5.2,7.7,15.7,17.9,19.4,18.7,12.3,5.5,0.0,-4.3
1897,-7.8,-6.4,-3.2,4.4,10.1,15.4,21.3,16.9,16.3,9.8,-0.4,-6.4
1898,-6.2,-7.1,0.1,4.4,12.0,17.8,20.2,18.4,15.9,7.9,-0.3,-6.7
1899,-9.1,-12.3,-6.4,6.6,12.5,18.0,19.3,19.6,12.6,9.8,3.1,-5.0
1900,-5.7,-10.7,-6.2,6.8,12.8,16.8,18.9,21.5,16.1,12.4,-0.1,-4.6
1901,-7.7,-11.2,-3.5,6.2,11.8,18.3,21.9,18.9,14.7,8.7,-0.4,-6.8
1902,-7.3,-8.2,1.3,5.6,12.3,14.9,20.2,16.9,13.6,7.8,4.2,-5.7
1903,-7.8,-7.6,1.8,5.4,13.1,15.1,19.4,16.3,14.4,8.7,-0.9,-8.6
1904,-12.1,-14.5,-3.4,2.7,11.8,16.8,18.6,16.6,13.9,7.2,1.8,-7.3
1905,-10.3,-11.6,-1.6,4.6,10.9,16.6,19.0,18.8,15.6,8.0,0.3,-3.5
1906,-3.6,-7.8,-5.7,6.8,11.4,17.2,19.1,20.2,17.2,7.7,1.1,-5.3
1907,-8.2,-9.2,0.0,0.8,7.6,16.4,18.9,17.3,14.3,6.2,0.3,-4.1
1908,-6.6,-8.5,-1.8,5.5,12.4,17.6,20.2,18.2,17.4,9.4,1.8,-5.3
1909,-6.2,-5.7,-2.8,3.0,10.7,17.4,19.1,19.7,13.8,6.3,4.0,-6.6
1910,-7.7,-9.1,3.7,7.4,9.4,17.3,20.6,18.3,13.8,9.6,-0.7,-7.3
1911,-7.1,-5.2,-1.8,4.7,14.9,18.7,20.5,18.2,14.2,7.2,-1.2,-2.3
1912,-15.6,-11.2,-6.9,5.4,12.3,16.1,19.3,16.4,15.5,9.2,1.6,-3.2
1913,-5.9,-10.1,-3.3,6.1,11.3,18.3,19.6,19.4,14.4,8.6,3.4,-1.3
1914,-5.2,-12.3,-3.2,4.4,13.3,17.0,20.3,18.6,14.6,11.0,1.0,-7.3
1915,-8.7,-4.3,-3.2,9.0,9.6,14.6,18.1,16.0,15.3,8.7,2.3,-5.6
1916,-5.7,-9.6,-5.7,5.2,11.4,14.6,22.9,20.2,13.9,7.7,0.9,-7.3
1917,-9.7,-12.7,-2.3,3.4,8.3,14.6,19.7,17.3,13.2,3.8,0.4,-9.3
1918,-14.3,-9.3,0.0,4.3,13.6,16.3,19.0,20.0,11.0,9.2,2.7,-2.1
1919,-4.6,-5.6,-0.9,5.3,11.2,20.8,21.0,18.3,15.7,8.9,-0.2,-9.3
1920,-12.6,-9.6,-1.3,2.3,10.8,17.7,18.1,18.0,16.0,12.2,0.6,-2.9
1921,-4.7,-4.8,1.4,8.7,13.7,19.9,23.7,18.8,17.5,8.6,-0.5,-4.4
1922,-8.7,-7.2,-0.9,5.6,14.9,17.8,19.0,18.9,16.2,8.9,2.8,-5.9
1923,-7.3,-10.7,-5.7,3.6,10.8,18.9,19.9,17.2,14.6,7.3,2.0,-0.4
1924,-10.4,-8.0,-2.8,4.7,8.3,15.8,17.9,17.6,12.2,10.5,1.4,-8.3
1925,-9.3,-5.6,-0.9,7.7,9.7,18.4,18.8,19.2,15.8,3.4,-0.2,-6.1
1926,-7.3,-7.2,-5.9,2.0,11.6,14.6,19.4,18.8,13.4,6.8,-0.8,-7.2
1927,-8.8,-4.6,0.8,5.4,10.4,15.3,18.8,15.9,16.4,9.8,1.7,-5.7
1928,-6.7,-7.1,-3.1,3.0,11.7,14.8,19.8,19.1,12.3,9.2,1.9,-3.0
1929,-11.1,-10.4,1.0,6.2,10.2,15.5,19.9,17.5,14.7,7.4,-0.7,-6.2
1930,-9.7,-4.2,-2.3,5.4,12.9,18.2,20.1,19.6,15.6,7.6,2.7,-4.8
1931,-5.2,-3.1,-2.1,6.1,11.5,18.7,21.9,19.2,17.8,10.8,5.4,-0.9
1932,-1.9,-4.2,-4.7,4.1,12.3,18.4,19.9,19.7,14.5,7.9,-0.7,-4.9
1933,-3.1,-7.6,-2.6,5.3,13.0,20.7,21.2,18.4,16.9,7.2,-1.6,-6.2
1934,-4.5,-12.2,-4.8,4.0,14.2,19.5,21.1,17.6,15.0,8.7,3.3,-6.3
1935,-8.1,-7.1,-0.1,4.7,9.3,15.6,22.2,19.4,13.6,8.1,0.6,-6.6
1936,-9.2,-13.4,-0.8,2.6,14.1,16.2,21.7,19.7,15.9,7.0,-1.2,-3.2
1937,-6.5,-5.8,-3.9,4.6,12.5,17.2,20.7,21.2,14.5,6.7,0.6,-6.4
1938,-8.3,-4.8,1.5,6.4,12.2,17.0,20.3,20.9,13.9,10.6,2.6,-4.1
1939,-5.8,-7.9,-2.8,3.8,13.6,18.3,20.5,19.6,15.6,8.1,1.1,-1.8
1940,-9.8,-6.1,-4.9,3.4,10.6,17.1,20.4,18.7,14.8,8.7,0.1,-3.4
1941,-6.7,-6.9,-4.3,8.7,14.1,18.6,20.8,18.6,16.3,9.2,2.7,-1.3
1942,-6.9,-7.9,-0.1,9.0,12.4,17.8,19.8,18.8,13.8,8.8,1.3,-6.6
1943,-9.4,-6.2,-4.3,3.6,11.1,19.1,20.6,19.3,13.0,7.8,-0.1,-5.3
1944,-3.4,-5.6,-3.7,3.6,14.4,18.7,20.2,20.2,15.3,8.1,2.9,-6.7
1945,-10.6,-6.3,4.9,6.8,8.9,15.5,18.6,18.9,14.7,7.4,1.6,-7.0
1946,-6.2,-7.3,4.4,6.3,10.8,16.9,20.1,17.6,15.3,10.9,2.7,-4.1
1947,-5.7,-8.5,-3.7,3.9,9.2,16.0,19.3,22.7,15.7,13.3,-0.6,-4.9
1948,-10.6,-8.1,-2.6,7.8,10.7,16.9,20.4,19.6,16.7,7.9,3.8,-3.8
1949,-4.7,-5.4,-1.6,6.2,12.9,19.8,21.5,19.9,13.0,10.9,0.6,-3.6
1950,-5.6,-7.1,-4.4,1.7,11.9,17.2,18.4,16.9,13.9,10.5,-0.7,-6.9
1951,-7.3,-6.3,-1.7,5.2,13.7,16.5,19.4,17.3,13.4,9.2,-2.7,-5.6
1952,-5.9,-4.9,-2.6,7.2,11.6,18.8,21.2,18.7,15.3,5.6,2.4,-2.1
1953,-5.0,-4.6,-0.2,4.2,12.6,18.6,20.4,19.9,14.9,10.8,3.8,-2.6
1954,-7.9,-2.2,-2.8,6.7,9.6,19.0,19.3,18.2,14.7,8.8,2.5,-4.6
1955,-7.2,-6.6,-2.4,9.4,13.8,17.7,23.1,21.9,14.9,10.0,-0.5,-6.4
1956,-6.8,-6.4,-3.7,4.2,10.8,18.6,18.3,18.6,12.8,11.3,1.7,-3.1
1957,-10.1,-5.2,-1.4,6.4,11.4,17.7,20.2,18.3,13.8,7.7,1.6,-3.0
1958,-6.4,-8.9,-0.6,6.7,11.4,14.8,19.2,18.7,14.7,9.7,2.4,-9.1
1959,-10.5,-8.9,-2.6,5.7,14.6,18.6,20.3,21.7,16.2,7.4,-1.9,-2.0
1960,-5.9,-6.3,-6.7,6.7,12.0,16.3,18.8,19.3,15.9,8.7,3.1,-6.9
1961,-9.0,-4.4,0.2,4.1,10.4,16.9,19.8,19.1,16.9,9.8,1.9,-5.0
1962,-9.6,-9.3,-1.7,5.4,15.0,17.3,18.6,18.7,13.3,9.5,1.6,-6.1
1963,-12.3,-11.4,-1.1,6.7,11.0,18.3,20.4,17.4,14.0,13.2,4.3,-7.9
1964,-4.7,-5.6,-1.8,6.7,14.6,17.7,20.9,17.3,14.3,7.4,3.6,-5.7
1965,-8.2,-7.7,-4.7,4.1,14.3,16.6,18.1,17.8,14.1,8.2,2.0,-1.4
1966,-9.7,-5.8,0.6,4.4,9.2,18.4,21.4,18.3,14.1,8.0,1.5,-4.9
1967,-5.4,-9.6,-1.8,6.1,9.2,18.6,18.7,17.1,13.9,8.2,-0.6,-3.6
1968,-8.3,-8.5,1.0,7.5,10.6,17.1,19.4,19.1,15.9,9.8,1.8,-5.3
1969,-7.2,-5.9,-3.1,6.6,11.9,14.7,19.7,20.4,15.1,7.8,0.9,-5.0
1970,-10.4,-7.8,-3.6,6.3,12.6,17.7,20.7,19.4,15.2,10.1,1.9,-4.8
1971,-9.7,-6.8,-3.4,4.8,10.9,19.4,18.6,18.0,16.4,12.7,1.7,-2.7
1972,-8.7,-8.4,-4.0,3.3,13.5,15.6,19.3,18.4,14.2,6.4,0.8,-5.5
1973,-5.1,-6.8,3.4,6.1,10.3,18.5,20.2,20.5,15.0,11.4,2.2,-4.9
1974,-6.8,-8.6,-1.6,6.4,10.3,16.3,20.5,18.8,12.5,7.6,2.4,-2.8
1975,-5.4,-5.6,-2.9,2.7,14.8,18.1,20.6,19.4,12.3,9.9,4.8,-4.6
1976,-9.5,-3.3,0.1,7.2,10.6,19.0,19.9,18.5,13.7,5.9,-1.8,-9.6
1977,-13.0,-7.1,2.1,8.1,16.1,16.2,21.2,17.3,14.9,7.8,2.2,-5.7
1978,-9.4,-10.8,-3.9,4.4,13.2,16.9,19.1,19.3,16.0,7.9,1.9,-5.6
1979,-10.9,-11.9,-0.2,4.6,11.1,17.1,19.6,17.7,15.2,7.7,1.8,-2.3
