year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-18.1,-14.6,-4.8,8.9,12.9,17.2,19.0,18.3,14.8,4.3,-3.9,-9.8
1896,-13.1,-9.6,-7.6,5.5,15.0,18.3,19.7,18.5,11.7,4.6,-9.6,-8.7
1897,-16.2,-11.2,-7.9,5.3,11.9,16.0,21.4,17.2,17.2,8.3,-5.1,-13.2
1898,-9.9,-10.5,-2.7,5.1,11.8,17.7,19.9,18.1,14.4,4.5,-4.6,-13.2
1899,-15.2,-17.3,-11.7,5.2,11.6,17.6,20.2,19.2,12.4,7.7,2.6,-9.9
1900,-9.6,-16.1,-6.1,8.9,14.2,18.2,19.3,22.0,13.7,11.4,-5.2,-9.3
1901,-13.2,-14.0,-4.3,6.9,13.7,17.7,22.5,19.7,12.8,8.1,-3.6,-12.2
1902,-11.1,-10.8,-0.4,4.6,13.5,15.4,20.2,17.4,11.7,6.8,-0.9,-12.4
1903,-13.6,-13.5,-2.9,5.3,12.8,16.3,18.7,16.4,11.8,7.6,-4.4,-14.4
1904,-17.1,-18.4,-5.7,2.7,12.0,16.4,18.1,17.2,12.6,7.2,1.2,-10.7
1905,-17.6,-14.3,-1.0,4.2,10.3,16.2,18.9,19.5,15.4,5.2,-1.1,-8.6
1906,-10.6,-12.3,-7.8,7.8,11.1,16.9,19.3,19.2,16.3,6.3,-2.2,-11.3
1907,-18.2,-11.3,-3.9,0.2,6.5,16.8,19.4,17.9,12.3,6.2,-1.6,-7.7
1908,-10.4,-9.3,-4.7,6.4,11.3,16.4,20.1,17.6,16.7,7.2,-0.3,-10.1
1909,-14.1,-12.0,-4.7,1.0,10.8,17.7,19.8,20.7,13.9,6.0,-0.7,-13.7
1910,-12.8,-15.1,4.1,8.0,10.1,19.3,20.7,17.9,13.7,9.3,-5.0,-11.6
1911,-16.8,-10.1,-0.8,5.1,14.4,20.3,19.6,17.1,12.8,5.3,-7.8,-8.4
1912,-23.0,-13.0,-7.8,6.4,12.5,16.2,19.7,16.8,13.0,7.5,-0.2,-8.1
1913,-15.3,-14.2,-7.7,7.1,10.6,18.9,18.9,19.8,13.8,4.8,1.4,-4.7
1914,-10.0,-17.4,-4.1,4.0,13.5,17.5,21.8,18.0,14.4,10.2,-0.9,-14.3
1915,-14.7,-6.9,-4.4,10.3,10.1,14.5,17.5,17.1,13.7,8.0,-1.5,-9.0
1916,-17.6,-15.0,-6.5,3.9,11.0,15.0,23.6,19.2,12.7,5.2,-2.0,-15.1
1917,-17.8,-17.9,-5.2,3.1,10.3,15.2,20.8,17.3,13.1,1.2,0.9,-16.6
1918,-19.1,-11.9,0.8,4.6,12.6,17.3,19.3,19.3,10.4,7.7,0.1,-6.9
1919,-9.1,-11.7,-4.5,5.3,12.6,19.2,21.3,18.6,14.8,3.3,-6.5,-15.2
1920,-17.3,-11.8,-3.6,0.9,12.3,17.6,19.2,18.7,15.8,10.4,-2.6,-8.6
1921,-9.7,-7.5,-2.9,7.2,13.2,20.5,22.8,18.9,14.8,8.1,-6.0,-9.7
1922,-14.1,-14.7,-3.0,5.2,15.0,18.6,19.0,20.3,15.8,8.6,1.0,-12.4
1923,-12.5,-15.4,-9.2,3.9,12.6,19.6,22.0,17.2,14.9,6.5,1.2,-5.2
1924,-17.7,-8.5,-3.6,4.5,8.1,15.6,18.6,17.7,11.9,10.5,-2.7,-16.6
