year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-4.2,-4.7,5.9,14.4,18.2,23.1,23.7,24.1,22.0,10.7,5.1,1.1
1896,0.2,1.9,3.6,16.6,21.1,22.6,25.3,24.8,18.4,12.2,5.6,3.4
1897,-2.4,1.4,6.7,12.2,16.8,23.1,26.1,23.4,23.2,16.9,5.9,-1.8
1898,1.1,1.6,6.9,11.1,18.6,24.1,24.6,24.3,21.6,11.8,4.1,-2.1
1899,-1.4,-6.6,2.8,12.0,19.4,23.3,24.4,25.9,19.4,16.6,9.2,-1.2
1900,0.9,-3.3,4.8,13.3,18.8,22.8,24.8,26.6,21.6,16.4,6.1,1.7
1901,1.1,-2.3,5.9,11.6,17.5,25.3,29.4,25.6,20.2,15.1,5.8,-2.3
1902,-1.5,-4.8,7.1,11.8,20.7,21.6,24.9,23.8,16.9,14.7,9.6,-1.1
1903,-0.8,-1.5,7.8,12.8,18.2,19.4,25.1,23.4,18.8,13.5,4.4,-1.4
1904,-3.1,-1.2,6.9,9.1,17.2,21.3,23.3,22.9,20.6,13.8,7.2,0.1
1905,-5.9,-6.2,9.6,12.3,18.2,23.8,22.9,24.3,20.6,12.4,7.1,0.0
1906,0.8,0.0,0.4,14.6,18.6,22.1,23.3,24.2,21.8,12.7,4.7,1.8
1907,1.3,0.9,11.3,8.4,14.8,21.2,25.3,24.7,19.8,12.9,5.4,2.1
1908,0.0,0.9,9.2,12.7,18.6,21.8,24.3,24.1,21.2,12.7,7.3,2.6
1909,-0.3,2.8,6.1,11.8,16.9,22.8,24.7,26.1,20.0,13.3,11.1,-4.6
1910,-0.8,-2.0,12.9,12.4,15.7,21.2,24.9,23.7,20.6,14.7,5.1,-1.0
1911,1.2,3.2,7.8,11.7,20.2,25.8,25.4,24.0,22.8,13.3,3.2,1.8
1912,-7.6,-2.8,1.2,12.8,19.4,20.6,25.8,24.2,20.0,14.4,6.7,1.6
1913,-0.4,-1.7,4.3,12.7,18.6,23.9,26.6,27.8,20.3,12.1,9.9,2.7
1914,2.2,-2.7,5.4,12.2,18.9,26.0,26.8,25.2,20.4,14.4,8.3,-3.9
1915,-2.7,3.4,1.6,15.7,17.2,21.2,23.5,20.7,20.9,14.7,8.9,0.7
1916,-1.0,-0.7,6.9,11.3,18.4,20.9,27.2,26.0,19.4,14.0,7.3,-1.0
1917,0.0,-1.3,6.7,11.3,14.7,21.5,25.2,22.7,19.5,9.6,6.9,-4.6
1918,-9.4,1.3,10.2,10.1,20.2,24.8,24.8,27.3,16.4,15.4,6.3,3.9
1919,0.6,1.4,7.4,12.6,16.4,23.6,26.1,24.1,21.4,14.4,5.3,-2.2
1920,-2.4,1.1,6.7,9.9,17.6,22.3,24.5,22.5,20.8,15.7,4.5,1.7
1921,2.4,4.3,10.9,12.9,18.7,24.4,26.7,24.7,22.8,13.7,6.8,2.3
1922,-2.3,1.6,6.7,13.3,19.1,24.2,24.6,24.8,21.4,14.8,7.8,1.7
1923,3.2,-1.3,4.5,12.0,16.8,22.9,25.4,24.9,20.0,11.2,6.8,4.7
1924,-4.4,0.7,3.1,13.3,14.7,22.4,22.8,24.8,17.4,16.1,7.4,-2.7
1925,-1.7,3.7,8.4,15.7,16.2,24.6,25.3,24.4,23.3,8.9,5.2,-0.5
1926,-0.3,3.7,3.8,9.4,19.2,21.4,25.3,24.9,20.6,13.6,3.7,-0.1
1927,-1.1,4.9,7.3,13.9,17.9,21.1,24.1,21.4,21.6,15.6,7.8,-1.4
1928,0.1,2.3,7.4,10.3,18.4,19.7,25.0,24.5,17.9,15.6,6.2,1.9
1929,-4.2,-4.3,8.7,13.6,16.2,21.6,25.3,24.1,19.5,13.6,3.3,1.4
1930,-6.8,6.3,5.8,14.7,17.8,22.2,27.2,25.5,21.6,12.5,6.9,0.7
1931,1.4,4.5,3.8,12.1,15.9,24.7,26.6,23.4,23.8,16.0,10.6,5.3
1932,1.9,5.4,3.1,13.7,18.6,23.7,26.3,24.9,19.4,12.7,3.4,-0.8
1933,4.5,-0.2,6.3,12.2,18.6,25.3,26.1,23.8,23.2,13.1,7.1,3.6
1934,1.7,-0.2,4.7,13.0,20.1,26.5,29.8,26.7,18.3,15.6,8.6,-0.6
1935,0.1,2.6,9.9,10.7,15.6,20.7,26.9,25.1,19.7,13.4,4.9,-1.4
1936,-5.1,-5.7,9.0,11.1,20.1,24.4,29.3,28.8,22.7,13.2,4.9,2.9
1937,-2.8,-0.4,4.0,11.9,18.6,23.2,25.3,26.5,20.3,12.9,4.1,-0.8
1938,-0.2,4.4,11.3,13.1,17.9,22.1,26.2,26.9,21.4,17.1,6.9,1.4
1939,2.9,-0.1,7.7,11.3,19.2,23.2,26.3,23.7,23.7,15.7,5.5,3.1
1940,-10.1,0.1,5.4,11.6,16.7,22.7,25.1,23.7,19.9,16.6,4.8,2.8
1941,0.6,-0.3,4.1,14.4,20.1,23.0,26.0,25.8,21.5,15.8,6.6,3.4
1942,-1.2,-0.2,7.0,14.4,17.2,22.6,25.6,23.6,19.2,13.8,8.0,-0.4
1943,-1.3,3.3,3.6,12.6,17.2,23.9,26.1,26.1,18.2,12.8,5.0,-1.1
1944,1.1,2.5,4.5,10.4,19.8,24.2,25.0,23.9,20.1,14.7,7.5,-2.4
1945,-1.9,1.3,10.8,12.7,15.5,20.4,23.6,24.5,20.4,13.1,7.1,-3.1
1946,0.1,4.2,12.2,14.7,15.9,22.9,25.7,22.9,19.4,15.6,7.4,3.9
1947,0.7,-2.4,2.3,12.3,16.4,22.2,23.6,28.1,21.8,17.8,4.2,2.4
1948,-4.3,0.0,5.2,15.3,17.3,22.5,24.8,24.1,20.8,12.6,7.1,2.0
1949,-1.7,1.1,5.7,11.8,19.4,23.6,25.7,23.4,16.8,14.6,7.9,2.6
1950,1.1,1.9,4.3,10.2,18.4,22.3,22.3,21.3,18.6,16.7,3.6,-1.7
1951,-0.6,1.4,4.3,10.3,18.2,21.2,24.5,24.1,18.2,14.1,2.7,-0.2
1952,1.4,3.9,4.9,11.7,17.9,26.7,26.1,23.9,19.7,11.2,6.3,1.3
1953,0.9,3.8,7.8,10.2,18.2,26.5,25.8,24.9,21.7,15.5,7.2,1.7
1954,-0.9,6.2,5.2,16.0,15.5,24.7,28.6,26.3,22.6,14.1,7.1,1.6
1955,-0.4,0.5,6.3,15.9,19.0,20.4,27.0,25.2,21.6,13.7,4.4,-0.5
1956,-2.2,1.7,6.8,11.6,19.9,23.3,25.1,25.5,20.8,17.0,6.1,2.7
1957,-3.5,4.0,5.7,12.6,18.2,22.7,26.0,24.6,18.7,11.9,5.3,3.9
1958,-1.1,-3.7,2.6,12.2,18.3,21.7,24.0,24.3,20.0,14.0,8.6,-0.9
1959,-3.4,1.0,6.8,12.7,19.8,22.9,23.8,25.7,20.6,12.6,2.9,3.2
1960,-0.6,-1.5,-1.4,13.8,16.8,22.2,23.8,24.8,21.9,14.6,7.2,-0.9
1961,-1.9,3.0,7.3,10.2,15.8,21.3,24.3,23.3,19.7,14.3,6.0,-1.3
1962,-4.6,2.2,3.8,11.3,22.2,22.4,24.8,24.7,18.5,15.3,6.3,-0.1
1963,-6.1,-1.2,8.9,14.6,18.0,23.9,25.3,24.3,20.6,19.1,7.7,-5.0
1964,1.2,0.7,5.1,14.2,19.9,22.6,25.8,23.5,20.1,12.6,8.6,-0.1
1965,-0.1,0.4,0.7,14.4,20.4,22.5,24.3,23.5,19.9,13.6,8.9,4.9
1966,-3.7,0.1,8.1,11.0,16.8,21.9,27.1,22.3,18.1,12.3,8.1,0.5
1967,0.8,-0.4,8.9,14.6,16.1,22.2,23.1,21.7,18.1,13.3,5.2,1.4
1968,-2.1,-1.1,7.5,12.8,16.1,23.4,24.4,24.1,19.0,13.7,5.2,-0.6
1969,-2.2,1.1,2.8,13.2,18.1,21.4,26.3,23.9,19.9,12.7,5.9,-0.3
1970,-4.7,0.9,4.1,13.3,19.6,22.0,24.7,24.8,21.2,12.9,5.6,2.8
1971,-2.9,-0.1,5.1,13.2,16.4,24.7,23.6,23.3,21.2,16.9,7.0,3.8
1972,-1.6,1.1,7.4,13.0,18.1,22.6,24.3,24.1,21.2,12.4,4.2,-1.7
1973,-1.2,0.9,9.7,11.2,16.3,23.0,25.2,24.6,20.6,16.1,8.4,0.1
1974,-1.9,2.8,9.0,13.7,18.4,20.4,26.6,23.0,16.3,13.9,6.6,0.9
1975,0.6,-0.4,3.7,12.2,19.3,22.9,25.1,25.1,17.7,14.6,8.3,1.9
1976,-1.8,6.3,9.0,13.7,15.6,21.5,25.2,23.4,19.7,10.4,2.4,-1.2
1977,-9.1,1.5,9.3,15.3,20.6,23.6,26.3,24.3,21.0,13.1,7.1,-0.5
1978,-7.0,-5.8,3.5,13.6,17.2,22.9,26.0,24.2,22.2,12.7,7.6,0.4
1979,-8.9,-4.8,6.5,11.6,17.4,22.3,24.4,23.8,19.4,14.3,5.4,2.3
1980,-0.6,-2.3,4.3,12.0,18.0,23.6,28.9,27.2,21.7,12.4,6.7,1.4
1981,-0.8,1.9,7.2,16.6,15.7,23.3,25.6,23.2,19.6,12.9,8.1,-0.7
1982,-5.3,-1.0,7.3,10.5,19.6,20.3,25.6,23.4,19.1,13.4,6.8,3.8
1983,-0.2,2.9,6.6,9.1,16.1,22.1,26.6,27.7,20.8,14.3,7.9,-7.4
1984,-2.8,4.6,3.4,11.2,16.2,23.7,24.2,24.9,19.0,14.5,6.4,3.9
1985,-5.8,-2.2,9.0,14.7,18.6,21.2,25.0,22.9,20.0,14.4,5.9,-3.7
1986,1.2,1.4,9.0,14.6,18.8,24.2,26.9,22.3,21.7,13.8,4.4,1.3
1987,-0.9,4.2,8.7,13.3,21.0,24.1,25.8,25.1,19.7,10.9,8.3,2.1
1988,-2.4,-1.0,6.8,12.6,19.0,24.0,25.2,25.9,20.3,10.8,7.4,1.9
1989,3.5,-3.6,6.8,13.2,16.8,21.4,24.6,23.7,17.6,14.5,7.0,-5.2
1990,4.1,4.3,8.3,12.0,15.9,23.3,24.7,23.9,21.7,12.7,10.1,0.4
1991,-3.1,4.4,9.0,14.3,20.6,24.1,25.6,24.6,19.8,14.2,3.9,2.9
1992,1.9,5.1,8.3,12.7,16.8,21.1,24.2,21.1,18.8,13.4,5.6,1.2
1993,-1.3,-0.7,4.8,10.7,17.4,22.2,25.8,25.2,17.4,11.9,4.7,1.8
1994,-3.2,0.3,7.6,13.1,16.8,23.9,24.0,23.2,18.8,14.4,8.9,3.4
1995,-1.4,2.2,7.9,12.0,16.1,22.0,25.1,26.6,18.2,14.1,4.7,0.4
1996,-2.4,1.9,3.4,11.3,18.7,22.7,23.8,23.8,18.2,13.7,3.4,1.1
1997,-3.1,3.0,8.3,10.0,15.4,21.9,25.4,23.2,20.2,13.8,5.1,1.2
1998,1.8,5.1,5.1,12.2,20.7,23.1,25.6,24.9,23.0,14.8,9.1,2.4
1999,-0.8,5.8,5.7,13.8,17.7,22.6,26.7,24.2,19.2,13.8,11.1,2.7
2000,0.6,5.7,9.0,12.4,19.6,21.8,24.5,26.4,20.6,15.6,4.3,-6.1
2001,-1.4,1.3,4.5,15.8,18.8,22.1,26.1,25.1,19.1,13.2,10.6,3.6
2002,1.7,2.9,4.7,14.1,16.3,23.7,26.1,24.9,21.6,11.7,5.6,2.1
2003,-2.6,-0.4,7.0,13.7,17.5,20.7,25.6,26.0,18.2,14.0,7.9,2.3
2004,-1.2,0.6,9.1,13.4,19.4,21.6,23.5,21.5,20.3,14.7,8.8,1.5
2005,0.7,4.5,6.3,13.8,17.3,24.0,25.6,25.4,22.2,13.8,8.5,-0.7
2006,5.1,1.2,7.7,16.1,18.1,23.1,26.1,25.8,18.3,12.1,8.1,3.4
2007,-0.2,-1.4,11.7,11.3,20.2,23.0,24.4,27.4,21.4,15.6,7.3,0.7
2008,-0.7,-0.6,6.2,11.2,16.9,23.1,24.8,23.3,19.6,13.2,6.5,-0.6
2009,-2.4,3.6,8.1,11.9,17.7,23.7,22.7,22.6,19.2,10.5,9.9,-0.8
2010,-3.6,-2.0,7.2,15.8,18.1,25.2,26.2,26.1,20.4,14.6,8.1,-1.3
2011,-2.9,0.7,7.3,13.8,17.1,24.3,28.2,25.4,18.2,14.0,8.6,3.0
2012,2.4,4.4,14.5,15.0,20.8,23.8,28.7,24.6,19.4,12.4,7.3,3.8
2013,1.0,1.3,3.5,11.2,17.4,22.8,23.9,23.7,21.5,13.3,5.4,-0.9
2014,-3.4,-3.1,4.2,12.8,18.5,23.2,22.6,24.8,19.5,14.3,3.2,2.6
2015,-0.4,-3.2,6.9,14.3,18.2,23.5,25.2,23.0,22.0,14.3,9.4,5.8
2016,-0.6,3.9,10.2,14.1,17.1,24.9,25.6,24.8,22.1,16.7,10.6,0.2
2017,1.9,7.3,9.1,14.7,17.8,23.1,26.0,22.3,21.3,15.0,7.9,1.3
2018,-2.2,2.0,6.7,9.0,22.5,25.2,25.7,24.7,21.8,13.6,3.1,2.7
2019,-0.6,0.6,4.9,13.7,18.1,22.4,25.3,24.1,23.8,12.4,4.6,3.9
2020,1.4,1.9,9.3,11.7,16.7,23.9,26.2,23.4,19.6,12.0,9.8,2.4
2021,0.9,-4.2,9.9,12.3,16.8,23.8,24.8,25.2,21.9,15.8,7.5,7.1
2022,-2.0,0.3,7.8,11.7,18.8,24.1,26.6,24.7,20.8,13.3,6.8,0.6
2023,2.9,4.4,6.6,13.4,18.9,23.3,25.5,24.7,21.3,14.9,,
