year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-12.4,-9.3,-1.9,7.1,9.6,12.5,17.3,16.8,10.4,6.0,-2.8,-6.6
1896,-9.1,-3.1,-4.6,3.3,8.3,15.7,18.9,16.8,9.7,5.8,-10.6,-1.6
1897,-8.8,-7.9,-8.4,5.9,13.8,14.4,17.2,18.5,13.8,6.1,-5.3,-6.8
1898,-7.1,-3.6,-6.3,5.1,9.4,14.2,17.8,19.0,11.9,2.8,-3.7,-7.5
1899,-8.4,-14.2,-8.3,2.7,7.4,13.3,18.4,15.7,13.3,4.2,2.8,-6.4
1900,-3.4,-8.5,-0.1,7.3,12.6,17.9,18.3,16.8,11.1,6.3,-3.7,-2.3
1901,-7.6,-8.7,-0.3,4.9,13.4,11.7,19.9,18.7,9.3,8.2,0.8,-4.9
1902,-7.2,-5.9,-1.8,3.7,10.9,12.6,16.6,16.8,10.7,6.8,-2.3,-8.7
1903,-5.6,-9.8,-4.2,4.1,8.6,15.6,16.3,16.6,10.4,7.4,-3.0,-3.6
1904,-6.5,-10.9,-5.9,5.3,9.8,13.9,17.9,17.2,12.4,7.4,2.9,-4.5
1905,-9.8,-9.8,2.4,4.9,8.2,12.9,18.1,18.8,13.8,3.6,-0.3,-5.4
1906,-5.6,-3.9,-5.2,7.1,9.1,13.1,18.9,17.1,13.8,7.1,-2.4,-6.1
1907,-16.1,-5.3,-1.4,2.2,7.2,13.0,16.8,15.8,11.2,8.2,0.7,-4.3
1908,-4.9,-5.6,-2.5,6.4,8.8,12.8,19.3,16.3,13.4,4.5,0.3,-5.5
1909,-11.8,-6.0,-1.4,0.8,8.4,14.7,17.8,18.4,13.3,6.0,-0.6,-11.2
1910,-7.7,-11.0,5.1,9.2,10.4,15.9,19.7,15.6,11.3,8.1,-1.2,-5.3
1911,-10.8,-10.2,1.8,3.9,9.4,16.1,16.7,15.2,10.9,4.5,-5.8,-6.9
1912,-10.0,-4.9,-8.2,5.6,9.4,15.3,16.1,15.6,8.3,4.6,1.3,-3.6
1913,-10.9,-10.0,-5.5,6.0,9.3,15.7,16.9,18.1,12.7,3.6,0.9,-5.0
1914,-4.7,-8.9,-0.2,5.3,10.6,14.1,20.0,16.9,12.3,6.6,1.7,-10.6
1915,-8.6,-4.4,-1.8,9.4,9.3,11.9,15.1,18.6,9.9,7.8,-1.0,-5.2
1916,-19.9,-7.4,0.2,4.9,7.6,12.8,18.8,16.8,11.4,3.6,-2.3,-12.2
1917,-10.4,-10.7,-6.6,2.2,8.5,13.2,20.6,17.3,12.9,4.6,3.4,-8.8
1918,-10.4,-7.8,1.6,3.6,8.9,17.5,18.1,16.7,11.9,7.8,-2.3,-3.7
1919,-2.4,-8.3,-4.2,6.1,11.2,17.7,20.4,19.0,12.8,0.2,-5.9,-9.9
1920,-7.8,-5.4,-3.1,0.7,9.2,13.8,19.7,18.4,12.8,6.0,-2.0,-5.3
1921,-4.4,-2.4,-1.0,4.0,9.9,17.0,19.1,18.4,9.9,8.3,-2.9,-7.1
1922,-10.9,-13.9,-3.2,3.6,9.6,16.4,17.8,19.4,14.4,7.6,-1.8,-10.6
1923,-5.5,-9.8,-2.4,4.0,10.2,14.8,20.1,16.8,13.2,4.7,1.7,-4.9
1924,-10.9,-1.8,-3.3,3.8,9.8,12.9,18.0,16.3,12.1,7.2,-1.7,-11.9
1925,-7.0,-2.7,-0.5,6.9,11.2,14.6,19.2,17.3,11.8,0.5,-0.7,-2.8
1926,-4.9,-0.9,0.3,6.3,11.4,14.8,19.9,17.1,8.2,7.1,-1.8,-7.6
1927,-8.8,-6.6,-0.8,3.7,7.2,14.3,17.8,16.1,11.3,7.6,-3.7,-14.1
1928,-6.8,-5.6,0.7,3.0,12.9,12.3,18.2,16.1,11.8,5.0,-0.3,-5.7
1929,-15.2,-12.2,0.1,3.1,8.7,14.1,19.7,20.0,9.7,7.0,-2.4,-7.0
1930,-16.9,-1.1,-2.0,8.8,9.7,14.8,20.4,19.7,12.6,3.2,-1.4,-3.8
1931,-3.1,-1.0,-0.9,5.6,11.1,17.3,19.6,18.7,13.1,6.7,-3.1,-5.4
1932,-9.2,-5.9,-5.4,5.9,11.0,15.6,19.2,18.2,12.2,4.2,-0.1,-9.3
