year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-8.5,-7.6,1.3,12.0,15.0,19.0,21.7,21.7,18.6,7.8,0.2,-3.4
1896,-2.8,-0.4,-1.8,10.2,16.8,20.4,22.7,21.8,14.6,8.2,-4.1,0.2
1897,-6.6,-3.4,0.2,8.1,15.4,19.8,23.4,20.6,20.8,11.1,0.6,-6.1
1898,-3.8,-1.4,1.1,8.6,13.2,20.8,22.7,22.7,16.8,7.2,-1.2,-5.8
1899,-5.9,-12.0,-3.7,8.4,14.4,20.3,22.6,22.7,17.3,10.6,5.5,-4.6
1900,-1.7,-6.8,1.8,10.1,16.8,21.6,22.9,24.2,17.2,12.3,1.1,-0.8
1901,-3.7,-7.1,1.5,8.6,15.3,20.7,26.9,23.0,16.2,11.3,3.4,-5.1
1902,-4.7,-5.2,3.1,8.7,16.6,18.5,21.9,21.4,14.8,11.2,2.9,-7.0
1903,-3.9,-7.9,1.2,9.1,14.1,17.3,22.4,20.9,15.3,11.0,1.9,-2.9
1904,-5.7,-4.8,2.9,7.3,14.6,18.5,21.3,21.2,17.0,11.4,4.6,-2.9
1905,-8.9,-9.7,5.4,7.3,12.8,19.8,21.0,22.9,18.2,8.0,3.7,-2.3
1906,-2.0,-2.2,-4.2,10.6,15.1,18.7,20.9,21.9,17.4,8.7,1.3,-1.4
1907,-7.8,-1.7,5.5,5.2,11.4,19.0,22.8,22.2,16.7,10.7,1.8,-2.4
1908,-2.0,-2.6,3.7,10.1,13.3,18.6,22.1,20.8,19.4,9.1,2.8,-2.9
1909,-5.7,-3.0,0.9,6.3,13.6,20.1,23.2,24.3,17.0,10.0,3.4,-10.8
1910,-6.5,-5.1,9.9,11.1,12.4,20.3,23.6,20.8,17.7,12.4,2.4,-3.6
1911,-3.8,-2.8,5.7,8.1,15.7,23.3,23.0,20.8,18.9,7.9,-1.1,-4.9
1912,-11.0,-3.9,-5.0,8.8,15.4,18.1,23.2,21.2,14.3,10.1,4.1,-2.0
1913,-5.6,-7.3,-0.3,9.8,14.7,21.1,23.7,24.7,16.8,7.9,5.3,-3.1
1914,-0.9,-6.2,1.8,8.9,15.2,21.8,24.4,22.4,17.9,11.5,4.8,-9.4
1915,-7.7,-2.9,-4.2,12.0,12.6,17.3,20.3,19.0,16.3,11.8,4.1,-3.0
1916,-10.1,-3.6,4.5,7.9,14.1,17.8,25.8,22.2,16.4,9.2,1.5,-7.9
1917,-6.0,-5.1,-0.1,6.7,11.2,18.8,24.1,20.3,17.2,6.7,5.8,-6.9
1918,-10.9,-3.1,6.4,5.8,16.2,22.5,23.1,23.3,14.6,11.8,2.2,-2.0
1919,-2.1,-5.0,2.3,7.7,13.8,20.6,24.8,22.3,19.2,6.9,-1.7,-7.6
1920,-3.6,-2.3,2.4,3.9,13.9,19.8,23.1,20.3,17.7,12.2,0.5,-3.9
1921,-2.0,0.1,5.7,9.1,15.3,22.0,24.2,22.3,18.2,12.1,1.7,-2.3
1922,-7.2,-5.9,2.8,8.6,15.1,21.7,21.9,24.0,19.4,11.6,3.0,-4.1
1923,-1.4,-5.0,-0.2,8.2,13.6,19.9,24.2,20.9,17.1,7.8,4.2,-1.6
1924,-9.0,-1.4,-2.1,9.2,11.3,18.9,21.5,22.4,15.1,12.8,3.1,-9.7
1925,-7.6,0.2,4.7,12.1,14.3,20.9,23.6,22.1,19.0,4.1,2.2,-4.0
1926,-3.9,1.2,1.7,8.2,17.2,19.5,23.7,23.0,15.9,11.2,0.0,-4.9
1927,-4.4,-0.7,1.7,8.7,14.4,18.8,22.4,19.5,17.5,12.2,2.1,-8.3
1928,-2.6,-1.7,3.9,7.1,16.2,16.6,22.7,22.4,16.1,10.3,1.9,-2.7
