year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-2.6,-0.3,3.6,8.5,12.9,17.2,21.4,21.8,15.5,10.4,2.1,-2.2
1896,1.2,2.3,3.8,5.3,10.1,19.8,22.8,20.9,15.7,11.0,3.0,2.3
1897,-0.2,-1.0,-0.5,8.7,15.7,17.2,21.1,22.6,16.1,9.0,4.6,-1.8
1898,-5.6,2.9,1.4,10.8,11.6,18.4,22.9,22.7,16.6,8.7,2.6,-2.8
1899,0.4,1.2,3.9,8.4,9.6,17.2,22.6,18.2,17.7,8.4,5.4,-1.6
1900,2.8,2.7,6.9,6.6,13.7,20.2,22.0,18.9,13.4,9.1,5.1,0.9
1901,-0.7,0.6,3.9,7.2,13.7,16.5,23.0,21.2,14.7,11.6,6.3,0.9
1902,-1.6,2.9,1.7,8.1,12.2,18.9,20.3,20.2,16.5,10.6,2.6,0.2
1903,0.1,-6.3,3.4,6.9,12.3,18.8,20.1,21.2,15.2,11.0,5.6,-0.8
1904,-2.0,2.3,4.5,8.0,13.3,17.7,21.2,21.4,16.8,9.4,5.4,-0.1
1905,0.9,1.6,5.3,8.3,10.3,16.9,22.3,21.3,16.4,8.6,3.0,-4.3
1906,-1.4,2.7,2.8,8.0,11.6,15.9,23.1,21.2,15.9,10.5,1.7,0.8
1907,-3.0,5.2,3.8,9.7,11.4,14.1,20.8,19.2,15.1,11.2,3.8,1.3
1908,0.4,1.2,4.7,9.4,9.7,15.5,23.1,20.7,15.7,7.9,3.6,-1.8
1909,2.4,1.2,3.3,8.0,11.4,19.1,21.3,21.3,15.8,10.3,4.2,-4.7
1910,-4.6,-1.3,7.6,10.4,14.7,18.4,22.8,20.9,16.5,10.9,5.3,1.0
1911,0.3,-2.5,5.2,7.0,10.8,17.7,21.9,20.1,15.0,8.6,2.3,-3.0
1912,-0.2,2.3,2.9,5.9,11.5,17.4,20.1,19.7,13.5,7.8,4.6,-1.4
1913,-3.5,-0.9,2.8,7.7,13.2,16.0,20.3,20.8,16.5,9.2,4.6,-1.7
1914,0.7,1.1,6.3,8.6,14.1,16.3,22.1,21.8,16.1,10.7,4.9,-4.4
1915,-1.6,1.8,5.3,9.6,11.0,16.6,21.2,22.5,15.5,11.6,3.8,0.0
1916,-4.5,2.2,6.4,9.3,10.9,16.8,21.3,19.7,16.1,7.6,1.7,-2.8
1917,-7.9,-1.2,0.2,6.3,9.6,17.6,23.8,21.6,16.6,11.8,5.7,3.5
1918,-0.2,0.2,5.1,7.7,11.2,21.8,21.8,19.6,17.0,11.5,2.4,-2.2
1919,-0.9,-0.1,2.8,9.6,15.2,18.3,23.7,22.5,16.7,6.4,2.7,-1.8
1920,1.1,1.8,2.9,6.4,12.7,17.2,22.0,21.1,16.3,8.4,3.4,-0.5
1921,0.2,2.2,6.8,7.3,11.8,18.9,23.1,21.8,16.0,12.3,6.2,1.4
1922,-5.8,-1.9,1.6,5.3,12.6,19.4,22.8,20.9,18.3,10.7,2.2,0.9
1923,0.8,-2.3,3.0,7.2,13.2,14.7,22.4,20.3,16.4,8.7,4.8,-2.0
1924,-4.0,4.3,1.6,8.2,15.5,18.9,22.2,20.7,16.6,9.5,3.4,-4.1
1925,-0.7,3.5,5.2,8.8,14.7,17.4,23.2,19.8,14.7,9.2,3.2,1.1
1926,-0.7,3.1,6.3,11.0,14.2,20.8,22.7,21.4,14.9,11.6,6.3,-1.6
1927,0.6,2.1,4.1,7.9,12.3,18.4,22.9,20.2,15.0,11.2,6.5,-2.6
1928,-0.2,1.4,6.3,7.6,15.4,17.3,22.6,21.0,17.1,10.2,3.8,-2.5
1929,-2.7,-2.1,4.2,6.0,13.1,17.0,23.0,22.4,15.4,11.3,3.7,3.6
1930,-4.4,3.9,4.8,10.5,10.4,18.5,22.7,21.1,15.7,9.0,2.3,-2.9
1931,-0.8,2.3,4.7,9.5,14.7,18.8,25.2,22.5,15.7,11.3,0.9,-3.4
1932,-4.3,-2.3,4.4,8.0,12.6,17.9,21.7,20.6,17.6,9.6,5.9,-4.7
1933,-3.7,-6.5,3.7,6.7,9.4,18.6,24.1,21.5,17.1,13.3,4.7,2.4
1934,1.9,4.1,9.1,11.9,16.1,16.6,23.1,22.7,16.6,11.7,5.6,0.4
1935,-0.3,2.0,2.2,7.9,11.6,19.1,21.4,21.8,18.3,9.3,1.2,-0.6
1936,0.1,0.6,4.7,10.2,14.4,19.1,23.2,21.7,15.9,10.4,3.3,-0.7
1937,-11.2,-2.0,3.8,6.9,14.4,17.6,23.1,22.1,17.9,11.3,5.6,1.7
1938,0.6,0.4,2.2,8.2,11.9,17.8,21.9,21.2,18.3,9.9,0.7,1.0
1939,-1.0,-3.3,4.6,10.2,14.0,17.6,23.0,22.5,16.7,9.9,5.4,3.1
1940,0.4,2.3,5.8,8.9,15.8,20.7,22.2,22.7,15.9,11.4,2.4,0.9
1941,0.5,3.3,4.9,5.8,13.6,16.3,22.1,19.7,13.6,8.3,4.6,0.8
1942,-2.6,-1.3,2.6,8.1,10.7,16.9,23.5,21.6,16.3,11.0,4.6,1.6
1943,-0.1,2.3,4.8,10.8,12.8,15.1,22.2,20.4,18.5,10.8,4.2,0.1
1944,-3.5,-0.7,2.3,6.3,12.7,14.5,21.1,20.3,17.1,11.7,1.0,-1.2
1945,-0.6,1.4,1.8,6.6,12.4,15.5,22.8,20.7,15.8,11.4,3.4,-1.1
1946,-1.4,0.2,4.1,9.9,12.5,17.8,22.3,21.8,16.0,7.0,2.0,1.3
1947,-2.7,3.9,5.9,8.3,15.3,16.2,21.4,20.2,17.6,11.1,1.1,-1.4
1948,0.7,-0.7,0.9,7.4,12.1,17.1,21.5,20.2,16.8,10.5,1.9,-3.0
1949,-10.5,-4.0,3.1,10.4,12.7,17.5,22.1,20.6,17.7,8.8,7.3,-1.4
1950,-2.8,2.7,3.8,8.9,12.0,17.0,22.3,21.1,16.2,12.6,6.3,3.5
1951,-0.4,1.6,2.9,9.3,12.9,17.3,22.6,20.6,17.7,9.3,3.2,-2.7
1952,-3.3,-0.4,0.0,8.9,13.7,16.2,22.1,21.6,17.6,13.3,0.9,0.0
1953,3.8,1.7,4.6,7.4,9.0,16.1,23.3,20.3,18.4,10.3,5.9,-0.7
1954,0.5,4.2,2.4,10.3,15.2,16.6,23.1,19.5,16.1,10.4,5.7,-1.4
1955,-5.3,-2.7,2.7,5.8,11.4,17.4,21.0,22.1,16.9,11.4,2.9,1.4
1956,1.8,-2.1,4.6,8.0,13.2,18.1,21.7,19.9,17.7,9.4,2.3,-0.3
1957,-3.9,3.6,4.8,7.3,11.3,18.6,21.7,20.4,16.8,8.7,1.2,1.1
1958,0.2,4.0,1.7,6.6,15.3,17.7,21.4,23.1,17.0,12.1,4.3,3.2
1959,1.6,0.2,4.9,9.9,11.1,19.8,23.8,20.8,15.2,11.2,4.3,-0.6
1960,-3.0,-0.4,6.1,8.7,12.6,20.1,23.6,20.9,18.3,10.2,4.0,-0.1
1961,0.5,2.9,4.1,8.1,12.4,20.6,23.3,22.1,14.4,9.9,2.0,-0.8
1962,-3.0,0.6,1.8,10.7,11.4,17.6,21.1,20.8,17.6,11.9,5.4,1.1
1963,-2.3,5.8,3.2,5.1,14.2,15.1,21.0,20.9,18.4,13.0,4.3,0.1
1964,-1.9,-0.9,1.5,6.7,11.6,16.1,22.5,20.7,15.3,12.9,1.9,1.0
1965,0.9,1.8,3.1,7.8,10.6,15.8,21.1,19.9,13.5,12.3,5.5,-1.3
1966,-1.5,-1.1,4.9,8.8,15.3,17.9,21.9,22.0,17.3,10.2,5.2,-0.5
1967,0.3,2.4,4.7,3.6,12.3,15.9,23.1,23.0,17.8,11.4,5.9,-3.1
1968,-0.8,4.7,5.3,6.6,12.6,18.6,23.1,18.4,16.1,10.6,3.9,-1.8
1969,1.2,-0.6,1.9,8.4,15.2,16.7,22.4,22.7,18.2,7.4,3.9,0.7
1970,0.6,4.0,3.5,4.7,13.1,17.9,22.7,22.5,14.5,8.6,4.9,-1.6
1971,0.4,1.8,3.6,7.2,10.8,17.1,22.9,22.9,14.9,8.0,2.8,-3.4
1972,-1.9,2.5,7.8,7.6,13.7,19.0,22.8,21.1,15.1,9.2,2.2,-3.3
1973,-2.8,1.3,2.4,6.9,14.6,18.6,22.6,21.3,15.7,10.2,3.7,1.2
1974,-1.8,0.9,5.8,7.1,13.8,20.2,22.1,20.6,17.8,10.7,4.4,-0.8
1975,-1.2,0.6,2.8,3.7,11.4,16.8,22.8,19.8,17.5,9.7,2.8,1.6
1976,0.4,2.3,2.8,6.7,14.6,17.1,22.4,18.4,16.7,10.0,5.6,-0.3
1977,-1.9,3.0,1.8,9.8,9.3,20.2,22.3,21.7,16.5,11.7,5.0,2.7
1978,1.2,2.1,7.0,7.1,11.6,17.5,22.0,20.8,14.9,12.4,2.4,-3.1
1979,-4.0,0.4,4.5,7.8,13.6,18.2,22.2,20.3,18.6,12.4,2.2,1.3
1980,0.9,3.8,2.8,8.8,11.2,16.5,22.5,20.6,16.7,10.9,5.0,2.7
1981,2.1,2.6,4.3,10.0,12.7,19.9,22.8,22.6,18.2,8.6,5.9,2.7
1982,-2.2,1.6,3.4,6.5,12.5,16.9,21.2,21.8,15.4,8.7,2.2,-0.5
1983,1.1,2.4,4.6,5.2,11.8,17.0,20.4,20.8,17.5,11.2,3.9,0.6
1984,-1.6,0.5,4.6,6.7,14.7,16.8,22.8,21.6,17.3,7.5,3.6,-2.6
1985,-2.8,-0.8,2.7,10.4,13.7,20.2,23.6,20.7,13.9,9.8,0.9,-0.9
1986,3.4,4.2,7.7,8.3,13.5,20.3,20.9,23.0,13.4,9.9,4.7,0.3
1987,-2.3,1.7,4.1,11.2,13.9,19.4,20.5,21.7,17.9,13.0,4.2,-1.6
