year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-9.1,-10.4,-4.2,4.6,13.2,18.3,17.8,17.3,14.3,4.6,1.6,-4.4
1896,-9.6,-7.8,-5.1,5.7,13.3,15.9,19.8,18.1,12.9,5.8,2.2,-7.3
1897,-7.8,-6.9,-2.6,5.6,11.7,14.1,20.4,17.1,12.9,7.3,-0.4,-5.3
1898,-9.3,-5.4,0.9,3.2,11.1,16.5,19.6,18.8,14.8,8.1,0.2,-6.6
1899,-8.9,-8.9,-4.3,4.3,11.4,17.3,18.9,17.7,12.5,8.2,-0.3,-3.8
1900,-8.2,-8.1,-5.4,4.5,9.4,17.2,19.4,18.4,14.6,10.2,1.7,-6.7
1901,-9.0,-10.9,-2.8,5.8,11.4,17.5,20.3,18.6,14.2,7.5,-2.4,-5.8
1902,-9.2,-7.3,2.0,5.6,10.7,14.4,17.3,15.9,13.8,6.9,2.8,-8.0
1903,-8.2,-6.3,2.6,4.8,12.6,13.6,18.1,14.2,14.2,7.4,-1.2,-8.3
1904,-12.7,-11.4,-3.4,3.5,13.9,15.8,18.7,16.4,12.3,5.5,-2.7,-10.7
1905,-10.7,-11.2,-3.1,4.2,11.0,15.2,19.3,16.4,12.9,7.1,-0.7,-4.8
1906,-4.7,-7.6,-5.7,4.1,10.7,16.0,18.8,19.2,14.6,7.7,-0.1,-8.9
1907,-10.1,-12.0,-2.4,2.5,8.3,15.6,18.8,16.4,13.7,4.8,0.1,-3.7
1908,-7.2,-9.8,-2.2,3.4,12.7,16.9,20.4,16.7,15.2,8.7,0.4,-6.6
1909,-7.4,-6.5,-3.3,4.1,10.3,16.6,17.5,16.7,13.2,6.8,2.4,-6.6
1910,-6.8,-8.3,0.8,7.5,10.9,14.9,19.5,16.7,13.2,7.9,0.0,-9.2
1911,-7.3,-9.4,-4.5,3.1,14.8,15.3,20.8,17.4,12.5,6.6,-0.2,-2.2
1912,-13.1,-9.0,-4.3,4.4,11.7,14.9,19.0,15.6,12.8,8.4,1.4,-3.0
1913,-3.1,-8.8,0.2,5.8,9.8,15.5,19.0,17.4,12.7,10.1,2.4,-3.7
1914,-9.5,-11.7,-2.2,2.8,12.1,15.0,17.5,17.4,13.2,9.4,-0.6,-7.3
1915,-6.5,-4.8,-3.4,7.3,9.5,15.2,18.0,16.8,15.2,8.3,1.7,-5.1
1916,-6.4,-9.1,-6.3,4.4,11.1,14.1,20.2,18.6,13.3,7.8,-0.4,-6.4
1917,-8.7,-10.2,-2.8,3.0,6.8,15.7,19.7,18.9,11.8,5.8,-1.8,-12.4
1918,-13.8,-10.3,-2.8,4.9,14.1,13.9,19.1,18.1,11.6,8.3,1.3,-4.7
1919,-6.2,-6.3,0.0,4.6,11.7,18.1,20.0,16.5,13.5,7.7,0.4,-8.8
1920,-13.3,-8.7,-1.7,3.1,10.1,15.9,18.0,19.4,14.4,10.6,-0.9,-4.4
1921,-7.2,-6.4,2.6,8.2,12.1,16.3,21.4,16.7,15.0,7.6,-0.7,-7.6
1922,-10.7,-7.8,-1.4,4.9,12.6,17.1,18.9,17.7,14.2,7.6,1.0,-7.5
1923,-10.7,-11.9,-5.3,4.0,10.4,16.7,17.2,16.3,14.5,7.9,1.3,-1.6
1924,-7.3,-10.8,-1.7,3.7,9.5,15.0,18.8,17.6,12.3,7.6,1.1,-7.8
1925,-11.3,-3.7,0.2,5.5,9.4,17.6,17.8,17.3,13.4,3.4,0.4,-5.8
1926,-8.0,-9.4,-5.7,1.3,9.8,14.1,18.2,17.3,13.0,6.3,0.7,-8.9
