year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,0.7,-0.6,6.7,11.4,15.5,19.5,21.2,20.8,18.1,11.0,3.7,-0.3
1896,2.2,2.5,7.2,11.4,17.4,22.7,22.2,21.8,18.1,11.2,5.8,2.8
1897,-1.0,2.7,5.6,11.1,16.8,20.5,21.8,21.4,18.3,11.9,7.1,0.3
1898,-0.8,5.0,5.8,12.0,15.6,20.5,22.3,21.8,17.7,11.9,4.4,-2.2
1899,-0.5,0.4,7.1,11.3,15.4,20.6,22.2,22.0,18.6,11.9,6.3,1.4
1900,3.1,3.1,7.9,8.8,16.4,21.6,22.9,21.9,17.8,12.5,7.0,1.8
1901,2.0,3.1,5.8,9.9,16.1,20.5,23.1,22.7,18.0,12.8,7.2,1.7
1902,1.6,3.8,4.6,12.7,16.2,22.2,21.1,21.7,17.2,12.6,5.8,1.2
1903,1.3,-0.6,5.5,10.7,14.7,18.2,22.9,22.2,17.3,11.4,7.2,0.8
1904,-0.7,5.9,8.7,11.7,15.8,19.7,21.8,21.2,17.8,11.5,5.6,0.7
1905,1.1,0.8,7.6,9.4,15.2,20.9,21.1,21.7,18.1,11.3,5.9,-1.8
1906,0.3,3.4,6.4,10.5,15.4,20.7,21.1,20.2,17.4,10.9,4.4,3.9
1907,3.1,6.1,9.2,10.9,13.0,18.6,22.1,21.5,17.9,12.3,4.3,2.2
1908,1.6,3.1,8.8,10.9,14.1,19.9,21.4,20.7,17.3,10.2,4.3,1.6
1909,4.2,3.0,4.9,10.3,14.2,21.1,23.2,21.6,17.1,12.2,7.1,-2.7
1910,2.0,1.8,9.9,11.7,16.6,21.6,23.6,22.4,19.4,12.3,7.5,2.6
1911,4.5,2.7,8.7,11.4,16.2,20.8,21.2,22.0,19.6,11.3,3.8,-2.2
1912,0.6,1.9,5.5,8.7,15.5,19.5,22.2,21.3,15.9,11.1,4.7,-1.8
1913,-1.5,1.1,4.6,10.2,16.2,19.1,22.4,21.7,15.7,11.2,7.4,-1.5
1914,3.2,2.8,6.2,11.2,15.7,20.8,21.3,21.2,18.6,11.7,7.1,-0.7
1915,-1.2,2.4,3.6,10.7,13.9,20.0,21.9,20.3,17.3,12.2,6.1,1.9
1916,2.2,5.1,9.1,10.5,15.6,21.1,22.4,20.8,17.4,11.8,4.8,0.3
1917,0.3,2.8,4.5,9.8,12.3,20.3,23.6,21.5,18.2,12.3,7.4,3.8
1918,-1.3,4.6,8.3,9.8,15.2,22.1,22.7,21.4,17.4,12.8,3.6,-1.6
1919,-2.8,0.8,5.1,11.1,15.7,19.2,21.8,22.2,18.3,11.5,5.2,2.4
1920,1.7,4.8,5.4,8.1,15.6,19.6,22.4,20.3,18.0,11.4,5.3,0.4
1921,2.7,3.7,8.4,9.4,15.6,19.6,21.7,21.3,19.2,13.5,6.9,4.2
1922,-0.4,2.9,5.2,9.8,16.1,21.3,23.3,23.0,19.3,12.6,4.6,3.6
1923,3.7,2.2,4.5,10.6,16.1,20.8,22.9,21.0,16.9,10.4,5.1,0.0
1924,-0.7,3.6,3.4,9.9,15.4,22.4,22.2,22.3,17.9,12.6,7.0,-1.0
1925,-1.2,4.8,8.4,12.8,17.3,21.2,23.1,20.5,17.8,11.7,4.8,0.1
1926,-1.6,4.9,5.4,9.9,14.9,20.6,21.6,21.7,19.1,13.3,6.2,0.4
1927,3.5,5.4,6.2,11.7,17.3,20.1,22.8,21.0,17.6,12.4,8.6,-0.6
1928,2.1,2.3,7.9,9.8,15.8,20.7,22.9,20.5,17.5,13.2,4.6,0.7
1929,0.5,-0.1,5.7,10.9,15.2,21.1,22.3,21.2,17.8,11.8,2.6,2.2
1930,-1.8,5.6,4.9,13.2,14.3,21.3,22.1,21.7,18.1,11.9,4.2,-0.8
1931,0.3,3.7,4.9,10.3,14.9,21.3,22.8,20.8,19.7,13.3,4.7,-0.4
1932,-1.8,5.1,4.7,11.2,15.4,19.8,22.6,21.8,17.1,11.1,5.9,-1.8
1933,-0.1,-0.4,7.2,8.6,14.3,20.8,23.1,21.6,19.9,13.6,6.8,4.2
1934,1.4,5.3,8.1,12.6,18.3,21.3,24.2,23.0,18.0,14.1,6.5,2.4
1935,3.1,3.1,7.3,11.3,13.5,20.8,23.1,21.8,17.1,12.8,5.2,1.1
1936,0.5,3.1,7.3,11.6,16.7,21.8,22.7,22.3,17.5,11.4,4.9,1.9
1937,-2.8,2.5,4.7,11.0,16.7,20.4,22.9,23.0,18.9,13.1,6.2,2.0
1938,1.4,3.9,7.1,10.9,15.4,20.8,21.7,22.2,17.8,13.1,3.6,2.3
1939,0.7,-1.3,6.8,11.4,16.5,21.4,22.7,21.4,19.0,11.7,5.2,3.3
1940,-0.2,2.4,7.4,10.8,16.4,20.5,23.1,21.1,18.6,12.9,4.3,3.2
1941,1.4,4.3,5.2,8.8,15.8,18.4,21.2,20.9,17.3,11.8,6.1,2.4
1942,1.2,1.0,4.7,10.8,15.2,20.6,22.6,21.1,17.2,11.8,7.6,3.2
1943,1.9,4.8,6.5,13.2,16.1,20.8,22.6,23.2,18.1,11.7,5.1,-0.2
1944,-0.8,2.8,5.1,9.1,15.1,20.2,22.3,22.0,17.6,12.8,4.9,0.8
1945,1.2,4.4,5.9,9.3,16.3,19.4,22.5,22.5,18.6,12.5,6.2,0.2
1946,-0.7,2.8,7.1,13.7,15.0,21.8,22.8,21.9,18.9,12.1,4.6,3.8
1947,-0.7,3.4,6.1,10.2,16.7,20.3,23.3,21.7,19.4,13.9,3.1,0.2
1948,-0.4,1.7,3.2,12.7,16.4,20.8,22.9,22.2,18.9,12.1,3.2,2.8
1949,-2.9,1.7,6.7,10.5,15.7,20.2,22.4,21.2,18.6,11.2,8.1,0.6
1950,2.4,5.1,6.7,11.9,15.4,21.2,21.6,20.9,17.1,15.5,6.8,3.7
1951,0.8,2.9,5.7,10.0,16.0,20.1,24.3,22.3,18.8,12.8,4.5,1.4
1952,3.2,2.6,3.9,10.7,15.9,22.1,22.3,22.9,18.3,12.9,3.1,0.2
1953,4.2,1.9,7.6,10.5,13.8,22.6,23.4,21.7,18.8,12.3,6.3,-0.9
1954,2.4,6.1,5.9,13.7,16.1,21.2,23.7,21.6,19.6,13.7,7.1,1.9
1955,-0.1,0.4,6.4,10.6,15.1,19.8,21.8,21.7,18.9,13.2,5.8,3.4
1956,3.6,0.4,7.1,10.0,17.4,22.7,22.5,21.2,19.6,13.4,3.4,1.4
1957,2.7,7.3,6.6,9.7,14.1,20.9,23.3,21.4,17.4,11.3,3.1,2.9
1958,0.2,4.3,3.5,9.6,17.0,22.2,23.2,22.5,18.1,11.7,6.0,3.1
1959,1.3,2.7,5.6,11.2,15.9,21.7,22.6,21.8,18.2,11.9,4.8,2.2
1960,-1.1,0.3,7.0,11.7,15.3,21.7,21.9,22.1,18.9,11.8,6.4,-1.0
1961,-0.2,3.3,6.4,10.6,16.3,21.2,22.3,21.3,16.7,11.9,3.9,0.6
1962,-0.8,5.2,3.8,12.2,16.2,19.8,21.9,22.3,18.4,13.1,7.1,2.6
1963,-1.8,3.8,6.4,11.9,17.2,20.3,23.9,21.4,19.1,14.4,6.6,0.4
1964,-1.0,-1.5,4.3,9.8,16.3,20.3,23.6,21.9,17.9,13.0,5.4,1.4
1965,2.7,1.6,3.7,11.2,15.0,19.1,22.8,21.0,17.1,12.4,8.1,2.6
1966,-1.6,0.1,7.0,11.2,16.8,20.2,24.1,21.0,17.9,11.7,7.7,0.9
1967,0.9,3.7,9.2,12.0,15.0,19.9,22.9,20.4,17.3,12.8,6.8,-0.9
1968,0.7,4.2,5.9,9.2,15.1,21.0,21.7,20.2,17.0,13.0,5.0,0.2
1969,3.9,2.9,2.9,11.9,16.1,19.7,23.6,23.1,18.3,11.1,5.0,2.7
1970,0.4,4.4,4.4,9.0,15.9,19.7,22.9,22.2,17.5,9.6,6.0,2.9
1971,1.3,2.6,7.0,10.1,14.7,20.8,22.9,20.3,17.1,11.2,5.8,0.8
1972,1.8,4.3,9.6,11.8,15.3,20.4,22.5,20.7,17.6,12.8,2.7,0.8
1973,-0.8,1.9,4.9,7.5,14.6,19.6,21.8,21.3,17.4,12.6,7.1,1.8
1974,0.9,1.9,9.2,10.8,17.6,21.9,22.3,20.2,16.2,12.3,5.4,-0.2
1975,0.3,2.1,5.8,8.6,13.9,19.9,21.3,21.3,16.5,12.2,5.2,1.9
1976,0.6,5.9,6.2,11.0,14.9,20.3,21.6,21.1,17.3,9.7,3.6,0.3
1977,-0.8,3.3,4.9,11.0,15.6,21.6,22.8,22.6,19.3,13.2,6.9,4.2
1978,1.2,2.1,7.7,12.1,15.2,21.4,23.7,21.2,17.6,13.0,6.5,-0.2
1979,-1.7,2.3,6.0,10.6,14.8,19.3,22.8,20.4,18.4,13.8,3.2,2.1
1980,2.5,4.1,5.5,9.4,14.4,22.4,24.6,22.0,18.6,10.9,5.1,4.7
1981,2.7,4.3,6.0,12.8,15.5,22.2,23.0,21.0,18.0,12.2,7.7,3.6
1982,1.5,2.6,7.1,10.9,14.8,19.9,22.8,22.2,18.6,11.1,5.2,0.6
1983,1.2,3.2,6.3,7.7,14.0,19.2,22.8,22.5,19.9,12.9,6.4,0.7
1984,0.2,2.9,6.1,9.6,17.7,20.3,22.4,21.1,17.8,9.9,5.7,2.3
1985,-0.1,1.8,7.2,11.9,15.9,20.7,22.5,22.0,16.9,12.1,6.5,1.5
1986,4.0,4.8,8.6,12.3,15.7,20.1,21.8,21.9,17.2,11.1,5.1,1.3
1987,0.2,2.9,4.9,10.3,14.7,20.1,22.1,20.9,17.1,13.6,5.4,0.4
1988,-0.6,3.9,6.1,10.6,15.4,20.7,22.1,21.2,16.9,13.8,6.6,0.8
1989,1.2,3.2,9.3,13.5,17.6,20.7,22.9,21.2,17.8,12.3,6.6,0.3
1990,0.9,2.8,7.2,11.9,15.4,23.6,21.8,20.3,18.8,12.3,6.8,0.0
1991,0.4,4.8,6.1,10.9,16.2,20.1,21.4,21.1,16.9,12.9,4.5,1.4
