year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-5.7,-7.6,1.2,10.4,15.9,22.0,21.7,22.7,20.2,7.4,4.4,0.3
1896,-2.3,-1.4,-0.4,13.6,19.8,20.6,22.7,21.7,16.5,8.8,6.6,-0.1
1897,-4.4,-0.3,4.9,9.1,13.6,19.6,24.0,20.3,18.8,13.7,5.0,-0.2
1898,-0.5,-1.6,6.5,8.1,16.1,21.7,24.2,22.6,19.8,11.7,3.1,-2.3
1899,-3.0,-6.0,2.3,11.4,17.3,21.8,23.2,22.9,17.5,13.5,6.0,-1.6
1900,-1.1,-3.9,0.0,9.6,17.0,20.8,23.2,24.3,20.6,15.2,4.7,-0.7
1901,-2.2,-6.4,3.6,7.8,15.0,21.5,25.6,22.6,17.9,11.7,2.4,-2.9
1902,-3.3,-5.9,4.9,8.6,17.1,19.4,23.3,20.3,17.3,12.2,8.7,-1.8
1903,-3.4,-1.6,7.7,9.6,17.7,17.8,22.7,21.3,18.4,11.6,2.3,-5.2
1904,-7.0,-5.4,3.7,6.4,15.8,20.1,21.8,20.2,18.3,10.8,4.1,-2.8
1905,-5.9,-6.8,5.4,8.9,16.0,20.7,22.8,21.9,18.2,10.9,3.6,-0.1
1906,1.3,-3.1,-0.9,10.8,16.2,20.8,22.2,23.4,20.2,10.9,4.5,-0.4
1907,-0.4,-3.7,7.2,5.3,12.5,18.4,22.4,20.4,18.4,8.9,3.3,0.1
1908,-2.4,-2.8,5.8,10.1,16.9,20.5,23.2,21.4,19.6,11.7,4.8,0.1
1909,-0.6,1.1,2.4,9.1,14.8,21.1,21.4,21.9,17.1,8.7,8.9,-4.2
1910,-3.1,-4.0,8.3,10.4,13.2,18.7,23.2,21.6,18.8,13.1,1.6,-4.3
1911,-0.3,1.0,2.5,8.3,18.9,21.4,23.2,22.2,19.6,11.2,2.5,1.8
1912,-8.6,-5.9,-0.1,10.7,16.8,19.1,22.9,20.3,19.3,11.9,5.0,0.4
1913,1.4,-3.4,4.0,9.6,15.5,20.7,23.5,22.7,17.5,11.6,6.3,0.7
1914,-0.1,-6.1,1.4,9.4,16.4,21.5,23.2,22.2,17.1,13.2,4.8,-3.5
1915,-4.1,1.2,-0.2,12.0,14.0,18.9,21.7,19.3,19.0,12.2,6.1,-1.7
1916,1.0,-3.7,0.7,8.9,16.3,17.8,24.6,23.0,17.1,10.9,5.1,-2.5
1917,-3.1,-4.2,3.4,8.7,11.9,19.1,22.1,21.3,16.1,7.5,2.9,-6.7
1918,-10.6,-1.2,5.9,8.7,18.7,20.0,21.5,24.4,14.1,12.9,4.9,3.3
1919,-0.4,-0.4,4.3,9.3,14.4,23.1,23.7,20.9,18.7,14.6,4.4,-4.2
1920,-6.3,-3.2,4.7,7.1,14.2,20.1,21.0,20.7,18.6,13.9,3.8,0.2
1921,-0.3,0.5,8.7,12.1,16.3,22.6,25.1,20.8,20.7,11.2,5.2,0.2
1922,-4.1,0.3,4.8,10.8,17.4,21.2,22.3,20.8,19.4,12.4,5.8,-0.4
1923,-0.7,-3.8,2.4,8.5,14.3,21.3,22.3,20.9,18.1,9.8,4.3,4.1
1924,-4.7,-2.7,1.4,9.2,12.2,19.7,20.9,21.6,15.4,12.4,4.4,-2.7
1925,-3.7,1.7,4.6,11.7,12.7,22.4,21.8,21.5,20.6,7.1,3.1,-2.5
1926,-3.7,-0.9,-0.2,6.1,15.4,18.4,22.3,22.9,18.8,11.3,3.7,-2.1
1927,-3.1,2.0,5.1,9.3,15.2,17.6,22.1,18.4,19.4,13.2,7.2,-0.9
1928,-2.6,-1.2,2.6,7.3,14.6,17.9,22.8,22.8,15.8,13.3,5.3,0.7
1929,-4.3,-4.6,6.8,11.2,14.4,19.2,22.3,19.4,18.1,10.3,3.2,-0.8
1930,-3.2,2.9,2.7,10.6,16.7,20.6,23.8,21.6,19.2,9.8,4.9,-1.4
1931,-1.1,1.0,1.4,9.3,14.6,21.1,24.7,21.9,20.7,13.2,9.2,3.5
1932,3.4,2.6,0.1,8.6,15.9,21.2,22.8,21.9,18.3,11.7,3.2,-0.7
