year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,0.1,-1.4,9.4,17.1,20.9,25.0,26.2,26.7,24.7,13.3,7.1,3.1
1896,3.3,5.4,7.4,18.2,23.0,25.7,28.3,28.7,22.6,14.9,7.4,5.8
1897,0.7,5.3,10.1,15.0,19.7,25.2,28.3,26.1,23.9,18.4,8.9,2.0
1898,3.9,6.4,9.2,14.3,20.4,25.3,26.8,26.1,23.2,14.8,6.8,0.6
1899,1.7,-2.2,8.1,14.8,21.8,24.9,26.4,29.2,22.4,18.1,11.0,2.9
1900,4.3,2.6,9.3,15.7,20.2,25.5,26.6,27.8,24.1,18.1,9.6,5.0
1901,4.2,2.8,9.2,14.1,19.8,26.6,30.1,27.6,23.0,18.0,9.9,2.4
1902,2.0,1.9,9.9,15.8,21.6,25.0,26.5,28.4,19.8,16.6,11.1,2.1
1903,3.1,1.5,9.1,15.2,18.7,21.3,27.3,26.7,21.7,15.8,7.8,3.7
1904,1.8,6.3,12.6,14.2,19.6,23.7,26.4,26.0,23.7,16.9,10.0,3.3
1905,-1.8,-2.4,12.6,14.3,20.4,25.8,25.2,26.8,23.8,14.8,10.2,2.4
1906,4.0,4.7,5.1,16.3,20.3,23.9,24.7,25.2,23.1,14.0,7.9,6.6
1907,5.7,6.1,15.0,12.5,16.6,23.9,26.9,27.7,23.7,15.9,7.9,4.9
1908,4.5,6.0,12.7,15.4,19.9,24.1,25.4,26.4,22.5,14.7,9.4,5.5
1909,3.7,6.4,9.1,14.9,19.4,24.8,28.6,28.4,23.4,16.3,12.7,-0.6
1910,3.9,2.2,15.0,15.8,18.6,24.8,28.2,27.0,25.3,17.1,10.0,3.6
1911,5.7,6.7,12.2,15.3,21.7,28.8,27.1,26.3,26.3,16.3,7.0,2.7
1912,-1.8,2.9,4.7,15.0,21.4,23.1,28.3,26.6,21.9,17.1,9.3,3.5
1913,2.9,1.0,7.3,15.8,21.2,24.6,28.6,29.4,21.2,14.1,12.5,3.4
1914,6.4,2.8,9.2,14.8,19.4,27.4,29.1,26.4,23.9,16.2,11.2,-0.3
1915,2.3,6.6,3.6,16.6,18.8,23.4,25.8,23.3,23.1,16.5,11.5,5.3
1916,1.6,4.4,12.1,13.2,20.9,24.0,28.2,28.3,22.4,16.6,9.3,2.7
1917,3.5,4.0,9.9,14.3,16.8,24.7,28.2,25.3,22.4,13.4,10.2,0.1
1918,-3.6,6.1,12.5,13.1,21.7,27.4,27.7,29.3,19.8,17.8,8.2,4.8
1919,2.3,4.4,9.9,15.1,18.8,23.6,27.4,27.6,23.6,16.1,7.6,1.8
1920,1.9,5.8,9.9,13.6,20.4,24.1,26.9,24.3,23.2,17.2,7.3,4.6
1921,6.1,6.8,13.1,14.6,20.8,24.5,27.1,27.9,25.8,17.3,10.6,5.7
1922,1.5,6.2,9.1,15.4,20.5,25.2,27.4,28.3,24.4,16.9,10.0,5.8
