year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-6.3,-8.3,-0.4,8.3,14.9,20.7,19.3,20.7,18.2,6.8,4.2,-0.4
1896,-4.1,-3.0,-2.3,10.6,17.5,18.4,21.4,20.4,15.8,7.9,6.3,-2.1
1897,-4.9,-2.3,2.7,8.2,13.3,17.3,22.1,18.8,16.4,11.0,4.0,-0.5
1898,-2.1,-2.9,5.6,6.4,14.7,19.9,22.8,21.3,17.8,10.9,3.0,-2.6
1899,-4.6,-6.7,1.1,9.2,15.2,20.2,21.4,20.8,15.5,11.4,4.0,-1.6
1900,-2.8,-4.4,-1.5,8.2,14.8,19.8,22.2,22.8,18.9,13.6,4.9,-1.7
1901,-3.1,-7.3,1.7,7.2,14.0,19.6,23.7,21.2,16.5,10.0,1.1,-2.9
1902,-4.8,-6.1,3.8,7.8,14.7,17.8,21.4,18.9,15.9,10.8,7.2,-3.3
1903,-4.3,-2.2,6.9,8.1,15.6,16.6,20.8,18.7,16.4,10.8,1.3,-5.0
1904,-8.2,-7.1,1.1,5.9,15.4,19.1,20.6,19.0,16.5,9.2,2.3,-4.8
1905,-6.2,-7.7,2.7,7.8,15.0,19.1,21.5,19.8,16.6,10.4,2.4,-0.6
1906,0.2,-3.7,-1.6,8.7,14.6,19.8,21.0,21.9,18.3,10.0,3.9,-2.2
1907,-2.8,-6.6,4.2,5.2,11.6,16.6,20.9,18.8,17.0,7.7,2.8,-0.9
1908,-3.6,-5.5,3.6,8.6,15.2,19.3,22.1,19.6,17.5,11.1,3.6,-1.5
1909,-2.2,0.5,0.6,7.9,14.1,19.4,19.9,19.7,15.8,7.8,6.4,-4.2
1910,-4.2,-4.6,5.9,10.2,12.9,17.5,21.7,19.9,17.4,11.7,1.4,-5.7
1911,-1.7,-2.0,0.4,6.9,17.6,19.3,22.4,20.8,17.1,10.1,2.0,1.1
1912,-8.9,-6.1,-0.3,9.1,15.3,17.6,21.0,18.5,17.7,11.1,4.7,0.0
1913,1.1,-3.9,4.4,9.3,13.8,19.0,21.1,20.3,15.7,11.5,5.2,-0.1
1914,-2.8,-7.4,-0.2,7.2,15.3,19.2,20.8,20.6,15.1,12.3,3.3,-3.9
1915,-3.7,-0.8,-0.9,10.9,12.5,17.7,20.6,19.0,17.9,11.0,4.1,-2.7
1916,-0.3,-5.1,-2.1,7.8,15.2,16.6,22.7,21.2,15.8,10.1,3.8,-2.5
1917,-3.8,-5.0,1.9,8.0,10.7,18.3,21.2,20.6,14.2,7.2,1.7,-7.1
1918,-10.3,-3.5,4.1,7.8,17.6,17.9,20.3,22.2,13.8,11.9,4.2,1.3
1919,-1.5,-1.3,3.7,8.0,14.3,21.2,21.7,19.1,16.8,12.8,3.8,-5.1
1920,-7.8,-5.0,2.6,6.5,12.8,18.5,19.7,20.3,16.7,12.9,3.1,-0.7
1921,-2.2,-1.1,7.4,11.9,14.3,20.0,23.4,18.8,19.2,10.1,4.1,-1.7
1922,-5.7,-1.1,2.8,8.7,15.8,19.8,21.1,19.3,17.8,11.2,4.6,-1.7
