year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-3.4,-5.8,0.7,7.0,14.3,19.3,19.2,20.4,17.7,8.1,6.3,1.1
1896,-4.9,-2.3,-0.8,8.6,15.4,17.4,21.3,20.6,15.8,8.9,6.9,-2.3
1897,-3.4,-2.4,1.8,7.8,13.3,16.1,21.1,19.3,15.7,10.9,4.1,-0.2
1898,-2.8,-1.1,4.9,5.8,12.6,18.1,21.1,21.3,17.9,11.3,4.3,-1.3
1899,-2.8,-4.8,0.5,7.4,13.2,19.6,20.8,19.8,15.6,11.4,4.1,0.4
1900,-2.4,-2.9,-0.2,7.7,12.3,18.4,21.8,21.0,17.7,12.8,5.7,-0.9
1901,-3.6,-6.1,1.3,6.6,12.1,18.4,22.1,20.6,17.2,10.7,1.6,-1.3
1902,-4.1,-3.3,4.8,7.8,12.8,16.9,19.0,18.8,16.2,10.8,6.7,-2.9
1903,-2.9,-1.7,5.9,7.6,14.2,14.8,20.6,17.2,16.2,10.9,2.8,-3.8
1904,-6.9,-6.5,0.4,6.1,14.9,16.7,20.4,18.8,15.7,8.9,1.7,-5.0
1905,-5.0,-6.4,1.3,7.1,13.0,17.1,21.4,18.8,15.6,10.8,3.7,0.3
1906,0.2,-2.3,-0.9,7.4,13.5,17.9,20.2,21.2,17.2,10.8,4.1,-2.7
1907,-3.6,-7.2,2.2,5.0,10.1,16.2,20.9,19.2,16.8,8.2,4.6,0.8
1908,-2.1,-4.4,2.3,7.1,14.1,18.8,21.8,19.2,16.9,12.2,4.4,-0.8
1909,-1.9,-0.7,0.9,6.8,12.4,18.4,19.8,19.2,15.8,9.7,6.3,-2.7
1910,-1.8,-2.9,4.1,9.8,12.7,17.1,21.8,18.9,16.0,11.4,3.1,-4.4
1911,-1.4,-4.1,0.1,5.7,15.2,17.5,22.3,19.4,15.7,9.8,3.8,2.1
1912,-7.4,-4.4,0.6,7.1,13.3,17.7,20.9,18.6,15.9,11.8,5.3,1.6
1913,2.1,-3.7,4.1,7.8,12.0,17.4,21.2,19.7,15.0,12.6,6.2,1.4
1914,-3.1,-5.6,0.8,6.1,14.3,17.6,18.8,19.9,16.2,12.3,4.1,-2.3
1915,-1.4,-0.7,0.4,8.9,12.0,16.8,20.0,19.0,17.8,11.0,5.0,-1.3
1916,-0.6,-4.7,-2.3,6.3,13.3,16.1,21.1,20.7,16.7,11.4,4.3,-1.3
1917,-2.4,-4.6,1.4,5.8,9.3,17.8,21.7,21.5,14.2,9.2,2.2,-5.5
1918,-7.6,-4.2,1.7,7.4,15.4,16.5,20.7,20.7,14.9,11.8,5.0,-0.4
1919,-1.2,-1.8,3.1,6.7,13.4,18.4,21.6,18.6,16.4,11.9,4.6,-3.7
1920,-7.3,-4.4,2.1,6.0,11.5,16.9,20.2,20.9,17.1,13.3,3.5,0.2
1921,-2.0,-1.4,5.9,10.1,13.1,18.3,21.8,18.7,18.4,11.0,3.9,-1.9
1922,-4.5,-2.1,2.7,7.7,14.6,18.9,20.2,19.4,16.8,11.1,4.3,-2.3
1923,-4.9,-6.7,-0.7,7.3,12.4,18.8,19.3,18.5,16.8,10.6,4.7,2.6
1924,-1.9,-4.9,1.1,6.8,11.6,16.8,20.7,19.9,14.9,10.3,4.8,-2.2
1925,-4.3,1.4,3.8,8.1,12.1,19.8,20.2,19.8,16.6,7.6,4.3,-0.7
1926,-2.5,-4.1,-0.4,5.4,12.0,15.7,20.1,20.1,15.3,9.8,5.1,-3.9
1927,-3.1,-0.8,3.5,6.8,11.8,16.3,20.6,18.2,16.6,12.6,7.4,0.5
1928,-1.4,-2.8,1.1,6.1,12.0,16.7,21.3,21.7,15.1,11.4,5.1,1.2
