year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-13.9,-11.1,-1.7,10.9,13.0,16.7,21.0,20.6,16.3,6.3,-2.7,-5.9
1896,-8.4,-4.4,-5.7,7.1,14.9,19.2,21.2,20.7,13.0,6.1,-9.8,-3.9
1897,-11.6,-9.4,-6.1,6.6,14.1,18.1,22.3,19.0,19.8,9.4,-3.3,-8.4
1898,-6.3,-4.9,-2.3,6.9,11.9,18.9,21.8,21.3,15.8,5.4,-3.4,-8.1
1899,-9.3,-15.0,-9.6,5.9,12.2,18.3,22.1,21.1,15.3,8.0,3.9,-7.8
1900,-4.6,-10.3,-1.8,9.8,16.2,20.6,21.7,23.2,15.0,10.8,-2.4,-3.7
1901,-6.6,-9.6,-0.3,8.4,15.6,18.2,25.3,21.8,14.0,10.2,0.9,-7.5
1902,-7.3,-8.2,0.1,6.1,14.7,16.3,21.4,19.8,13.4,8.9,0.3,-10.2
1903,-8.1,-11.8,-1.8,7.4,13.1,17.5,21.2,19.8,13.1,9.8,-1.4,-7.4
1904,-10.7,-12.2,-1.6,5.6,13.2,17.3,20.1,20.1,15.2,10.2,3.4,-6.4
1905,-12.7,-11.3,3.3,6.2,10.8,16.9,19.8,21.6,17.0,5.9,1.7,-5.3
1906,-6.6,-6.2,-6.1,9.4,12.8,17.1,20.8,20.4,17.0,8.3,-0.8,-6.3
1907,-14.4,-5.6,2.0,3.3,8.9,17.5,20.8,20.6,13.8,8.7,0.6,-4.0
1908,-5.0,-6.3,-0.4,8.7,11.9,17.0,21.7,19.2,18.7,7.6,1.2,-6.9
1909,-11.0,-7.3,-1.3,3.6,12.1,18.9,21.6,23.3,16.0,8.2,0.2,-13.3
1910,-9.9,-12.1,7.7,10.3,11.2,19.8,22.8,19.4,15.4,11.4,-1.3,-6.6
1911,-9.7,-7.2,3.5,6.6,14.9,22.4,21.3,19.0,15.8,6.3,-5.4,-7.1
1912,-15.5,-7.2,-6.0,8.5,13.7,17.9,21.5,19.7,12.4,8.7,2.4,-4.2
1913,-9.9,-9.9,-4.4,8.8,12.1,20.7,21.4,23.0,16.2,6.2,3.3,-3.8
1914,-4.7,-12.2,-0.8,7.1,13.8,19.4,24.0,20.4,16.8,10.7,2.8,-11.3
1915,-10.6,-5.8,-6.2,11.2,10.8,15.6,18.4,18.1,14.3,9.8,1.4,-5.4
1916,-16.5,-8.4,0.2,6.0,12.1,15.9,24.9,20.4,14.8,6.8,-0.2,-12.3
1917,-11.1,-12.6,-3.6,4.5,10.7,16.8,23.4,19.6,15.2,4.3,4.4,-11.8
1918,-14.4,-7.7,4.2,5.2,13.8,19.9,21.0,21.2,13.0,9.9,0.1,-4.5
1919,-3.6,-9.2,-2.0,6.6,13.1,20.2,23.6,21.3,17.1,3.8,-4.9,-9.7
1920,-8.7,-5.8,-1.4,2.1,12.7,18.0,21.6,20.3,16.4,10.7,-1.4,-6.1
1921,-4.4,-2.3,2.0,7.8,13.3,22.2,23.7,21.4,15.7,10.1,-2.9,-5.6
1922,-11.2,-13.5,-0.6,7.2,14.0,19.8,20.5,22.8,17.9,9.8,0.9,-9.3
1923,-6.0,-9.7,-3.1,6.3,13.2,19.1,23.4,19.2,16.3,7.2,3.4,-3.3
1924,-12.8,-4.4,-3.3,6.7,10.0,16.6,20.4,20.4,14.4,11.8,0.7,-12.4
1925,-10.7,-3.9,2.0,10.7,13.2,18.1,21.6,22.2,17.6,2.0,0.2,-6.4
1926,-7.6,-2.4,-0.8,7.4,16.3,18.1,22.8,21.1,13.9,8.9,-2.7,-8.1
1927,-8.0,-4.4,0.8,6.3,11.1,17.5,20.3,18.9,16.0,10.5,-2.6,-15.3
1928,-7.1,-4.3,1.6,4.3,15.4,15.8,21.8,21.1,14.4,8.3,0.6,-3.6
1929,-15.9,-13.0,1.4,7.1,11.8,17.7,23.4,22.6,13.1,9.1,-2.4,-7.2
1930,-15.4,-0.3,-0.8,9.8,11.9,18.4,24.9,22.6,15.7,6.8,0.7,-4.1
1931,-2.9,0.0,-0.9,8.2,12.6,22.9,24.5,21.8,19.3,10.3,0.4,-5.0
1932,-10.7,-6.4,-4.8,8.9,14.7,19.9,23.4,22.0,15.6,6.2,0.2,-9.2
1933,-4.6,-9.1,0.4,6.8,12.4,24.2,24.9,20.7,18.4,8.7,1.6,-6.6
1934,-4.2,-3.6,-0.4,8.3,20.0,20.8,24.9,21.7,13.1,11.1,2.8,-6.8
1935,-9.1,-1.2,1.5,4.5,10.1,17.3,25.8,21.9,16.7,7.8,-2.9,-6.6
1936,-15.5,-20.7,0.0,4.8,16.8,21.6,28.5,24.0,17.9,7.7,-0.8,-6.3
1937,-18.3,-9.7,-1.7,5.9,15.0,18.1,24.1,25.1,17.2,8.5,-1.4,-7.7
1938,-8.1,-8.2,2.5,7.9,12.4,19.8,23.3,23.8,17.9,12.4,-1.7,-4.7
1939,-4.4,-12.4,0.3,7.3,17.4,18.6,24.8,21.6,17.9,8.5,2.9,-1.2
1940,-14.7,-7.0,-1.9,5.6,13.7,19.5,24.9,21.2,18.9,12.1,-3.0,-3.9
1941,-8.0,-6.9,-1.3,8.5,16.6,18.8,23.5,22.6,15.8,8.4,1.6,-3.0
1942,-5.8,-6.8,0.3,9.8,11.0,17.4,21.7,21.2,13.6,9.1,0.6,-7.2
1943,-13.5,-3.9,-4.2,9.5,11.7,18.3,23.4,22.6,15.0,9.9,-0.3,-4.1
1944,-4.0,-8.4,-5.4,5.2,15.8,17.9,21.2,20.8,15.3,10.0,-0.3,-6.6
1945,-6.8,-5.9,2.7,5.5,10.9,14.8,21.8,21.4,14.7,9.4,-0.8,-9.9
1946,-6.3,-4.8,4.9,11.0,11.2,18.9,23.1,19.8,15.1,6.5,-0.9,-5.3
1947,-5.2,-9.1,-2.9,5.6,11.6,16.6,22.6,24.5,16.4,12.6,-3.6,-6.2
1948,-9.3,-9.3,-3.1,9.5,13.6,17.7,22.3,21.8,18.8,8.9,-0.1,-7.6
1949,-14.4,-11.1,-1.7,9.1,15.2,19.6,23.7,23.0,14.2,8.2,4.9,-8.1
1950,-16.6,-7.4,-4.9,2.8,11.1,18.6,19.9,19.3,15.2,10.6,-2.0,-7.1
1951,-10.2,-4.7,-6.9,4.9,13.7,15.2,21.1,19.8,12.8,7.3,-2.2,-11.7
1952,-11.3,-5.0,-5.6,8.7,13.6,20.8,22.3,21.2,18.0,7.6,-0.2,-5.2
1953,-5.8,-5.5,0.0,3.7,11.9,19.6,21.8,21.8,16.2,12.1,2.8,-4.7
1954,-11.3,2.4,-3.2,7.4,11.4,18.1,24.3,21.4,15.9,7.4,3.8,-3.9
1955,-7.3,-10.0,-2.3,10.9,16.0,17.4,24.7,23.9,16.3,10.0,-5.7,-11.2
1956,-10.4,-9.5,-1.5,3.8,13.8,22.4,21.4,20.6,15.5,11.5,-0.2,-3.7
1957,-13.6,-5.4,-0.9,5.5,12.3,17.4,23.9,21.4,14.2,8.1,0.2,-1.7
1958,-4.3,-8.4,-2.3,6.8,15.7,16.6,19.8,22.7,17.1,9.9,0.6,-7.4
1959,-10.8,-10.1,1.7,6.7,12.8,21.2,22.7,23.7,14.9,5.9,-4.2,-1.9
1960,-9.2,-9.8,-6.4,7.3,13.2,17.8,23.5,21.8,16.4,9.6,0.7,-7.2
1961,-7.7,-3.7,2.4,4.8,12.2,20.4,21.9,23.3,13.4,9.3,-0.1,-8.9
1962,-10.1,-8.2,-4.4,7.8,14.5,18.1,20.3,21.1,14.5,10.4,2.9,-4.8
1963,-13.6,-4.8,3.3,7.6,13.6,20.6,23.2,22.0,17.7,14.0,2.3,-9.4
1964,-5.4,-3.8,-3.3,7.8,15.1,18.9,24.2,19.9,14.7,9.2,-1.0,-10.6
1965,-10.2,-7.7,-7.1,7.1,13.7,18.3,22.1,20.8,9.8,10.9,0.6,-2.6
1966,-14.2,-9.7,1.7,4.2,13.0,19.3,25.1,19.3,15.4,8.7,-1.6,-5.9
1967,-6.5,-7.6,1.2,7.0,10.7,17.2,21.3,20.8,16.1,8.7,0.0,-7.3
1968,-9.1,-6.6,3.6,6.7,10.9,18.7,21.6,20.4,15.2,9.4,0.3,-10.1
1969,-13.8,-7.1,-5.5,9.3,14.8,15.8,21.9,23.3,17.5,5.3,1.6,-5.7
1970,-12.8,-4.6,-3.7,5.1,14.2,20.2,23.3,22.7,15.9,7.2,-1.0,-8.9
1971,-12.4,-7.9,-1.0,8.1,12.3,20.4,20.4,22.8,15.0,8.7,0.3,-8.6
1972,-12.2,-9.0,0.0,6.2,14.1,19.0,20.4,21.3,15.4,6.9,-1.3,-10.4
1973,-7.2,-4.3,3.2,6.4,12.9,19.3,22.4,23.7,14.2,10.7,-0.8,-7.3
1974,-9.0,-3.8,1.0,8.0,12.4,18.9,25.2,19.5,14.0,10.3,0.9,-4.4
1975,-7.3,-9.6,-3.8,4.1,13.7,18.3,24.4,21.6,14.3,9.7,0.0,-5.3
1976,-8.6,-0.8,-0.2,9.3,13.6,20.2,23.8,23.3,16.8,6.4,-2.6,-6.8
1977,-14.2,-2.2,1.4,10.4,17.4,20.7,23.5,19.0,15.9,8.6,-1.1,-9.0
1978,-16.3,-12.6,-1.0,6.6,13.8,18.9,21.8,21.3,18.6,9.2,-2.4,-10.1
1979,-16.6,-13.2,-1.4,5.6,11.7,18.8,21.8,20.3,18.0,9.0,-1.3,-2.1
1980,-8.9,-6.6,-1.7,9.3,15.2,20.2,24.1,21.1,16.3,8.1,2.8,-4.9
1981,-3.9,-3.6,3.2,10.9,13.0,18.9,22.8,21.2,16.6,8.3,3.2,-7.1
1982,-15.5,-7.3,-1.0,5.6,13.5,16.4,22.7,21.6,15.2,8.1,-1.8,-4.1
1983,-3.8,-1.1,0.3,4.4,11.3,18.0,24.0,25.1,16.0,8.8,0.2,-16.7
1984,-6.8,-0.9,-1.8,6.4,12.5,18.7,22.5,23.2,13.3,8.2,0.9,-9.2
1985,-10.3,-7.8,1.5,10.1,16.4,17.0,23.2,19.6,13.8,8.1,-8.1,-10.7
1986,-4.9,-8.3,3.9,7.0,13.6,20.4,22.5,19.8,13.6,9.0,-2.0,-2.8
1987,-3.4,-0.2,0.0,10.8,16.4,20.8,23.8,19.8,15.9,7.1,2.9,-3.6
1988,-10.4,-7.4,1.3,8.0,16.2,24.1,23.9,22.7,15.4,8.1,0.7,-4.4
1989,-4.8,-12.0,-2.6,7.8,13.7,18.3,24.3,22.3,15.7,9.3,0.2,-10.5
1990,-1.9,-3.8,2.2,7.2,12.3,19.7,21.7,22.1,18.3,8.5,2.6,-9.4
1991,-9.9,-0.6,2.1,8.6,14.5,20.7,22.4,22.7,16.0,7.5,-2.9,-2.6
1992,-2.6,-0.4,3.5,6.8,15.0,17.6,17.9,18.3,15.4,8.7,-1.4,-8.2
1993,-10.6,-10.2,0.3,6.2,13.4,16.4,19.3,20.0,12.8,7.8,-2.1,-4.7
1994,-12.3,-11.0,2.3,7.3,15.7,19.7,20.4,20.6,16.9,9.7,1.1,-4.8
1995,-7.1,-3.3,-0.5,3.9,11.4,18.7,22.0,23.2,15.3,8.0,-1.2,-5.6
1996,-12.1,-4.9,-4.3,5.8,11.2,19.7,20.9,21.8,14.9,8.3,-5.6,-11.4
1997,-11.9,-5.1,-0.1,4.2,11.7,20.0,21.9,20.8,17.3,9.8,-1.1,-2.2
1998,-7.1,0.4,-3.1,8.3,15.2,16.5,23.0,22.3,19.4,9.1,2.2,-3.6
1999,-8.0,0.5,2.7,7.1,13.3,18.4,22.9,21.7,13.9,8.8,5.8,-1.6
2000,-6.1,-1.1,4.1,7.2,14.5,18.0,22.8,22.9,16.8,10.1,-4.2,-11.9
2001,-5.2,-10.9,-1.2,7.8,14.3,18.9,23.7,23.0,16.7,8.6,4.9,-4.1
2002,-4.4,-1.3,-5.4,6.9,11.3,21.3,25.2,21.3,17.1,4.2,1.4,-2.6
2003,-6.8,-7.3,0.1,8.8,12.8,17.7,23.6,23.8,15.6,11.0,-2.4,-3.0
2004,-8.8,-5.1,3.6,8.8,13.1,16.7,21.6,18.9,17.3,9.3,2.6,-2.7
