year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-9.4,-11.3,-5.4,4.2,13.1,18.3,17.2,16.7,13.7,4.1,0.9,-4.9
1896,-10.3,-8.7,-6.2,5.5,13.3,15.6,19.3,17.6,12.6,5.5,2.0,-8.0
1897,-8.9,-8.0,-3.2,4.9,11.3,14.3,20.6,16.4,12.3,7.4,-0.7,-5.9
1898,-10.3,-6.0,0.5,3.5,11.1,16.4,19.4,18.4,14.6,7.9,-0.6,-6.5
1899,-9.5,-9.7,-4.7,4.3,11.2,17.1,18.6,17.7,12.3,8.3,-0.4,-4.2
1900,-8.7,-8.9,-6.8,4.2,9.7,16.8,18.8,18.2,14.3,10.1,0.9,-7.9
1901,-9.8,-12.2,-4.0,5.9,11.4,17.2,19.9,18.3,13.7,7.3,-2.9,-6.3
1902,-10.2,-8.7,0.7,5.4,9.9,14.0,17.3,15.7,13.7,6.3,2.4,-8.9
1903,-9.0,-7.3,2.1,4.4,12.4,14.0,17.7,14.0,13.8,7.2,-1.8,-9.4
1904,-13.7,-12.6,-4.3,3.1,13.6,15.9,18.2,16.1,11.6,5.1,-3.4,-11.8
1905,-11.4,-12.4,-3.9,3.7,10.8,15.1,18.9,16.2,12.8,6.9,-1.3,-5.6
1906,-5.2,-8.8,-6.5,3.8,10.4,16.2,18.4,18.8,14.2,7.4,-0.9,-9.7
1907,-10.8,-13.2,-2.9,1.9,7.8,15.7,18.4,15.8,13.4,4.4,-0.5,-4.7
1908,-8.7,-11.1,-3.1,2.7,12.8,16.4,20.2,16.6,15.2,8.6,0.4,-7.7
1909,-8.2,-7.7,-4.3,3.3,10.1,16.3,17.2,16.6,12.9,6.2,1.7,-7.4
1910,-7.9,-9.8,0.4,7.2,10.6,14.8,19.1,16.6,12.7,7.6,-0.8,-10.7
1911,-8.6,-10.6,-5.6,2.4,14.9,15.1,20.3,17.7,12.2,6.2,-1.1,-2.6
1912,-14.3,-10.6,-6.1,3.7,11.3,14.4,18.6,15.2,12.7,8.2,1.0,-3.4
1913,-3.9,-9.9,-0.6,5.8,9.9,15.3,18.6,16.9,12.3,9.9,2.1,-4.7
1914,-10.7,-13.3,-3.2,2.0,12.0,14.7,17.7,17.3,12.7,8.9,-1.2,-8.0
1915,-7.6,-5.8,-4.7,7.4,9.0,15.2,18.1,16.8,15.2,8.1,1.1,-6.1
1916,-7.3,-10.1,-7.4,4.3,10.8,14.3,20.4,18.7,13.3,7.4,-1.0,-7.6
1917,-9.7,-11.7,-3.5,2.8,6.8,15.7,19.6,18.7,11.8,5.4,-2.8,-13.4
1918,-14.9,-11.0,-3.5,4.6,14.0,14.1,19.1,17.9,11.2,7.9,0.9,-5.2
1919,-6.9,-7.3,-1.5,3.7,11.3,18.1,19.3,16.3,13.3,7.4,-0.1,-9.8
1920,-14.7,-9.6,-2.4,2.7,10.1,16.0,17.6,19.1,14.3,10.3,-1.1,-5.1
1921,-7.8,-6.9,1.7,8.0,12.3,16.1,21.8,16.8,14.9,7.3,-1.2,-8.4
1922,-11.7,-8.1,-2.1,4.2,12.1,17.0,18.7,17.5,14.4,7.2,0.6,-7.6
1923,-11.9,-13.1,-6.2,3.2,9.7,16.3,17.2,16.2,14.2,7.3,0.7,-2.1
1924,-8.2,-12.2,-2.4,3.1,8.9,14.9,18.3,17.2,12.1,7.4,0.9,-8.4
1925,-12.2,-4.6,-0.2,4.7,8.8,17.2,17.4,17.3,13.1,3.1,0.0,-6.5
1926,-8.6,-10.6,-7.0,0.7,9.4,13.7,17.8,17.2,12.6,5.9,0.3,-9.9
