year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-3.2,1.5,3.2,7.6,10.2,14.3,16.7,16.8,10.6,8.7,1.9,-0.6
1896,-1.0,2.5,2.4,5.5,9.1,14.3,19.2,17.2,12.3,8.2,-1.4,1.1
1897,-2.2,0.3,-0.2,8.5,13.3,13.9,15.7,19.0,12.6,7.9,1.3,-1.3
1898,-3.1,2.7,2.1,7.5,11.2,14.3,17.4,19.1,14.1,7.4,1.2,-2.9
1899,-1.6,-2.1,2.3,6.2,8.7,12.8,17.9,14.6,14.4,7.2,6.1,0.8
1900,1.1,-0.1,6.1,8.5,11.5,15.6,17.6,15.4,12.8,7.5,1.4,2.6
1901,-1.8,-0.2,3.8,5.8,11.3,11.7,16.1,18.7,11.6,10.9,4.0,0.3
1902,-2.2,1.8,3.1,6.4,11.0,13.2,15.9,16.7,12.6,9.4,2.1,-1.4
1903,-0.6,-2.1,2.1,5.7,10.4,15.8,15.8,16.8,12.1,8.6,2.0,-0.4
1904,-0.6,-0.8,1.1,8.5,10.4,13.8,17.8,17.8,14.2,9.2,5.4,0.6
1905,-1.2,-0.6,6.0,8.2,10.4,13.8,18.2,17.0,13.9,5.4,2.2,-0.7
1906,-0.7,1.7,2.6,9.3,10.9,12.7,20.8,17.5,13.7,9.0,1.9,-0.1
1907,-7.1,0.4,2.5,6.3,11.9,13.5,17.7,15.2,13.1,10.4,3.9,0.4
1908,-1.0,0.0,3.2,7.6,9.4,13.7,18.7,17.1,13.5,7.8,4.3,-1.8
1909,-6.6,1.1,3.9,6.0,9.7,14.2,15.9,16.2,14.4,8.2,2.8,-4.0
1910,-3.1,-2.7,6.1,8.7,12.5,13.4,17.8,15.4,13.1,9.0,2.6,0.7
1911,-2.9,-1.6,4.4,6.2,9.5,14.0,18.3,16.5,11.9,7.7,1.2,-0.7
1912,-2.6,1.8,2.4,7.0,11.7,15.2,17.0,15.8,12.3,6.4,3.2,-0.1
1913,-4.2,-3.0,1.6,7.2,10.6,14.4,17.2,17.9,13.2,6.8,3.3,-0.6
1914,0.9,0.1,4.9,8.3,12.3,13.4,18.3,17.8,12.1,9.3,3.5,-4.1
1915,-2.9,2.3,6.2,9.5,11.0,14.0,17.3,19.7,13.1,9.0,1.1,-0.9
1916,-8.7,-0.5,3.3,7.2,8.9,13.4,15.6,17.3,13.3,7.2,-0.1,-3.8
1917,-3.3,-1.1,0.2,5.2,9.9,12.7,17.9,18.3,14.1,9.1,4.9,1.8
1918,0.6,-0.7,3.6,7.6,9.6,16.2,17.9,16.3,16.0,9.4,2.6,-0.3
1919,-0.8,-0.1,3.4,7.7,10.4,12.8,17.8,17.5,13.3,6.2,1.6,-4.6
1920,-2.1,0.7,3.3,5.4,9.0,13.1,18.7,17.9,12.9,7.4,2.8,0.5
1921,-1.1,0.9,3.8,6.0,10.9,14.8,16.7,17.3,11.2,9.1,2.3,-2.2
1922,-5.9,-3.2,1.3,5.6,10.2,16.6,18.5,17.7,14.6,9.3,1.1,-4.2
1923,-0.4,-3.0,3.1,7.7,10.7,13.9,18.4,18.3,14.7,8.8,3.7,-0.3
1924,-3.4,3.7,3.4,6.9,13.4,14.7,17.9,16.9,13.8,8.3,1.4,-4.1
1925,-0.6,3.2,4.3,8.7,12.6,14.9,19.2,16.9,13.7,7.7,2.1,2.2
1926,-0.6,3.4,6.3,10.3,11.0,15.9,19.1,17.2,11.2,9.0,4.0,-1.2
1927,-2.7,0.9,3.0,6.2,9.2,15.0,18.0,17.7,12.6,8.4,3.2,-3.9
1928,-1.7,0.8,4.8,6.2,13.1,14.3,18.8,16.8,13.7,8.2,2.8,-1.6
1929,-6.8,-5.1,4.1,5.5,10.9,13.8,17.3,18.3,13.2,9.6,1.3,0.6
1930,-9.4,1.9,4.6,9.3,10.2,13.3,17.9,18.5,14.0,6.9,1.7,-1.1
