year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,11.5,8.9,19.2,24.3,27.0,31.3,32.0,32.1,31.7,23.4,18.4,13.9
1896,11.7,15.0,17.7,27.0,31.0,31.1,33.1,34.4,31.8,24.3,20.5,14.3
1897,11.2,16.1,21.1,23.8,27.9,34.4,33.8,31.9,31.5,27.2,19.5,14.4
1898,15.1,14.4,21.1,21.7,31.1,33.7,32.5,31.3,29.7,22.4,16.1,12.4
1899,12.4,10.8,19.9,22.6,31.4,33.5,33.3,33.3,30.2,25.6,19.9,13.1
1900,12.9,13.6,18.1,24.8,29.1,29.6,32.6,34.2,31.7,25.7,19.1,14.1
1901,14.2,12.2,18.6,21.1,28.9,32.8,35.1,32.0,28.7,24.6,17.1,12.0
1902,13.0,10.5,19.0,23.8,31.3,34.8,35.6,34.8,29.3,24.2,20.7,13.1
1903,11.9,15.3,20.2,23.3,27.2,29.5,33.3,33.2,30.4,25.0,16.9,11.6
1904,11.4,15.7,21.3,22.6,29.0,32.9,32.6,32.0,32.4,26.7,18.3,13.9
1905,9.9,9.7,22.0,24.3,29.7,33.0,32.8,32.1,31.2,23.6,20.0,11.4
1906,14.0,14.5,16.6,26.2,27.8,32.8,32.2,33.2,31.4,22.6,20.4,15.8
1907,18.3,15.9,25.2,21.1,26.2,31.2,33.8,33.6,30.4,24.9,17.1,13.1
1908,12.6,12.9,23.7,26.5,28.9,32.4,33.3,33.0,30.6,24.1,21.3,16.4
1909,16.1,17.3,19.9,24.2,27.4,31.7,33.1,33.8,30.7,26.2,23.8,11.2
1910,14.2,13.8,24.0,24.3,27.7,30.5,31.6,32.9,32.4,26.4,17.8,11.8
1911,16.3,18.6,21.7,23.8,30.3,34.4,31.7,32.1,33.6,26.9,17.0,15.6
1912,10.8,12.8,17.6,24.4,29.3,29.9,32.3,32.3,30.8,25.3,18.2,13.8
1913,16.9,14.6,19.2,23.9,29.2,32.8,33.7,34.1,28.9,23.3,21.2,14.0
1914,14.9,14.1,16.8,24.8,29.7,35.8,34.4,32.0,29.2,23.8,18.8,10.8
1915,11.8,14.9,14.5,26.1,30.1,32.7,33.4,32.3,31.4,25.6,21.3,14.4
1916,17.0,15.5,19.5,23.7,30.1,31.7,30.7,32.9,30.3,25.6,20.3,14.6
1917,15.6,16.1,20.4,25.3,26.5,32.7,32.7,31.9,29.1,23.0,17.9,10.5
1918,9.2,18.4,23.7,22.1,29.6,33.4,32.6,33.6,28.4,25.8,18.1,15.3
1919,13.5,14.7,20.6,24.6,26.6,31.6,32.3,32.0,31.2,29.3,20.6,14.9
1920,13.8,13.6,17.6,23.2,27.2,31.5,32.3,30.8,31.1,25.8,17.4,12.9
1921,16.2,16.7,24.4,23.6,27.9,34.0,33.8,33.2,34.0,24.8,21.2,17.0
1922,13.0,17.9,19.2,25.4,27.8,32.2,32.8,32.4,32.2,25.0,20.6,17.6
1923,17.1,14.3,19.3,23.8,26.6,30.8,31.9,31.4,30.9,24.4,17.6,17.1
1924,11.5,14.4,16.6,23.8,26.4,32.6,33.3,34.6,28.7,26.2,20.9,14.7
1925,14.0,17.9,21.6,27.1,28.1,34.1,34.2,34.1,36.0,24.3,17.3,13.2
1926,12.1,16.7,15.4,23.3,28.6,31.9,32.7,32.4,32.1,25.7,16.4,16.6
1927,15.3,20.4,19.7,26.6,29.3,31.3,33.6,32.1,32.7,27.5,21.9,13.9
1928,13.3,15.0,19.5,21.9,27.5,30.0,33.0,33.1,29.3,26.3,18.1,14.6
1929,15.5,13.6,21.4,25.6,27.8,31.4,33.0,33.9,29.4,23.6,17.0,13.4
1930,13.2,18.8,17.1,26.0,29.1,32.2,36.1,33.2,30.5,23.1,17.0,11.3
1931,12.9,16.4,15.9,23.3,27.1,34.3,33.6,31.7,33.4,27.2,22.8,17.6
