year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1925,-19.7,-14.8,-6.9,0.2,8.9,14.8,16.5,15.9,9.7,3.6,-6.3,-12.3
1926,-6.1,-11.7,-1.9,3.0,9.2,17.4,17.2,16.0,10.9,2.9,-4.1,-13.3
1927,-10.5,-9.4,-10.6,-4.1,7.6,15.4,17.7,14.5,7.0,-1.4,-12.5,-11.7
1928,-9.3,-6.2,-10.2,0.7,8.2,14.9,15.6,13.2,7.3,0.1,-4.4,-8.3
1929,-7.4,-7.2,-10.7,-1.0,8.0,15.4,15.9,14.2,11.2,0.6,-4.2,-12.2
1930,-8.3,-16.8,-8.7,-0.8,8.0,14.7,16.0,14.1,8.0,0.1,-9.9,-7.6
1931,-9.0,-8.1,-6.5,-0.3,6.1,14.3,15.6,14.3,8.1,-0.7,-5.3,-11.3
1932,-16.8,-15.4,-4.8,1.1,7.4,13.3,15.9,12.3,7.6,1.1,-11.3,-11.3
1933,-18.2,-11.9,-7.1,0.9,8.1,13.1,16.1,13.8,7.9,-1.8,-7.4,-18.2
1934,-20.4,-6.1,-6.0,1.0,7.6,14.7,15.2,13.8,10.0,1.7,-7.4,-8.6
1935,-13.3,-7.3,-6.2,0.3,6.5,14.7,16.2,13.5,8.6,0.4,-7.8,-14.5
1936,-11.4,-13.7,-8.1,1.3,8.1,17.8,16.6,15.8,9.2,1.8,-5.9,-14.0
1937,-4.5,-13.2,-7.9,-1.6,7.2,15.6,16.8,13.4,10.4,3.4,-4.8,-11.1
1938,-15.4,-13.8,-6.4,2.3,8.2,14.1,16.0,13.9,9.3,4.0,-4.9,-10.1
1939,-15.0,-10.0,-8.8,0.6,6.8,15.2,16.4,12.9,8.2,-1.1,-11.3,-9.2
1940,-8.3,-8.3,-6.0,5.8,10.6,16.1,17.5,15.4,9.3,1.1,-5.3,-9.7
1941,-14.2,-6.2,-6.0,1.9,8.1,16.1,14.9,16.0,9.8,-0.1,-8.7,-11.2
1942,-7.7,-5.1,-7.4,1.5,10.3,15.4,16.3,14.1,10.4,0.7,-10.5,-19.6
1943,-18.7,-8.0,-6.6,0.5,8.9,16.1,15.7,12.8,7.7,1.8,-3.8,-9.3
1944,-11.7,-6.1,-7.7,-0.3,7.6,15.0,16.6,13.1,7.8,1.2,-7.8,-9.2
1945,-6.3,-7.6,-8.4,-1.4,5.8,13.1,15.7,12.3,8.1,0.1,-12.9,-11.8
1946,-10.7,-11.7,-10.7,-1.7,7.4,15.2,17.2,12.9,7.7,1.8,-9.4,-17.2
1947,-18.9,-9.6,-6.7,-0.1,8.3,13.8,16.8,12.9,7.2,-0.6,-4.9,-9.0
1948,-11.4,-11.4,-7.8,-0.7,7.1,14.0,14.3,12.0,6.4,-0.9,-11.6,-15.8
1949,-11.8,-13.9,-2.7,-3.1,5.6,10.6,15.2,13.8,10.1,1.1,-4.2,-13.9
1950,-9.3,-16.9,-3.7,0.0,7.2,13.7,16.9,15.9,9.2,0.6,-8.4,-11.3
1951,-18.0,-11.6,-11.4,1.1,9.3,14.2,16.4,14.2,8.7,-0.4,-4.7,-12.0
1952,-15.6,-11.9,-7.7,-1.9,4.4,13.4,15.3,13.5,7.4,1.6,-2.7,-11.2
1953,-16.9,-10.3,-8.2,2.4,9.3,15.8,17.6,13.3,8.6,-0.8,-7.7,-11.4
1954,-15.3,-16.2,-4.8,-0.4,9.3,14.3,15.0,14.1,8.7,1.8,-4.8,-18.0
1955,-9.4,-14.6,-6.9,-3.1,6.3,11.6,16.2,12.4,7.7,-2.1,-13.0,-13.6
1956,-17.2,-14.9,-8.3,-0.3,7.3,13.1,16.2,13.1,7.8,-3.7,-12.3,-18.7
1957,-8.3,-11.6,-4.8,1.9,8.7,17.1,16.3,15.9,8.6,2.1,-4.4,-16.5
1958,-11.9,-9.7,-3.6,2.3,7.4,15.4,16.3,13.9,8.1,-2.6,-8.3,-11.5
1959,-15.5,-6.3,-12.6,-1.7,8.2,15.7,13.4,14.1,8.5,-0.2,-6.4,-14.9
1960,-11.6,-7.1,-7.8,-2.8,9.8,13.2,16.1,13.3,6.7,-0.4,-9.6,-6.1
1961,-8.9,-14.1,-10.7,-1.9,9.6,13.4,14.8,13.1,8.3,-2.5,-9.1,-18.8
1962,-11.6,-6.7,-6.8,-0.6,5.8,13.6,17.3,14.7,7.0,0.7,-7.6,-11.7
1963,-8.6,-9.2,-7.3,-1.1,8.9,12.0,15.3,13.4,10.1,-0.9,-13.5,-7.1
1964,-14.2,-12.1,-10.7,-2.8,4.1,14.6,15.9,13.7,9.1,0.6,-7.8,-18.7
1965,-14.7,-15.8,-1.4,0.3,4.8,12.2,14.9,12.7,9.6,-3.6,-6.1,-13.9
1966,-15.4,-11.0,-12.1,-1.2,5.1,14.8,15.6,13.3,9.4,-1.8,-7.4,-14.3
1967,-12.9,-11.3,-4.4,0.9,8.0,14.7,15.2,14.2,9.2,-0.6,-5.7,-10.9
1968,-12.5,-12.3,-4.6,-1.3,7.6,14.1,17.8,15.8,7.9,-1.3,-7.8,-15.4
1969,-17.2,-11.8,-5.6,1.9,9.8,16.2,14.8,11.4,10.7,3.3,-9.7,-6.2
1970,-17.4,-6.7,-4.2,-1.4,8.6,13.4,14.9,12.8,6.3,-3.6,-5.1,-13.4
1971,-20.0,-14.0,-11.9,-2.8,5.0,14.6,15.8,13.3,7.9,-1.2,-9.1,-11.4
1972,-16.4,-14.2,-12.8,-4.2,6.8,13.0,18.0,15.1,7.5,0.4,-7.1,-11.3
1973,-17.3,-9.8,-8.4,0.0,7.6,13.4,15.1,12.5,9.2,-1.3,-9.7,-10.6
1974,-15.3,-18.1,-7.8,0.4,9.6,13.6,16.1,15.5,11.3,-2.0,-9.7,-15.6
