year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,9.4,13.3,18.2,23.3,27.0,30.7,32.8,32.3,29.3,23.2,13.7,9.5
1896,13.7,14.5,18.1,20.9,26.9,34.4,32.1,31.5,28.0,21.9,15.5,13.3
1897,10.0,11.8,14.0,22.7,28.9,31.6,33.4,33.0,28.7,21.2,18.3,10.9
1898,7.7,16.0,15.6,24.6,25.6,33.0,34.0,32.7,30.8,24.7,17.1,8.5
1899,10.1,13.3,18.1,23.2,25.5,32.2,33.7,31.9,32.6,22.3,18.1,13.4
1900,14.9,15.6,20.8,18.1,27.7,33.7,35.1,32.3,27.8,23.3,17.9,13.6
1901,12.1,13.4,17.2,21.0,27.0,31.7,35.7,33.4,30.7,24.8,19.0,13.8
1902,13.0,15.6,15.0,24.3,27.0,34.6,34.0,32.9,30.3,25.4,16.2,11.2
1903,12.2,10.2,16.9,21.4,26.2,31.6,34.3,33.8,28.8,24.6,20.2,13.2
1904,11.3,17.5,19.3,23.6,27.3,32.6,33.8,31.6,29.1,23.4,19.2,12.1
1905,12.1,11.0,15.6,19.6,24.4,32.3,34.6,33.9,30.2,23.8,14.9,9.5
1906,10.4,14.7,16.4,20.7,26.3,32.3,34.4,31.2,29.6,24.6,16.1,12.8
1907,11.2,17.3,18.1,23.4,24.5,30.0,33.8,31.8,30.4,22.9,16.2,13.9
1908,13.0,13.3,18.6,22.4,24.8,32.0,33.9,31.9,29.8,22.4,17.9,11.5
1909,13.8,13.2,15.1,22.1,26.1,33.4,34.0,31.1,28.4,25.7,18.1,8.0
1910,11.3,14.4,21.6,24.0,29.7,33.6,34.9,33.7,32.0,24.8,18.2,14.2
1911,13.2,12.0,18.7,21.8,27.3,32.0,32.2,33.6,29.8,22.9,16.1,9.8
1912,13.4,16.0,15.4,18.6,26.2,32.6,31.7,31.7,28.7,21.1,17.3,9.6
1913,9.3,11.4,15.4,21.8,27.5,31.2,33.1,32.6,28.9,23.8,16.5,9.7
1914,12.8,13.8,19.2,22.7,27.4,31.6,31.9,33.3,30.5,23.2,19.1,8.8
1915,9.5,12.3,16.3,21.2,24.0,31.8,32.9,33.7,29.2,26.3,17.7,11.8
1916,9.3,16.7,20.0,22.9,26.8,33.3,33.4,31.3,29.0,21.7,17.3,10.7
1917,8.2,12.7,15.7,20.4,22.6,33.5,34.5,33.0,29.8,26.6,20.2,17.2
1918,11.1,14.3,17.7,21.7,24.8,34.5,32.8,31.1,30.6,24.3,14.8,9.7
1919,9.4,10.7,15.3,23.3,27.6,33.4,32.0,33.1,28.6,20.4,15.8,12.3
1920,10.7,13.7,15.2,18.7,26.9,31.1,34.9,31.7,28.9,21.6,16.6,11.4
1921,12.6,16.0,19.6,21.2,25.6,32.4,32.9,30.9,30.1,25.4,19.4,13.6
1922,9.8,12.8,15.1,19.1,27.4,33.6,34.3,32.7,31.4,24.7,14.8,13.3
1923,14.4,12.7,15.3,20.3,28.2,30.9,33.2,30.6,27.8,22.3,15.4,9.6
1924,10.8,16.8,14.1,19.9,28.1,34.6,33.6,34.0,30.5,24.0,18.8,9.7
1925,10.3,16.8,19.5,23.2,29.0,30.8,34.5,31.6,28.7,21.7,15.9,12.2
1926,10.7,16.1,17.3,20.2,26.2,33.5,34.0,33.6,30.1,25.4,18.8,9.3
1927,13.8,14.7,16.3,21.7,28.1,31.6,34.4,31.7,28.6,24.6,19.0,9.5
1928,13.3,13.3,18.9,21.8,27.9,32.6,34.8,32.7,31.4,24.3,15.7,11.2
1929,10.3,11.3,16.6,20.2,27.6,33.2,33.6,32.0,29.1,24.7,16.6,16.1
1930,9.1,17.1,16.6,24.2,24.1,33.2,33.1,32.5,29.6,23.3,15.7,11.4
1931,11.7,13.1,18.1,22.9,28.0,32.3,35.6,32.1,29.9,24.4,13.8,8.6
1932,7.9,13.1,17.4,22.7,26.6,31.9,33.8,33.4,31.6,23.1,19.7,8.2
1933,8.3,10.1,18.6,19.6,24.3,33.0,35.3,33.8,31.6,25.8,19.3,14.4
1934,13.9,17.2,22.7,25.2,30.5,31.2,35.6,32.8,30.6,26.4,17.9,13.1
