year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,7.8,6.1,16.7,23.6,26.4,30.7,31.1,32.1,31.0,21.0,15.2,11.3
1896,9.4,12.6,14.4,25.5,29.6,31.4,35.2,35.1,29.8,22.1,16.6,13.6
1897,8.2,12.8,18.2,21.8,26.5,31.6,34.6,33.2,32.5,27.6,16.6,8.7
1898,11.4,12.6,17.8,20.6,28.3,31.4,32.4,32.1,29.7,21.2,14.4,9.1
1899,9.0,5.6,16.5,21.2,27.8,30.9,32.4,34.8,29.8,25.4,18.4,10.1
1900,11.1,10.2,16.7,22.8,26.8,30.1,31.8,33.3,30.8,24.6,16.9,12.4
1901,12.6,9.9,16.8,20.5,26.7,33.0,36.6,33.7,29.3,24.7,16.2,8.6
1902,8.5,5.8,17.1,22.0,28.7,31.4,32.4,33.2,26.4,23.6,17.7,8.7
1903,9.1,9.6,17.4,21.9,24.9,27.5,32.1,31.6,28.3,22.8,14.9,10.2
1904,9.8,12.0,18.9,19.4,25.7,29.7,31.2,31.5,30.0,24.2,17.1,10.8
1905,5.1,4.6,19.7,21.0,26.2,30.6,29.9,31.9,29.4,22.0,17.8,7.9
1906,11.2,11.3,11.8,23.8,26.8,30.7,30.6,31.4,29.7,20.6,15.9,12.4
1907,14.7,13.1,22.4,17.9,23.2,29.7,33.7,34.2,30.2,23.3,15.2,11.5
1908,10.2,11.9,20.9,22.8,26.4,29.9,32.3,31.9,29.2,22.6,18.0,13.0
1909,11.2,14.7,17.1,22.1,25.3,30.5,33.7,34.8,30.9,24.7,21.0,6.8
1910,11.0,9.4,22.9,21.2,24.7,29.2,31.7,31.6,31.3,24.1,17.3,10.0
1911,13.6,15.2,20.0,21.3,28.7,34.2,31.3,30.6,31.9,22.9,14.3,10.6
1912,6.7,8.8,11.8,21.7,26.8,28.7,33.2,31.9,30.6,24.4,16.8,10.6
1913,11.9,9.7,15.8,22.1,26.8,32.1,33.5,34.9,27.5,21.2,18.9,10.1
1914,13.2,9.8,15.4,21.6,26.8,34.7,34.4,30.7,29.1,22.5,17.5,5.0
1915,8.3,12.3,10.1,23.8,27.0,30.0,32.1,28.8,29.6,24.4,18.4,12.1
1916,11.7,11.9,18.2,20.9,28.1,29.7,34.4,33.9,29.0,24.6,17.9,11.2
1917,11.6,13.1,17.2,21.8,23.7,30.4,32.7,31.1,28.7,22.1,17.0,6.7
1918,2.8,14.5,21.0,21.2,28.4,33.1,33.8,35.1,26.4,23.8,14.8,13.7
1919,10.4,12.3,17.9,22.6,24.4,30.2,33.8,33.1,30.1,23.8,16.3,9.8
1920,8.4,12.4,16.4,21.2,26.7,29.9,32.2,30.3,29.7,24.1,14.1,10.8
1921,13.1,14.6,21.7,21.4,27.6,31.4,33.8,33.3,32.3,24.3,19.1,13.7
1922,7.8,13.4,15.9,23.1,27.0,31.7,32.4,33.4,32.0,24.9,17.5,13.8
1923,14.3,9.8,15.8,22.3,24.9,30.1,32.3,33.6,27.7,20.9,15.8,14.4
1924,6.9,11.1,13.2,22.3,24.7,31.4,32.7,34.6,27.3,26.2,17.9,10.4
1925,9.6,15.6,19.9,25.4,26.8,34.3,33.7,33.9,33.5,19.9,15.4,9.9
1926,9.6,15.0,14.3,20.9,27.8,31.2,33.2,32.9,30.6,23.8,13.6,10.7
1927,10.4,16.3,16.7,23.7,27.4,29.8,32.6,30.1,30.6,26.3,19.1,10.1
1928,11.4,12.3,17.4,19.4,27.3,28.0,32.4,33.1,28.7,25.6,15.1,11.6
1929,9.1,6.2,18.8,22.8,25.4,30.8,33.6,34.4,29.4,22.9,12.6,12.2
1930,5.4,16.6,16.1,24.9,26.1,31.8,37.2,35.3,30.5,21.6,15.7,9.7
1931,11.0,14.3,13.7,21.3,24.7,32.4,33.2,30.4,32.5,26.3,18.9,13.6
1932,12.7,16.8,14.8,23.8,27.2,31.9,33.9,34.2,29.6,22.9,14.1,8.8
1933,14.2,10.7,17.2,21.9,27.8,33.1,33.1,31.7,31.7,23.6,17.6,15.1
1934,11.8,11.2,16.4,23.1,28.1,34.0,37.0,36.0,28.4,26.2,18.2,10.2
1935,11.8,13.3,20.6,20.8,24.7,29.1,34.1,34.6,29.5,23.7,14.4,7.9
1936,8.1,7.7,20.6,22.6,28.2,34.6,34.7,36.8,32.1,22.2,15.1,12.2
1937,9.3,11.9,14.8,22.6,28.1,31.8,32.7,33.9,28.8,22.2,13.8,9.4
1938,10.7,15.2,21.7,22.3,27.1,30.0,34.2,34.9,31.7,27.9,17.1,11.7
