year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,8.6,13.4,14.6,18.7,23.5,28.9,30.2,30.3,26.3,22.6,15.3,10.4
1896,12.2,15.2,15.7,15.3,21.8,30.1,32.0,30.7,26.5,22.7,13.9,12.5
1897,9.9,10.2,11.3,20.9,25.2,27.5,31.7,31.9,26.8,19.4,15.2,11.1
1898,8.1,14.1,14.3,21.4,21.4,28.7,32.2,32.1,28.0,22.4,16.0,10.8
1899,11.5,13.3,14.4,19.9,20.8,28.6,32.7,28.7,30.7,19.6,15.6,10.9
1900,12.3,14.7,18.4,16.9,24.2,29.2,32.4,29.1,25.4,20.7,16.9,12.6
1901,10.2,12.2,16.7,18.2,22.1,28.3,32.5,32.1,26.4,23.3,17.4,13.6
1902,11.1,13.1,13.6,18.1,22.0,29.4,31.1,30.5,29.2,21.7,13.8,10.9
1903,10.9,9.4,13.7,17.4,23.4,28.8,30.6,31.6,27.4,24.2,16.3,12.6
1904,11.6,12.6,13.6,18.7,24.8,29.3,30.9,31.8,27.8,21.4,17.7,12.0
1905,12.6,13.5,15.7,18.9,20.4,27.3,32.8,32.0,28.6,23.1,15.4,10.8
1906,12.2,14.2,14.2,17.8,20.2,26.0,33.9,31.3,28.1,24.0,14.4,10.3
1907,8.4,15.3,12.6,19.2,21.9,25.4,31.0,29.8,26.4,21.4,16.6,12.1
1908,11.5,11.3,16.2,20.8,20.7,26.6,33.4,31.1,27.7,20.7,16.7,10.0
1909,11.2,10.8,13.0,20.1,22.3,27.9,30.8,31.4,27.6,21.5,14.8,8.9
1910,8.6,11.6,17.9,21.6,26.1,27.9,32.6,32.2,27.8,22.9,15.9,12.8
1911,11.1,9.8,15.6,17.4,21.3,27.6,32.4,30.8,25.7,21.8,16.2,10.6
1912,12.2,14.9,12.7,15.5,22.5,27.6,30.0,29.8,26.5,19.5,16.3,11.6
1913,9.3,12.3,14.8,18.9,23.6,25.8,30.7,31.9,29.4,23.8,15.1,10.8
1914,11.1,13.3,18.6,18.9,23.5,27.2,31.5,31.7,26.9,21.9,18.6,8.7
1915,10.1,11.2,16.8,18.4,19.9,28.3,31.1,32.9,27.3,24.8,15.5,11.4
1916,7.1,14.3,17.3,20.6,22.0,27.6,31.1,30.3,27.6,18.7,14.9,9.6
1917,8.1,12.0,13.4,17.7,19.8,30.0,33.7,31.7,28.7,25.7,17.6,14.8
1918,12.2,12.0,14.9,19.6,21.6,32.1,31.3,30.8,26.9,22.8,14.5,10.5
1919,12.4,10.3,13.4,20.0,24.6,29.2,32.4,32.1,27.3,20.3,15.8,11.2
1920,13.1,13.7,13.8,18.0,24.1,27.6,31.7,32.0,26.8,19.1,14.6,10.6
1921,10.0,13.9,16.4,18.8,20.7,28.6,32.9,31.2,28.0,23.4,17.7,12.3
1922,8.7,10.1,13.0,17.4,24.3,29.3,33.1,31.1,31.0,21.7,14.0,11.2
1923,11.0,13.0,17.2,17.1,23.9,25.1,31.6,30.9,28.1,21.3,18.0,11.0
1924,11.7,16.7,14.3,19.9,26.8,30.1,32.1,31.6,29.1,20.1,16.4,9.7
1925,11.9,14.1,17.0,18.6,23.4,28.4,33.0,30.4,25.4,21.1,15.2,12.9
1926,11.6,14.1,19.1,20.3,24.6,31.2,33.2,31.8,27.3,23.7,18.3,10.5
1927,11.7,12.3,14.8,18.7,23.4,28.1,33.0,30.9,26.3,23.4,16.2,10.6
1928,12.3,14.3,17.0,19.3,25.8,28.5,32.4,32.1,29.6,22.1,15.6,10.5
1929,9.8,11.9,15.8,16.6,24.9,27.9,32.3,33.0,27.9,24.6,19.4,15.0
1930,9.1,15.7,16.7,20.4,20.7,29.4,32.5,31.4,25.9,22.4,17.2,12.3
1931,12.0,13.6,17.9,21.8,26.6,27.4,35.3,32.8,27.3,22.3,13.8,9.2
1932,8.8,11.5,16.9,18.7,22.9,29.0,31.8,31.8,30.7,22.8,19.2,9.0
1933,8.6,10.8,15.7,18.8,19.8,27.8,34.1,32.6,27.7,25.9,18.9,11.8
1934,13.2,14.7,21.4,23.4,25.9,26.6,32.6,32.5,29.4,22.8,15.9,12.0
1935,10.2,13.1,13.0,18.0,23.0,30.3,31.4,32.3,29.8,21.6,14.7,12.4
1936,12.4,11.9,17.7,20.9,25.2,28.8,33.0,32.7,29.5,23.6,18.4,11.3
1937,4.9,11.0,14.8,18.3,25.2,28.2,33.1,32.9,29.6,23.8,16.8,13.6
1938,12.4,11.1,12.4,18.5,23.9,28.9,32.4,31.7,29.6,21.2,15.2,13.0
1939,11.5,10.5,15.9,22.4,24.6,28.8,32.8,32.9,28.2,22.8,18.8,14.5
1940,11.8,12.7,17.3,19.8,26.0,31.1,31.8,32.6,26.6,23.0,15.2,13.1
1941,11.4,13.2,16.3,16.8,23.8,26.6,32.4,29.4,26.6,20.4,17.1,11.1
1942,11.3,11.7,15.8,17.6,21.7,28.1,33.3,32.0,28.4,23.6,16.6,12.4
1943,12.0,14.4,15.8,19.7,24.7,25.9,32.1,30.8,30.7,22.4,17.6,11.8
1944,11.0,10.9,15.8,17.0,23.3,25.0,31.1,32.1,29.8,23.9,13.2,12.6
1945,11.4,13.0,12.7,19.9,22.2,27.8,33.4,31.4,29.4,22.8,14.8,10.8
1946,11.7,12.1,15.2,21.1,23.6,28.1,31.8,32.3,28.9,20.1,13.6,11.6
1947,11.0,15.3,17.2,20.7,26.4,27.3,31.4,30.3,30.4,21.7,14.1,11.1
1948,14.6,12.0,13.1,16.8,21.7,27.2,31.2,30.9,28.7,22.4,15.8,8.8
1949,5.6,9.9,13.2,21.8,22.9,29.3,32.0,30.4,29.8,22.0,20.1,11.0
1950,8.3,14.3,15.6,21.1,24.0,27.7,32.7,32.6,27.4,23.6,18.0,14.1
1951,10.7,12.7,15.9,19.7,23.8,28.6,32.4,31.4,30.2,22.1,15.4,9.7
1952,8.2,12.3,11.8,19.3,25.3,25.5,32.5,32.1,29.8,25.9,14.7,10.0
1953,13.6,14.4,15.9,18.3,19.7,25.7,33.2,30.2,30.2,22.7,16.3,12.8
1954,11.1,16.0,13.6,21.3,25.7,26.9,32.8,29.4,28.3,23.4,17.1,10.6
1955,8.3,11.8,16.0,16.5,22.8,27.7,30.3,32.7,29.4,24.1,15.4,11.7
1956,11.3,10.9,16.9,18.4,23.1,28.8,31.6,30.4,29.9,20.9,17.8,13.6
1957,8.8,14.1,15.4,18.9,21.4,30.2,32.2,30.8,28.9,19.4,14.3,12.3
1958,12.1,13.7,12.1,18.4,25.6,27.4,31.6,33.1,29.6,25.6,16.9,16.1
1959,13.1,11.8,18.6,22.8,22.5,30.2,34.4,31.6,27.0,24.5,19.2,13.3
1960,9.5,12.1,17.5,19.7,23.2,31.6,33.8,32.1,30.2,22.6,14.5,11.9
1961,13.1,14.4,15.1,20.6,21.8,30.8,33.6,31.8,27.4,22.8,15.0,10.6
1962,11.4,11.1,13.1,22.6,21.4,28.6,31.9,31.8,29.2,22.3,17.4,13.4
1963,11.3,16.8,14.6,15.1,23.0,26.1,30.9,30.8,29.1,22.4,14.7,11.9
1964,10.6,14.0,14.4,18.6,21.8,26.6,32.1,31.6,27.9,25.5,13.2,11.6
1965,11.4,14.2,15.3,17.1,22.6,25.6,31.2,30.8,26.0,25.9,15.3,9.7
