year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-0.1,-1.7,4.7,13.0,21.3,25.9,24.7,26.4,24.2,13.3,10.4,4.9
1896,-1.3,1.6,3.4,15.8,22.6,23.2,26.5,26.4,21.0,13.2,11.6,1.6
1897,0.9,1.6,6.9,14.9,19.7,22.4,26.0,24.6,21.8,17.2,8.6,3.3
1898,1.2,2.5,10.4,11.7,18.1,24.9,27.2,26.5,23.7,15.8,8.1,2.3
1899,1.6,-0.9,4.0,14.8,21.1,26.6,26.8,25.8,21.1,16.3,8.5,4.5
1900,2.5,1.7,4.8,14.1,20.5,25.3,28.2,27.8,24.6,17.9,10.1,3.3
1901,0.7,-2.1,5.6,12.1,18.4,25.6,28.0,26.1,22.8,16.9,5.6,2.8
1902,0.3,0.4,9.8,14.1,20.2,23.7,25.0,25.2,21.6,16.1,11.9,1.4
1903,1.3,2.6,11.8,14.2,22.6,20.1,26.9,22.4,22.2,15.9,7.7,0.4
1904,-2.9,-1.7,4.9,12.3,22.1,24.0,26.1,25.0,21.6,15.0,6.6,-0.9
1905,-0.9,-2.2,6.8,14.0,20.2,23.8,27.6,24.6,21.2,16.8,9.1,4.8
1906,4.4,2.5,3.3,14.3,20.8,24.8,26.3,26.9,23.9,16.3,8.4,1.2
1907,1.4,-2.3,7.5,11.1,17.0,23.1,27.2,25.8,22.1,14.0,8.6,4.6
1908,2.3,-0.2,7.2,13.8,20.8,26.5,28.7,25.2,23.7,18.4,8.6,3.4
1909,2.4,4.2,5.2,13.3,19.2,25.3,26.9,25.6,21.8,15.1,11.1,0.6
1910,1.8,1.3,10.7,16.7,19.4,23.3,28.8,25.1,22.6,17.7,6.7,-0.5
1911,2.7,0.3,5.6,12.4,23.3,24.0,29.3,26.1,21.8,14.8,7.9,5.4
1912,-3.4,-0.2,5.2,13.2,20.3,25.0,27.8,24.6,21.4,17.8,10.2,5.3
1913,6.7,0.8,10.0,14.4,19.2,25.6,28.5,26.8,21.2,16.7,10.6,5.1
1914,1.1,-1.4,5.1,11.9,22.0,24.3,24.8,25.9,23.6,18.4,9.0,1.2
1915,2.4,3.6,5.7,16.7,18.4,24.2,26.2,24.2,24.0,16.3,9.9,1.7
1916,3.9,-0.8,1.9,11.8,19.6,21.6,27.0,27.2,22.8,17.6,9.1,1.9
1917,1.7,-0.4,5.7,12.3,14.9,24.0,27.1,27.3,20.7,14.0,7.2,-2.2
1918,-4.2,1.1,8.4,14.2,22.9,23.2,26.9,27.2,20.2,17.6,9.6,4.1
1919,3.1,2.5,8.9,12.8,20.4,26.1,27.0,24.1,21.8,17.4,9.0,0.7
1920,-2.6,-0.4,7.4,11.2,18.3,23.6,25.6,26.2,23.1,19.5,7.2,3.8
1921,3.0,2.9,12.4,17.4,20.7,25.8,27.8,25.1,24.9,16.9,7.7,2.3
1922,-0.1,2.4,7.7,14.4,22.5,24.8,26.5,25.2,23.3,17.4,9.0,1.7
1923,-0.6,-1.8,5.0,14.3,19.8,26.2,26.2,26.0,22.9,16.6,9.5,6.6
1924,3.1,-0.5,6.0,12.7,17.2,23.7,27.7,26.4,20.9,17.2,10.0,2.3
1925,0.0,5.8,10.1,15.3,19.4,27.3,26.2,26.5,22.1,12.4,9.1,2.7
1926,1.9,0.2,4.3,11.2,19.8,22.7,27.7,25.7,21.2,14.7,9.7,0.2
1927,0.9,2.9,9.2,13.4,18.1,23.0,26.3,23.3,22.6,18.2,11.6,3.9
1928,2.8,2.2,5.6,12.2,18.7,22.2,27.2,26.7,20.1,17.4,9.9,5.2
1929,0.9,2.1,9.7,12.8,20.3,25.6,27.6,25.6,23.9,15.4,9.1,2.0
