year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,20.3,16.8,24.0,26.1,29.4,32.1,32.2,32.1,31.3,27.0,23.1,19.3
1896,18.1,20.2,23.1,28.3,31.4,31.7,32.4,33.2,31.3,27.3,25.7,19.3
1897,18.4,22.1,26.2,26.7,29.6,33.8,32.7,32.3,29.9,27.4,24.1,21.1
1898,22.1,20.7,26.1,26.7,31.4,33.9,32.6,31.4,31.0,26.7,23.3,19.1
1899,20.3,21.2,25.1,25.6,32.2,33.1,32.1,33.0,31.1,27.7,24.3,20.3
1900,18.7,20.7,22.8,27.1,29.4,31.3,33.1,33.8,32.1,29.1,23.9,19.4
1901,20.2,19.2,22.7,25.1,30.9,31.7,32.7,31.7,30.9,27.5,21.2,19.4
1902,19.2,18.0,23.5,27.0,31.8,32.8,33.7,33.3,30.9,28.0,25.1,21.2
1903,19.1,22.3,24.9,26.0,28.9,31.4,32.6,33.1,30.7,27.1,22.6,18.6
1904,18.6,22.3,25.7,27.1,30.4,32.1,32.3,32.1,31.7,28.0,22.1,20.2
1905,17.7,20.2,24.9,27.1,31.8,32.6,32.8,31.8,31.8,27.7,24.6,19.3
1906,19.7,20.2,22.5,27.6,29.4,32.1,31.7,31.9,31.8,26.6,24.6,21.4
1907,23.7,22.2,28.2,26.4,30.6,31.9,32.5,32.6,31.6,27.7,23.6,20.3
1908,19.6,19.4,26.9,30.3,30.9,31.9,32.6,32.4,30.5,26.5,24.3,23.1
1909,22.2,22.4,24.9,27.7,30.1,32.5,31.8,32.3,30.9,28.0,25.8,19.0
1910,19.7,20.6,24.8,27.3,30.4,31.1,31.6,31.8,31.6,27.8,22.4,18.1
1911,22.1,23.6,25.0,27.9,29.8,33.2,32.1,31.8,32.4,29.8,23.6,22.3
1912,18.9,18.5,24.1,28.1,30.4,30.6,32.3,32.4,31.3,28.6,22.3,21.9
1913,23.3,21.7,24.5,26.1,29.8,31.7,33.0,31.8,30.4,27.2,23.9,20.6
1914,19.6,20.2,21.1,27.3,30.6,33.5,32.7,32.8,30.3,27.5,22.8,19.2
1915,18.4,19.7,19.1,25.9,31.2,32.4,32.9,33.2,32.0,28.3,24.9,19.5
1916,23.1,21.3,23.2,26.6,30.5,31.5,31.6,32.4,30.8,27.5,23.6,21.3
