year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,12.4,9.6,18.9,23.1,26.8,32.1,31.7,31.9,30.9,23.8,18.6,13.9
1896,11.9,15.4,17.8,26.6,31.1,31.3,32.3,33.3,31.1,23.9,20.8,14.2
1897,11.8,15.9,19.9,23.6,28.0,34.1,32.9,31.3,29.3,25.4,19.7,14.7
1898,15.6,14.9,21.4,22.2,31.3,33.7,31.9,30.3,29.0,22.4,16.6,12.9
1899,13.1,13.5,19.9,22.6,31.1,33.4,32.9,33.1,29.6,24.1,19.9,13.2
1900,13.0,13.2,17.7,24.8,28.4,29.9,33.1,34.8,31.1,25.2,19.4,13.9
1901,13.8,12.8,18.5,20.6,29.5,31.6,33.7,31.0,28.8,24.4,16.5,12.7
1902,13.0,11.2,18.5,23.6,31.3,33.4,34.7,33.2,28.6,24.1,20.9,14.3
1903,12.0,16.3,20.6,22.9,27.1,29.9,33.1,33.2,29.2,24.3,17.0,11.9
1904,11.1,14.7,20.7,22.4,28.9,32.2,32.9,31.3,31.2,25.3,17.8,14.1
1905,11.1,10.7,20.9,24.4,29.8,32.7,33.1,31.8,31.2,23.9,19.8,11.6
1906,13.6,14.8,17.3,25.8,27.8,32.4,31.4,32.5,30.8,22.2,19.9,15.2
1907,18.4,15.6,24.8,20.9,28.0,31.7,33.6,32.7,30.2,23.9,17.4,13.3
1908,12.6,12.6,23.7,26.4,29.6,32.3,32.8,32.4,29.1,23.3,20.6,16.8
1909,16.2,17.2,19.3,24.1,27.8,32.1,31.9,32.4,29.3,24.7,22.3,11.5
1910,13.8,13.8,22.7,24.4,28.1,30.1,31.6,32.0,30.9,25.8,18.0,11.5
1911,16.2,18.0,20.7,23.4,29.9,34.5,31.8,32.1,32.4,26.3,16.9,15.6
1912,10.4,12.3,17.3,24.3,29.1,30.0,32.2,32.1,30.4,24.8,18.2,14.6
1913,17.1,15.3,19.0,23.7,29.4,32.3,33.8,32.5,28.4,23.9,19.9,14.4
1914,14.2,13.5,16.7,25.2,30.2,34.8,33.6,31.7,28.6,23.3,18.6,11.2
1915,12.4,14.7,14.7,25.4,30.1,31.9,33.6,32.6,31.2,24.9,20.7,13.4
1916,17.2,16.1,18.8,24.1,30.8,31.5,30.4,32.6,29.7,24.3,19.8,14.7
1917,15.8,15.4,20.3,25.9,26.9,32.6,32.7,31.7,28.1,23.0,18.0,9.9
1918,9.3,18.4,22.5,22.2,29.6,32.7,32.1,33.1,28.1,25.8,18.1,15.1
1919,14.2,14.6,20.4,25.0,28.2,31.1,31.8,31.7,30.7,29.0,20.8,14.9
1920,14.4,13.1,17.7,22.9,26.9,32.1,32.2,31.0,30.8,25.4,17.7,13.3
1921,15.7,16.7,24.4,24.3,27.4,33.6,32.1,32.0,34.0,24.3,20.4,17.2
1922,12.8,18.5,19.8,25.8,27.9,32.2,32.7,31.2,31.1,24.6,20.1,17.0
1923,16.8,15.2,19.8,24.1,26.3,30.6,32.1,32.0,30.6,24.3,17.4,17.4
1924,12.6,13.9,16.8,23.4,27.1,32.8,32.6,34.4,27.5,23.7,19.9,15.2
1925,14.0,18.0,21.4,26.8,28.5,33.7,34.3,33.8,35.9,24.6,16.8,13.0
1926,11.9,16.4,15.1,23.4,29.1,31.7,32.4,32.8,31.6,25.8,16.9,16.7
1927,15.2,20.4,19.9,26.4,30.1,31.4,32.6,31.6,31.8,26.8,21.3,14.3
1928,13.9,15.2,19.2,22.3,27.3,30.8,32.6,31.8,28.4,25.6,18.6,14.8
1929,15.6,14.7,21.3,25.8,28.0,30.8,32.3,32.8,28.4,23.3,18.2,14.1
1930,14.3,18.8,16.3,25.1,29.8,30.9,34.5,32.5,31.0,23.2,16.3,10.7
1931,13.1,16.4,16.3,23.2,27.7,34.4,34.3,32.0,32.7,26.9,22.8,18.8
1932,18.3,19.8,17.8,25.0,28.1,31.6,34.4,31.8,29.2,24.0,16.6,16.4
1933,16.9,15.4,19.7,23.1,31.2,33.2,32.0,32.4,32.3,25.4,19.1,19.0
1934,15.1,13.3,18.7,24.7,27.6,32.3,33.9,32.6,30.9,25.7,20.6,13.6
1935,14.8,15.9,22.7,24.2,29.3,32.7,32.1,32.2,29.2,26.3,19.9,9.9
1936,12.6,13.3,21.5,23.4,30.1,33.2,34.1,32.7,31.1,25.2,18.0,14.6
1937,18.7,15.0,18.4,23.4,29.0,32.8,32.5,32.1,28.6,22.7,16.8,13.8
1938,13.8,19.0,23.1,24.4,29.3,30.6,31.5,33.7,30.1,25.4,20.3,14.3
1939,16.0,18.5,21.5,23.9,27.6,32.2,33.1,31.1,30.8,26.3,18.4,15.6
1940,7.3,13.7,18.6,23.1,28.4,31.8,31.4,31.8,29.5,26.0,18.8,16.1
1941,14.5,12.4,16.2,25.3,30.8,31.7,32.2,33.0,31.4,28.0,19.7,15.9
1942,13.9,11.9,18.8,25.9,28.6,31.7,33.5,31.7,29.7,25.4,21.1,14.9
1943,15.4,17.1,18.3,24.1,29.3,33.6,32.9,33.5,28.9,24.3,19.4,14.7
1944,14.0,18.2,20.0,23.2,29.8,34.1,31.9,31.3,30.0,24.9,18.2,12.8
1945,13.9,17.1,24.7,25.8,27.4,32.8,31.9,31.7,30.7,24.1,20.2,11.0
1946,14.5,17.6,21.9,25.6,27.5,31.2,31.6,31.6,28.2,24.4,21.3,17.9
1947,16.1,13.2,15.4,25.6,28.4,31.0,31.6,32.1,30.3,25.2,16.2,14.7
1948,11.1,16.4,20.5,25.9,29.6,32.9,32.5,31.4,28.6,23.2,20.9,15.9
1949,18.3,18.5,19.1,22.9,29.2,30.7,32.3,31.4,28.7,25.9,18.7,15.8
1950,20.4,18.6,17.8,23.0,29.7,32.4,31.2,31.8,28.1,25.4,17.6,11.4
1951,15.2,17.2,19.1,23.2,29.0,32.6,33.2,34.0,30.1,25.8,16.9,16.4
1952,17.8,16.7,19.6,23.8,29.4,34.8,34.7,32.2,28.4,23.4,19.3,13.4
1953,16.2,16.2,20.9,23.7,30.6,32.2,32.0,32.4,29.0,25.2,19.1,13.9
1954,15.8,18.7,19.2,26.6,26.1,33.4,34.4,35.2,32.6,26.1,17.4,13.8
1955,13.4,16.8,22.1,26.2,30.0,30.1,32.3,32.9,29.9,24.3,18.9,13.5
1956,13.1,18.6,19.9,23.7,29.6,31.6,32.6,33.5,28.9,23.9,18.7,19.5
1957,15.6,19.9,18.1,25.2,28.3,30.9,32.2,32.6,29.2,21.5,19.2,15.0
1958,10.5,11.3,16.5,24.3,28.2,31.6,32.1,32.5,30.8,23.8,21.7,13.4
1959,13.9,16.1,18.1,24.6,29.5,31.2,32.3,33.1,28.9,23.9,18.8,14.8
1960,13.6,14.5,13.6,25.2,28.1,31.4,32.9,32.0,29.5,25.6,20.2,12.9
1961,11.7,17.6,21.5,21.9,26.7,29.9,32.3,30.9,30.0,25.3,21.2,14.9
1962,12.8,20.2,17.2,22.9,32.2,31.0,33.2,32.7,29.3,25.8,17.4,13.1
1963,11.9,13.5,21.9,25.4,28.4,30.6,31.5,32.8,28.8,26.1,19.2,10.6
1964,12.7,12.6,19.6,24.4,28.7,32.8,30.4,30.8,29.1,22.3,20.9,15.8
1965,15.4,15.2,17.9,25.2,30.8,29.3,31.5,32.1,28.9,23.5,20.1,15.6
1966,10.7,14.3,18.4,24.3,26.6,29.7,32.7,31.1,28.8,23.9,19.2,14.3
1967,15.1,13.9,22.6,27.0,27.9,29.7,30.4,30.4,27.2,24.4,18.3,17.2
1968,12.0,12.1,20.1,25.4,27.6,31.6,32.2,33.2,29.4,24.8,17.9,13.3
1969,12.9,13.4,16.4,25.2,27.6,32.4,33.2,30.4,27.8,24.5,18.2,13.4
1970,9.7,15.2,19.4,25.4,29.0,30.5,32.8,31.6,31.4,25.2,17.9,16.8
1971,13.8,15.9,17.2,24.7,27.1,32.2,31.0,30.9,29.8,26.0,19.1,18.5
1972,16.8,13.8,20.3,24.8,26.3,30.1,31.8,32.2,31.3,24.6,17.7,16.8
1973,13.2,14.3,21.1,22.1,27.2,30.7,32.4,31.4,30.5,26.0,21.8,14.9
1974,19.7,17.0,22.8,24.6,28.9,30.0,31.7,31.1,28.0,24.6,19.6,14.4
1975,16.4,17.6,19.2,23.6,28.9,30.8,30.6,31.9,28.2,25.0,20.1,14.8
1976,12.4,20.2,22.1,25.7,25.8,29.7,32.3,31.3,28.2,21.7,15.5,12.8
