year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-2.0,1.0,5.2,14.3,16.5,20.5,25.9,26.8,17.6,16.1,4.8,-1.3
1896,1.4,4.7,5.2,9.0,12.4,23.1,28.1,26.1,19.2,13.9,1.1,2.4
1897,-0.8,0.7,1.2,12.3,21.2,21.6,25.7,28.7,20.5,13.1,4.6,-0.7
1898,-2.6,4.0,4.2,14.8,17.2,22.7,27.9,28.7,21.6,11.0,2.3,-3.0
1899,0.4,-1.0,4.1,11.2,13.6,21.1,28.2,22.7,22.7,10.0,7.7,-1.0
1900,2.4,1.9,10.4,12.3,18.5,25.9,27.1,23.9,18.9,12.1,4.7,1.4
1901,0.5,0.9,5.3,10.1,18.8,18.2,29.0,28.1,17.5,15.8,7.6,0.9
1902,-0.6,3.2,4.1,10.3,16.6,21.8,24.8,25.7,20.7,14.9,3.7,0.1
1903,-0.5,-2.6,4.9,9.7,15.6,23.4,24.8,26.6,18.4,14.2,4.5,0.0
1904,-0.6,1.9,3.2,12.4,16.6,21.4,26.1,27.2,22.3,14.6,9.5,0.9
1905,-0.2,1.0,8.4,12.9,14.6,19.9,27.6,27.2,21.6,10.7,6.3,-1.8
1906,-0.8,1.5,3.4,13.4,15.8,18.6,29.1,26.1,21.9,14.7,3.6,1.9
1907,-2.8,5.3,5.1,11.1,16.7,17.9,25.7,23.6,20.3,16.8,6.3,0.5
1908,0.1,2.7,5.9,13.8,13.2,17.8,27.9,24.9,20.7,10.8,6.3,-1.2
1909,0.2,1.9,6.4,9.4,14.8,22.0,26.1,26.9,19.8,13.5,5.0,-4.3
1910,-3.4,-2.1,10.2,15.2,18.3,23.2,28.6,25.5,20.7,14.8,5.1,0.9
1911,-0.1,-1.3,7.7,10.4,14.3,20.9,26.6,25.5,19.3,11.7,2.1,-0.9
1912,-1.1,2.0,4.1,9.9,15.5,22.2,24.1,23.2,16.7,10.1,5.4,-0.3
1913,-2.6,-1.6,3.0,12.2,17.0,20.4,24.4,26.4,21.0,10.9,5.4,-1.1
1914,1.2,1.0,7.9,12.1,19.0,19.6,27.6,26.9,19.1,13.2,7.7,-3.2
1915,-1.6,3.9,9.1,15.4,14.2,19.7,24.8,29.2,18.7,15.2,3.6,-0.3
1916,-4.8,1.9,7.0,12.5,13.5,20.2,26.2,25.7,20.6,11.3,2.7,-3.1
1917,-4.4,-0.5,-0.4,7.1,13.9,20.2,28.9,26.8,22.4,14.9,8.2,4.7
1918,0.8,1.1,7.6,11.1,15.5,26.2,27.0,23.2,21.7,13.4,4.0,-0.1
1919,1.2,0.8,5.6,12.8,18.3,24.0,29.2,27.4,20.8,8.3,2.6,-3.6
1920,-0.3,3.4,4.4,7.7,15.3,20.6,28.4,26.3,19.6,9.8,3.1,-0.2
1921,0.1,2.0,7.2,9.1,16.2,22.6,27.7,26.4,17.4,16.4,6.8,0.7
1922,-5.1,-1.6,2.2,7.8,15.9,24.7,27.7,26.4,23.3,15.7,3.7,-1.8
1923,0.8,-0.8,4.2,10.7,15.9,18.6,27.8,25.8,22.3,11.1,7.1,-0.5
1924,-2.8,5.0,4.2,11.3,20.8,22.6,27.4,26.2,21.3,12.2,3.9,-4.2
1925,-0.4,4.0,7.1,12.8,18.8,21.1,29.0,25.3,19.8,11.8,4.5,1.7
1926,-1.2,4.2,8.9,15.7,17.4,24.4,28.4,25.9,17.6,14.6,6.4,-1.1
1927,-0.4,1.9,5.6,10.3,13.6,21.8,27.8,25.1,18.1,14.0,5.6,-2.9
1928,-0.6,1.4,7.0,9.5,20.6,19.4,27.6,25.8,22.6,13.3,4.7,-1.9
1929,-4.9,-3.0,5.5,8.7,16.8,20.7,28.2,28.9,18.5,15.2,4.9,3.4
1930,-6.4,4.5,6.9,15.4,15.6,21.6,28.4,26.4,20.6,11.1,3.4,-3.4
1931,-0.5,2.1,5.8,12.4,19.0,23.6,29.7,28.0,20.2,13.9,2.7,-2.2
1932,-3.5,-0.5,3.4,11.2,16.2,21.5,26.6,25.9,22.4,12.3,6.6,-3.4
1933,-1.1,-4.0,4.8,10.7,13.4,24.3,29.2,26.6,20.1,16.9,7.5,4.1
1934,3.2,7.4,12.1,17.3,21.7,21.7,28.9,28.5,19.8,15.0,7.4,0.2
1935,0.1,2.3,4.2,10.0,15.4,22.0,27.9,27.0,23.7,13.6,1.2,-0.5
1936,-1.6,-2.6,4.3,13.2,20.4,22.8,29.4,27.2,21.0,15.9,5.8,1.1
1937,-8.9,-0.4,5.9,9.2,19.2,21.1,28.3,26.7,23.1,15.9,6.2,1.8
1938,0.8,2.7,4.4,11.9,15.6,22.7,26.6,26.0,24.5,13.2,1.8,1.4
1939,0.9,-1.1,7.2,14.4,19.4,19.8,27.9,28.1,21.8,13.4,9.1,4.7
1940,-0.4,3.2,8.6,12.1,20.4,25.2,28.3,28.5,19.9,14.2,1.9,2.1
1941,0.8,4.3,9.2,12.1,17.3,20.2,27.6,24.4,16.6,12.2,6.4,1.2
1942,-3.2,-0.5,4.9,13.3,13.7,19.2,28.4,27.4,22.2,14.6,4.1,0.2
1943,-1.8,2.8,4.3,14.6,14.8,18.5,27.2,26.2,24.0,14.3,6.1,1.1
1944,-1.3,1.6,4.3,10.7,17.6,18.7,26.4,25.9,21.8,17.8,2.6,-0.8
1945,0.6,2.9,5.1,9.2,16.4,18.4,28.1,27.2,18.8,16.1,3.2,-0.9
1946,-0.5,1.6,6.9,14.2,16.8,21.5,27.8,27.1,19.8,8.7,3.2,2.2
1947,-2.4,4.6,8.7,11.9,19.7,18.3,28.6,26.1,21.0,14.2,2.0,0.4
1948,0.6,1.8,3.8,10.3,16.4,22.2,25.7,25.6,21.3,14.5,2.3,-3.7
1949,-8.9,-0.5,6.0,15.2,18.6,21.7,27.5,27.6,22.6,10.3,9.3,0.2
1950,-3.9,2.4,4.2,10.6,15.3,20.6,26.2,26.3,20.3,14.4,5.3,2.3
1951,-1.6,2.5,3.4,13.4,16.8,19.4,28.0,25.0,21.5,10.6,3.8,-2.7
