year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-2.1,-2.2,9.3,18.8,23.9,30.3,29.2,30.3,27.5,15.9,8.1,3.7
1896,2.5,3.7,6.7,21.1,26.8,27.9,29.9,29.6,23.3,16.9,9.7,5.4
1897,-0.3,3.2,8.9,15.4,21.7,28.0,30.9,29.0,30.2,23.1,9.4,0.7
1898,2.8,3.3,11.2,15.4,22.4,28.9,30.4,28.7,26.4,15.3,7.8,1.2
1899,0.9,-2.6,5.4,17.8,23.3,28.9,30.2,31.0,25.1,21.3,12.2,2.1
1900,3.7,0.2,6.3,17.8,24.4,27.5,29.9,32.6,26.4,22.6,9.4,3.9
1901,3.0,-0.9,8.5,15.9,22.8,30.4,35.4,30.7,26.1,20.4,8.8,0.0
1902,1.3,-1.6,10.4,16.4,25.4,26.3,30.3,27.6,22.6,19.6,13.0,1.1
1903,0.8,1.7,12.2,17.3,24.2,25.0,30.6,28.1,25.2,18.6,7.8,0.2
1904,-2.2,-0.6,8.7,13.7,22.7,26.7,28.8,27.7,25.2,18.8,11.7,2.8
1905,-2.4,-2.5,12.8,17.2,23.3,29.2,28.4,29.8,26.0,18.1,10.9,3.6
1906,4.5,3.1,2.9,19.3,24.4,27.4,30.1,30.6,27.6,17.7,8.7,3.8
1907,3.4,3.3,13.8,12.0,19.7,25.9,30.0,28.3,24.3,17.3,9.3,4.1
1908,2.9,1.9,12.1,17.1,22.5,27.2,30.1,30.0,28.8,19.3,11.7,5.0
1909,2.3,5.8,8.7,15.9,21.6,27.9,28.7,31.7,24.3,16.8,15.1,-2.2
1910,0.4,1.3,17.6,18.0,20.1,27.9,30.6,29.1,24.9,20.8,7.8,1.2
1911,3.1,5.4,11.4,15.1,27.1,31.2,31.5,29.1,26.2,17.0,6.4,4.9
1912,-6.0,-1.2,3.7,17.7,24.3,26.6,30.1,28.0,25.9,20.1,10.7,5.7
1913,3.4,1.4,8.3,17.2,23.6,30.5,32.4,32.5,25.6,17.0,12.9,5.6
1914,4.5,-1.1,8.1,16.9,25.2,30.8,33.4,30.9,25.1,19.8,12.7,-1.1
1915,-0.8,5.6,5.8,21.4,21.1,26.2,27.9,24.9,25.7,20.1,12.7,1.9
1916,3.4,1.3,8.9,15.8,23.2,25.0,34.3,31.3,24.9,19.3,11.7,2.4
1917,2.3,1.2,10.7,15.2,19.7,26.0,30.3,28.5,24.9,13.6,10.9,-1.5
1918,-6.6,4.5,15.3,13.8,25.4,28.7,29.8,32.1,21.6,19.8,9.8,7.2
