year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-0.9,-2.0,8.6,18.3,24.2,30.6,29.4,30.7,27.7,15.3,9.4,4.8
1896,1.7,3.9,5.9,20.9,27.0,27.6,29.5,28.8,23.2,16.3,11.3,5.4
1897,-0.1,3.7,10.4,15.4,20.9,27.3,30.8,28.3,29.3,22.3,10.3,2.7
1898,3.8,3.9,12.2,15.3,22.6,29.4,31.0,28.8,26.7,16.5,8.0,1.9
1899,1.8,-1.6,6.8,18.0,23.4,29.4,30.5,30.7,25.4,21.0,11.7,2.8
1900,3.7,1.2,6.1,17.3,24.9,27.3,29.8,31.7,27.2,22.6,9.9,4.2
1901,2.8,-0.7,9.2,14.7,21.8,29.1,34.3,30.1,25.8,19.8,8.3,0.9
1902,1.9,-1.1,11.0,16.2,25.5,26.7,30.4,27.8,23.5,19.2,13.8,2.3
1903,1.1,2.7,12.9,16.6,25.1,24.8,30.3,28.1,26.2,18.3,8.2,0.2
1904,-1.6,0.3,9.1,13.2,22.4,26.7,28.9,28.4,25.4,18.0,11.0,2.8
1905,-1.1,-1.7,12.7,16.6,23.4,28.0,28.8,29.1,25.8,18.1,10.8,3.8
1906,5.8,3.3,3.1,18.7,24.2,27.4,29.6,30.2,27.3,17.4,10.1,4.3
1907,4.7,2.7,13.8,11.0,19.6,25.5,29.3,27.6,24.0,16.3,8.7,3.9
1908,3.1,1.6,11.9,16.9,22.8,27.7,30.4,30.1,29.6,19.7,11.7,5.0
1909,3.5,6.3,8.3,15.8,21.1,27.6,27.9,29.9,24.1,16.1,15.6,-1.0
1910,1.1,1.7,16.8,17.8,19.6,27.1,29.6,28.6,24.9,19.9,7.1,0.7
1911,4.0,5.6,9.8,14.8,26.9,29.3,30.8,29.1,26.1,17.3,7.1,5.4
1912,-4.4,-1.2,4.1,17.6,23.8,26.4,29.0,27.2,25.9,19.5,10.4,5.2
1913,5.2,1.6,9.4,16.3,23.6,30.0,31.9,30.9,25.3,17.7,12.3,5.7
1914,4.3,-0.7,7.2,16.3,24.7,30.4,32.6,29.8,25.2,19.4,11.9,-0.1
1915,0.2,6.4,5.8,20.4,20.8,26.0,28.1,24.5,25.8,19.6,12.6,2.2
1916,6.1,2.1,8.3,15.5,23.3,24.9,32.9,30.7,25.2,19.3,12.2,3.1
1917,3.0,2.2,10.3,15.4,19.1,26.0,29.0,28.4,24.9,13.8,10.4,-1.1
1918,-5.7,5.2,15.1,14.7,25.9,28.3,29.0,31.7,21.3,19.8,10.2,7.9
1919,5.1,4.6,11.4,16.6,20.8,29.9,32.7,29.1,27.7,20.9,9.7,0.3
1920,-1.4,1.9,10.9,13.3,21.9,27.8,29.2,27.9,26.6,22.4,9.0,4.2
1921,4.5,5.5,16.0,18.8,24.4,30.8,33.6,28.4,27.3,18.4,10.8,4.9
1922,1.5,4.9,10.8,17.8,25.0,29.6,29.6,29.9,28.6,20.7,11.2,5.0
1923,3.9,0.8,9.1,16.3,22.2,28.6,30.4,28.6,24.9,17.2,10.4,9.1
1924,-0.2,2.0,5.5,17.3,19.1,26.7,28.3,29.1,22.5,22.6,10.6,1.7
1925,1.6,7.8,12.2,20.8,22.0,30.1,29.8,30.1,28.6,12.0,9.0,1.9
1926,1.9,4.7,5.7,13.2,24.8,26.1,30.9,29.3,24.8,17.4,8.2,1.9
1927,1.1,8.0,10.9,16.4,21.4,25.1,29.7,25.9,27.8,21.2,12.7,3.8
1928,2.2,3.6,8.9,14.3,22.8,24.0,29.7,29.7,23.8,19.8,10.0,5.3
1929,0.7,0.6,13.9,18.3,21.1,26.7,30.1,28.3,24.9,16.8,7.4,2.8
1930,0.1,8.8,9.3,18.4,23.7,28.6,32.8,30.6,26.4,17.1,10.8,2.6
1931,4.1,7.2,5.9,17.3,21.4,29.7,32.5,29.2,28.2,20.3,14.6,7.9
1932,6.8,8.2,5.6,16.9,23.7,29.0,31.2,29.8,24.9,17.8,7.8,4.0
1933,7.3,4.3,8.5,16.2,23.4,32.6,31.8,29.1,28.4,17.8,9.7,6.3
1934,5.0,0.5,7.9,17.4,26.8,32.4,33.8,29.2,24.8,20.1,12.4,1.9
1935,3.1,4.5,13.6,14.5,19.7,25.5,31.3,29.4,25.7,18.8,8.9,-0.3
1936,-1.7,-0.6,12.3,14.2,25.6,29.9,34.9,33.1,27.2,17.9,8.1,6.0
1937,4.5,3.5,7.2,15.9,23.1,27.2,30.1,30.7,24.8,16.1,8.4,1.2
1938,2.2,7.6,13.7,18.0,23.0,26.8,30.1,30.4,25.9,21.9,12.8,4.3
1939,4.8,4.6,11.3,14.2,25.1,28.4,29.7,29.2,30.0,20.7,9.5,5.7
1940,-5.2,2.3,6.9,14.9,20.7,28.2,31.1,30.3,25.6,21.4,9.2,6.3
1941,2.1,1.4,7.1,20.0,25.7,28.4,31.1,30.6,28.2,19.8,10.8,6.3
1942,2.1,0.9,10.9,19.7,23.3,27.9,30.4,28.1,24.4,19.1,11.6,1.2
1943,2.6,6.4,8.4,15.6,22.1,29.8,30.7,30.1,23.6,18.4,8.8,2.9
1944,5.1,5.9,7.9,15.7,25.9,30.7,32.0,30.1,25.6,19.1,9.8,0.4
1945,-1.4,4.2,16.4,17.4,19.8,25.9,29.0,28.7,25.3,17.6,10.6,-0.2
1946,3.3,6.1,16.8,18.5,20.7,27.8,30.5,26.9,26.4,22.0,13.1,6.9
