year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-5.4,-3.2,8.1,19.3,23.3,27.7,29.5,29.4,26.3,14.8,5.6,0.0
1896,-0.4,2.3,4.6,18.7,24.8,27.8,29.1,28.2,20.3,15.2,2.9,2.7
1897,-4.7,-0.2,4.1,13.9,21.7,26.6,30.7,26.8,29.1,20.3,6.9,-4.0
1898,-0.8,0.1,8.7,15.2,21.1,27.5,29.9,28.6,25.0,13.4,5.4,-3.3
1899,-1.9,-5.6,0.1,15.8,21.7,27.4,29.3,29.7,23.9,20.6,11.9,-1.1
1900,0.9,-4.1,4.5,17.8,24.1,27.7,29.3,31.3,24.1,21.2,5.1,1.1
1901,-0.3,-3.0,6.1,16.2,22.7,29.1,35.7,30.8,23.6,18.4,7.6,-2.9
1902,-0.7,-3.2,8.7,16.0,23.7,24.0,28.4,25.8,20.7,17.9,9.1,-3.0
1903,-1.2,-1.8,8.7,16.0,22.0,24.1,28.7,26.0,21.9,17.4,5.7,-1.8
1904,-5.6,-4.3,6.2,12.7,21.9,25.6,27.4,27.0,23.7,17.3,10.9,-0.3
1905,-7.1,-5.1,10.3,14.8,20.9,27.1,27.2,29.5,24.4,15.1,8.7,1.9
1906,0.7,0.8,1.1,17.7,22.7,26.6,28.4,29.3,25.6,16.3,5.4,0.5
1907,-3.6,1.0,10.1,11.3,18.5,24.9,29.0,27.5,22.9,16.5,7.4,1.9
1908,1.0,-0.2,8.5,16.6,21.1,24.9,29.0,27.3,26.8,16.2,9.2,1.7
1909,-2.0,1.4,4.5,12.1,20.8,26.2,27.8,30.9,22.7,15.6,10.5,-6.2
1910,-3.9,-2.6,16.4,18.5,19.4,27.9,31.0,28.6,23.2,19.6,5.3,-0.6
1911,-1.7,1.6,10.6,13.8,25.1,31.4,31.7,28.6,24.6,13.9,3.4,1.3
1912,-11.4,-3.4,0.9,15.8,23.5,25.7,30.2,27.6,22.3,17.5,10.0,3.6
1913,-1.0,-1.2,5.6,16.3,20.8,28.4,31.4,31.7,24.2,15.4,10.8,3.8
1914,1.9,-3.3,6.4,15.3,23.4,28.3,31.6,29.9,24.1,18.8,11.0,-5.1
1915,-4.1,1.6,2.2,20.6,19.2,24.2,26.1,24.8,23.0,18.6,9.6,-0.4
1916,-3.2,-2.6,7.6,14.1,21.6,24.0,33.5,30.0,23.5,16.7,8.0,-2.1
1917,-3.2,-3.0,6.9,13.0,19.6,24.8,30.1,27.6,22.9,11.9,10.1,-5.4
1918,-8.3,1.2,13.2,13.4,25.1,27.7,29.4,30.8,21.4,18.4,8.4,3.7
1919,1.8,0.6,8.6,14.3,20.7,27.6,31.9,28.4,25.9,15.7,5.3,-5.8
1920,-4.6,-0.7,9.0,10.8,21.4,27.5,28.6,27.3,25.2,20.6,5.7,0.3
1921,1.4,4.4,11.9,17.6,23.5,29.8,32.0,28.3,25.6,18.7,4.9,2.4
1922,-1.8,1.0,8.2,15.7,23.4,28.9,27.9,29.4,25.9,20.2,9.3,0.4
1923,0.8,-1.2,4.2,15.4,21.6,27.1,31.2,27.3,23.3,14.9,9.6,5.1
1924,-5.2,1.1,3.4,16.7,18.8,24.8,27.6,27.6,20.8,21.2,9.0,-5.2
1925,-2.6,2.8,11.1,20.4,21.9,27.3,30.2,29.0,26.4,9.1,7.4,-2.3
1926,-1.0,3.3,5.0,14.7,25.3,25.8,30.0,28.9,21.9,15.9,4.1,-1.9
1927,-2.0,3.7,9.1,14.4,20.2,25.1,29.8,26.6,25.5,19.6,7.4,-2.6
1928,0.4,2.4,9.6,12.9,24.1,23.9,29.4,28.7,22.4,18.1,7.3,2.0
1929,-7.5,-5.2,9.1,16.2,20.4,26.0,29.4,28.6,22.6,16.7,4.4,-0.3
1930,-7.4,6.7,9.1,17.8,21.7,26.9,32.8,30.3,26.2,15.5,10.7,0.4
1931,2.9,7.2,6.3,17.3,20.9,30.1,32.2,29.4,27.7,18.7,10.9,3.8
1932,-2.1,3.1,2.4,15.9,23.7,28.1,30.9,28.1,23.6,15.6,5.4,-1.6
1933,4.7,0.3,7.1,15.4,21.5,33.1,31.2,27.7,27.2,16.2,8.8,1.8
1934,0.9,1.4,7.4,17.0,29.2,32.6,33.5,29.9,22.2,20.1,9.5,-2.4
1935,-2.5,1.7,10.0,13.1,17.9,24.3,32.5,29.3,24.7,16.6,4.6,-2.1
1936,-8.7,-9.8,9.4,13.9,25.5,28.2,36.9,33.6,25.5,16.1,7.0,2.1
1937,-6.0,-2.5,4.7,13.5,22.6,26.4,31.3,31.7,26.1,15.9,6.2,-1.7
1938,-2.2,2.2,12.1,15.5,20.8,26.8,31.3,30.5,25.7,22.3,7.9,0.8
1939,1.9,-0.7,8.1,14.9,26.4,27.8,31.2,27.8,28.3,18.7,10.2,4.9
1940,-9.1,-0.7,3.6,14.3,21.5,28.2,31.8,26.4,25.6,21.1,5.0,0.9
1941,-1.6,-1.2,5.2,17.7,25.5,26.6,30.6,30.4,24.9,17.5,8.7,3.7
1942,-1.9,-1.4,7.6,19.4,20.7,26.3,29.5,28.1,21.5,18.2,8.5,-3.2
1943,-4.5,2.8,5.2,15.7,19.8,27.1,30.3,28.7,21.8,17.4,5.1,1.6
1944,4.0,2.2,2.7,12.0,23.7,27.4,29.0,27.6,23.4,18.4,7.4,-2.9
1945,-3.8,0.4,13.3,14.8,18.6,23.0,28.6,28.2,22.8,17.4,7.3,-4.6
1946,-0.8,3.4,13.6,18.7,19.4,27.0,29.3,26.1,23.3,19.0,7.9,3.2
1947,0.9,-3.3,3.8,13.6,19.2,24.1,29.1,33.6,26.1,21.9,3.3,0.8
1948,-3.7,-0.2,5.5,18.9,21.3,26.3,30.2,29.4,26.7,17.7,7.4,0.3
1949,-3.8,-1.7,5.6,16.6,23.6,28.4,30.5,29.1,21.9,19.2,10.9,2.1
1950,-2.1,-0.4,4.0,11.4,21.5,26.3,27.1,25.6,23.6,21.1,5.8,-3.1
1951,-3.5,0.3,1.8,11.4,22.8,23.6,27.8,26.7,21.0,16.2,4.1,-2.5
1952,-1.8,3.1,3.8,16.2,21.1,29.5,29.8,26.7,25.6,16.6,9.0,-0.3
1953,-1.7,1.8,7.3,11.8,21.4,28.9,29.8,29.4,26.1,21.8,10.7,2.4
1954,-1.9,7.9,4.9,17.8,19.4,28.3,31.6,27.5,25.1,15.7,10.3,1.1
1955,-2.4,-1.5,6.6,20.1,24.3,25.5,32.4,32.1,26.4,18.2,4.4,-2.2
1956,-3.0,0.0,6.4,14.9,23.3,30.4,28.8,28.6,24.9,22.1,7.2,1.9
1957,-5.0,3.1,7.1,15.2,20.6,26.3,31.3,28.5,21.9,14.8,5.3,3.5
1958,-1.4,-3.3,5.1,15.8,24.0,24.8,26.6,28.8,24.2,19.6,10.2,-1.3
1959,-4.8,-1.4,6.4,15.7,22.5,28.1,28.6,29.9,23.1,13.9,3.1,3.5
1960,-3.0,-2.9,-1.4,16.1,21.3,25.3,28.8,28.5,24.3,17.9,9.7,0.1
1961,-1.4,3.0,6.3,11.9,20.4,27.1,28.5,28.4,22.1,18.5,6.8,-3.0
1962,-5.5,-2.3,2.5,14.9,25.0,26.3,27.4,28.2,22.1,18.0,8.9,0.4
1963,-8.3,-1.4,9.5,17.4,21.4,29.5,29.6,27.3,24.1,23.8,10.8,-5.2
1964,2.0,3.7,5.6,15.8,24.9,27.1,30.8,26.8,22.7,17.4,10.0,-1.7
1965,-2.9,-1.3,-0.6,14.2,24.3,26.3,28.6,27.6,20.3,18.2,9.0,4.7
1966,-6.4,0.8,10.3,12.7,20.9,26.7,30.8,26.8,22.7,18.2,8.3,-0.2
1967,-0.3,-0.7,9.8,16.1,19.9,25.8,28.1,26.7,22.8,15.9,6.4,1.3
1968,-2.4,-0.2,13.0,17.2,20.1,28.1,28.7,28.1,22.9,17.7,6.1,-1.7
1969,-5.7,-0.6,2.7,16.3,22.3,24.3,28.8,28.7,23.6,14.6,8.3,-1.5
1970,-7.2,1.9,4.2,16.3,23.8,27.4,30.0,28.2,23.2,15.9,6.3,0.4
1971,-5.6,-1.8,4.8,17.2,20.7,29.9,27.4,28.3,25.3,19.9,7.8,0.4
1972,-4.1,-1.8,7.1,14.2,22.4,27.0,27.7,27.4,23.3,14.5,4.3,-3.8
1973,-1.9,0.8,10.1,13.8,20.2,28.1,28.6,28.8,21.9,19.8,7.9,-2.3
