year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,1.3,1.9,13.4,23.0,26.8,29.2,30.2,31.0,30.3,18.9,10.9,6.0
1896,6.7,10.1,10.3,22.9,27.2,30.9,32.2,33.1,25.7,19.4,9.1,10.6
1897,3.1,5.8,12.3,18.7,24.8,30.8,33.9,31.3,31.0,23.2,12.8,3.6
1898,4.7,9.4,12.8,18.7,22.9,29.6,32.1,32.6,27.8,18.2,10.1,2.5
1899,4.4,-0.8,9.4,19.2,26.4,29.4,30.9,34.2,28.6,23.5,14.7,4.2
1900,7.7,4.1,12.4,18.8,24.9,31.0,32.4,34.2,27.4,22.7,11.7,8.1
1901,6.4,3.3,12.6,17.7,24.7,32.7,37.8,33.4,27.2,21.9,14.0,5.3
1902,5.3,3.5,13.3,19.9,26.1,27.8,31.4,32.4,24.8,21.9,12.9,2.1
1903,5.4,2.3,11.4,19.7,22.2,25.3,32.6,30.4,26.8,21.1,10.9,7.8
1904,5.0,8.1,15.7,17.6,23.3,27.3,30.4,30.1,28.2,21.7,15.8,5.4
1905,-0.8,-0.4,15.6,18.0,23.4,30.4,30.2,33.0,28.6,18.6,14.2,6.4
1906,7.5,9.1,4.9,21.2,25.2,29.2,29.9,30.9,27.2,18.6,9.9,7.9
1907,3.4,9.3,18.3,16.3,21.3,29.1,32.4,31.9,28.4,20.7,12.2,5.7
1908,7.8,8.4,16.1,20.0,24.3,28.3,30.6,31.0,28.7,19.2,13.1,7.6
1909,4.1,10.4,11.7,18.7,24.1,29.1,32.1,33.9,28.4,21.0,14.5,-1.1
1910,3.3,5.4,22.1,21.8,21.8,29.5,34.1,30.8,28.1,23.8,14.2,6.4
1911,7.6,7.8,16.0,19.7,25.6,34.9,32.9,31.7,30.7,18.6,10.4,3.8
1912,-2.6,4.3,3.8,18.8,26.3,27.6,33.7,31.6,25.4,21.7,14.6,7.8
1913,4.6,2.6,11.2,21.4,26.5,30.0,35.7,37.7,26.2,18.6,14.4,4.1
1914,8.2,5.7,13.4,19.6,23.7,32.3,33.6,32.7,29.6,20.9,16.8,-0.5
1915,3.6,7.8,4.0,21.0,21.7,26.2,29.2,26.7,26.3,22.2,16.0,7.1
1916,1.1,7.0,17.1,16.6,24.9,27.8,35.2,33.6,27.4,20.9,13.1,4.4
1917,5.9,7.9,13.9,17.7,20.5,30.6,35.2,29.6,27.4,18.0,15.5,2.8
1918,-1.1,10.1,17.1,15.3,26.4,33.3,32.8,35.3,25.1,21.3,10.5,6.2
