year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,14.1,10.3,21.4,25.3,28.2,31.7,32.8,32.6,32.6,25.2,19.8,16.2
1896,13.8,17.2,20.2,26.7,31.3,32.9,34.8,34.8,31.6,25.7,21.5,16.7
1897,13.0,17.5,23.7,24.9,28.8,33.2,34.3,33.2,31.9,28.7,21.1,15.2
1898,17.2,18.1,21.6,23.4,30.1,32.1,32.4,32.3,30.6,24.7,17.3,13.9
1899,14.7,11.6,21.9,23.6,31.7,32.6,34.1,34.5,30.9,27.5,21.3,15.3
1900,14.5,15.3,19.8,25.1,29.0,31.3,31.8,32.7,33.1,27.2,21.3,16.3
1901,17.0,14.6,21.0,23.9,29.2,33.8,34.2,33.2,29.9,26.6,20.2,15.3
1902,14.6,13.4,21.3,25.7,30.3,34.1,33.6,34.8,30.0,25.8,21.9,15.4
1903,13.8,16.1,20.9,24.8,27.6,29.9,32.4,32.8,30.6,26.1,19.8,15.1
1904,14.5,19.1,23.7,24.3,28.7,32.5,31.9,32.1,32.2,27.8,20.5,15.9
1905,12.2,10.7,22.9,24.8,30.0,32.6,31.8,33.2,31.7,25.2,21.3,12.7
1906,15.6,15.6,18.6,25.3,29.2,33.6,32.3,33.4,31.9,23.5,22.1,18.4
1907,20.6,19.1,26.2,23.2,26.6,31.9,33.7,33.7,31.8,26.1,18.7,16.6
1908,15.6,16.7,24.8,27.7,28.7,32.5,32.5,32.7,30.2,25.1,21.9,18.4
1909,17.7,18.8,22.1,24.8,28.3,31.9,34.0,33.8,31.8,27.8,24.9,13.2
1910,17.1,15.4,25.0,25.2,28.3,31.1,32.3,33.6,32.8,27.0,21.3,15.6
1911,19.3,20.8,24.0,25.7,30.1,34.6,31.4,32.6,33.6,27.1,19.1,16.2
1912,13.1,14.9,18.7,25.3,29.3,30.3,33.3,32.8,32.1,27.3,20.3,14.7
1913,17.9,15.6,20.1,24.6,28.6,31.7,32.8,33.1,28.7,23.7,22.8,14.8
1914,17.9,15.8,18.9,24.6,28.8,34.6,34.0,32.1,30.9,25.5,19.7,11.9
1915,14.0,16.7,15.9,25.7,29.8,33.5,33.5,31.8,31.9,27.2,22.7,16.9
1916,18.6,18.0,22.8,24.0,29.6,32.1,32.8,33.3,31.1,26.9,21.6,17.6
1917,16.9,18.8,22.1,24.4,27.0,33.2,34.1,33.0,30.1,25.3,20.2,13.6
1918,11.9,20.1,24.4,24.1,29.8,34.0,34.7,33.5,29.6,26.3,18.7,17.4
1919,13.8,16.6,22.0,24.9,27.4,30.7,33.1,33.4,30.8,28.4,21.6,16.9
1920,14.8,16.8,19.6,24.4,29.9,31.3,32.6,32.0,32.1,25.9,18.1,15.2
1921,18.6,19.3,25.4,24.2,29.3,32.2,33.4,34.3,33.3,26.9,23.8,19.6
1922,13.7,19.2,20.7,26.2,29.1,32.2,32.8,32.8,31.5,26.6,21.8,19.8
1923,19.6,16.7,19.9,24.9,27.9,31.3,32.1,32.7,30.5,24.9,18.8,18.1
1924,13.4,16.1,18.4,24.9,27.3,33.2,34.7,35.9,31.5,28.1,23.0,15.7
1925,15.3,20.4,23.1,27.8,29.4,33.3,34.0,34.1,33.6,25.2,19.3,14.4
1926,13.8,19.3,17.7,23.4,28.4,32.5,33.1,33.2,32.6,27.7,18.1,18.4
1927,18.1,21.4,21.1,26.6,29.4,31.4,33.6,33.1,32.1,28.4,24.2,15.1
1928,15.6,16.5,21.8,22.7,28.8,30.7,33.0,33.9,29.8,28.2,19.8,16.2
1929,16.8,14.1,22.6,26.5,28.4,32.2,32.8,34.0,31.2,26.5,16.5,15.6
1930,14.0,20.3,18.7,27.3,28.5,32.9,35.2,33.9,30.7,25.0,19.3,13.6
1931,14.8,18.6,18.1,23.7,27.3,33.1,33.8,31.8,33.2,28.3,23.5,18.1
1932,17.8,21.7,18.9,26.0,28.0,33.1,34.6,33.8,30.9,25.6,18.0,14.4
1933,18.4,16.8,21.8,24.9,30.6,32.6,32.1,32.9,33.6,27.3,21.8,21.6
1934,16.3,17.1,20.8,25.6,28.5,33.5,33.8,33.9,30.8,28.5,22.2,16.4
1935,17.7,18.3,24.1,24.9,28.6,31.6,33.7,34.0,30.3,28.2,19.9,13.9
1936,14.3,14.9,23.4,25.0,28.7,34.4,33.1,34.4,32.9,26.4,19.5,16.7
1937,18.5,17.0,18.6,25.2,30.1,32.8,33.4,33.3,31.1,25.2,18.1,15.1
1938,15.8,20.0,24.8,24.2,29.1,32.2,33.2,33.5,31.4,28.2,20.8,16.5
1939,17.7,18.6,22.7,24.6,28.8,32.3,34.0,33.7,33.0,27.5,18.9,18.3
1940,8.7,14.9,21.7,24.0,28.4,30.6,31.8,31.4,30.3,27.6,19.2,17.6
1941,16.7,14.4,17.4,25.7,29.1,31.3,32.9,33.9,31.3,28.8,19.3,17.3
1942,14.4,14.6,19.9,24.7,28.4,31.6,32.8,32.8,29.7,27.3,22.8,17.2
1943,16.3,18.9,19.4,26.3,30.9,33.6,34.1,35.2,29.2,25.2,19.4,15.4
1944,14.9,19.7,21.4,24.6,28.8,33.6,34.6,33.7,31.3,27.2,20.4,14.9
1945,15.2,19.1,24.3,25.6,28.1,32.1,32.0,32.5,31.8,25.3,22.4,14.4
1946,14.5,18.4,22.6,26.7,28.1,30.8,32.3,32.6,30.0,27.1,21.3,19.0
1947,14.7,14.2,17.8,25.1,28.6,32.4,33.7,34.5,32.5,29.4,18.4,16.4
1948,11.1,16.3,21.1,27.3,29.8,33.8,34.9,34.3,30.1,26.7,20.4,18.4
1949,17.2,18.3,20.6,23.4,30.4,32.6,32.8,32.7,30.6,26.2,21.7,18.3
1950,21.0,20.1,20.1,23.6,29.7,31.6,32.1,32.9,30.2,27.8,20.1,14.9
1951,16.9,17.8,21.4,23.9,29.8,32.8,33.8,36.2,31.2,27.7,19.0,19.1
1952,20.2,18.7,20.6,23.8,29.4,34.1,33.8,34.3,31.2,25.3,19.5,15.9
1953,18.3,16.9,23.6,25.0,29.5,34.7,32.8,32.8,32.6,28.3,19.9,14.8
1954,17.2,21.6,20.6,27.4,26.8,33.4,34.8,35.5,33.6,27.2,20.4,18.0
1955,15.3,17.6,23.6,26.8,30.6,31.5,32.6,32.4,31.9,27.0,20.2,16.8
1956,15.3,19.2,21.2,24.5,30.4,31.5,34.2,34.1,31.9,28.1,20.7,20.2
1957,16.9,20.6,20.2,25.2,29.2,31.5,33.9,33.3,28.8,23.7,19.6,18.1
1958,13.3,12.7,18.2,24.8,29.1,32.4,33.2,32.8,30.4,25.0,21.2,14.8
1959,14.4,16.8,20.3,24.0,29.8,31.4,32.7,32.9,30.9,26.4,19.1,16.7
1960,13.8,13.8,16.8,26.1,28.6,33.4,35.0,32.2,31.2,26.8,21.3,14.1
1961,12.3,18.6,22.6,23.8,28.6,30.2,31.9,31.8,30.2,26.1,19.2,16.4
1962,13.7,21.8,19.0,23.9,30.7,31.7,34.8,35.2,31.7,27.8,19.2,15.5
1963,12.4,15.4,23.9,27.3,30.4,33.1,33.3,34.0,31.1,29.9,21.3,11.8
1964,14.3,14.4,21.2,25.8,29.8,32.4,33.0,33.3,30.9,24.9,22.3,16.6
1965,17.7,16.4,18.0,27.3,29.2,32.2,33.8,32.8,30.7,25.5,23.3,17.4
1966,11.3,15.0,20.3,25.3,28.2,31.7,34.2,31.8,30.1,24.9,22.1,15.3
1967,15.0,15.7,23.9,27.6,28.2,32.3,31.7,31.6,28.8,26.6,21.1,16.9
1968,13.7,13.4,19.2,25.1,28.6,31.9,32.4,32.7,29.6,26.8,19.1,15.4
1969,15.4,15.9,16.8,25.0,28.8,32.7,34.3,33.3,31.1,26.6,20.6,16.8
1970,11.8,16.7,19.1,26.1,28.7,31.5,32.6,32.8,31.5,24.3,18.7,19.1
1971,16.2,17.5,19.9,25.0,27.7,32.9,32.9,31.9,30.2,27.8,20.9,19.4
1972,17.6,17.7,22.4,25.9,28.9,32.6,32.1,33.4,32.6,25.7,16.6,15.7
1973,13.0,15.4,22.1,22.8,28.1,31.7,33.4,32.0,30.1,27.8,23.5,16.6
1974,17.1,18.3,23.6,25.1,29.4,30.9,33.2,32.3,28.1,25.8,20.0,16.2
1975,17.7,18.4,20.7,23.7,28.8,31.4,32.4,32.2,29.0,26.4,20.9,15.4
1976,15.1,21.1,21.7,26.0,27.0,30.8,32.3,33.1,30.4,22.9,16.3,15.0
1977,9.6,17.5,22.2,25.7,30.0,33.8,34.1,32.3,31.6,25.9,20.8,16.0
1978,8.7,11.3,19.4,26.1,29.6,32.6,34.3,33.7,30.8,27.0,22.9,16.9
1979,10.0,13.7,21.4,24.8,27.9,31.8,32.6,32.8,29.4,27.4,19.1,16.0
1980,15.6,14.9,19.7,24.0,28.6,33.3,35.6,35.0,33.6,25.3,18.9,16.6
1981,13.8,16.4,20.8,27.6,27.7,32.5,33.9,33.7,30.7,25.6,22.3,15.7
1982,16.1,15.2,21.9,24.0,29.4,32.6,33.7,33.4,30.6,25.7,20.8,18.3
1983,13.6,15.6,19.8,22.2,27.8,30.2,33.6,33.6,30.1,26.6,20.7,11.9
1984,12.2,18.0,21.0,25.1,29.0,31.7,32.6,32.3,29.9,27.1,19.8,20.9
1985,11.8,14.4,23.1,26.2,29.4,32.7,32.9,33.5,30.5,25.9,22.7,14.7
1986,16.4,19.5,22.5,25.7,29.1,32.0,34.1,33.2,32.2,25.4,20.4,14.0
1987,13.8,16.8,20.8,25.8,29.8,31.4,33.0,33.8,31.0,25.4,21.2,17.8
1988,12.6,16.1,20.8,25.8,29.4,32.3,32.7,32.9,30.7,24.7,22.4,17.2
1989,18.0,15.1,20.9,24.9,28.8,30.2,31.7,32.5,29.4,26.4,21.7,11.6
1990,17.7,19.9,21.5,25.0,28.4,33.3,33.0,34.3,32.2,26.1,22.7,17.6
1991,13.2,18.2,21.9,25.6,28.5,31.7,33.1,32.3,29.9,27.3,18.2,17.6
1992,14.2,19.1,21.7,24.5,28.0,31.2,32.9,31.2,29.9,26.4,18.0,16.3
1993,15.2,17.1,19.4,22.5,27.4,31.6,33.5,34.5,31.9,25.3,18.6,16.1
1994,13.8,17.6,21.6,25.7,27.7,31.8,32.1,32.0,30.3,25.1,22.2,16.9
1995,15.8,18.3,21.2,25.0,29.2,31.9,33.4,34.4,31.8,26.5,20.0,15.7
1996,16.1,17.6,19.1,24.4,30.4,31.6,33.1,31.8,29.9,25.6,20.6,18.0
1997,14.6,16.8,23.3,22.4,28.0,31.0,33.8,32.9,32.2,25.9,18.2,15.2
1998,17.0,17.5,20.3,24.3,30.9,34.0,35.4,34.6,31.9,27.3,21.4,17.0
1999,18.5,20.6,20.9,27.4,29.4,31.6,33.1,35.8,31.2,26.6,23.1,17.3
2000,17.4,21.1,23.9,24.7,30.2,31.9,34.6,35.8,31.9,27.0,18.4,12.0
2001,13.0,19.6,18.6,26.8,29.7,30.8,33.2,32.4,29.5,24.9,23.6,18.4
2002,16.8,16.1,20.8,26.3,29.2,31.6,33.3,32.9,30.8,25.1,19.1,16.2
2003,13.5,15.5,20.6,25.7,30.0,31.4,32.4,33.4,30.1,26.5,23.1,16.4
2004,15.9,14.6,23.5,25.1,28.5,31.0,32.7,32.3,31.4,28.3,21.6,16.2
2005,17.3,17.4,20.3,25.2,29.1,32.7,33.4,34.6,33.7,26.9,22.8,16.2
2006,19.5,16.6,22.7,27.9,29.5,33.0,33.2,34.4,30.8,26.5,21.2,16.9
2007,14.6,16.4,24.1,23.8,28.9,32.2,31.4,34.7,31.3,27.1,21.4,19.1
2008,14.6,19.6,22.2,25.4,28.8,32.8,34.2,32.3,29.2,25.7,20.6,17.4
2009,16.6,19.6,21.7,24.8,28.6,33.5,33.6,32.7,29.9,24.7,20.8,13.8
2010,13.3,12.1,19.4,26.3,31.1,33.9,33.4,34.7,32.9,28.3,21.2,15.3
2011,13.9,17.5,23.2,27.8,29.3,34.9,34.2,36.8,30.9,26.5,21.9,16.2
2012,19.2,18.1,25.3,26.8,30.6,32.9,33.0,32.8,30.9,25.4,21.2,18.7
2013,16.3,17.9,19.8,24.1,27.6,32.3,32.4,33.3,32.7,26.1,18.6,15.2
2014,13.2,15.6,19.1,24.6,27.9,31.3,31.9,32.5,30.8,27.2,18.1,17.2
2015,14.3,14.7,21.4,26.0,28.9,32.0,34.4,34.1,31.9,27.4,22.2,20.5
2016,15.1,19.3,23.2,25.5,28.3,32.0,33.9,32.6,32.1,28.9,23.6,17.6
2017,19.0,22.3,23.8,26.9,27.7,30.2,33.0,31.4,30.9,27.2,22.7,15.8
2018,12.8,20.8,22.9,23.7,31.6,33.0,34.0,33.3,31.2,26.8,18.0,16.4
2019,15.5,19.2,20.5,24.3,29.4,32.1,32.5,33.7,33.9,26.4,19.4,18.2
2020,17.1,17.6,24.7,25.1,28.2,31.6,32.8,33.4,30.1,26.1,23.1,16.6
2021,15.5,14.0,22.7,23.9,27.1,31.5,32.4,33.2,30.2,27.9,20.3,22.1
2022,15.9,17.4,22.0,25.9,30.7,33.8,34.1,32.2,31.4,26.7,20.3,17.4
2023,18.8,20.1,23.6,24.4,29.5,33.5,35.1,37.7,33.4,27.4,,
