year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-4.7,-4.7,0.3,9.7,18.9,23.8,24.1,22.5,20.6,10.3,5.5,-0.9
1896,-6.3,-4.2,0.0,10.0,18.2,22.0,24.5,22.6,17.2,9.9,4.2,-4.3
1897,-4.6,-2.4,0.9,9.2,15.3,18.7,24.3,22.2,18.3,14.2,3.1,-2.6
1898,-6.2,-1.4,5.1,7.8,16.2,20.4,24.3,23.6,19.8,12.3,4.3,-3.2
1899,-4.7,-5.6,-0.5,10.8,17.1,22.3,23.3,23.4,17.8,13.4,3.6,-0.6
1900,-3.2,-2.9,0.8,10.3,15.1,23.2,24.4,23.8,20.0,14.4,4.5,-3.8
1901,-6.3,-5.8,1.1,9.7,16.4,22.6,24.8,23.2,19.8,12.5,1.4,-2.1
1902,-4.7,-2.6,5.4,9.3,15.1,19.0,22.6,21.5,19.1,12.3,6.5,-3.7
1903,-3.7,-1.9,6.3,10.0,18.8,19.1,22.2,20.2,20.3,12.1,3.4,-4.3
1904,-8.6,-7.3,1.2,7.8,18.9,21.1,24.5,21.7,16.4,10.3,1.7,-8.1
1905,-7.0,-6.0,1.8,9.4,16.1,20.2,24.6,22.4,17.0,12.6,3.3,-1.9
1906,-1.5,-2.3,-1.3,7.9,14.7,21.6,24.6,24.8,19.2,12.7,2.6,-4.6
1907,-6.7,-6.5,1.7,7.2,13.3,21.8,23.2,21.8,17.8,10.4,4.0,-0.4
1908,-3.0,-4.3,1.6,8.2,17.4,23.8,26.3,22.2,22.3,15.0,3.8,-3.7
1909,-4.8,-3.1,0.8,7.3,14.8,22.8,23.1,23.8,18.6,12.1,5.8,-3.2
1910,-2.4,-3.7,4.2,10.9,15.8,19.7,25.2,22.6,18.3,12.0,2.7,-5.1
1911,-4.6,-5.6,0.2,9.1,21.6,21.4,27.2,23.1,17.1,11.5,3.1,-0.3
1912,-8.8,-3.9,0.4,8.4,17.2,20.8,24.6,19.8,17.5,13.6,4.8,-0.4
1913,-0.6,-5.6,3.9,10.9,14.8,21.5,24.7,23.5,18.4,13.9,6.3,-0.8
1914,-6.7,-7.3,1.4,6.7,18.2,20.5,23.6,22.5,19.7,13.8,3.0,-3.7
1915,-3.2,-0.9,1.2,10.4,15.3,21.8,23.5,22.0,19.7,13.2,4.4,-1.5
1916,-3.3,-5.1,-1.4,9.9,16.2,19.8,25.2,24.5,19.0,13.1,2.8,-3.2
1917,-5.7,-5.9,1.5,7.1,11.6,19.9,24.9,23.8,18.3,10.3,1.4,-7.5
1918,-9.0,-5.1,1.1,10.6,18.8,19.8,23.9,23.3,16.6,12.2,4.2,-2.4
1919,-3.7,-1.9,3.7,7.9,16.6,24.2,25.4,21.7,17.4,11.1,3.2,-5.1
1920,-9.2,-4.4,3.2,7.1,17.3,22.1,23.9,25.3,19.1,15.4,1.8,-2.6
1921,-3.5,-2.7,5.5,12.2,19.1,22.1,27.9,22.8,20.7,12.6,0.4,-3.3
1922,-5.8,-3.8,3.6,9.8,18.2,21.6,24.4,23.2,19.6,11.0,3.4,-4.6
1923,-6.7,-7.6,-1.9,7.2,15.8,22.2,22.9,21.3,19.2,13.4,5.5,0.8
1924,-4.1,-6.0,2.1,7.1,14.3,20.9,25.1,23.1,18.2,13.5,5.6,-5.0
1925,-7.9,0.1,3.7,9.8,14.7,22.1,23.0,23.9,17.4,7.1,3.9,-3.5
1926,-5.3,-5.0,-1.0,5.0,14.5,20.0,24.1,22.3,17.8,11.3,4.6,-5.0
1927,-3.8,-4.2,4.0,10.1,13.8,20.4,24.3,21.6,19.3,13.2,6.7,-0.6
1928,-4.1,-3.7,0.6,7.2,15.5,20.0,24.7,23.3,16.6,12.1,3.5,0.0
1929,-4.9,-3.1,2.8,8.2,17.2,21.7,24.9,22.0,19.7,11.3,4.1,-4.6
1930,-4.4,-2.2,1.3,8.7,17.3,24.4,24.2,22.3,19.8,13.2,6.0,-2.5
1931,-4.8,-2.6,4.0,11.3,17.8,21.4,25.3,23.1,18.7,14.1,7.6,-1.2
1932,-0.2,-4.6,-0.2,8.8,18.3,22.4,23.0,24.7,19.6,13.2,3.8,0.3
1933,0.3,-1.1,0.7,8.5,17.8,22.9,23.8,23.4,18.7,11.7,1.0,-7.0
1934,-5.8,-8.1,1.6,10.1,18.8,21.4,25.1,22.0,20.3,10.1,5.2,-5.2
1935,-8.1,-4.0,1.9,8.8,15.4,21.5,25.9,24.9,17.4,13.2,5.7,-5.3
1936,-5.3,-6.2,5.6,7.2,17.2,22.8,22.8,22.3,18.2,11.7,1.4,-1.1
1937,-0.6,-0.6,0.5,10.1,19.1,22.2,26.4,26.9,19.9,11.8,4.2,-3.7
1938,-4.7,-3.1,2.0,10.9,16.1,24.1,23.9,24.9,17.7,14.6,6.2,-1.4
1939,-4.9,-3.5,-0.6,6.7,17.2,21.8,25.6,25.7,18.4,11.7,3.0,-2.7
1940,-7.0,-2.3,0.9,7.3,16.9,20.9,25.2,24.3,18.4,10.7,3.3,-2.9
1941,-6.4,-2.0,0.6,12.5,18.2,23.5,26.0,22.3,20.0,11.2,5.1,-0.8
1942,-5.1,-4.6,4.2,10.8,18.9,23.1,24.6,23.9,20.1,14.3,4.4,-5.3
1943,-7.1,-1.6,0.8,6.8,16.8,21.9,25.3,22.5,18.7,12.6,4.1,-5.1
1944,-3.3,-3.7,1.0,7.8,20.6,21.8,25.3,26.8,19.4,11.7,5.0,-3.6
1945,-6.8,-2.4,6.5,13.1,14.5,20.9,25.0,24.7,20.2,10.8,3.9,-4.3
1946,-5.0,-4.8,8.1,7.8,16.7,22.6,24.7,22.7,21.3,15.7,5.3,-2.7
1947,-4.1,-2.4,3.0,7.4,15.1,21.3,26.1,26.1,20.0,17.3,4.1,-4.2
1948,-6.6,-4.4,2.3,9.2,15.1,20.7,25.7,25.1,21.0,12.9,7.4,-0.2
1949,-2.1,-1.7,2.6,11.2,18.1,24.4,26.6,25.2,18.2,15.4,2.6,0.0
1950,-1.6,-5.1,0.6,8.2,18.9,22.3,24.8,23.6,16.9,12.4,7.6,-0.3
1951,-2.3,-0.8,2.4,10.0,17.9,21.3,24.8,23.0,19.7,13.4,3.8,-2.3
1952,-2.7,-1.8,2.3,10.6,15.4,23.1,28.8,25.2,20.1,11.2,4.8,-1.0
