year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-0.2,-1.3,4.1,12.4,21.2,25.2,24.6,25.8,23.2,12.8,9.9,4.6
1896,-1.8,1.2,3.2,14.8,22.0,23.1,26.4,25.9,20.2,12.3,10.8,1.2
1897,1.0,1.5,6.0,14.4,19.1,21.6,26.3,24.2,21.3,16.6,7.7,2.9
1898,0.3,2.6,9.6,10.5,17.9,23.7,26.9,25.9,23.2,15.5,7.6,1.9
1899,1.1,-0.9,3.6,13.8,20.1,26.1,26.6,25.2,20.6,15.7,7.6,4.1
1900,1.8,0.8,4.2,12.8,19.1,25.3,27.7,26.4,23.1,16.9,8.8,2.6
1901,-0.2,-2.4,4.8,10.8,17.9,25.3,27.7,25.7,22.3,16.2,4.8,2.3
1902,-0.2,0.6,9.4,13.4,19.4,22.9,24.1,24.0,20.7,15.1,10.9,0.6
1903,0.4,2.0,10.7,13.5,21.9,19.8,26.3,21.8,22.2,15.2,6.8,0.1
1904,-3.7,-2.3,4.5,11.4,21.6,23.3,26.1,24.4,20.9,13.9,5.6,-1.5
1905,-1.7,-2.2,6.0,13.2,19.5,23.3,27.1,24.1,20.3,16.0,7.9,3.9
1906,3.7,2.1,2.8,13.2,20.0,24.3,25.9,26.6,23.2,15.4,7.2,0.3
1907,-0.4,-2.6,6.7,10.4,16.1,23.2,27.1,25.1,20.8,13.4,7.6,4.0
1908,2.0,-0.6,6.6,12.9,20.1,26.1,28.2,24.2,22.9,17.7,7.7,2.4
1909,1.4,3.2,4.6,12.5,18.1,24.7,26.2,24.9,21.1,14.8,10.3,0.4
1910,1.5,0.9,9.5,15.8,18.6,22.6,28.2,24.3,21.4,16.7,5.9,-0.7
1911,1.9,-0.1,4.7,11.8,22.9,23.1,29.1,25.1,20.6,13.9,7.3,5.0
1912,-4.0,-0.4,4.9,12.8,19.6,24.6,27.3,23.8,20.8,17.1,9.2,4.9
1913,6.1,0.2,9.1,13.1,18.1,24.7,27.9,25.9,20.4,16.1,9.8,4.7
