year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-5.3,-5.9,1.2,13.2,20.6,27.0,26.1,25.8,22.8,11.0,4.6,0.1
1896,-3.0,-2.2,0.1,13.6,22.4,25.2,25.9,25.1,17.9,11.3,4.2,-0.6
1897,-3.4,-2.2,1.9,9.9,16.4,22.2,27.8,23.4,23.8,15.8,3.6,-2.4
1898,-2.1,-2.4,5.6,10.4,18.7,24.8,27.8,24.8,22.2,12.6,3.9,-2.8
1899,-4.4,-6.7,-1.3,13.1,19.1,25.1,26.0,26.8,18.6,16.0,7.2,-1.2
1900,-1.7,-5.2,-0.8,13.2,19.8,23.9,25.4,28.2,22.2,18.6,3.7,-0.9
1901,-3.2,-6.1,1.6,12.8,18.3,25.4,28.5,25.4,21.0,15.1,3.7,-2.8
1902,-2.8,-2.9,6.8,11.7,19.1,21.1,26.5,23.4,19.4,13.6,8.4,-2.0
1903,-3.4,-2.4,6.8,11.4,20.2,21.7,25.8,22.1,20.7,14.6,3.8,-4.4
1904,-7.3,-8.5,1.4,8.3,18.4,23.4,25.2,23.3,19.9,12.7,6.8,-2.8
1905,-5.9,-6.3,4.6,10.5,17.3,23.3,25.1,25.2,22.0,13.8,4.8,0.3
1906,0.7,-2.1,-0.7,13.4,18.1,23.4,26.0,26.4,23.9,13.2,4.8,-1.1
1907,-3.8,-3.4,5.8,6.0,13.9,23.3,25.4,24.0,19.4,12.1,4.3,-0.2
1908,-1.9,-3.6,3.6,11.8,18.6,24.6,26.9,25.2,25.0,15.7,6.6,-1.1
1909,-1.7,-0.9,1.9,8.5,17.3,24.2,26.2,26.2,20.1,11.9,8.9,-3.1
1910,-3.3,-3.6,10.3,13.8,16.0,24.7,28.1,25.1,20.2,15.7,2.3,-3.1
1911,-2.4,-0.7,3.7,10.4,22.0,25.4,27.6,24.8,20.4,12.1,2.9,1.2
1912,-11.1,-6.1,-0.8,11.8,18.9,23.3,25.7,21.9,21.4,15.3,5.9,1.1
1913,-1.4,-4.9,2.8,12.4,17.9,26.1,26.5,26.0,20.9,13.7,7.8,2.9
1914,-1.2,-6.5,2.1,10.6,20.6,23.9,27.3,25.1,21.1,16.8,5.8,-3.5
