year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,11.3,8.6,19.5,24.8,27.3,31.6,32.4,32.4,32.3,23.6,18.0,14.2
1896,11.6,14.8,17.7,26.9,31.2,31.9,34.4,34.7,30.9,24.5,20.3,15.1
1897,10.8,16.2,21.5,23.8,28.0,33.9,34.3,32.8,32.2,28.0,19.8,13.8
1898,15.3,15.2,21.0,22.1,30.2,33.3,32.4,32.3,29.9,22.6,15.9,11.8
1899,12.4,8.8,19.9,22.9,31.5,33.1,33.8,34.2,30.4,26.9,20.5,13.2
1900,12.8,13.6,18.2,24.5,28.7,30.0,32.5,33.8,32.6,25.8,19.4,14.5
1901,14.6,12.5,19.2,22.2,28.3,33.7,35.3,32.6,29.0,25.4,17.8,12.1
1902,12.7,10.4,19.8,24.4,31.1,34.7,34.9,34.4,28.9,24.7,20.9,13.1
1903,12.3,14.7,20.3,24.2,27.5,29.6,33.4,32.9,30.7,25.6,17.8,12.5
1904,12.2,16.6,21.8,22.6,28.6,32.7,32.2,32.3,32.6,27.1,18.9,14.1
1905,9.7,9.1,22.3,24.0,29.2,32.4,32.0,32.9,31.3,23.8,20.0,11.2
1906,14.2,14.3,16.4,25.6,28.1,32.9,32.1,33.5,31.4,22.7,20.6,16.4
1907,18.8,16.6,25.0,21.2,25.8,31.3,33.9,34.3,31.0,25.3,17.4,14.1
1908,13.3,14.0,23.8,26.6,28.4,32.2,33.0,32.4,30.7,24.6,21.4,16.3
1909,15.7,17.4,20.1,24.2,27.0,31.5,33.8,34.1,31.3,26.5,24.2,10.9
1910,14.6,13.1,24.6,24.1,27.2,30.6,31.9,33.5,32.8,26.1,18.6,12.8
1911,16.9,18.8,22.2,24.3,30.3,34.5,31.3,31.8,33.8,26.4,17.2,14.7
1912,10.7,12.6,16.5,24.0,28.8,29.4,32.6,32.7,31.4,26.1,18.7,13.0
1913,16.7,13.8,18.9,23.8,28.6,32.9,33.6,34.2,29.0,23.0,21.7,13.6
1914,15.7,14.1,17.2,24.1,28.9,35.8,34.4,32.2,30.1,24.3,19.3,9.9
1915,12.0,15.1,14.1,25.7,29.5,32.6,33.6,32.2,32.1,26.3,21.2,15.0
