year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-6.6,-2.6,4.7,15.2,17.1,19.8,25.6,25.8,17.9,14.2,3.2,-0.9
1896,-3.2,3.2,1.5,9.9,14.5,24.1,26.9,25.3,16.6,13.4,-5.8,3.0
1897,-3.0,-1.9,-2.1,12.3,22.1,21.2,25.0,27.4,22.1,13.2,-0.1,-2.0
1898,-2.0,2.4,-0.5,11.5,15.6,20.8,25.7,27.5,19.7,8.1,1.2,-2.4
1899,-3.7,-8.8,-2.3,8.7,13.4,20.0,26.9,23.2,21.8,9.9,8.6,-1.8
1900,1.9,-2.7,6.0,13.8,20.2,26.1,27.0,24.7,17.5,12.4,2.0,2.6
1901,-2.2,-2.9,5.7,11.9,20.8,17.8,28.5,26.9,15.0,15.7,6.6,-0.3
1902,-1.8,-0.5,3.7,10.1,17.5,19.3,24.3,25.1,19.1,14.2,2.6,-3.6
1903,-0.6,-3.4,1.9,10.8,15.6,23.1,23.7,24.1,17.1,14.9,2.6,1.3
1904,-1.3,-4.5,-0.4,12.2,16.5,21.6,26.0,25.8,20.8,14.9,9.8,0.8
1905,-5.1,-3.0,8.4,12.1,14.4,19.2,25.7,27.2,21.6,9.5,5.6,-0.8
1906,-0.1,2.0,0.9,14.3,14.9,19.3,27.4,24.6,21.8,13.8,2.7,-0.9
1907,-10.5,0.7,4.3,8.2,13.3,19.2,24.2,23.7,18.3,16.4,6.8,1.1
1908,1.1,0.2,3.2,13.8,14.6,19.3,28.0,24.2,21.2,9.7,6.3,-0.6
1909,-6.1,-0.8,4.3,6.8,15.0,21.1,24.9,27.1,20.6,13.0,4.8,-6.6
1910,-2.7,-4.9,12.1,17.2,17.9,24.2,28.2,24.0,18.1,15.2,3.4,-0.7
1911,-4.9,-3.8,8.2,10.4,16.2,23.2,25.0,22.6,17.6,10.7,-0.8,-2.2
1912,-4.4,0.1,-1.8,11.9,15.8,22.9,23.1,22.5,14.7,10.8,6.7,1.6
1913,-4.9,-4.3,0.0,13.3,15.8,22.4,24.7,26.4,21.2,9.3,6.5,0.9
1914,0.8,-3.0,5.8,11.7,18.0,20.8,28.8,25.5,20.2,12.8,7.7,-5.4
1915,-3.1,0.9,4.0,16.8,15.3,18.3,21.8,26.9,16.0,15.1,4.1,-0.1
1916,-14.1,-1.7,6.1,11.8,14.1,19.6,26.7,25.2,19.2,9.7,3.5,-7.1
1917,-5.1,-5.2,-1.0,7.2,15.2,20.6,29.4,26.2,20.7,11.1,10.1,-3.8
1918,-5.6,-2.2,7.7,9.9,15.9,25.8,25.9,24.1,19.4,14.1,2.9,1.1
1919,3.0,-2.8,2.1,12.8,18.8,26.4,29.3,27.6,20.1,6.0,-1.0,-4.8
1920,-2.4,-0.2,2.3,5.3,15.6,20.8,27.9,26.8,20.3,12.1,3.4,-0.6
1921,1.0,4.0,5.1,10.3,16.0,24.3,27.3,27.2,16.6,16.3,2.3,-2.4
1922,-5.8,-7.4,2.1,9.1,15.8,23.9,25.8,27.7,22.9,15.4,3.4,-5.8
1923,-0.7,-3.6,3.7,10.6,17.4,21.3,27.4,24.3,21.2,10.7,7.8,0.7
1924,-5.3,3.3,1.1,9.7,17.6,19.8,26.4,24.8,20.3,13.9,3.6,-6.6
1925,-1.9,2.6,5.3,13.2,19.0,21.4,27.5,25.9,18.0,5.8,4.8,1.8
1926,-0.1,4.0,6.8,14.1,18.4,22.5,28.6,24.9,14.7,13.6,3.0,-2.5
1927,-3.8,-1.3,4.8,9.7,12.3,20.9,25.7,23.7,18.1,14.2,0.7,-8.6
1928,-1.9,0.3,6.7,9.4,21.2,18.6,25.6,24.3,20.3,11.4,6.0,-0.1
1929,-9.6,-6.1,5.6,9.6,16.3,21.4,28.9,29.4,16.6,14.2,3.1,-2.1
1930,-11.7,3.9,3.9,16.1,16.7,22.8,29.1,27.7,20.1,8.6,4.7,1.0
1931,2.3,4.8,5.0,13.2,19.4,25.2,28.2,27.4,20.3,14.2,2.8,-0.4
1932,-3.9,0.2,-0.1,12.1,17.9,22.2,27.7,26.1,20.8,9.9,5.1,-4.3
1933,-1.1,-4.0,6.2,9.6,15.3,25.9,29.8,25.9,19.9,13.4,7.0,-1.1
1934,2.3,4.6,7.0,15.7,23.4,22.2,28.9,27.5,17.1,14.7,7.8,-0.7
1935,-3.4,3.4,2.9,8.6,14.7,21.6,28.9,26.4,22.2,13.1,1.3,0.9
1936,-5.1,-13.7,3.5,11.2,22.7,25.1,32.2,27.2,21.2,14.4,4.9,-1.4
1937,-13.3,-3.7,3.4,11.1,19.8,22.3,28.4,27.7,21.5,14.1,3.4,-1.3
