year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-1.9,-1.0,9.6,20.1,23.3,26.2,29.4,29.6,27.7,16.7,7.2,2.9
1896,4.5,6.9,4.6,17.4,23.9,28.3,30.0,29.4,21.9,16.8,2.5,6.6
1897,-0.7,2.8,6.5,14.7,23.9,27.2,31.8,28.2,29.2,18.7,7.8,-0.6
1898,2.2,5.4,8.6,16.4,19.4,27.9,30.5,30.8,25.1,14.4,5.9,1.0
1899,1.5,-5.2,2.7,16.6,21.4,28.0,30.0,30.2,26.4,18.9,13.6,1.7
1900,5.2,0.0,9.2,16.6,24.6,29.6,30.4,31.9,24.4,20.6,8.0,5.9
1901,3.6,-0.7,8.4,15.0,23.0,28.0,35.8,31.3,23.2,19.2,11.4,1.2
1902,2.2,0.4,9.6,16.8,23.6,25.4,29.1,28.3,23.1,19.4,9.7,-1.8
1903,2.2,-2.1,7.4,16.7,20.7,24.0,29.2,27.5,23.3,19.6,8.2,4.2
1904,1.1,3.1,11.3,15.3,21.9,25.1,28.4,28.8,25.3,18.9,13.5,4.1
1905,-3.1,-2.9,11.8,14.3,19.2,26.2,27.9,30.6,26.1,15.7,11.2,5.1
1906,5.1,5.6,0.8,18.2,22.7,26.6,28.8,29.3,25.2,15.8,7.1,4.6
1907,-2.6,5.1,12.9,13.0,19.2,26.2,30.1,30.3,24.8,19.6,9.7,4.0
1908,5.2,3.7,11.6,18.8,20.4,25.2,29.3,27.9,28.7,16.4,10.1,3.2
1909,0.6,4.6,7.1,13.8,21.6,26.8,30.2,32.1,25.0,18.3,10.1,-5.9
1910,-1.1,2.2,19.7,19.9,19.8,27.9,31.9,28.3,25.2,21.8,9.9,2.1
1911,3.3,3.7,14.2,15.7,23.3,32.1,31.0,28.3,26.3,14.3,6.0,0.8
1912,-5.2,1.3,0.4,16.1,23.3,25.4,30.6,28.6,21.2,18.2,12.2,4.9
1913,1.7,-0.2,6.8,17.7,21.8,28.3,31.9,33.9,24.6,15.8,12.4,2.1
1914,4.9,0.8,8.4,16.2,22.4,29.1,32.2,30.2,25.9,19.2,14.1,-3.5
1915,-1.6,1.6,0.1,19.1,19.3,23.5,26.7,25.6,23.3,20.3,11.3,3.0
1916,-4.1,3.3,12.7,15.1,22.0,24.9,33.9,29.6,25.1,17.2,8.8,-0.7
1917,0.9,2.6,6.7,13.4,17.9,26.7,32.8,28.4,24.7,14.9,13.4,-0.1
1918,-4.5,4.9,15.2,12.2,24.3,30.7,30.8,31.3,23.0,18.9,8.7,3.4
1919,4.6,0.5,9.0,13.9,21.2,27.4,32.6,30.4,26.7,13.7,4.4,-1.7
1920,2.4,3.6,10.5,9.8,20.0,26.4,30.9,28.1,26.1,20.3,6.4,1.9
1921,3.7,6.8,13.8,17.2,22.2,29.2,31.7,29.8,26.3,21.5,8.8,4.4
1922,-0.3,1.5,10.3,15.3,22.4,29.8,29.4,32.1,28.4,21.1,9.1,2.7
1923,5.2,2.9,7.3,16.0,20.4,25.9,31.1,27.8,24.5,13.9,11.6,4.9
1924,-1.8,5.3,2.8,17.6,19.4,26.1,29.3,29.9,22.5,20.7,10.8,-4.0
1925,-1.1,6.6,12.7,19.4,22.1,28.2,31.7,29.6,26.5,10.1,9.8,1.9
1926,1.3,7.4,9.0,16.7,24.9,27.4,31.3,30.9,22.6,18.9,5.9,0.7
1927,2.1,6.2,7.5,14.9,21.7,25.4,30.4,26.1,25.3,21.4,8.6,-1.2
1928,4.4,5.4,11.6,15.6,24.2,23.0,29.7,30.6,24.8,17.7,7.9,3.3
1929,-3.5,-2.6,10.3,16.3,20.7,26.6,31.4,31.6,21.1,17.4,4.5,3.8
1930,-6.3,10.3,9.4,18.8,20.1,27.2,33.9,29.7,25.8,15.9,9.8,2.9
1931,6.3,8.9,7.0,17.2,21.8,31.7,33.1,30.5,28.9,19.6,9.3,3.6
1932,-2.2,4.8,4.7,17.7,24.2,27.8,32.7,30.4,25.0,16.1,9.7,-0.6
1933,7.0,2.9,9.8,16.0,20.6,33.5,32.9,28.0,27.7,19.7,11.9,5.9
1934,5.7,6.1,10.7,18.8,29.3,31.6,36.5,32.2,22.9,21.6,11.3,1.3
1935,3.7,6.8,12.4,12.8,15.9,25.3,34.6,31.2,25.6,17.1,6.3,2.6
1936,-2.7,-7.2,11.4,15.3,24.7,30.1,37.4,34.2,27.1,17.6,9.9,3.5
1937,-6.7,1.6,7.1,15.4,23.3,26.9,33.6,34.2,26.9,17.6,7.6,2.4
1938,3.1,4.2,11.7,16.6,20.3,28.3,32.5,33.0,26.9,23.2,8.4,4.9
1939,4.8,0.3,10.8,16.4,26.4,28.2,34.7,30.5,29.4,19.5,12.2,7.6
1940,-6.6,2.0,8.2,15.0,23.4,29.7,34.2,29.7,27.7,22.2,5.9,3.0
1941,1.3,2.6,6.3,15.6,24.8,26.1,31.5,31.0,24.9,16.6,11.2,4.8
1942,1.2,0.6,8.0,18.6,20.3,25.5,32.3,29.8,22.6,18.6,10.4,2.3
1943,1.5,9.1,7.6,18.8,20.0,27.1,32.6,32.5,25.1,19.3,8.9,5.0
1944,4.5,2.8,3.6,11.4,24.0,26.8,29.8,29.7,25.1,20.0,8.1,0.6
1945,2.1,3.7,13.6,13.7,20.0,22.3,30.4,29.8,24.5,19.8,10.5,-1.4
1946,4.8,8.2,14.4,20.8,19.6,28.9,32.2,29.0,24.3,16.2,7.2,5.7
1947,4.1,1.3,6.4,14.1,20.6,24.5,30.7,33.7,27.3,22.4,4.3,2.6
1948,0.9,1.8,6.1,20.2,23.1,26.6,31.1,30.7,27.8,19.1,7.1,1.1
1949,-6.3,0.2,6.9,17.2,22.4,27.2,31.6,30.1,23.8,17.4,14.9,4.0
