year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,3.3,6.4,10.8,16.6,20.8,25.8,30.1,30.6,23.8,18.6,9.1,4.1
1896,7.1,9.7,10.3,12.3,16.7,28.7,30.7,28.6,23.0,18.6,8.7,8.2
1897,4.9,4.0,4.9,16.2,24.1,25.0,29.6,31.0,23.8,15.1,10.7,4.0
1898,0.3,8.7,7.8,18.7,18.2,26.6,31.9,31.1,25.4,16.4,9.5,3.3
1899,5.5,6.9,9.7,15.9,16.8,25.9,31.9,26.1,26.9,15.0,11.4,4.2
1900,8.6,9.1,14.4,12.3,21.1,29.1,30.8,27.3,21.1,15.8,11.0,7.2
1901,4.9,6.1,10.3,14.4,20.8,24.7,31.9,29.2,23.1,18.4,12.8,7.2
1902,4.9,8.4,7.3,15.0,19.7,27.8,29.1,28.7,25.3,18.2,7.9,5.7
1903,6.0,-0.3,8.9,13.8,19.8,26.7,29.0,30.4,23.5,18.9,12.2,6.3
1904,4.7,8.6,10.3,15.4,21.3,26.4,29.7,29.4,24.6,17.2,13.6,6.4
1905,6.6,7.4,11.8,15.8,17.4,26.1,31.8,30.2,25.2,17.5,9.8,1.9
1906,3.8,7.8,8.5,14.8,18.9,24.4,32.1,29.8,24.8,19.1,7.8,5.7
1907,2.2,11.1,8.9,17.4,19.1,21.8,29.9,28.0,23.9,18.3,11.2,7.0
1908,6.3,7.3,12.2,18.3,17.6,24.6,31.9,29.4,24.2,15.6,11.6,4.4
1909,7.7,6.4,9.4,15.9,19.8,27.6,30.7,30.4,24.2,18.5,10.7,0.8
1910,1.2,4.9,15.0,19.0,23.6,27.9,31.8,30.8,24.9,19.3,12.4,6.8
1911,5.7,3.3,11.8,14.7,18.8,26.0,30.8,29.9,23.9,17.1,9.8,4.1
1912,6.3,9.3,8.8,12.2,19.2,26.1,28.5,28.8,22.6,14.9,11.8,5.8
1913,3.3,5.8,9.8,16.0,21.8,23.8,28.4,29.3,24.8,17.5,10.3,4.6
1914,5.4,6.9,14.2,15.3,22.1,24.1,30.7,30.7,24.8,18.1,13.9,2.1
1915,4.8,6.9,12.4,16.6,17.8,25.4,30.0,32.5,24.1,21.2,10.7,5.7
1916,0.6,8.2,13.6,17.3,19.1,26.2,30.6,28.8,25.3,14.7,9.4,3.5
1917,-0.8,4.7,6.9,13.4,16.1,27.2,32.8,30.5,25.6,21.3,13.1,11.1
1918,6.6,6.8,11.7,16.2,19.6,30.8,30.6,28.9,25.4,18.4,9.1,3.9
1919,6.1,5.2,9.1,17.5,24.0,28.2,32.8,32.1,25.2,13.5,10.1,4.6
1920,7.9,8.8,9.2,13.4,21.0,25.9,31.5,29.8,24.8,15.8,9.2,5.0
1921,5.9,9.3,13.8,14.8,18.7,27.1,31.9,30.3,25.5,21.0,14.4,7.6
1922,0.6,3.3,7.8,12.4,21.1,28.5,31.9,29.2,27.9,18.8,8.9,5.8
1923,6.4,4.3,9.9,14.3,21.1,22.9,31.4,29.3,24.6,16.1,12.1,4.4
1924,3.1,11.3,7.8,16.4,24.7,28.7,31.7,30.4,26.3,17.6,10.9,2.3
1925,5.6,10.1,12.8,15.9,22.7,25.7,31.8,28.2,23.1,17.1,10.0,7.2
1926,6.2,9.1,14.1,18.2,22.6,29.7,31.6,30.3,24.2,20.6,13.4,4.1
