year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-2.9,-3.7,1.2,10.8,20.6,25.0,24.0,23.8,21.7,10.9,7.1,1.6
1896,-4.3,-2.1,0.6,12.7,20.7,22.6,25.9,24.4,18.7,10.7,7.5,-2.1
1897,-1.9,-0.7,3.0,12.3,17.8,20.4,26.1,23.4,19.8,15.1,4.3,-0.4
1898,-3.3,0.3,7.3,9.1,17.1,22.7,26.3,24.8,21.5,13.7,4.8,-1.0
1899,-2.6,-3.5,0.8,11.4,18.8,24.7,25.4,24.6,18.8,13.9,4.3,1.0
1900,-1.2,-2.1,0.7,10.7,17.0,24.6,26.3,24.8,21.3,15.8,6.2,-1.1
1901,-3.5,-5.4,2.6,11.2,17.4,24.6,26.6,24.4,20.8,14.3,2.2,-0.3
1902,-3.2,-1.5,7.6,11.5,17.3,20.9,23.0,22.2,19.4,12.7,8.6,-2.4
1903,-2.5,-0.4,8.3,11.6,21.1,19.3,24.1,20.3,21.5,12.9,4.1,-2.8
1904,-7.0,-5.5,1.9,9.2,21.1,22.7,25.1,22.9,18.5,11.3,2.6,-5.1
1905,-5.1,-4.7,3.5,10.7,17.8,22.1,25.6,23.1,18.7,13.8,4.7,0.8
1906,1.1,-0.6,0.0,10.6,17.6,22.8,25.6,26.1,22.2,13.9,4.1,-3.1
1907,-4.1,-5.3,3.7,8.4,14.6,22.7,25.3,23.4,18.7,11.1,4.8,1.3
1908,-1.3,-3.4,3.8,9.9,19.1,24.9,27.6,23.1,23.2,16.4,4.9,-0.8
1909,-1.7,-0.4,2.0,10.3,16.4,23.9,24.4,23.8,19.7,12.7,7.9,-2.2
1910,-1.1,-1.6,7.3,13.9,17.1,21.1,26.7,23.4,19.8,14.2,3.8,-3.6
1911,-1.3,-3.2,2.1,10.3,22.9,21.7,28.3,24.0,18.9,12.6,4.9,2.3
1912,-7.3,-3.0,1.8,10.9,18.2,22.4,26.2,21.5,18.6,15.0,6.5,2.1
1913,2.4,-3.1,6.4,12.0,16.4,23.4,26.4,24.9,19.8,14.8,7.7,1.3
1914,-3.4,-4.7,2.6,8.7,19.8,22.1,23.8,23.6,20.4,16.2,5.3,-1.5
1915,-0.9,0.8,2.4,14.0,16.3,22.7,23.8,22.3,21.6,14.2,6.6,-1.0
1916,-0.3,-3.4,0.1,10.2,17.5,19.6,26.2,25.4,19.9,15.1,5.0,-2.1
1917,-2.9,-3.7,2.7,7.9,12.2,21.5,26.0,25.0,19.2,11.3,3.7,-6.4
1918,-7.8,-2.8,3.9,11.9,21.4,20.4,25.4,25.1,17.3,14.6,6.1,-0.1
1919,-0.9,-0.4,5.8,10.7,18.4,25.5,26.9,22.9,19.7,13.5,4.9,-3.0
1920,-6.6,-2.6,5.2,8.3,17.2,22.3,24.3,25.8,20.6,17.1,3.3,-0.4
1921,-1.2,-0.2,9.0,15.1,19.9,23.9,27.7,23.6,22.2,14.2,3.0,-2.1
1922,-3.9,-1.4,4.6,11.4,20.3,22.7,25.4,23.8,21.1,13.5,5.4,-1.8
1923,-4.7,-5.2,1.3,10.5,17.8,23.8,24.0,23.6,20.8,14.7,7.0,3.1
1924,-0.8,-4.0,3.2,9.4,15.6,22.6,26.0,24.4,18.9,14.8,6.9,-2.4
1925,-4.6,2.5,6.1,12.2,16.1,24.2,23.9,24.4,19.6,8.7,5.9,-1.3
1926,-2.3,-3.4,0.5,7.0,17.1,21.0,25.2,23.3,19.5,12.4,5.9,-3.3
1927,-2.1,-0.7,5.9,11.7,15.4,21.2,25.2,22.0,20.3,15.3,8.8,0.9
1928,-1.2,-1.4,2.4,9.6,16.6,20.6,25.8,25.1,18.3,14.8,6.1,1.9
