year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,1.6,-0.1,7.0,14.3,21.7,27.4,26.7,29.1,26.8,15.8,11.7,6.6
1896,1.4,4.1,5.4,16.9,24.2,25.4,28.5,28.3,23.2,14.8,13.4,3.8
1897,2.0,3.8,9.1,16.3,21.2,24.6,27.9,26.6,24.1,18.1,10.3,5.2
1898,3.7,4.6,11.9,13.7,19.4,26.8,28.9,27.9,25.5,18.0,9.4,4.1
1899,3.1,0.2,6.8,16.2,22.1,28.1,28.4,26.8,23.0,18.1,10.6,5.8
1900,4.1,3.7,6.3,16.1,22.2,26.8,29.8,29.8,25.7,19.4,12.2,4.9
1901,2.9,-0.1,8.3,13.1,19.4,27.1,29.9,27.6,24.4,18.3,7.1,4.3
1902,2.0,0.9,11.2,15.4,21.6,25.7,27.9,26.7,22.7,18.0,13.8,3.6
1903,2.7,5.4,13.4,15.7,23.4,21.9,28.3,24.6,23.4,17.7,9.1,2.0
1904,-1.0,0.4,6.6,13.4,23.4,25.6,27.2,26.3,23.3,16.6,8.6,1.2
1905,1.1,-0.2,9.1,15.5,21.8,25.7,28.5,26.3,23.4,18.3,10.6,6.3
1906,6.0,4.2,4.8,16.8,22.5,26.6,27.4,27.6,25.3,16.4,10.2,4.3
1907,3.9,-0.2,9.9,12.1,18.2,23.3,28.3,26.6,23.6,15.6,9.7,5.8
1908,3.6,2.1,9.9,16.5,21.3,27.3,29.7,26.6,24.1,19.4,10.6,4.9
1909,4.6,7.8,7.7,15.3,21.3,26.3,28.2,26.8,23.1,16.1,12.3,2.1
1910,2.7,3.5,12.8,17.7,21.1,24.4,29.9,26.3,24.6,19.4,7.8,0.8
1911,4.7,3.3,8.2,13.7,24.7,25.9,29.9,27.4,23.8,16.8,9.2,7.3
1912,-1.3,2.1,7.1,15.1,22.3,26.0,28.7,26.6,23.3,19.7,11.7,7.0
1913,8.6,3.8,12.2,16.2,22.0,27.1,29.7,27.6,23.0,18.1,12.2,7.2
1914,3.7,1.2,5.9,14.4,23.9,26.4,26.7,28.2,24.6,19.6,11.2,2.3
1915,4.3,5.8,6.8,18.8,19.9,24.7,27.9,26.2,25.6,18.3,11.3,3.2
1916,6.1,1.9,3.9,13.9,21.8,23.0,28.0,28.5,24.4,19.0,11.0,3.5
1917,3.7,2.6,7.6,14.8,17.4,25.8,27.8,28.7,21.6,16.1,9.2,-0.1
1918,-2.8,3.7,11.3,15.2,24.3,24.7,28.2,29.2,22.2,19.8,10.7,6.9
1919,5.2,4.7,11.3,15.3,21.8,26.7,28.1,26.0,24.2,19.9,10.7,2.6
1920,-0.9,1.5,9.8,14.3,19.9,26.0,27.7,26.6,24.6,21.2,9.4,5.7
1921,5.0,5.3,15.8,19.4,21.3,27.9,29.6,26.4,26.6,18.5,10.3,4.3
1922,1.6,5.1,9.7,16.0,23.6,26.7,27.8,26.4,25.0,19.7,11.1,4.2
1923,2.7,0.8,8.9,15.9,21.6,28.8,27.7,27.2,24.3,17.7,10.3,8.8
1924,4.9,1.9,8.1,14.3,18.5,24.5,28.2,28.0,21.8,19.2,10.9,4.4
1925,1.6,7.8,11.8,16.9,21.1,29.9,27.9,27.8,25.1,13.9,9.8,4.1
1926,3.3,2.5,6.6,13.4,22.1,24.2,28.2,27.1,22.8,16.8,10.6,1.9
1927,2.3,6.3,10.7,14.4,19.9,24.6,27.8,24.4,24.7,19.2,13.4,6.1
1928,4.6,4.4,8.0,14.1,20.2,24.2,28.7,28.4,21.6,19.4,11.4,6.4
1929,3.3,4.4,12.8,15.9,21.7,27.1,28.9,27.2,25.2,16.8,10.6,4.9
1930,3.9,7.4,9.9,14.2,23.4,27.8,29.5,27.9,26.6,17.3,10.8,3.9
1931,3.9,5.2,7.4,15.6,21.8,26.6,30.0,28.0,26.9,20.7,14.4,8.7
1932,9.3,6.4,6.9,15.0,21.9,26.6,29.2,29.4,25.3,18.3,10.4,6.8
1933,7.9,5.6,7.1,15.3,22.9,27.8,28.7,27.3,24.8,18.1,9.2,4.3
1934,5.1,-2.0,7.9,15.6,23.3,28.4,30.2,26.3,24.0,16.8,12.8,4.5
1935,2.2,3.6,11.7,13.8,20.2,26.3,29.7,27.7,22.9,18.9,12.1,1.2
1936,1.0,-0.1,12.2,14.2,24.3,26.1,29.6,29.2,24.6,18.2,9.6,7.3
1937,7.9,5.3,6.1,14.7,23.6,26.8,29.2,29.0,23.3,17.0,11.1,4.4
1938,3.4,6.4,11.6,17.6,20.6,25.9,28.6,29.5,22.8,19.0,13.1,5.3
1939,3.4,7.4,9.1,14.0,23.7,27.4,28.6,28.9,24.9,18.2,9.7,5.7
1940,-1.7,3.7,5.1,12.5,20.7,26.2,29.3,25.5,23.3,16.0,10.1,7.0
1941,1.9,2.5,6.0,19.8,24.4,26.6,28.4,27.8,26.7,20.8,13.6,7.0
1942,2.7,2.6,10.2,18.5,24.0,26.3,28.9,26.7,24.4,18.4,11.9,2.7
1943,2.6,5.5,9.7,13.4,22.3,29.2,28.9,29.2,24.4,16.8,10.7,4.7
1944,4.2,4.3,7.5,14.4,25.1,27.3,30.8,29.7,24.4,17.9,10.7,3.1
1945,-0.1,4.2,16.3,18.3,20.4,26.8,27.6,27.3,25.4,17.9,12.6,1.6
1946,4.4,4.8,14.9,16.0,21.9,25.9,28.5,25.7,25.6,20.8,13.8,7.6
1947,6.9,2.1,6.7,15.8,21.6,25.6,28.2,28.7,24.7,22.3,9.2,4.2
1948,-0.4,3.4,11.2,15.4,20.9,25.9,29.2,28.0,25.3,17.3,14.4,6.2
1949,7.2,7.9,10.7,16.6,22.5,28.4,30.9,29.4,23.1,20.6,11.3,7.3
1950,9.6,3.4,7.4,14.1,20.0,26.3,28.3,27.2,21.6,19.6,12.6,3.8
1951,5.8,6.2,9.2,16.3,22.5,25.8,29.0,28.1,24.9,19.1,9.8,7.1
1952,5.8,5.7,8.0,16.7,20.9,28.0,31.0,27.7,25.0,17.4,11.6,6.2
1953,6.1,7.6,10.1,15.3,22.5,27.6,30.1,28.7,25.8,20.3,12.8,8.0
1954,3.3,8.9,9.9,17.9,20.1,27.4,30.2,27.5,24.1,20.4,10.5,5.1
1955,2.3,5.3,10.1,17.1,24.2,25.5,32.2,29.7,23.9,19.6,10.4,2.2
1956,2.6,6.0,7.2,14.0,20.8,27.3,27.1,27.7,22.8,18.6,11.9,8.7
