year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-2.9,-4.7,1.3,11.6,20.8,26.4,24.4,24.9,22.5,11.1,7.6,2.7
1896,-3.9,-1.4,0.1,14.2,21.7,23.7,26.2,25.6,19.8,11.2,9.0,-0.4
1897,-2.2,-0.6,4.3,12.4,18.2,21.6,26.8,23.4,21.1,16.2,5.9,0.9
1898,-1.5,0.1,8.7,10.4,18.0,24.4,27.8,25.3,22.4,14.4,5.9,0.2
1899,-1.6,-3.2,2.1,13.3,19.3,25.3,26.3,26.6,19.8,15.8,5.9,1.2
1900,-0.7,-1.7,0.3,11.8,19.3,25.1,26.9,27.0,22.8,17.7,6.8,-0.3
1901,-1.9,-5.6,2.9,11.6,17.9,25.0,27.9,25.1,21.1,14.6,2.9,-0.3
1902,-2.9,-2.6,7.2,12.0,18.2,21.4,24.9,23.3,20.7,13.6,10.2,-1.4
1903,-2.2,-0.1,9.0,12.0,21.7,20.9,24.8,21.2,21.6,14.2,4.4,-2.8
1904,-5.8,-5.0,2.3,8.9,21.2,23.9,25.1,23.8,19.7,12.6,4.6,-3.6
1905,-4.7,-4.6,4.3,11.3,18.7,23.1,25.8,23.9,20.7,14.8,5.2,1.7
1906,2.2,-0.4,0.2,12.0,18.8,24.4,25.9,26.4,23.1,14.1,5.2,-1.6
1907,-2.1,-4.3,5.9,8.6,15.7,22.8,25.7,24.2,20.2,11.8,5.2,1.6
1908,-1.5,-3.2,4.6,11.2,19.5,25.2,27.4,24.6,23.9,16.6,6.7,0.1
1909,-0.3,1.2,2.3,11.1,17.9,24.0,25.2,24.8,20.7,12.2,9.1,-2.4
1910,-1.3,-2.1,8.9,14.6,17.5,22.4,27.2,24.6,20.7,15.6,3.1,-3.6
1911,-0.4,-1.4,2.7,11.1,23.7,23.2,28.3,25.4,20.4,13.4,4.4,2.9
1912,-6.9,-3.4,1.7,11.3,19.3,22.5,26.7,22.2,20.2,15.4,7.4,2.8
1913,3.4,-2.3,7.1,13.4,18.0,24.4,26.7,25.6,20.8,15.4,8.4,2.4
1914,-1.7,-5.2,2.6,9.6,20.4,23.2,25.3,24.9,20.7,16.6,6.1,-1.3
1915,-0.8,1.1,1.8,15.4,16.2,23.5,25.0,22.9,22.6,14.8,7.2,-1.1
1916,1.7,-3.8,0.1,11.0,18.6,20.7,27.8,26.8,21.3,15.9,6.3,-0.4
1917,-2.1,-3.5,3.7,10.3,13.1,22.1,25.9,25.5,19.7,11.1,4.0,-4.9
1918,-7.4,-0.8,6.4,12.4,21.9,21.7,25.7,26.8,17.6,15.8,7.4,2.3
1919,1.2,0.4,6.1,10.8,18.4,26.8,26.9,23.3,21.3,15.8,6.1,-2.3
1920,-6.1,-2.7,5.8,9.6,18.1,23.4,24.5,25.4,22.0,18.1,4.6,1.1
1921,0.0,0.7,10.0,16.6,20.3,25.3,28.9,24.5,23.7,15.0,5.1,-0.5
1922,-3.1,0.8,5.6,12.3,21.2,23.7,25.9,24.5,22.5,15.3,6.8,0.1
1923,-3.1,-4.0,2.6,11.3,18.3,25.0,25.8,24.9,21.1,14.3,6.7,4.2
1924,-0.5,-3.6,2.8,10.2,15.2,22.8,25.6,24.9,18.9,15.4,7.1,-1.1
1925,-3.2,3.3,7.1,13.5,16.7,25.6,24.9,25.5,20.9,9.3,6.2,-0.7
1926,-1.4,-2.3,0.7,8.0,18.4,21.6,26.2,24.1,20.0,12.6,6.4,-2.5
1927,-2.3,1.0,6.5,11.6,16.7,21.8,25.4,22.3,21.7,16.6,8.7,0.9
1928,-0.9,-0.5,3.1,9.9,18.2,21.3,26.1,26.1,18.8,15.7,7.1,2.4
1929,-2.1,-1.6,7.6,11.9,18.4,23.7,26.4,23.7,22.6,13.2,6.1,-0.8
