year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,8.8,5.0,14.3,19.7,23.9,30.2,29.7,30.1,29.8,20.6,16.0,11.1
1896,8.9,11.8,14.7,23.3,28.9,28.5,30.4,31.2,27.7,20.2,19.1,10.2
1897,8.0,12.6,16.1,21.2,24.8,29.8,30.7,29.8,28.5,23.1,17.0,11.3
1898,11.8,10.7,17.7,18.6,27.3,30.3,30.8,30.0,27.9,21.3,13.7,10.7
1899,10.4,8.0,16.2,19.6,26.7,30.6,30.7,30.8,27.3,22.4,16.9,10.7
1900,10.6,10.0,14.3,20.6,26.8,29.0,32.4,33.7,30.1,23.5,17.1,10.7
1901,10.0,8.7,16.3,17.0,25.8,28.9,31.2,29.4,26.5,22.2,12.7,10.0
1902,8.6,6.6,16.1,19.7,27.7,30.0,32.1,30.4,26.3,22.7,18.8,10.6
1903,9.3,13.1,18.6,19.7,26.0,26.8,31.4,30.2,26.6,21.5,13.8,8.4
1904,7.4,8.6,16.2,19.1,25.7,29.3,30.4,29.1,27.4,21.8,14.8,9.4
1905,7.8,5.6,17.8,20.7,26.5,29.6,30.3,29.1,28.2,21.9,16.3,10.0
1906,11.3,11.2,12.9,22.9,26.2,29.4,29.1,30.2,28.4,20.1,16.9,11.7
1907,14.6,9.7,19.7,16.6,24.7,26.9,31.3,29.7,28.4,20.6,14.4,11.3
1908,9.6,8.7,19.4,23.0,26.1,28.8,30.5,28.9,26.6,21.4,17.3,12.4
1909,13.0,15.1,14.8,21.4,25.1,29.7,29.3,29.3,25.7,21.1,19.2,8.8
1910,10.5,10.6,19.7,21.8,24.8,27.3,30.4,29.1,27.8,23.3,13.6,7.8
1911,12.8,13.6,15.4,18.8,27.9,31.4,31.3,31.1,29.3,22.4,14.2,13.0
1912,6.3,8.8,14.3,21.8,26.0,28.1,30.1,30.2,28.4,22.7,16.0,12.6
1913,14.9,11.7,17.5,20.8,26.9,29.1,31.7,29.5,25.7,21.7,16.8,11.9
1914,11.7,9.7,13.0,21.1,27.6,31.6,31.3,30.5,26.1,21.8,15.8,7.4
1915,9.8,12.9,11.2,22.4,26.1,27.8,31.2,29.7,28.3,23.0,17.4,9.6
1916,13.8,12.2,15.5,20.7,27.9,28.3,29.1,30.0,26.6,22.2,17.0,11.3
1917,12.1,11.5,15.1,22.6,23.6,29.2,30.1,29.9,24.5,20.5,14.3,5.6
1918,4.4,14.4,19.1,19.1,27.7,28.8,29.4,31.3,25.2,23.7,15.7,12.7
1919,12.1,10.6,17.1,21.5,25.7,28.9,30.7,30.1,28.6,26.4,16.8,10.5
1920,10.2,8.9,15.7,20.1,23.7,29.4,29.9,28.6,27.9,23.8,15.2,10.8
1921,11.4,12.9,21.5,22.3,24.0,30.6,30.9,29.8,31.3,22.8,17.8,13.0
1922,8.4,13.5,16.6,21.9,25.8,29.6,30.4,28.6,28.2,22.9,16.4,12.8
1923,11.9,9.9,17.0,20.5,24.5,30.6,30.6,30.4,28.1,21.6,14.6,15.1
1924,10.3,9.6,13.7,20.5,24.6,29.9,29.4,31.0,24.7,22.3,16.6,11.9
1925,9.6,15.8,17.9,23.1,24.6,31.6,32.3,30.7,31.3,20.6,14.0,9.7
1926,9.6,13.1,12.9,20.7,27.1,29.4,31.6,31.4,29.2,23.1,14.6,11.3
1927,10.2,16.0,16.5,21.2,26.6,27.6,30.3,28.1,28.6,23.4,17.7,11.8
1928,11.3,11.7,15.9,19.3,24.5,28.7,30.9,30.8,25.3,22.9,16.0,11.2
1929,11.2,9.9,18.0,22.7,25.3,28.4,29.9,29.5,26.2,20.7,15.3,11.9
1930,11.6,15.4,14.8,22.2,27.3,29.2,32.5,30.2,29.4,20.5,13.9,8.2
1931,10.6,13.3,12.5,20.1,25.1,30.7,32.7,29.7,30.3,24.6,20.0,15.6
1932,15.4,15.7,14.6,21.2,25.2,29.9,33.3,30.9,27.4,22.2,14.7,12.9
1933,14.3,12.3,16.1,21.2,28.6,31.5,30.7,29.8,30.5,23.0,15.8,14.7
1934,12.4,7.8,14.9,21.8,25.7,30.9,32.1,30.1,27.7,22.3,17.6,10.6
1935,10.3,12.2,19.4,19.6,25.3,30.5,30.4,30.5,27.0,23.3,16.7,6.3
1936,7.7,8.9,17.6,19.8,28.4,30.2,32.0,30.8,28.5,22.4,14.9,11.2
1937,14.7,10.8,15.2,20.5,26.6,30.9,31.0,30.4,26.0,20.0,14.4,9.9
1938,9.9,14.3,19.6,22.1,26.2,28.1,29.9,31.7,27.2,22.7,18.1,11.2
1939,12.5,15.3,18.2,21.2,26.0,31.2,30.4,30.0,29.2,24.1,14.4,11.7
1940,3.8,11.0,14.4,20.2,25.8,30.6,30.8,29.2,27.0,22.5,15.9,13.4
1941,10.0,8.8,12.9,22.9,28.6,29.4,30.7,31.0,30.0,26.4,17.9,13.1
1942,10.2,8.7,17.0,23.7,26.7,30.7,32.1,29.5,28.2,22.3,17.7,10.1
1943,11.6,13.4,15.5,20.9,27.1,32.0,30.4,31.6,26.7,22.1,16.5,11.4
1944,10.6,12.8,15.6,21.3,28.8,32.0,30.4,29.4,27.6,21.9,14.6,8.8
1945,9.1,12.5,21.8,23.3,24.5,30.5,30.2,29.4,28.6,22.0,17.3,7.0
1946,10.4,13.3,19.5,22.0,25.1,29.3,29.7,28.6,26.8,22.6,18.7,14.3
1947,12.9,9.0,11.2,22.5,26.7,29.1,29.3,30.7,27.6,23.3,13.4,10.9
1948,6.7,11.2,18.1,22.8,26.3,30.2,31.6,30.1,26.6,20.3,18.0,12.5
1949,14.8,14.8,16.6,20.2,26.2,29.4,31.4,29.6,25.7,23.3,16.1,12.6
1950,16.5,13.7,14.7,20.7,26.2,29.7,29.4,29.4,25.9,23.1,15.3,8.2
1951,11.6,13.4,15.3,20.6,26.1,30.1,31.6,30.9,27.6,23.3,13.9,12.7
1952,13.6,12.7,15.7,21.4,26.9,32.7,32.7,29.7,26.8,20.7,16.6,10.4
1953,13.0,13.3,16.6,21.6,28.8,29.8,31.9,31.0,27.7,23.6,16.8,11.5
1954,11.4,14.7,15.8,23.7,23.6,30.8,32.2,31.9,30.3,24.1,14.1,9.9
1955,9.1,12.6,18.2,23.2,27.2,27.6,31.6,30.4,26.9,22.2,16.0,9.0
1956,8.6,13.7,15.9,20.3,26.2,29.9,30.9,30.6,26.2,21.4,15.4,16.6
1957,10.4,14.1,14.4,23.4,26.2,29.6,31.4,29.9,27.4,18.8,16.1,12.6
1958,7.1,7.3,11.9,20.4,25.4,28.7,31.1,30.2,27.5,21.0,18.0,9.0
1959,10.4,12.2,15.6,22.0,27.1,29.8,30.0,31.0,27.1,21.8,16.1,11.9
1960,10.3,10.4,8.6,23.4,25.6,29.2,29.9,30.1,26.9,22.0,17.2,9.1
1961,8.6,13.2,17.9,18.1,23.7,27.8,30.6,29.4,28.4,22.3,17.2,10.9
