year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-14.0,-9.1,2.1,17.3,18.6,21.8,26.6,26.8,21.8,12.6,-1.9,-5.1
1896,-10.1,-4.0,-3.4,9.6,19.4,24.8,26.7,26.2,18.2,11.1,-10.6,-4.8
1897,-11.2,-8.4,-5.9,10.3,21.4,23.2,27.5,25.3,26.4,14.5,-1.6,-6.6
1898,-4.4,-3.6,-0.9,11.9,18.7,23.3,27.1,26.7,21.3,7.9,-0.6,-6.2
1899,-10.1,-13.2,-7.6,9.4,15.9,23.0,27.7,25.1,21.2,10.7,7.4,-5.9
1900,-3.3,-10.0,-0.4,17.3,23.9,27.3,27.8,27.6,18.1,14.4,-2.4,-3.6
1901,-8.2,-8.5,1.7,13.2,24.6,22.5,28.4,27.1,17.6,15.6,2.8,-6.7
1902,-6.0,-7.0,1.0,10.7,19.7,20.4,26.8,25.2,20.0,13.0,1.6,-9.0
1903,-6.7,-9.7,-0.4,12.8,19.1,24.0,26.3,23.7,16.7,14.9,1.0,-6.4
1904,-10.9,-13.1,-3.1,8.2,19.2,22.1,25.3,24.9,19.5,14.4,8.5,-4.9
1905,-12.1,-7.0,6.5,12.3,16.4,21.1,25.6,27.6,23.2,10.4,4.8,-4.9
1906,-6.4,-6.6,-2.3,15.9,16.8,22.7,26.9,25.8,24.6,14.2,0.6,-8.1
1907,-16.4,-6.3,1.3,5.8,14.2,23.1,25.7,25.9,18.2,14.6,4.8,-1.4
1908,-2.2,-5.7,-0.9,13.8,17.1,21.8,28.2,25.3,23.7,11.5,4.2,-5.2
1909,-10.7,-7.4,0.1,7.2,17.7,23.4,25.9,28.1,23.0,12.5,3.4,-11.4
1910,-7.9,-10.5,11.7,17.1,17.8,26.9,29.4,24.8,19.7,16.6,-0.6,-5.6
1911,-12.4,-7.8,5.8,12.0,20.7,26.2,26.7,23.3,19.1,11.0,-3.8,-6.0
1912,-15.4,-6.9,-3.6,13.9,18.6,23.5,25.6,23.6,16.7,13.7,4.6,-1.7
1913,-10.4,-7.8,-2.4,14.9,17.2,25.8,25.9,28.2,21.8,10.0,5.9,0.0
1914,-4.0,-11.4,1.7,11.1,20.2,23.1,29.9,25.4,22.9,17.2,5.1,-9.4
1915,-9.6,-3.8,0.6,17.7,17.0,20.1,23.1,25.9,18.6,15.2,2.4,-4.5
1916,-16.5,-8.9,-1.0,9.7,17.3,20.4,29.2,25.9,20.1,10.5,3.7,-11.3
1917,-11.3,-12.8,-0.8,7.9,19.0,23.2,29.9,26.9,20.9,7.2,8.2,-12.1
1918,-14.0,-5.8,7.9,11.5,18.2,24.2,26.3,26.2,18.9,14.6,2.4,-3.2
1919,-2.2,-9.1,-3.0,11.2,20.0,26.5,29.8,27.9,21.7,6.8,-5.0,-9.3
1920,-11.4,-5.2,0.7,5.6,19.1,23.4,27.5,28.8,22.2,16.4,2.1,-5.0
1921,-3.8,-1.0,2.4,12.0,18.9,26.7,29.3,27.9,20.1,15.7,-2.1,-4.7
1922,-9.0,-12.1,0.8,11.5,19.6,24.6,26.0,29.0,23.3,15.1,2.6,-9.0
