year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-0.7,-2.4,6.8,16.8,23.1,29.4,28.9,29.9,27.1,14.6,10.1,4.6
1896,1.3,2.9,4.7,20.0,26.4,26.9,28.3,27.9,22.7,14.8,11.7,4.0
1897,-0.2,3.6,10.2,14.8,20.0,26.2,30.1,26.9,27.9,21.6,10.0,3.6
1898,3.4,3.1,12.0,14.1,22.1,28.5,30.7,28.4,26.3,17.2,8.2,2.1
1899,1.9,-1.0,7.6,17.7,23.6,28.5,30.0,30.1,24.3,20.6,11.2,2.9
1900,3.2,1.6,4.9,16.0,24.4,27.0,29.6,30.9,27.2,22.4,9.6,3.2
1901,2.3,-1.4,9.1,13.6,21.4,28.0,32.1,28.7,24.4,19.2,7.4,1.7
1902,1.3,-1.0,10.4,14.6,24.4,25.7,29.7,27.1,23.9,18.6,13.6,1.9
1903,1.0,3.3,13.0,15.8,24.9,23.6,29.2,28.1,26.4,18.1,7.9,-0.6
1904,-1.7,0.0,9.0,11.9,22.3,26.1,28.2,27.4,25.1,17.7,10.2,1.8
1905,-1.3,-2.0,11.2,15.2,22.4,26.8,28.7,28.1,25.0,17.1,9.2,3.8
1906,6.0,3.2,3.1,17.9,23.3,27.1,28.6,29.4,26.9,16.6,10.0,3.4
1907,4.3,1.7,12.7,11.0,19.1,24.4,28.7,26.8,24.3,15.3,8.1,4.0
1908,2.3,1.8,11.2,16.3,22.8,27.4,29.8,28.7,28.8,19.3,10.9,4.4
1909,3.9,6.3,7.2,15.5,21.2,26.9,27.7,28.5,23.9,15.4,14.8,0.0
1910,0.9,1.3,15.8,17.2,19.4,25.2,29.4,29.1,25.1,19.7,5.6,-0.3
1911,4.3,5.7,8.1,14.0,26.8,27.9,30.5,28.4,25.4,16.9,7.2,5.7
1912,-4.0,-0.5,4.7,17.1,23.3,25.9,28.7,25.9,25.7,19.1,10.4,5.2
1913,6.4,1.9,9.8,15.8,22.4,28.4,30.2,29.7,24.4,17.3,11.2,4.6
1914,3.7,-0.3,6.5,15.3,23.8,28.7,30.4,29.0,24.3,19.1,11.0,0.2
1915,0.6,5.8,4.6,19.0,20.2,25.1,27.6,24.4,25.1,18.6,11.9,1.9
1916,6.6,1.1,6.3,14.4,22.7,23.9,31.6,29.9,24.2,18.8,11.1,2.7
1917,2.1,1.7,8.7,14.9,17.8,25.4,28.2,27.8,23.4,13.5,8.7,-1.7
1918,-5.6,5.1,13.2,14.6,25.6,27.0,28.7,31.2,20.7,19.5,9.8,7.4
1919,4.7,4.4,10.4,15.6,20.7,29.7,30.9,27.5,25.9,20.1,9.4,0.4
1920,-1.7,0.9,11.0,12.3,21.1,26.4,27.5,26.4,25.2,21.4,8.2,3.9
1921,4.3,4.4,14.9,18.8,22.8,29.3,31.9,27.3,26.7,17.7,9.7,3.7
1922,0.9,5.1,10.1,17.0,23.9,27.8,28.8,27.8,26.9,19.5,10.8,4.3
1923,3.1,0.9,8.7,15.8,21.8,28.2,29.3,27.4,24.1,16.4,9.2,8.3
1924,0.2,1.4,5.4,15.9,18.3,25.7,27.7,28.5,21.6,20.4,9.7,2.0
1925,1.1,7.2,11.0,19.2,20.2,29.2,28.2,28.6,26.9,11.3,7.9,1.6
1926,0.9,3.3,5.1,12.3,23.3,25.2,29.1,28.4,24.3,16.4,8.7,1.7
1927,0.8,7.1,10.3,15.4,21.1,24.1,28.8,24.9,26.7,20.3,12.2,3.8
1928,2.2,3.3,8.1,13.2,22.0,23.4,29.1,29.0,22.7,19.6,9.6,5.4
1929,0.7,0.7,13.1,17.4,21.0,26.1,28.9,26.4,24.7,16.2,7.4,2.9
1930,1.7,8.2,8.6,17.5,23.7,28.3,32.0,29.2,26.1,16.4,10.6,2.0
1931,3.4,5.7,5.2,16.0,21.4,28.0,31.8,27.8,27.0,19.6,14.3,7.6
1932,7.7,7.5,5.2,15.5,23.3,28.0,29.7,29.5,25.4,17.6,8.3,4.4
1933,6.9,4.9,7.4,15.9,22.8,30.7,30.6,28.1,26.2,17.0,8.1,5.6
1934,4.2,-1.3,7.2,15.8,25.6,31.4,32.6,28.1,25.7,18.7,11.9,2.4
1935,2.7,3.4,12.8,13.4,19.6,25.3,30.6,27.8,24.2,18.2,9.2,-1.1
1936,-2.0,-0.3,11.2,12.9,24.8,28.6,32.2,30.4,26.8,17.3,7.4,6.1
1937,6.0,4.1,6.0,15.3,22.0,26.3,28.8,29.2,23.7,15.6,8.1,1.1
1938,2.5,7.1,12.9,17.2,22.5,26.1,29.1,29.6,24.2,20.3,12.4,3.6
1939,4.3,5.6,10.0,13.5,24.7,27.9,28.4,28.7,28.4,19.6,9.1,4.9
1940,-5.1,2.1,5.7,13.5,20.8,27.0,29.8,28.3,23.7,18.6,8.8,6.3
1941,1.3,0.9,5.4,19.9,24.9,27.4,30.2,28.4,27.3,19.4,10.9,6.1
1942,1.8,0.7,10.2,19.2,23.0,27.5,29.6,27.1,24.2,18.3,10.5,0.9
1943,2.2,5.2,8.3,13.2,21.6,29.6,29.4,28.3,23.6,17.0,8.6,2.7
1944,3.8,5.4,7.5,14.7,26.0,29.4,31.0,29.4,24.6,17.7,9.4,0.3
1945,-2.5,3.6,15.6,17.9,19.6,25.7,28.5,28.5,25.5,16.9,10.2,-0.5
1946,3.8,5.3,16.1,16.8,20.4,26.7,29.4,25.7,26.0,21.1,12.9,6.3
1947,4.9,-1.0,4.4,16.1,20.4,25.9,26.6,30.6,25.0,22.6,7.2,3.4
