year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,0.9,4.3,7.4,13.7,16.4,21.5,24.5,25.1,16.9,16.9,6.7,2.7
1896,4.3,7.4,7.9,8.6,12.8,21.8,28.1,24.7,19.9,15.7,3.7,5.0
1897,2.2,3.8,3.0,14.3,19.9,19.4,23.5,27.4,19.1,14.8,6.7,3.3
1898,1.1,6.6,6.9,14.2,15.8,21.0,26.4,27.3,21.6,13.4,5.9,0.9
1899,3.7,2.4,5.7,10.4,12.8,20.2,26.4,21.0,23.0,11.9,9.1,3.0
1900,5.4,4.8,11.5,12.4,17.0,22.6,25.8,22.4,19.0,13.1,7.9,5.4
1901,2.6,3.3,8.2,11.0,17.3,18.7,25.7,27.6,17.9,17.1,9.6,4.2
1902,2.4,5.9,6.3,11.1,15.3,20.9,24.1,25.8,21.9,16.1,6.2,3.4
1903,3.8,2.4,7.6,11.1,16.8,22.3,23.8,25.1,20.3,16.3,7.2,3.7
1904,3.4,3.9,5.1,13.8,18.0,21.9,25.3,27.5,22.6,15.9,10.6,4.0
1905,3.2,5.2,10.7,14.4,14.9,20.2,28.3,27.0,21.9,12.8,8.4,2.8
1906,3.4,5.0,6.4,15.2,16.3,19.1,30.0,27.4,21.9,16.3,6.8,5.2
1907,0.7,8.4,6.8,13.0,17.8,19.6,26.3,23.6,21.2,17.8,8.9,4.8
1908,4.1,5.7,8.3,14.9,14.2,20.2,28.5,26.0,21.9,13.9,9.4,1.8
1909,2.3,5.3,9.2,12.9,16.2,21.7,24.4,26.4,21.8,15.2,7.4,0.4
1910,0.8,2.3,12.2,15.9,19.6,21.4,27.7,25.2,20.2,15.9,6.7,3.8
1911,2.2,1.9,11.3,12.4,13.9,20.9,27.9,25.7,18.1,14.7,6.9,3.2
1912,3.0,5.8,7.1,10.9,16.3,21.4,24.1,23.3,19.4,12.4,7.8,3.5
1913,1.1,3.4,6.6,12.3,17.4,20.1,24.6,26.2,22.1,14.0,7.3,2.7
1914,4.6,4.6,11.3,12.9,19.2,19.8,27.2,27.2,19.6,14.9,9.3,0.2
1915,2.1,5.8,11.3,15.5,14.6,20.7,24.8,28.9,20.7,16.6,6.3,3.8
1916,-2.2,5.9,9.5,13.8,13.9,20.1,23.4,25.8,21.6,14.8,5.9,1.3
1917,0.8,3.3,3.3,9.3,13.9,20.9,28.4,27.7,22.1,18.2,10.2,7.7
1918,5.2,4.1,9.1,13.8,16.2,26.2,26.6,24.3,22.9,15.6,6.7,2.8
1919,4.3,3.2,8.1,13.8,18.0,22.0,28.2,27.6,20.9,11.8,6.1,-0.1
1920,3.9,6.7,7.0,10.1,16.8,20.7,26.9,27.0,20.3,12.1,6.4,3.3
1921,3.1,5.3,9.3,11.2,16.3,22.0,26.9,26.4,19.2,17.2,9.1,2.6
1922,-1.2,1.9,5.6,9.9,17.0,24.6,28.2,25.6,24.1,15.6,5.3,1.7
1923,3.7,3.4,8.9,12.3,16.1,19.0,26.3,26.8,22.9,13.5,9.6,3.3
