year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-1.5,-3.1,4.8,14.1,21.9,27.8,26.0,27.5,25.0,13.7,9.5,4.3
1896,-0.3,1.4,3.0,16.6,23.9,24.8,27.1,26.6,22.2,12.9,11.3,2.1
1897,-0.9,1.8,7.7,14.5,19.5,23.7,27.6,25.1,24.0,17.7,8.3,3.2
1898,1.8,1.7,10.8,11.9,20.4,26.5,29.3,26.8,24.4,16.0,7.6,1.6
1899,0.6,-2.1,5.4,16.3,21.7,26.8,27.8,27.6,21.6,17.9,8.5,2.7
1900,1.4,0.4,3.3,14.4,22.1,26.1,28.7,29.3,25.4,19.3,8.9,2.1
1901,0.8,-2.7,6.6,12.3,19.7,26.3,29.4,26.6,22.6,16.9,5.0,1.7
1902,-0.4,-1.6,9.2,13.4,21.7,24.0,27.1,25.3,22.2,16.3,12.5,0.9
1903,-0.1,2.8,12.2,14.2,23.1,21.9,26.9,24.0,22.9,16.2,6.7,-0.8
1904,-3.2,-1.6,5.8,11.2,22.3,24.9,26.4,25.6,22.8,15.8,7.4,-0.7
1905,-2.1,-2.6,8.6,14.2,21.6,25.0,26.9,25.6,23.0,16.7,7.4,3.6
1906,4.7,2.3,2.6,15.7,21.6,25.9,27.0,27.2,24.8,14.9,8.7,1.7
1907,1.8,-1.0,9.9,10.7,18.2,22.8,27.0,25.3,22.2,14.0,6.9,3.0
1908,1.0,-0.4,8.8,14.9,20.8,26.4,28.7,26.2,25.4,18.0,8.9,2.6
1909,2.2,5.4,5.3,14.2,20.6,25.2,27.0,26.7,22.6,13.9,12.1,-0.3
1910,0.1,0.4,12.9,17.1,19.4,23.6,28.4,26.6,23.3,18.3,4.8,-1.4
1911,2.9,2.3,6.1,13.1,25.5,25.4,29.6,26.8,23.0,15.7,6.6,5.1
1912,-4.2,-0.8,4.8,15.3,22.1,24.5,27.1,24.2,23.2,17.9,9.7,4.7
1913,5.9,1.3,10.4,15.6,20.8,26.6,27.8,27.3,22.6,16.6,9.9,4.2
1914,1.3,-1.8,4.8,13.2,22.9,26.3,27.1,27.1,22.9,18.7,9.1,-0.2
1915,0.8,3.8,4.2,18.1,18.7,24.3,26.4,24.1,24.4,17.1,9.3,0.8
1916,4.8,-0.2,3.3,13.3,21.5,22.5,28.7,28.0,22.9,17.8,9.3,2.0
1917,1.2,0.6,7.0,14.2,16.3,24.4,27.0,26.8,20.8,13.0,7.1,-2.7
1918,-5.6,2.7,11.2,14.1,24.5,24.2,27.1,28.8,19.8,18.4,8.9,5.4
1919,3.6,3.2,9.8,14.4,20.6,27.8,28.2,25.0,23.6,18.3,8.5,-0.2
1920,-3.2,-0.3,9.2,12.0,19.8,24.8,26.0,25.7,23.2,20.1,6.8,2.9
1921,2.6,3.4,14.0,18.8,20.8,27.1,29.5,25.4,25.3,16.9,8.1,2.3
1922,-0.4,4.2,8.1,15.0,22.9,25.8,27.2,25.8,25.1,18.2,9.4,3.1
1923,0.5,-0.8,7.6,14.8,21.1,27.6,27.3,26.1,23.1,15.9,8.0,7.1
1924,1.3,0.2,5.3,13.2,17.2,23.8,26.5,26.6,20.1,18.0,8.8,1.9
1925,-0.3,6.2,9.7,16.8,18.8,28.0,26.5,26.7,24.7,10.7,7.4,1.3
1926,0.7,1.2,4.5,12.1,21.9,23.3,27.7,26.2,21.9,14.8,7.7,-0.1
1927,-0.1,4.6,9.5,13.6,19.2,23.2,27.2,23.3,24.2,18.4,11.0,3.2
1928,1.8,2.3,6.5,12.4,20.8,23.0,27.6,27.5,20.2,17.6,9.1,4.3
1929,0.3,0.8,11.2,15.3,20.3,25.7,27.9,25.8,24.3,14.8,7.6,2.7
1930,1.6,5.7,7.7,14.1,22.3,26.7,29.2,27.9,25.8,16.0,9.2,1.0
1931,1.9,3.3,4.8,14.4,21.4,26.1,29.4,26.7,25.8,18.6,13.2,6.4
1932,7.0,5.6,4.2,13.6,21.6,25.7,27.7,28.4,24.6,16.4,7.7,4.4
1933,5.9,3.6,5.4,15.5,21.7,27.9,28.8,26.3,23.6,16.3,6.4,3.4
1934,2.8,-2.6,6.6,14.9,23.6,28.5,30.3,25.4,23.6,16.1,10.3,1.8
1935,0.4,1.6,10.6,12.9,18.7,25.2,29.1,26.4,21.8,17.3,9.4,-1.3
1936,-2.1,-1.9,9.7,12.2,23.9,26.0,29.7,28.2,24.3,16.7,6.9,4.2
1937,4.9,3.2,4.4,12.8,22.1,26.2,27.9,27.9,21.8,14.2,8.3,1.1
1938,0.9,4.8,10.6,15.7,20.2,25.2,27.9,29.0,21.4,18.4,11.1,2.5
1939,1.9,4.7,7.7,12.4,23.7,26.2,27.6,28.5,24.3,17.0,7.8,3.6
1940,-4.8,1.4,2.7,11.9,20.4,25.1,28.2,24.8,21.6,14.9,7.8,5.0
1941,-0.4,0.1,3.8,19.4,23.1,25.8,28.2,26.5,25.7,18.4,10.9,4.8
1942,0.6,-0.3,8.5,17.7,22.7,25.5,27.8,25.7,23.0,17.1,9.5,0.0
1943,0.3,3.3,7.8,11.4,20.9,28.4,27.9,27.6,23.1,15.0,7.4,2.0
1944,2.6,2.7,5.7,12.5,25.2,26.6,29.0,28.6,22.6,16.0,8.7,0.1
1945,-2.8,2.2,14.9,17.3,19.0,24.9,27.0,26.7,23.7,16.1,9.3,-0.8
1946,2.2,2.7,14.4,14.9,20.3,24.8,28.0,24.2,24.6,19.3,11.4,4.9
1947,4.4,-1.1,4.0,15.2,20.3,25.0,26.4,28.6,23.6,21.8,6.7,2.3
1948,-2.9,2.8,10.1,16.1,20.2,25.4,27.8,26.9,23.8,15.2,11.8,3.7
1949,4.6,6.2,8.5,14.7,22.1,27.8,29.6,27.9,20.8,19.7,8.4,4.6
1950,7.1,1.8,4.7,12.1,20.7,25.0,26.2,26.2,20.3,18.0,8.6,0.3
1951,2.6,3.4,7.3,14.0,21.8,25.2,27.8,27.0,23.2,18.3,5.8,3.7
1952,3.2,3.9,6.3,15.3,19.4,27.4,29.9,26.8,23.9,14.9,9.9,3.4
1953,3.8,5.1,8.1,12.8,22.1,26.7,28.9,27.7,24.0,19.3,10.5,5.3
1954,1.0,6.2,7.3,17.6,19.3,26.4,28.2,25.8,23.4,17.9,8.3,1.9
1955,-0.1,2.8,8.8,17.4,23.2,24.2,31.0,28.6,22.9,17.5,7.3,0.5
1956,0.1,3.3,5.9,13.1,19.9,25.8,25.6,25.7,20.7,17.7,9.6,6.1
1957,-1.0,4.3,7.6,15.4,21.7,26.9,27.9,26.8,23.4,15.1,9.7,5.0
1958,-0.2,-2.0,4.7,15.7,20.2,23.1,27.3,26.1,22.2,16.1,10.2,-1.2
1959,0.2,2.8,7.3,15.9,23.3,25.9,28.2,28.4,25.3,17.1,8.2,3.9
1960,1.7,2.3,1.3,17.7,19.2,25.2,26.4,27.1,23.1,16.6,10.7,-0.4
1961,-1.9,3.8,7.9,10.8,18.7,25.3,27.2,26.6,26.0,18.6,9.3,2.1
1962,0.5,1.3,6.8,14.3,23.5,26.0,26.9,26.8,20.2,16.8,7.6,0.4
1963,-1.2,-1.3,8.6,15.7,20.6,25.8,28.0,25.3,21.8,21.6,10.5,-1.7
1964,2.1,0.8,8.5,13.8,23.0,25.7,28.3,25.2,23.8,16.0,12.3,3.5
1965,-0.2,2.4,4.9,12.8,23.9,25.2,27.3,26.3,23.5,15.0,9.1,4.8
1966,-1.2,1.6,9.2,11.8,19.0,27.1,29.9,27.6,20.7,15.6,10.2,2.2
1967,3.8,0.2,6.7,15.4,16.8,27.5,26.2,24.9,22.0,15.7,5.9,3.8
1968,-1.4,-0.2,9.7,17.4,17.9,25.0,28.4,27.6,23.8,16.8,8.4,1.0
1969,-0.1,1.6,6.1,16.7,22.1,25.7,26.8,26.9,22.6,16.7,7.6,-0.2
1970,-3.1,1.8,4.3,15.0,22.6,24.9,27.3,27.4,24.7,17.0,9.1,2.8
1971,-1.4,2.1,5.2,13.9,19.4,26.6,27.1,26.1,23.4,19.3,8.3,6.3
1972,2.6,0.4,6.3,13.6,21.7,22.1,26.8,26.2,23.2,13.4,6.3,4.2
1973,3.0,1.8,11.6,13.9,17.7,26.3,27.7,27.3,23.3,17.9,10.1,3.6
1974,3.3,2.2,8.3,16.2,20.2,23.6,27.5,26.4,20.9,15.3,9.9,3.2
1975,3.1,2.7,5.9,11.3,22.9,24.8,27.8,27.0,19.7,18.0,12.9,2.9
1976,-1.3,7.1,11.1,16.6,19.4,26.5,25.5,25.6,21.6,12.9,5.7,0.2
1977,-5.8,2.1,11.4,16.8,24.1,23.8,28.3,26.2,22.7,14.9,9.3,1.4
1978,-2.3,-2.5,5.2,14.1,19.5,25.1,26.3,27.0,23.1,15.5,10.2,3.8
1979,-1.1,-3.7,10.3,13.5,20.5,24.6,26.4,25.6,22.5,14.8,11.3,4.7
1980,0.8,0.0,6.1,14.8,21.9,24.5,28.3,27.9,24.6,14.4,7.1,1.8
1981,-2.3,4.9,6.4,16.6,21.2,25.5,27.2,26.2,20.9,14.5,9.1,1.3
1982,-2.8,1.9,7.3,13.7,23.2,23.0,27.9,24.9,22.0,17.0,10.9,7.2
1983,1.3,4.0,8.7,12.4,19.3,26.1,28.9,28.6,24.2,16.3,9.8,-0.1
1984,-1.4,5.9,3.6,13.6,18.5,26.4,26.1,26.8,21.6,18.9,8.9,7.1
1985,-1.9,2.4,9.6,17.6,22.3,23.3,26.9,26.0,24.0,17.4,10.8,0.7
1986,1.4,0.9,9.6,16.0,22.6,25.6,27.3,25.3,22.4,16.8,7.7,3.4
1987,0.1,2.7,10.7,15.2,22.2,26.6,28.9,26.4,21.9,14.2,10.7,4.2
1988,-0.4,2.2,9.0,14.0,21.3,26.2,30.3,28.7,21.7,13.0,10.4,3.4
1989,4.2,1.7,8.7,13.5,18.8,24.9,27.0,25.8,22.3,17.5,9.0,-3.6
1990,5.7,6.8,10.7,15.7,18.8,25.3,26.9,25.6,21.7,18.0,12.1,6.2
1991,1.7,5.1,9.6,16.1,25.1,27.6,28.8,28.2,22.9,18.0,8.9,5.2
1992,2.3,4.1,6.6,14.0,20.0,23.7,25.9,24.5,21.8,14.7,8.3,2.9
1993,3.0,0.8,5.5,14.9,22.1,25.4,28.8,27.7,21.3,15.4,9.3,2.3
1994,-3.1,1.3,5.9,17.4,19.0,27.3,28.1,25.0,21.7,16.7,12.6,6.3
1995,2.7,0.8,10.6,13.8,19.9,25.9,28.3,29.3,22.8,18.8,6.1,-0.1
1996,0.3,1.9,5.6,15.0,19.2,26.0,25.9,26.6,21.7,16.5,6.0,4.9
1997,0.9,5.7,8.5,13.6,18.2,25.4,27.6,25.5,21.9,16.8,6.9,3.8
1998,5.1,6.4,9.3,16.4,23.2,24.1,27.2,27.7,25.1,16.8,10.7,7.4
1999,2.3,5.1,6.8,15.9,22.6,26.4,30.2,26.8,23.4,16.3,12.7,4.7
2000,1.4,5.1,12.2,14.7,22.2,25.4,25.3,25.2,22.1,17.9,8.1,-0.8
2001,0.9,4.5,5.4,16.3,21.7,25.7,26.6,28.4,22.4,17.6,14.1,7.0
2002,5.0,6.9,9.3,16.6,19.7,26.3,29.1,29.0,25.2,14.6,8.1,1.8
2003,-2.3,-0.1,9.3,15.3,18.9,23.2,26.9,27.3,21.8,15.3,12.3,3.5
2004,-2.4,2.8,9.6,15.0,24.1,24.2,26.0,25.4,23.6,15.8,11.1,4.0
2005,1.3,4.1,5.2,17.2,19.0,27.4,28.9,28.3,25.7,16.3,12.1,0.9
2006,6.6,3.4,8.2,17.7,20.9,25.0,28.2,27.5,20.6,15.1,11.6,8.0
2007,4.1,-2.1,9.3,12.7,23.7,27.0,27.1,27.5,25.0,20.5,8.9,3.4
2008,2.9,2.4,7.4,17.7,19.2,26.9,27.9,26.0,23.8,15.8,8.2,3.9
2009,-1.8,4.0,9.7,16.4,21.1,24.1,25.2,26.8,21.8,14.3,12.2,2.3
2010,0.3,0.4,11.5,19.1,22.4,26.8,29.7,27.6,24.2,16.8,10.3,-0.2
2011,-1.1,3.8,7.9,15.3,22.0,26.3,30.4,26.8,22.6,15.6,13.0,6.2
2012,3.8,5.9,15.4,15.6,24.2,25.8,29.8,27.3,22.8,16.5,8.1,6.0
2013,2.7,1.6,5.3,15.8,21.8,25.6,28.1,25.8,22.9,17.7,8.0,3.6
2014,-1.6,0.2,5.0,15.7,21.6,26.0,26.6,25.6,23.2,17.1,7.3,4.5
2015,-0.6,-2.9,5.6,15.8,24.6,25.0,27.4,27.0,25.6,16.3,13.3,10.0
2016,1.2,4.6,12.8,15.5,20.2,26.2,29.3,29.2,25.7,17.9,11.9,3.4
2017,3.7,8.2,7.2,18.6,19.7,25.8,27.6,25.7,23.9,19.6,9.2,2.0
2018,0.4,6.4,5.4,12.1,24.4,25.1,28.3,27.4,23.8,16.1,6.1,4.6
2019,1.1,3.8,7.1,16.5,21.8,24.9,28.9,26.9,24.9,18.0,7.6,4.6
2020,4.4,5.2,11.4,13.1,19.4,26.4,30.3,28.3,23.1,16.7,13.0,3.9
2021,1.9,1.2,11.7,16.1,20.6,26.7,27.7,28.2,23.7,19.3,9.2,7.7
2022,-0.1,4.7,10.2,14.4,22.4,26.1,28.9,28.2,22.8,16.1,11.4,3.8
2023,5.6,8.1,8.7,18.3,21.1,24.7,28.3,26.1,23.2,17.8,,
