year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,1.4,-0.3,5.1,12.4,20.7,24.7,24.1,25.7,23.6,13.7,11.3,5.8
1896,-0.4,2.5,3.9,14.9,22.0,22.7,26.0,25.8,20.6,13.3,12.1,2.6
1897,1.4,1.9,6.7,13.8,18.6,21.6,25.6,24.3,21.3,17.1,8.9,3.8
1898,2.0,3.8,10.3,10.6,17.6,23.3,26.2,25.9,23.4,16.1,8.7,3.1
1899,2.7,-0.4,4.5,13.8,19.4,25.8,26.3,25.2,21.1,16.4,9.2,5.3
1900,3.2,2.0,5.4,13.4,18.7,24.4,27.5,26.6,23.6,17.3,10.1,3.9
1901,0.9,-1.6,5.8,10.5,17.2,24.5,27.2,25.3,22.8,16.8,6.1,3.4
1902,0.9,1.3,9.6,13.2,18.8,23.0,23.8,24.5,21.1,16.0,11.9,2.2
1903,1.9,2.9,11.0,13.1,20.8,19.2,25.9,21.9,22.0,15.8,8.0,1.3
1904,-1.8,-1.2,5.3,11.6,20.8,22.2,25.3,23.8,21.0,14.5,6.6,-0.3
1905,-0.3,-1.3,6.5,12.9,18.7,22.7,26.5,23.7,20.4,16.5,9.3,5.2
1906,5.1,3.1,3.9,13.2,19.8,23.8,24.8,26.0,22.8,15.9,8.3,2.1
1907,1.2,-1.6,7.4,10.2,15.4,22.0,26.5,24.9,21.3,14.0,8.8,5.2
1908,3.2,0.7,7.2,13.1,19.6,25.3,27.4,24.2,22.4,18.1,9.0,4.0
1909,2.8,4.1,5.4,12.2,17.8,24.1,25.7,25.0,21.3,15.4,11.2,1.6
1910,2.7,2.0,9.6,15.7,17.9,22.4,27.8,24.2,21.3,17.2,7.2,0.4
1911,3.3,0.7,5.5,11.7,21.7,23.2,28.3,24.9,20.9,14.8,8.8,6.4
1912,-2.4,0.5,5.6,12.4,18.7,24.3,26.6,23.8,21.2,17.8,10.2,6.1
1913,7.3,1.6,9.5,12.8,17.7,23.7,27.3,25.2,20.4,16.3,11.1,6.0
1914,1.4,-0.2,5.3,11.4,20.8,23.6,23.8,24.7,22.6,18.0,9.2,2.0
1915,2.9,4.1,6.2,14.9,17.5,22.6,24.9,23.5,23.3,16.1,9.9,3.0
1916,4.8,0.2,2.2,11.1,18.7,21.0,25.6,25.9,22.2,17.4,9.1,2.6
1917,2.3,0.3,5.8,10.7,14.2,22.8,26.3,26.4,19.8,14.3,7.3,-0.6
1918,-2.8,1.8,7.3,13.4,21.7,22.1,26.0,26.0,20.3,17.4,9.6,4.1
1919,3.4,3.0,7.8,12.0,19.1,24.1,26.6,23.4,21.3,17.2,9.2,1.2
1920,-2.2,0.0,7.6,10.9,17.2,22.4,25.6,25.9,22.6,19.3,7.8,4.4
1921,3.4,3.2,11.6,15.8,19.2,24.6,26.7,24.3,24.3,17.0,8.1,3.0
1922,0.5,2.7,8.1,13.7,21.2,24.1,25.4,24.2,22.6,17.1,9.0,2.3
1923,0.0,-1.4,4.7,13.3,18.7,25.1,24.9,24.6,22.2,16.5,9.9,7.1
1924,3.7,-0.2,5.6,12.1,16.7,22.8,26.7,25.6,20.4,17.0,10.4,2.9
1925,0.9,6.3,9.4,14.3,18.5,25.9,25.4,25.8,21.7,13.1,9.5,3.4
1926,2.2,0.7,4.4,11.1,18.2,21.4,25.8,25.1,20.8,15.5,10.6,1.3
1927,1.8,3.3,9.1,13.2,16.9,22.2,25.4,22.9,22.3,18.3,12.6,5.5
1928,3.4,2.5,5.9,11.6,17.3,21.5,26.4,26.6,20.1,17.3,9.9,5.8
1929,1.8,2.7,9.1,11.8,19.8,24.7,26.6,24.7,22.6,15.6,9.5,2.7
1930,2.6,5.3,7.3,13.1,20.8,26.4,27.3,25.8,25.3,16.1,10.0,3.4
1931,2.1,2.8,6.3,13.9,19.7,23.3,26.6,25.9,23.8,19.1,12.4,6.6
1932,6.8,3.4,6.0,12.8,19.9,23.4,26.3,26.1,22.0,16.5,9.6,5.8
1933,6.3,4.6,5.2,11.8,20.8,24.5,25.6,25.1,22.0,16.1,7.5,2.3
1934,2.8,-2.9,6.0,13.3,20.6,24.6,27.4,24.2,22.2,14.3,10.9,2.6
1935,0.1,1.8,8.8,12.3,18.3,23.0,27.0,26.2,21.1,16.9,10.8,0.3
1936,0.9,-1.1,9.8,10.8,20.8,23.2,25.9,25.7,21.3,16.5,7.9,5.6
1937,6.4,4.8,4.8,11.4,20.4,23.5,27.1,27.1,21.5,15.2,9.7,2.6
1938,1.3,3.2,8.2,14.1,17.8,23.0,25.6,27.2,21.3,17.6,11.7,4.0
1939,1.4,4.8,5.2,11.1,20.0,23.6,26.4,27.3,22.0,16.7,8.3,4.3
1940,-2.0,2.1,3.7,10.4,18.2,23.1,26.5,24.4,21.6,14.2,9.0,5.2
1941,-0.1,2.2,4.4,16.7,21.0,24.3,25.9,25.9,24.2,17.7,12.5,5.9
1942,1.6,1.5,8.4,14.9,21.2,23.8,25.9,25.1,22.7,17.2,10.3,1.4
1943,0.0,3.0,6.3,10.4,19.1,26.7,27.1,26.0,21.9,16.3,9.6,3.1
1944,2.5,2.4,5.4,11.6,22.9,24.1,28.3,28.1,22.9,16.4,9.6,3.1
1945,-0.3,2.3,12.5,16.2,17.0,23.7,26.0,25.6,23.8,16.3,10.7,0.4
1946,2.2,2.0,12.9,11.9,18.5,23.6,25.2,23.1,22.9,19.4,12.4,5.7
1947,4.6,2.6,6.5,12.1,18.1,22.3,26.1,26.7,22.5,21.1,8.1,2.7
1948,-1.2,0.9,7.5,13.4,17.0,22.1,27.4,26.9,23.8,16.3,12.7,5.2
1949,5.3,5.5,7.8,14.9,20.0,26.1,29.2,27.8,21.6,19.0,9.9,6.0
1950,6.8,1.7,5.3,11.7,17.3,24.1,26.6,24.9,20.3,17.9,11.9,4.7
1951,4.7,5.4,7.4,15.0,19.9,22.6,27.0,25.4,22.7,17.1,9.6,5.7
1952,4.4,3.6,6.2,14.4,18.4,25.1,29.7,26.1,23.3,16.3,10.8,4.9
1953,4.8,5.7,7.8,12.9,19.6,25.9,26.7,26.2,23.5,17.5,12.6,8.0
1954,1.2,6.6,8.1,14.3,17.6,24.1,26.0,24.6,20.9,19.1,10.1,4.6
1955,1.3,3.9,7.2,13.3,21.6,23.2,28.9,26.8,21.9,17.2,8.4,0.4
1956,1.8,3.5,4.3,11.2,17.3,24.7,25.6,26.1,20.1,17.3,11.0,6.4
1957,-0.5,5.2,8.0,14.9,20.6,26.4,27.8,25.2,23.4,16.6,11.8,7.3
1958,2.3,-0.3,6.4,13.3,17.3,21.5,25.8,25.4,21.6,15.4,11.3,0.4
1959,2.3,1.8,6.8,14.3,21.7,22.7,26.5,27.2,24.2,16.9,10.4,5.1
1960,2.0,5.2,3.4,14.1,19.7,24.4,26.1,25.8,21.5,16.6,11.9,1.9
1961,-0.6,3.6,6.9,11.8,17.6,24.3,26.4,25.7,24.9,17.7,10.0,3.1
1962,2.1,1.0,6.9,14.4,18.7,23.9,24.8,24.6,20.8,15.9,8.6,2.2
1963,1.9,1.1,7.4,14.4,19.4,24.8,27.1,25.3,19.9,20.0,11.9,-0.4
1964,3.5,2.0,7.8,12.4,21.9,24.3,25.8,23.7,21.6,16.3,11.6,4.1
1965,0.4,2.1,5.8,12.0,21.4,24.4,26.7,25.9,22.1,16.2,9.3,5.1
1966,1.4,2.9,8.2,11.7,17.4,24.7,27.8,26.2,21.3,16.5,11.6,4.4
1967,4.9,1.4,4.9,11.9,15.6,24.2,26.0,24.8,22.0,16.9,7.7,5.2
1968,0.3,0.6,7.7,15.6,18.5,22.6,27.6,26.1,23.5,18.1,9.2,2.9
1969,1.5,0.9,5.4,15.0,19.5,24.5,25.3,27.6,22.6,17.2,9.7,2.8
1970,-2.0,3.8,5.8,13.9,19.7,22.9,26.9,27.2,22.3,17.2,10.6,2.2
1971,-0.3,2.7,6.4,12.1,18.2,25.2,27.1,26.8,23.8,19.5,8.7,6.0
1972,4.1,2.1,6.0,11.5,19.4,21.8,26.6,25.6,22.6,14.7,8.2,4.6
1973,4.1,2.7,10.5,14.4,18.0,25.0,27.0,27.6,22.6,17.4,10.3,7.6
1974,3.6,2.3,8.3,15.2,17.7,23.1,26.9,27.0,21.6,14.8,10.9,5.4
1975,4.6,3.0,6.3,11.6,21.3,23.1,27.1,26.3,20.4,17.8,13.7,4.4
1976,0.4,7.1,8.5,16.6,19.2,25.3,26.0,25.6,21.6,14.2,7.9,1.8
1977,-1.9,2.1,10.3,15.3,21.4,23.1,27.5,26.5,21.5,15.9,11.1,3.5
1978,0.7,-0.2,5.8,12.6,18.8,24.6,26.0,25.8,21.2,16.3,10.2,5.4
1979,2.9,-2.2,9.4,13.1,20.0,23.6,27.5,25.2,22.6,15.7,12.7,6.6
1980,2.5,1.5,6.9,13.8,20.5,23.2,27.9,27.1,23.8,15.2,9.1,3.1
1981,-1.9,6.6,7.6,14.8,20.3,25.0,28.0,26.2,21.5,14.7,10.1,3.1
1982,-0.9,3.1,7.7,13.1,20.0,21.5,27.6,24.7,21.9,16.6,12.4,7.2
1983,2.7,4.0,8.1,13.1,17.3,25.8,28.7,26.7,25.3,16.4,11.6,4.3
1984,0.8,6.7,4.3,12.8,18.8,25.2,26.0,27.0,21.5,17.7,11.3,7.9
1985,-0.8,3.9,9.8,14.9,20.4,22.2,27.1,25.7,23.0,17.7,10.9,3.3
1986,4.0,1.3,9.3,14.1,20.3,23.8,25.6,24.5,21.2,16.6,9.8,5.3
1987,2.1,3.0,8.6,13.2,20.2,24.7,27.0,25.7,21.7,16.0,10.7,5.4
1988,1.3,3.8,8.7,12.0,19.0,24.4,27.6,27.6,22.4,14.1,12.2,4.7
1989,5.2,2.6,7.4,12.5,19.9,24.5,26.7,26.1,23.0,17.4,10.1,-1.7
1990,6.2,5.8,9.4,13.2,17.6,24.4,26.7,26.9,22.3,19.2,12.7,8.4
1991,3.1,6.2,9.4,16.0,23.4,25.9,27.9,27.1,21.8,17.7,10.6,6.4
1992,3.7,4.3,6.2,12.2,19.7,24.1,25.5,24.8,21.7,15.3,9.3,4.7
1993,3.2,1.1,5.9,13.4,21.1,24.9,28.1,27.4,22.1,15.6,11.7,4.6
1994,-0.5,0.8,7.7,15.6,18.7,25.4,28.4,25.4,21.4,17.2,13.7,7.4
1995,5.2,2.9,8.8,13.7,18.6,24.7,28.0,27.7,22.2,19.2,9.0,2.3
1996,2.3,2.6,6.8,13.3,19.4,24.4,25.4,25.8,21.7,16.4,8.4,7.0
1997,2.8,6.4,7.4,13.1,17.6,25.1,27.7,25.8,22.2,16.4,8.8,5.4
1998,5.3,6.6,9.2,14.6,21.3,22.8,27.3,27.4,24.0,16.9,11.0,8.3
1999,4.1,5.8,9.0,15.2,20.7,26.4,29.4,26.6,23.9,16.8,13.2,6.8
2000,2.3,5.3,11.2,12.7,19.8,24.4,25.4,25.2,22.4,17.0,9.9,2.6
2001,2.6,4.3,5.8,14.7,21.1,25.9,25.8,27.8,23.3,18.1,13.8,8.3
2002,6.0,7.2,9.4,15.8,18.7,23.9,28.3,28.3,24.1,15.5,9.7,4.3
2003,-0.6,0.8,8.7,12.0,17.5,22.7,27.2,27.5,23.2,15.8,12.1,6.2
2004,-2.4,4.4,7.9,14.4,20.7,24.0,25.8,25.6,23.0,15.7,11.2,5.8
2005,1.3,4.0,5.7,15.5,16.1,25.7,27.5,28.8,24.9,16.2,12.7,4.1
2006,6.7,4.0,8.4,15.4,18.9,23.9,28.3,26.4,22.0,16.7,13.0,9.0
2007,4.8,0.8,8.2,12.1,21.6,24.7,27.3,27.4,24.6,19.7,10.2,3.9
2008,4.7,4.7,8.3,15.7,18.8,26.1,28.3,25.7,22.7,16.4,10.2,6.5
2009,-0.1,5.3,8.0,15.4,19.5,21.8,25.4,27.4,22.2,15.5,13.0,4.4
2010,2.4,3.5,11.2,17.4,22.2,25.9,29.4,27.1,24.1,17.1,11.0,3.3
2011,1.0,4.0,8.3,14.3,19.8,24.4,28.9,27.1,24.1,17.5,14.2,8.9
2012,5.8,7.3,12.9,16.3,20.8,24.1,28.6,27.8,22.6,17.8,9.6,7.3
2013,3.8,3.1,7.1,14.6,21.2,25.2,29.1,25.9,22.6,18.1,10.4,5.0
2014,1.9,2.3,6.0,13.9,20.0,25.1,27.3,26.1,23.9,17.8,10.2,6.8
2015,1.2,-2.0,5.2,14.2,22.8,23.2,27.7,28.0,25.9,16.8,13.6,11.8
2016,4.3,6.1,11.3,13.6,20.1,25.3,28.8,28.9,24.3,18.1,12.7,6.0
2017,5.3,7.1,6.0,16.2,18.4,24.9,26.7,26.5,24.2,20.7,11.5,3.1
2018,2.4,8.0,7.1,12.2,22.3,24.2,28.6,28.7,23.4,16.3,9.1,6.4
2019,3.2,4.2,7.2,14.7,18.6,24.3,29.3,27.2,23.7,17.1,9.7,5.7
2020,6.4,6.4,11.0,11.4,19.4,25.7,29.1,28.4,23.8,17.6,14.5,6.7
2021,3.8,3.3,10.6,15.0,20.5,26.5,26.2,27.6,23.9,19.3,11.8,7.9
2022,2.7,6.1,10.3,14.6,21.1,24.7,29.3,29.3,22.4,17.5,13.7,6.7
2023,7.4,6.7,8.9,16.1,20.1,23.3,28.3,25.4,23.3,19.0,,
