year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,11.3,8.1,17.0,22.1,26.2,31.8,32.0,31.4,31.0,23.6,18.2,13.3
1896,11.4,14.8,17.5,26.0,31.4,31.1,32.4,32.6,30.1,23.2,21.1,12.6
1897,10.7,15.3,18.7,23.3,27.7,32.6,32.8,31.3,29.6,25.0,19.4,13.8
1898,14.8,13.8,20.3,21.3,30.6,33.4,32.4,31.1,29.6,22.8,16.4,13.0
1899,12.5,12.2,18.8,21.8,30.1,32.9,32.8,33.3,29.1,23.8,18.9,13.0
1900,12.8,12.6,17.0,23.6,28.4,30.2,33.4,35.1,31.6,25.2,19.5,13.1
1901,13.0,12.3,18.2,19.5,28.8,30.7,33.1,31.2,28.8,24.1,15.8,12.5
1902,11.8,9.9,18.3,22.2,30.1,32.2,34.1,31.9,28.1,24.4,20.5,13.3
1903,10.8,15.1,20.3,22.2,27.4,29.0,32.8,32.4,28.3,23.6,16.2,11.4
1904,10.2,12.8,19.6,21.6,28.2,31.4,32.7,30.7,29.9,23.9,17.3,12.8
1905,11.2,9.4,20.6,23.8,28.7,32.2,32.5,31.1,30.4,24.1,19.1,11.6
1906,13.7,14.2,16.5,25.3,27.8,31.6,31.1,31.9,30.1,22.0,19.1,14.7
1907,17.4,13.3,23.6,19.9,27.4,30.3,33.4,31.8,30.1,23.0,17.0,13.5
1908,12.7,11.9,22.4,25.4,29.1,30.7,31.9,31.3,28.2,22.9,19.7,15.7
1909,15.4,17.5,18.0,23.9,27.4,31.4,31.3,31.8,28.0,23.2,21.2,11.4
1910,13.1,13.0,21.9,24.6,27.6,29.6,31.8,31.2,30.1,25.4,17.3,11.0
1911,15.6,17.1,19.0,22.6,29.9,34.2,32.6,32.2,31.6,24.8,16.3,14.9
1912,9.6,11.3,17.0,23.7,28.4,29.9,32.0,32.3,30.2,24.4,18.1,14.5
1913,17.1,14.5,18.8,22.6,29.2,31.7,33.7,31.7,27.6,23.3,18.9,13.8
1914,13.7,12.4,16.1,23.9,29.8,33.6,33.1,31.4,27.7,23.1,17.9,10.0
1915,12.1,14.7,13.6,24.3,28.6,30.4,33.2,31.2,30.3,25.0,19.7,12.3
1916,16.4,15.4,18.6,23.3,30.4,30.7,30.0,31.9,28.6,23.6,19.0,13.7
1917,15.0,14.7,18.6,25.3,25.9,31.3,32.1,31.6,26.9,22.7,16.9,8.5
1918,8.3,17.3,21.3,21.8,28.8,31.3,31.9,32.8,27.2,25.2,17.3,15.1
1919,14.6,13.2,19.4,23.9,27.6,30.3,31.7,31.1,29.9,28.6,19.6,13.8
1920,13.2,12.0,17.1,22.2,26.2,31.7,32.1,30.5,29.8,24.8,17.2,13.0
1921,14.3,15.6,23.2,24.2,26.2,32.9,31.8,31.2,33.4,24.1,19.4,16.6
1922,11.4,16.9,19.0,24.5,27.6,31.7,32.3,30.2,30.3,24.4,19.3,15.4
1923,15.4,13.3,19.5,23.1,26.0,31.2,32.1,31.6,29.8,23.3,16.5,16.9
1924,12.7,12.8,16.4,22.9,26.9,32.3,31.4,33.2,26.5,23.2,19.1,14.7
1925,12.4,17.7,20.3,25.9,27.4,33.2,33.9,33.4,34.4,24.1,16.2,12.1
1926,11.9,15.7,14.8,22.8,29.5,31.7,32.8,32.8,31.1,25.4,16.5,15.5
1927,13.9,19.5,18.6,24.3,29.2,29.9,31.6,30.2,30.7,25.6,20.2,13.9
