year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-7.6,-5.0,5.9,19.0,20.6,24.0,29.6,29.6,25.7,15.1,3.4,0.3
1896,-1.7,2.7,0.8,13.6,22.1,26.8,29.0,29.1,20.5,14.3,-5.3,0.9
1897,-6.5,-3.5,-0.5,13.0,22.6,25.0,29.8,26.5,28.7,16.9,3.3,-2.9
1898,-0.2,2.3,4.4,14.6,18.3,26.2,29.8,29.7,24.6,11.7,3.6,-1.7
1899,-2.8,-8.6,-3.3,13.2,18.8,25.5,30.2,28.8,24.2,15.3,11.5,-1.6
1900,1.8,-3.1,5.4,17.0,24.8,28.6,29.1,30.2,21.9,18.4,3.6,2.1
1901,0.3,-2.9,6.3,15.4,23.9,24.7,33.3,29.9,20.8,18.1,8.2,-2.0
1902,-1.2,-2.9,5.4,13.5,21.9,23.1,29.1,27.1,22.1,17.6,6.7,-4.4
1903,-2.1,-5.2,4.0,14.7,20.2,24.7,28.6,26.5,20.4,18.1,4.8,-1.4
1904,-5.0,-5.3,5.0,13.0,20.5,23.9,27.7,28.3,23.6,17.7,11.7,-0.2
1905,-6.8,-4.3,9.8,13.3,17.2,23.3,26.4,29.3,25.6,13.0,8.4,0.8
1906,-0.3,0.6,-0.7,16.8,19.6,23.8,28.7,27.2,24.6,15.5,4.6,-0.4
1907,-8.6,0.5,8.8,10.3,16.1,24.3,27.9,29.0,21.6,17.7,8.1,2.8
1908,2.2,-0.6,6.1,17.2,19.1,23.3,29.3,27.2,27.6,14.2,7.8,-1.7
1909,-5.2,-1.6,4.1,10.7,19.4,25.2,28.3,31.0,23.9,15.8,6.5,-8.9
1910,-4.6,-5.9,15.7,19.0,18.8,27.3,31.2,27.5,23.1,20.3,4.8,-0.8
1911,-2.7,-0.4,11.7,13.9,23.3,30.8,29.8,26.0,22.9,12.1,0.7,-2.1
1912,-9.7,-2.0,0.2,16.2,20.8,25.4,28.6,26.8,19.1,17.1,10.1,2.8
1913,-2.4,-3.0,2.3,16.3,18.6,28.1,29.0,31.1,24.1,13.3,10.2,2.6
1914,1.5,-5.8,5.0,13.9,20.8,26.4,32.1,28.2,25.0,18.4,10.4,-5.3
1915,-4.8,-1.3,-1.3,18.3,16.9,21.9,24.6,25.1,21.2,17.8,7.7,0.3
1916,-10.2,-2.6,7.0,12.7,19.4,22.4,32.1,27.7,23.1,14.4,6.8,-5.7
1917,-4.6,-6.1,1.9,10.3,18.0,24.3,31.7,28.0,23.0,11.7,11.7,-5.4
1918,-9.3,-0.7,11.9,11.9,21.6,27.0,28.3,28.8,21.1,17.5,6.3,0.8
1919,2.4,-4.3,4.0,12.8,20.3,26.7,31.2,29.8,24.6,10.3,-0.1,-4.6
1920,-2.9,-0.2,5.2,7.7,19.2,24.2,28.7,28.4,24.3,18.5,3.8,-0.6
1921,1.7,4.7,9.8,15.9,19.8,29.7,31.3,29.2,23.1,18.3,2.7,-0.2
1922,-5.6,-7.1,5.4,13.6,20.8,26.9,27.7,30.8,27.1,18.9,5.3,-3.6
1923,-0.7,-2.7,3.8,14.2,20.5,25.3,30.1,26.2,23.9,13.6,10.5,3.6
1924,-6.0,1.7,1.7,14.3,17.9,23.2,28.1,28.3,22.0,19.3,7.2,-6.8
1925,-4.3,1.6,9.4,18.2,21.6,24.7,29.6,30.9,25.2,7.9,7.1,-0.6
1926,-1.8,2.9,6.3,16.3,24.3,25.8,30.7,28.7,21.3,16.2,2.4,-2.1
1927,-2.2,1.8,7.0,12.4,17.1,24.3,27.5,26.3,23.6,19.2,2.5,-9.7
1928,-1.6,2.0,8.9,12.1,24.0,22.8,28.9,29.2,22.7,15.7,6.3,2.7
1929,-9.9,-6.6,7.1,14.2,19.4,25.1,31.4,31.3,19.4,15.9,2.9,-2.0
1930,-9.8,5.8,5.6,17.2,18.6,26.0,33.9,29.9,24.0,12.9,7.0,1.0
1931,3.7,6.6,5.6,16.5,20.9,30.9,33.3,29.8,27.7,17.3,7.1,0.0
1932,-5.3,-0.5,0.7,15.6,22.2,26.7,31.6,29.8,24.4,12.9,6.7,-3.1
1933,2.1,-1.9,6.9,14.0,18.8,33.0,33.4,28.3,26.8,17.6,8.4,-0.2
1934,2.3,3.8,7.3,16.5,29.7,28.8,33.6,30.2,21.2,18.7,9.0,-1.4
1935,-2.7,4.7,8.1,10.1,15.7,24.1,34.0,30.4,25.8,16.4,3.0,-1.3
1936,-9.6,-14.9,6.0,12.1,24.8,30.1,38.1,32.5,26.4,16.2,5.1,-1.2
1937,-12.8,-3.4,4.2,12.2,22.4,24.9,32.1,33.6,25.3,15.9,4.4,-1.8
1938,-2.7,-1.8,8.7,15.1,18.8,27.2,31.2,32.7,25.8,20.5,4.7,1.4
1939,1.3,-5.7,7.6,15.1,25.6,25.6,33.2,30.2,27.2,16.0,11.1,5.4
1940,-9.0,-2.1,2.6,11.7,21.9,27.3,33.1,28.8,27.1,20.2,2.6,1.4
1941,-2.6,-0.8,4.4,14.3,24.3,25.2,31.4,30.4,22.9,14.9,7.8,2.9
1942,0.9,-1.2,5.5,17.3,17.0,23.4,29.0,28.7,20.9,16.8,7.7,-1.4
1943,-7.2,3.2,3.1,17.8,19.4,24.8,31.6,30.8,23.5,18.6,5.0,3.1
1944,2.7,-1.8,-0.2,11.3,23.1,24.6,28.7,28.1,23.3,19.0,4.4,-0.8
1945,-1.6,0.2,9.9,12.8,18.5,20.6,29.8,29.3,22.5,18.3,6.1,-4.6
1946,1.1,2.7,11.8,19.3,18.3,26.3,30.7,27.7,22.5,12.6,5.4,0.7
1947,0.7,-2.8,2.4,12.0,19.3,23.1,30.5,32.9,24.8,20.6,1.3,-0.6
1948,-2.7,-2.9,3.0,17.4,20.9,24.1,29.7,29.7,27.3,17.3,5.2,-1.4
1949,-8.7,-4.3,3.8,17.6,22.9,27.4,32.3,31.4,22.6,15.0,12.3,-1.6
1950,-10.2,-1.1,0.8,8.7,17.8,26.8,27.4,27.3,22.4,18.7,4.7,-0.9
1951,-3.9,2.9,-0.8,11.7,20.8,21.6,28.1,26.7,19.8,13.7,4.3,-6.0
1952,-5.2,0.1,-1.0,16.5,20.8,28.5,30.8,29.1,27.2,16.7,6.4,0.6
1953,0.1,-0.2,6.1,9.7,18.5,26.1,29.1,29.1,25.2,20.7,9.3,1.1
1954,-4.6,9.3,2.7,15.4,18.8,24.8,32.4,29.0,23.1,13.9,10.9,1.6
1955,-1.1,-3.9,4.6,19.3,24.1,23.9,32.7,32.1,24.7,18.5,0.7,-5.7
1956,-5.1,-2.9,4.9,11.2,20.7,30.8,28.9,28.0,24.4,20.4,5.4,2.3
1957,-7.4,1.2,5.0,11.7,18.2,24.1,31.5,28.3,21.9,13.4,5.3,4.9
1958,2.4,-2.1,2.2,13.4,24.3,23.3,26.9,31.5,25.8,18.5,7.4,-0.8
1959,-4.7,-3.6,8.2,14.4,19.7,29.2,31.4,32.4,22.4,12.8,1.6,3.0
1960,-3.7,-4.7,-0.6,14.2,21.1,24.3,31.9,29.9,24.4,18.0,8.0,-1.7
1961,-1.6,2.7,8.3,12.2,18.9,28.7,30.1,31.7,20.9,17.2,6.7,-2.6
1962,-3.8,-2.6,0.8,15.7,20.7,24.0,26.8,29.1,22.9,18.2,9.3,1.7
1963,-6.9,2.1,10.4,14.3,20.8,27.6,30.6,29.7,24.8,21.9,9.7,-3.7
