year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,14.4,10.1,20.9,26.4,27.6,31.9,32.9,34.7,32.1,24.1,16.9,14.8
1896,13.7,17.4,19.6,26.1,32.0,35.3,34.1,35.8,31.1,23.5,18.4,16.5
1897,10.7,18.1,22.2,25.9,29.0,33.4,36.3,33.8,31.1,27.7,21.6,13.8
1898,15.9,18.7,20.2,24.8,29.5,32.3,33.7,33.9,31.6,26.8,17.6,11.9
1899,13.1,11.3,22.1,24.2,31.0,32.7,33.9,36.9,31.8,26.8,19.8,13.3
1900,14.2,15.2,19.8,23.9,28.4,34.2,32.9,33.1,31.6,25.8,19.7,14.7
1901,15.8,14.4,21.2,24.3,29.6,34.9,35.5,35.8,30.9,27.1,20.7,14.9
1902,14.1,15.6,21.1,27.1,30.6,34.9,33.0,35.5,30.1,26.3,20.2,13.8
1903,13.4,12.0,18.3,24.6,27.1,29.3,33.8,33.4,30.2,24.9,20.1,16.0
1904,14.8,20.2,24.6,25.6,28.8,31.7,33.2,33.2,30.1,25.8,19.8,15.1
1905,12.0,9.3,20.8,23.3,29.1,32.5,32.9,34.6,31.8,24.4,19.5,11.2
1906,15.5,15.4,18.4,24.7,29.1,33.6,32.2,32.2,30.6,23.6,18.4,17.4
1907,18.5,20.1,26.2,24.9,26.4,33.2,33.6,35.3,32.9,24.5,16.3,15.9
1908,15.7,16.7,24.1,25.0,29.5,33.4,32.8,33.2,30.7,25.4,20.5,16.7
1909,17.6,19.4,22.1,26.1,29.5,33.6,35.2,34.7,31.5,27.0,22.8,11.0
1910,15.7,15.4,24.6,25.6,28.8,33.8,35.8,35.7,33.2,26.3,21.3,15.6
1911,18.6,17.2,22.8,24.4,29.1,35.8,33.7,35.1,33.8,25.3,17.9,12.0
1912,12.8,14.8,16.9,24.5,30.3,32.1,35.5,34.8,31.4,26.1,19.3,12.1
1913,14.2,13.7,18.7,25.2,30.1,31.0,34.9,35.2,28.4,23.3,20.8,11.8
