year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-0.4,2.0,7.9,16.4,20.1,24.6,28.3,28.9,23.3,16.0,5.0,-1.6
1896,3.3,5.6,9.0,13.5,17.6,28.5,28.7,27.5,21.9,15.6,5.3,4.3
1897,1.2,2.1,4.1,14.2,23.2,25.8,28.3,28.4,22.9,13.0,8.3,-0.8
1898,-2.8,4.3,6.1,17.2,17.8,26.8,30.6,30.0,24.2,14.7,7.3,-0.2
1899,1.5,3.1,8.4,15.7,17.8,25.7,30.1,26.1,25.7,12.8,9.7,0.6
1900,4.2,5.8,13.6,12.2,21.7,28.8,30.5,27.5,20.7,15.2,9.6,3.6
1901,2.6,4.5,8.5,14.3,21.8,24.9,32.2,28.6,23.0,17.2,10.9,3.7
1902,2.8,6.4,5.9,15.3,20.4,27.9,28.7,28.3,23.7,17.2,6.8,1.7
1903,2.3,-2.9,7.2,13.4,18.6,26.1,28.4,29.6,22.1,17.1,10.1,3.2
1904,1.1,7.3,9.6,15.3,20.0,24.9,29.1,27.6,23.9,16.2,11.9,4.1
1905,2.2,3.2,10.2,14.5,17.1,26.2,29.5,29.0,23.4,14.2,8.4,0.0
1906,1.1,5.6,7.3,13.9,19.3,24.4,29.2,27.2,21.8,16.4,6.7,4.2
1907,1.9,9.4,10.2,15.8,17.7,21.7,29.3,26.9,23.3,17.6,9.0,4.3
1908,2.6,4.3,10.1,16.1,16.7,23.3,29.8,26.9,22.8,12.7,8.5,1.5
1909,4.4,4.0,7.8,12.9,18.4,27.0,29.8,27.9,22.2,18.1,8.7,-2.8
1910,0.7,2.9,14.3,17.8,22.1,27.7,30.1,28.7,24.4,16.7,11.6,3.4
1911,4.3,3.1,10.7,14.4,20.2,25.3,28.2,28.9,23.7,14.7,6.7,0.9
1912,3.2,6.2,6.9,11.4,18.3,25.4,27.3,27.6,20.0,13.2,9.1,1.4
1913,0.1,3.7,7.2,15.6,21.6,24.8,28.1,28.6,22.3,15.0,8.7,0.6
1914,2.7,3.7,11.1,14.9,21.4,24.0,27.7,28.9,24.1,16.7,11.8,0.4
1915,0.3,4.4,9.5,16.8,17.6,24.1,29.1,29.8,21.9,18.6,9.2,3.2
1916,0.2,5.6,11.6,15.9,18.8,25.7,29.0,26.8,23.3,13.8,7.3,1.1
1917,-2.6,2.3,5.2,11.8,15.2,25.7,31.1,28.6,23.8,18.4,11.3,8.6
1918,3.0,5.4,11.4,13.6,19.1,29.3,28.2,27.3,23.8,16.7,6.8,1.6
1919,1.4,3.4,8.1,16.1,22.6,28.2,31.0,29.8,24.0,11.9,7.6,0.2
1920,1.4,5.3,7.2,10.6,19.7,25.1,30.1,27.4,22.8,13.9,7.6,1.9
1921,3.4,6.5,11.6,12.6,19.2,26.4,29.7,27.1,23.7,19.6,11.6,5.7
