year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,0.3,5.4,8.8,14.3,16.4,21.3,23.7,24.5,15.9,15.6,6.2,2.6
1896,2.4,6.5,7.9,11.0,14.9,21.3,26.9,24.2,19.0,14.3,1.9,4.0
1897,0.9,4.2,4.2,15.1,20.6,20.2,22.6,27.7,18.9,13.8,4.8,1.8
1898,0.2,6.6,7.1,14.0,18.3,21.3,25.3,26.6,20.9,13.0,4.5,0.4
1899,1.6,1.7,7.1,11.7,14.5,19.5,25.8,20.4,21.7,11.8,9.2,3.5
1900,4.6,3.8,11.6,14.9,18.0,22.6,25.4,21.9,18.8,12.2,5.2,5.0
1901,1.3,3.9,8.4,11.9,17.6,17.9,23.8,27.3,17.4,17.2,7.8,3.4
1902,1.1,5.3,7.4,12.1,16.6,20.4,23.2,24.9,19.8,15.3,5.0,1.2
1903,2.0,2.9,7.1,11.4,16.9,22.8,22.7,23.7,17.9,14.2,4.8,2.0
1904,2.6,2.7,4.9,14.9,17.3,21.4,25.1,26.1,22.1,14.7,9.3,3.4
1905,1.4,4.1,11.0,14.9,16.6,19.9,26.2,24.7,19.9,10.2,6.8,1.9
1906,2.2,5.0,7.7,16.6,17.0,19.1,29.1,25.5,20.3,14.3,5.1,2.2
1907,-3.6,3.8,6.8,12.6,19.1,20.1,25.6,21.7,19.7,16.9,8.2,3.2
1908,2.3,3.8,7.9,14.1,15.4,20.7,26.9,24.9,21.1,13.1,8.6,1.2
1909,-3.1,4.3,9.5,12.2,16.3,21.7,23.3,24.7,21.7,13.6,5.9,-1.2
1910,0.2,1.1,11.7,15.1,20.2,20.5,26.2,23.2,19.6,14.0,5.7,3.1
1911,0.3,2.8,10.9,13.4,15.8,20.9,26.7,24.4,17.6,14.1,5.4,2.3
1912,0.7,5.4,8.3,12.7,18.5,22.4,24.0,22.4,19.2,11.4,6.5,3.0
1913,-0.7,1.7,5.9,13.4,16.9,20.9,24.8,25.6,20.4,11.6,6.7,2.2
1914,3.9,3.5,10.3,14.5,19.7,20.1,26.8,26.4,18.0,14.3,6.7,-0.4
1915,0.7,6.0,12.0,16.4,16.6,21.1,24.3,28.3,19.8,14.3,4.4,2.3
1916,-4.8,3.1,7.5,13.2,15.0,20.3,22.2,25.2,20.4,14.2,4.1,-0.6
1917,0.5,2.5,4.8,9.8,15.8,19.7,26.6,27.1,20.6,15.7,9.0,5.0
1918,3.5,3.2,8.4,15.0,16.2,24.4,25.4,23.2,24.2,14.4,6.4,2.7
1919,3.0,3.4,8.4,14.1,17.2,20.6,26.6,25.6,20.3,11.7,5.1,-1.0
1920,1.1,5.6,8.2,10.8,15.9,20.0,26.8,25.9,18.8,11.9,6.9,3.1
1921,2.2,4.5,8.6,11.7,18.0,21.4,24.8,25.1,17.3,15.3,6.0,1.1
1922,-2.1,1.3,5.8,11.1,17.2,24.7,26.8,25.1,21.9,14.8,4.3,-1.1
1923,2.7,1.6,8.6,13.9,16.9,20.2,26.0,26.3,22.6,14.6,8.0,3.0
1924,0.3,7.6,8.9,13.7,21.7,22.3,26.0,24.3,21.3,13.4,4.5,-0.6
1925,2.8,6.7,9.4,14.9,19.7,22.1,27.6,24.7,20.3,14.1,5.9,4.6
1926,1.9,7.2,13.1,17.8,17.6,23.8,27.6,24.7,17.6,14.2,7.7,1.9
