year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-8.2,-6.3,2.9,15.0,20.8,26.2,27.0,26.9,23.3,11.1,3.2,-2.3
1896,-4.3,-1.9,0.8,13.9,23.0,26.4,27.1,26.7,18.3,11.8,0.6,-1.6
1897,-5.9,-2.2,1.5,11.6,18.8,23.3,28.6,24.1,24.6,16.2,2.8,-5.2
1898,-2.4,-2.2,5.7,12.2,19.8,25.7,28.7,25.6,23.0,11.6,3.7,-5.3
1899,-6.6,-8.3,-1.9,14.4,19.6,25.3,27.5,26.9,19.4,16.5,8.4,-3.2
1900,-2.6,-6.6,0.1,15.0,21.8,25.9,26.2,28.9,21.3,18.6,1.5,-2.3
1901,-4.5,-6.1,1.8,14.6,20.6,26.2,30.0,27.1,20.4,15.4,3.2,-4.9
1902,-4.0,-3.7,7.1,12.6,20.3,22.2,27.0,24.1,18.8,14.2,6.4,-4.2
1903,-5.2,-3.5,6.4,12.7,20.2,23.5,26.2,22.4,19.8,14.9,2.9,-6.8
1904,-8.9,-8.8,1.6,9.4,19.7,24.1,25.4,24.0,20.1,13.1,7.2,-3.9
1905,-8.8,-6.7,4.9,11.7,18.1,23.6,25.3,25.6,21.9,12.7,5.0,-0.9
1906,-1.9,-3.4,-1.3,14.8,19.1,24.1,26.6,26.4,23.4,13.2,3.4,-2.6
1907,-6.9,-2.3,5.3,7.1,14.8,24.2,26.1,24.3,19.2,13.0,3.9,-1.1
1908,-2.7,-2.7,3.8,13.1,19.1,23.8,27.0,25.7,25.2,14.5,5.8,-2.6
1909,-4.3,-2.2,1.8,7.8,18.1,24.9,27.0,27.2,20.4,12.3,7.7,-6.3
1910,-5.1,-5.0,11.9,15.8,17.4,27.5,29.6,26.0,20.3,16.6,0.3,-4.4
1911,-5.0,-1.1,5.9,11.4,22.6,27.6,27.6,24.7,20.2,11.5,0.2,-0.5
1912,-15.0,-6.4,-0.2,13.8,19.8,24.1,26.4,22.4,20.7,15.1,6.0,-0.3
1913,-4.6,-5.9,1.6,13.9,18.2,26.6,26.3,26.2,20.9,12.8,7.6,2.3
1914,-2.1,-7.1,2.6,11.4,21.0,23.7,28.3,25.3,20.9,17.4,5.6,-6.6
1915,-6.4,-0.2,2.2,18.1,15.7,21.6,24.3,22.9,20.8,14.5,5.2,-2.8
1916,-4.7,-6.1,1.6,11.3,18.3,20.9,31.1,27.4,19.6,13.4,4.1,-5.7
1917,-7.2,-8.4,2.3,9.9,17.3,21.8,27.2,24.2,20.1,7.2,6.3,-7.6
1918,-11.7,-3.6,8.0,11.4,21.2,24.1,26.2,27.0,17.9,15.1,6.2,0.2
1919,-2.1,-2.4,4.6,12.0,18.9,26.3,28.4,25.1,22.1,12.4,1.8,-8.4
1920,-9.2,-4.6,4.4,8.2,19.7,25.2,25.6,25.7,23.3,18.6,2.7,-1.9
1921,-2.2,-0.4,5.8,15.6,21.0,27.7,30.8,26.1,22.8,14.3,1.1,-2.7
1922,-5.6,-3.9,3.7,11.4,22.5,25.2,25.4,26.7,22.9,16.0,6.2,-3.6
1923,-4.3,-6.6,-0.2,10.8,20.2,26.9,28.4,24.7,20.9,13.4,6.9,2.4
1924,-9.1,-2.2,1.7,10.6,14.9,22.3,25.4,24.1,18.0,18.2,4.7,-7.9
1925,-5.2,-1.6,5.6,16.6,18.5,24.7,26.1,26.8,22.7,6.9,4.1,-5.6
1926,-4.4,-1.7,-0.2,10.8,21.3,22.1,26.7,24.7,18.2,11.8,0.8,-5.1
1927,-6.6,-0.3,6.2,11.4,16.6,22.8,25.9,24.0,21.8,15.6,3.3,-6.3
1928,-4.6,-2.1,3.7,8.8,20.8,21.5,26.5,25.6,18.8,14.3,4.9,-1.2
1929,-11.0,-7.3,4.8,12.8,17.4,23.3,27.6,25.6,20.4,13.8,2.2,-3.9
1930,-8.9,0.9,3.9,13.9,19.6,24.9,28.5,28.4,22.5,12.1,7.3,-2.6
1931,-1.6,2.7,2.8,14.4,18.5,26.7,29.8,26.2,24.4,16.0,8.6,1.2
1932,-2.4,-1.1,-1.3,11.6,19.7,26.5,28.2,27.0,21.2,12.1,2.6,-3.7
1933,0.0,-4.7,1.9,10.7,19.3,29.6,28.9,26.5,24.1,12.4,2.4,-4.1
1934,-1.8,-4.7,1.7,10.8,25.2,27.7,28.7,25.3,19.3,15.4,6.1,-5.2
1935,-6.6,-2.1,4.3,10.4,16.5,21.6,29.3,25.6,20.7,13.7,1.8,-4.7
1936,-9.3,-11.3,3.2,8.3,22.6,24.1,31.9,27.9,22.7,12.1,2.8,-0.9
1937,-6.2,-4.3,1.3,9.7,20.1,24.1,28.9,29.4,21.9,11.6,3.0,-4.8
1938,-6.4,-1.3,7.7,12.6,18.2,23.7,26.3,27.1,20.2,17.0,4.5,-3.2
1939,-2.7,-4.6,3.4,10.4,22.6,24.7,28.4,26.2,23.1,13.8,6.6,1.3
1940,-9.1,-2.4,-0.4,10.5,17.5,24.1,27.8,23.8,22.0,15.4,2.4,-2.3
1941,-4.4,-3.6,1.0,15.7,22.1,24.9,27.9,26.5,21.6,14.0,5.9,0.4
1942,-4.1,-3.5,4.6,16.8,18.2,23.6,26.2,25.1,18.7,15.2,4.8,-6.0
1943,-7.2,-1.8,0.3,11.2,18.0,25.3,28.2,26.2,18.6,14.6,1.7,-1.1
1944,0.4,-1.3,0.6,10.2,21.3,25.4,26.6,27.0,20.6,15.4,6.0,-4.6
1945,-7.4,-2.6,10.1,11.9,16.3,21.2,25.4,25.7,20.0,13.6,3.6,-6.3
1946,-3.9,-3.1,9.7,15.1,18.4,23.7,27.2,24.9,20.8,16.6,5.4,-1.5
1947,-2.6,-5.2,1.7,9.8,15.9,22.3,27.0,29.8,21.7,19.8,0.6,-3.1
1948,-7.3,-3.7,3.0,15.0,19.1,24.2,27.8,27.2,24.4,14.8,5.0,-2.6
1949,-4.1,-3.6,2.5,13.7,21.1,26.8,27.9,26.9,19.0,16.5,5.0,-2.1
1950,-5.1,-3.4,-0.2,6.6,18.6,24.4,25.1,23.3,20.2,16.8,1.9,-6.6
1951,-6.9,-3.3,0.1,9.6,21.4,22.2,25.9,22.8,18.3,13.3,0.1,-4.5
1952,-4.4,-0.6,1.1,14.8,19.0,25.2,27.4,24.6,22.0,12.6,6.2,-1.6
1953,-3.6,-2.4,3.3,9.1,19.7,25.6,26.7,26.6,21.7,19.1,8.1,-1.4
1954,-5.7,2.8,2.1,13.4,15.7,25.6,26.7,24.7,19.6,12.8,5.9,-2.3
1955,-5.6,-3.7,2.1,16.4,21.8,23.8,29.7,28.5,22.2,14.9,1.4,-5.6
1956,-3.9,-2.8,1.3,10.3,18.8,26.3,24.4,25.0,19.6,18.4,4.1,-1.7
1957,-8.4,-1.4,3.8,12.7,18.3,24.0,27.7,25.3,19.7,13.2,3.2,-1.0
1958,-3.7,-5.2,3.8,13.5,20.7,22.1,25.5,26.3,21.1,15.6,5.7,-6.2
1959,-8.5,-4.4,3.1,12.3,21.6,25.3,26.8,27.0,21.3,10.3,-0.3,0.6
1960,-4.4,-2.8,-0.7,12.8,17.9,22.9,26.5,26.0,21.2,14.3,6.1,-3.7
1961,-5.2,1.3,4.5,9.4,18.7,25.3,26.4,26.7,20.6,15.1,4.3,-4.3
1962,-8.1,-5.3,2.3,11.6,20.9,23.9,24.7,25.9,19.0,15.0,5.0,-3.4
1963,-11.4,-5.9,5.3,14.6,18.4,26.4,28.1,24.9,21.2,20.3,7.6,-7.3
1964,-1.7,0.0,2.4,12.9,22.2,25.2,28.7,24.3,19.4,13.8,6.8,-5.1
1965,-6.6,-4.4,-1.2,9.7,21.3,23.9,25.8,24.3,17.2,14.6,4.7,0.1
1966,-8.8,-2.8,5.6,9.8,17.2,25.6,28.7,24.3,20.6,14.2,3.9,-3.3
1967,-3.7,-5.8,3.6,11.9,16.6,24.0,25.5,23.8,20.8,12.7,2.2,-1.9
1968,-5.1,-3.9,8.9,14.0,17.3,23.7,26.0,25.7,20.3,14.8,4.1,-3.6
1969,-7.1,-1.9,1.7,13.6,20.1,19.8,26.1,27.9,20.9,11.7,4.2,-2.9
1970,-9.1,-2.8,2.1,12.7,19.1,25.3,28.2,26.8,20.4,14.4,3.4,-3.0
