year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-3.5,-2.9,2.7,13.6,15.4,19.3,24.5,25.4,20.1,13.2,2.4,-3.4
1896,0.2,2.1,1.8,9.4,15.3,24.3,25.8,25.4,17.8,13.1,-1.1,3.4
1897,-1.7,-1.1,0.5,9.4,20.1,22.7,26.5,24.9,22.2,12.6,4.8,-2.3
1898,-3.8,3.1,1.7,12.9,14.2,23.2,26.9,27.9,21.3,10.0,3.1,-3.1
1899,-1.2,-6.4,0.2,10.5,14.6,21.4,27.3,25.4,21.6,9.8,7.7,-1.8
1900,0.6,-0.5,6.9,10.8,19.2,26.1,26.5,26.1,18.3,12.9,4.2,0.4
1901,-1.2,-2.3,3.4,10.0,18.9,19.4,29.3,25.8,17.9,14.1,6.9,-2.1
1902,-2.5,1.6,3.3,9.3,16.9,21.6,24.9,25.5,19.7,13.8,4.6,-1.7
1903,-0.7,-5.3,3.4,9.9,13.6,21.1,25.2,25.9,17.3,14.1,4.7,0.2
1904,-2.2,1.2,4.4,11.6,15.7,20.2,24.9,25.4,20.9,14.4,9.7,0.8
1905,-2.7,-2.3,7.3,9.6,13.1,21.0,25.1,26.0,21.8,9.4,5.9,-1.4
1906,-0.3,1.7,-0.6,11.8,15.3,19.9,25.3,24.4,20.1,12.4,2.9,1.9
1907,-3.5,3.8,6.8,9.4,13.0,19.3,25.5,24.7,19.2,15.4,5.2,0.1
1908,-0.2,1.4,5.0,13.9,14.5,19.0,26.3,23.3,21.2,10.2,4.3,-2.0
1909,-0.7,0.2,3.6,7.6,14.0,22.1,26.9,27.2,19.6,13.8,5.5,-7.6
1910,-3.9,-2.8,11.8,15.7,16.8,24.6,27.9,25.4,20.6,14.9,6.2,0.3
1911,-0.3,-1.6,7.4,10.1,16.7,23.9,25.5,24.5,20.3,10.0,1.2,-3.4
1912,-2.8,-0.6,-0.4,9.1,14.4,21.4,24.2,23.1,13.5,10.4,5.6,-1.4
1913,-2.5,-4.2,1.6,12.4,16.3,22.3,24.6,26.8,18.9,9.2,5.9,-2.6
1914,0.3,-0.9,5.1,9.9,17.1,21.5,26.7,25.1,20.8,13.3,8.7,-4.3
1915,-2.3,2.1,3.0,14.4,13.8,18.3,23.5,24.6,17.1,15.1,4.6,-0.2
1916,-7.1,1.3,6.8,10.4,13.8,21.0,27.4,24.3,20.4,10.0,2.3,-5.7
1917,-5.5,-1.2,-0.9,6.6,12.0,20.6,28.1,24.4,20.9,12.3,8.7,0.9
1918,-4.1,-0.1,8.3,6.7,15.3,25.0,25.4,24.8,18.4,14.0,2.8,-0.8
1919,1.1,-0.7,5.7,10.9,18.4,25.8,29.1,26.9,21.2,6.3,0.6,-3.3
1920,0.1,0.5,2.7,4.6,14.6,21.1,26.7,24.7,19.7,11.7,1.9,-1.3
1921,0.2,2.9,7.4,9.5,15.8,23.4,27.3,25.7,19.6,16.4,5.6,-0.3
1922,-6.0,-3.7,3.4,7.1,15.2,24.7,25.7,26.9,22.9,14.9,2.3,-2.1
1923,0.8,-2.1,1.8,9.4,16.3,21.4,27.2,24.2,19.5,8.1,5.6,-1.2
1924,-4.2,3.0,-0.6,9.2,15.5,22.1,26.4,26.1,19.6,12.4,4.8,-4.6
1925,-2.1,3.5,7.2,12.5,17.8,20.9,26.8,24.6,19.2,7.5,3.6,0.6
1926,-2.2,2.7,4.6,12.5,17.2,22.8,26.0,25.4,18.0,13.8,4.8,-1.9
1927,-1.1,1.6,3.9,9.1,14.6,20.9,25.7,22.7,18.7,14.4,5.6,-4.6
1928,0.1,0.6,6.2,9.3,18.2,18.3,25.8,25.2,20.7,12.4,3.3,-2.9
1929,-5.4,-5.1,3.4,8.1,15.1,21.5,27.7,27.2,16.3,13.3,0.8,1.9
1930,-8.9,4.0,3.7,15.2,14.9,22.6,28.1,24.3,19.9,10.4,5.0,-0.5
1931,0.8,4.2,4.4,11.2,16.1,25.3,29.4,26.3,21.6,13.4,3.3,-1.3
1932,-5.2,1.1,0.8,10.7,17.2,22.1,27.5,26.7,21.3,10.8,6.3,-5.8
1933,-0.7,-3.7,5.9,8.6,14.0,26.4,29.3,24.8,21.7,16.7,7.7,3.9
1934,2.2,4.9,8.6,13.9,23.1,23.1,29.0,26.9,18.3,15.9,7.4,0.2
1935,1.5,4.0,5.1,8.6,12.1,22.0,29.3,27.1,21.6,13.8,2.2,0.3
1936,-2.4,-5.2,4.3,10.6,20.8,24.9,29.6,26.6,20.7,12.8,5.3,0.1
1937,-10.0,-0.8,3.5,9.6,18.2,20.9,26.6,28.1,22.1,14.7,4.2,-0.6
1938,-0.3,1.7,5.2,11.0,14.6,23.1,26.3,26.4,22.1,14.7,0.7,0.2
1939,0.1,-4.3,6.1,13.1,19.6,20.9,28.9,26.5,21.6,13.8,9.9,4.9
1940,-4.3,1.1,7.1,10.3,19.2,25.3,28.9,27.6,21.9,15.2,1.7,1.1
1941,0.0,3.1,4.8,9.3,18.7,21.4,26.8,24.9,17.4,11.3,6.1,1.2
1942,-3.0,-2.6,3.4,12.8,14.3,20.8,27.9,26.4,19.7,13.1,4.8,0.6
1943,-1.2,3.6,2.5,15.1,14.5,20.6,27.9,27.3,21.9,15.1,6.1,0.8
1944,-2.2,-0.4,1.3,9.3,17.4,19.8,25.9,26.3,21.0,16.2,4.0,-0.8
1945,-0.4,0.8,5.0,7.0,16.2,17.7,26.7,25.8,18.0,15.5,3.8,-2.4
1946,-0.1,2.5,8.1,15.3,13.7,22.8,28.0,25.8,20.0,8.6,3.3,2.4
1947,-1.5,0.8,4.6,9.8,17.3,18.2,27.8,26.7,21.4,15.6,-0.1,-0.6
1948,-1.5,-1.0,1.8,11.8,17.9,21.9,26.7,26.8,22.9,14.8,1.4,-2.7
