year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-0.1,-0.6,1.9,5.9,10.5,13.3,18.7,18.6,14.6,9.2,1.8,-3.4
1896,0.3,0.3,3.3,4.9,10.7,16.6,19.6,18.9,15.9,10.1,2.7,-0.7
1897,0.2,-0.8,0.6,5.5,11.2,13.7,18.6,19.2,16.1,8.2,2.1,-3.8
1898,-4.3,0.6,1.0,8.4,9.6,15.7,20.4,20.1,14.7,7.1,0.8,-4.3
1899,-3.4,-0.9,2.1,6.1,7.1,15.2,19.9,17.0,15.3,7.7,3.0,-1.3
1900,0.1,-0.2,4.7,5.1,11.3,15.4,19.4,15.6,12.4,8.5,3.3,-2.2
1901,-1.5,1.4,1.4,4.3,10.3,13.6,20.3,19.5,13.1,8.6,4.0,-2.3
1902,-2.0,-0.4,0.5,6.2,10.1,15.2,16.9,18.3,14.3,8.8,2.6,-1.4
1903,-1.8,-3.4,2.4,5.6,9.7,15.3,18.7,19.0,14.3,7.2,2.2,-3.1
1904,-5.0,0.9,4.0,4.9,10.4,14.7,17.7,18.9,14.1,7.6,0.9,-1.4
1905,0.3,3.0,5.2,6.3,7.9,13.3,17.4,18.7,15.0,7.3,3.7,-3.1
1906,-2.7,2.6,3.4,5.7,9.1,13.3,19.2,17.4,13.0,6.6,1.7,1.4
1907,0.1,2.3,3.1,6.0,8.1,11.9,18.3,17.9,13.5,9.7,2.5,-1.1
1908,-0.9,0.2,3.2,5.6,7.6,12.4,18.7,18.4,13.1,5.1,1.9,-0.6
1909,1.1,-0.4,0.8,4.7,7.7,14.3,18.8,18.7,13.8,6.4,1.4,-3.8
1910,-2.1,-1.7,4.3,6.2,10.7,14.9,18.7,18.9,15.4,7.9,3.4,-0.1
1911,1.6,0.3,4.7,5.4,8.1,14.2,18.6,17.4,15.4,7.2,0.3,-5.4
1912,-3.0,-2.1,2.6,4.2,8.7,14.7,16.9,16.9,10.7,7.4,1.1,-4.1
1913,-5.2,-0.9,0.0,4.9,8.5,13.1,17.1,18.1,13.4,6.1,5.0,-1.7
1914,0.3,-0.3,3.4,6.4,9.9,15.2,18.7,18.3,15.0,8.6,3.8,-1.3
1915,-2.5,0.3,2.0,6.2,8.0,13.6,18.2,17.7,13.1,6.8,1.3,-1.8
1916,-0.3,1.8,4.1,5.9,8.3,13.6,18.2,17.2,13.6,6.9,-0.6,-4.2
1917,-2.9,-1.0,-1.1,4.0,7.7,14.2,20.1,17.6,15.0,7.6,1.9,-1.7
1918,-3.6,0.1,4.0,5.3,8.1,17.8,18.6,17.0,14.6,9.0,1.2,-2.2
1919,-5.3,-2.2,1.1,6.7,11.1,14.6,19.6,18.4,15.0,6.2,1.3,-0.8
1920,-0.3,2.6,1.4,3.7,9.3,14.0,18.2,17.2,12.9,6.1,1.3,-3.7
1921,-1.7,-0.4,3.9,3.7,8.7,15.1,19.3,18.1,13.8,9.3,1.6,1.1
1922,-3.6,-0.8,0.5,3.6,9.3,15.4,19.4,18.6,15.3,7.6,0.0,0.4
1923,-0.6,-1.2,0.6,5.3,10.2,12.1,19.1,17.8,12.9,5.6,3.1,-0.8
1924,-4.3,-0.2,0.1,4.7,10.3,15.5,18.4,17.7,14.1,5.9,1.1,-3.2
1925,-5.1,0.3,2.2,5.8,11.4,15.2,19.4,17.1,12.9,7.9,1.3,-1.5
1926,-3.8,0.3,3.4,7.8,10.1,15.3,17.8,17.5,14.9,8.8,2.6,-1.7
1927,-0.3,2.3,1.7,5.6,9.4,14.4,18.9,17.8,14.3,7.7,3.8,-2.4
1928,-2.3,-0.3,3.5,4.8,11.7,14.5,18.6,17.5,14.3,8.6,2.4,-2.6
1929,-3.1,-2.5,1.1,4.3,9.8,13.8,19.4,18.6,14.8,8.4,-0.7,-1.9
1930,-2.1,0.8,2.0,7.4,7.8,14.8,19.1,17.7,12.9,6.1,1.4,-4.0
1931,-3.3,2.2,1.6,7.1,10.4,15.3,20.2,18.2,15.2,8.3,1.2,-4.0
1932,-5.3,1.2,2.1,4.9,9.2,13.7,19.2,18.3,14.2,7.6,1.7,-4.3
1933,-4.6,-4.9,1.4,3.3,6.9,15.0,20.1,18.4,16.1,10.2,1.8,-1.1
1934,-2.4,1.7,4.6,7.7,12.3,12.9,19.7,18.9,13.6,8.2,2.5,-0.3
1935,-0.4,1.2,1.6,5.9,8.3,14.8,18.0,18.4,14.3,7.3,0.5,-1.2
1936,-2.6,0.4,2.5,6.4,10.7,16.3,19.2,18.8,14.0,8.1,2.0,-1.4
1937,-8.5,-1.2,1.8,4.7,10.4,14.4,18.9,18.8,15.9,8.6,1.8,1.0
1938,-0.8,0.6,2.1,5.3,9.3,14.8,17.8,18.1,15.2,7.6,-1.8,-0.5
1939,-1.5,-4.5,2.2,6.7,10.2,14.6,19.0,18.5,15.3,6.6,3.8,0.0
1940,-0.5,0.6,3.1,6.6,11.7,16.6,18.7,18.4,15.4,8.9,1.1,1.4
1941,0.3,2.9,2.7,4.0,10.2,12.8,17.6,16.8,12.3,7.2,2.0,-0.6
1942,-2.0,-2.4,0.1,5.2,8.2,13.3,19.1,17.6,13.3,8.2,2.8,-0.5
1943,-1.1,0.8,3.4,6.8,10.3,14.1,18.6,18.5,14.7,8.1,0.9,-0.5
1944,-3.2,-0.9,0.6,3.9,9.2,12.0,17.1,17.7,14.2,9.1,1.8,-1.5
