year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-3.2,-5.0,4.6,10.0,13.9,19.0,20.8,20.0,18.3,5.3,2.1,-0.7
1896,-0.3,0.7,2.9,13.9,17.4,18.9,21.8,20.7,15.7,8.6,5.2,0.4
1897,-1.9,2.6,7.4,9.9,13.1,19.1,21.2,18.9,15.9,10.5,2.7,-1.2
1898,1.8,1.0,5.8,7.8,15.7,20.2,20.4,20.0,17.7,8.9,1.6,-2.6
1899,-2.1,-6.2,3.3,9.4,17.4,19.2,19.9,21.0,13.9,10.8,5.0,-0.7
1900,0.1,-2.3,3.8,9.8,14.2,19.3,20.7,20.7,19.4,12.3,3.8,0.2
1901,0.7,-1.3,3.5,7.7,13.1,19.0,21.1,20.1,14.9,9.4,2.5,-2.4
1902,-3.2,-3.6,4.8,9.6,16.8,18.9,20.4,20.7,13.5,9.1,7.7,-0.7
1903,-1.6,-0.7,6.8,8.8,14.3,15.0,20.2,19.9,13.9,8.2,0.9,-3.2
1904,-3.7,0.6,5.6,7.2,12.9,18.2,19.3,19.2,17.1,8.8,2.4,-0.8
1905,-5.3,-5.7,6.9,10.2,16.3,19.9,19.6,20.1,16.9,9.4,4.4,-2.1
1906,-0.7,-1.8,1.4,10.3,13.8,18.2,18.8,19.4,18.5,7.7,2.7,2.5
1907,3.5,0.1,9.8,6.6,11.8,17.7,20.7,21.2,15.7,9.0,2.1,1.2
1908,-0.9,0.6,8.3,11.3,15.3,18.8,19.9,20.2,16.4,6.7,4.7,1.4
1909,0.9,1.2,4.8,9.1,13.0,18.9,21.2,20.6,15.7,8.6,7.8,-4.1
1910,-1.3,-3.1,7.4,8.6,12.7,17.1,20.7,20.3,17.6,9.8,2.8,-1.8
1911,2.2,3.7,5.9,9.2,13.9,19.6,19.9,20.2,19.6,10.7,0.7,0.4
1912,-5.7,-3.4,2.1,10.4,14.4,16.7,21.1,19.5,16.0,9.7,2.1,-1.4
1913,-0.3,-1.0,2.4,9.1,13.8,17.7,21.1,20.1,16.0,9.0,7.6,1.6
1914,0.8,-2.2,3.1,9.3,14.1,20.7,21.4,20.3,17.0,10.7,3.3,-2.1
1915,-2.2,1.9,0.2,10.8,14.6,18.4,19.3,18.4,17.2,9.4,4.9,0.5
1916,0.3,-0.7,4.4,8.7,15.2,17.8,21.1,20.6,15.1,8.5,2.8,-1.5
1917,-0.2,-1.3,4.6,8.7,10.7,17.1,19.9,18.6,15.0,4.6,2.0,-4.5
1918,-9.2,0.6,6.6,8.3,15.7,20.1,18.4,20.7,12.2,12.4,3.3,2.5
1919,-1.4,0.1,4.3,9.2,13.6,19.0,20.4,20.4,16.6,14.4,3.7,-1.9
1920,-1.6,1.0,4.2,8.4,15.7,17.1,20.2,18.7,17.4,10.7,1.5,0.1
1921,1.9,2.0,9.3,8.4,13.7,19.8,21.1,21.1,20.2,7.3,4.9,1.5
1922,-1.5,2.9,4.7,10.9,15.5,19.2,20.6,19.5,16.2,8.7,4.2,2.1
1923,2.3,-0.6,2.7,9.2,13.7,19.1,20.3,20.9,16.8,8.6,3.4,4.3
1924,-3.9,-0.2,1.9,9.4,11.3,19.8,18.9,20.4,13.8,8.9,3.7,-1.5
1925,-1.8,2.2,4.9,12.2,12.2,20.5,21.0,18.8,19.7,9.1,2.9,-2.1
1926,-1.4,2.3,2.5,6.9,13.3,17.5,19.4,20.7,18.5,12.1,1.6,0.1
1927,-0.4,4.5,5.5,12.6,15.9,18.5,19.7,18.8,17.1,10.0,6.9,-1.8
1928,-1.4,0.9,4.6,7.4,13.7,17.9,20.8,21.2,13.5,11.6,3.4,-0.7
1929,-2.5,-3.8,6.4,11.4,13.7,17.9,20.6,19.0,15.9,9.8,1.7,0.4
1930,-5.0,4.3,3.1,10.6,14.3,17.0,20.9,19.4,17.3,8.9,3.5,-1.3
1931,-1.0,2.6,2.1,7.9,11.8,18.4,21.0,18.6,18.2,11.9,7.9,3.7
1932,1.8,4.3,2.4,10.7,13.8,19.6,21.7,20.4,16.0,7.9,0.6,-1.4
1933,2.9,-1.0,4.6,9.3,15.9,17.7,21.2,19.9,19.2,9.5,4.2,2.9
1934,0.8,-1.8,2.2,9.9,13.7,19.9,21.8,22.0,15.0,11.0,4.9,-0.8
1935,-0.3,1.0,8.3,9.6,13.8,17.8,21.3,20.5,14.8,10.9,4.0,-2.7
1936,-3.8,-3.8,6.1,7.3,14.6,18.3,21.4,21.0,19.2,9.1,1.4,1.3
1937,0.2,0.3,2.2,9.2,14.6,19.4,20.2,21.0,15.7,8.6,2.4,0.4
1938,-0.8,4.2,8.5,10.1,14.7,18.1,20.9,21.2,15.9,9.4,2.0,-0.3
1939,0.6,-0.1,5.4,8.1,14.1,19.7,20.9,19.7,18.0,9.8,2.2,0.9
1940,-8.4,-0.3,3.7,9.0,12.1,17.8,20.0,19.2,14.0,9.3,2.7,1.6
1941,0.0,-1.2,1.8,10.9,15.0,18.1,20.9,20.6,17.4,14.3,2.3,0.9
1942,-4.1,-0.9,4.4,10.6,13.7,19.2,20.6,19.9,14.9,9.2,5.7,0.4
1943,-2.3,0.6,1.6,10.1,15.8,20.7,20.8,20.7,14.9,8.7,1.3,-1.0
1944,-0.8,2.9,4.1,9.3,15.2,19.9,19.4,20.3,16.1,8.6,5.2,-2.4
1945,-1.6,0.8,8.2,10.7,12.5,18.4,19.5,19.6,17.1,8.9,4.9,-2.8
1946,-0.6,1.3,8.1,11.4,13.3,18.0,20.6,19.4,15.4,9.4,5.6,2.4
1947,0.5,-4.4,0.6,10.1,13.1,18.8,18.4,21.6,16.3,12.6,2.9,-0.2
1948,-5.1,0.1,4.1,11.6,14.1,18.7,20.8,19.3,15.0,6.7,3.6,0.9
1949,0.4,1.1,3.8,9.0,15.3,19.7,21.7,18.9,13.4,11.0,2.4,0.7
1950,3.0,1.8,2.7,7.8,15.3,18.8,19.4,18.4,16.0,11.7,0.8,-3.2
1951,-1.5,0.4,3.9,7.7,13.0,18.8,21.2,20.7,15.4,9.7,0.8,0.3
1952,2.6,2.7,3.1,7.7,13.3,20.6,20.6,20.1,13.6,3.3,2.6,-0.1
1953,0.8,0.8,6.5,7.3,15.2,21.2,20.6,18.9,14.0,9.2,1.5,-1.4
1954,-1.2,2.4,3.6,12.3,11.8,19.3,22.0,21.5,16.2,11.1,2.4,-0.6
1955,-1.0,0.1,4.9,11.8,15.7,16.2,21.4,19.7,16.3,8.4,1.9,-1.5
1956,-2.9,2.3,3.8,8.1,16.2,18.3,20.4,19.8,13.4,10.5,2.2,2.3
1957,-1.6,4.3,3.7,10.3,15.3,19.3,20.7,19.3,15.3,8.3,4.1,2.2
1958,-2.7,-3.0,2.1,9.3,14.3,18.3,21.1,19.8,17.3,9.2,4.1,-2.5
1959,-2.9,0.4,2.8,9.0,16.5,18.2,19.6,20.3,16.9,9.8,0.4,1.6
1960,-0.4,-1.7,-1.1,9.8,12.2,18.1,20.0,20.0,16.6,11.2,3.3,-2.3
1961,-4.5,2.2,6.3,7.7,12.7,16.8,19.3,18.5,15.9,8.7,3.9,-0.2
1962,-4.2,2.6,2.2,8.3,16.3,18.2,20.6,19.3,16.3,12.3,3.8,-1.0
1963,-5.9,-3.4,5.7,11.4,14.4,18.8,20.3,19.7,16.0,10.9,4.1,-5.4
1964,-2.6,-1.9,3.2,11.5,15.3,18.8,20.4,19.4,15.8,7.0,5.2,0.0
1965,-0.4,-1.2,0.7,11.2,16.0,18.4,20.4,18.7,16.8,8.1,6.9,1.6
1966,-3.4,-0.4,4.1,9.2,12.8,16.7,21.5,18.5,14.8,6.7,5.6,-0.4
1967,-1.1,-1.9,7.0,12.5,12.8,18.9,18.8,17.2,14.2,8.6,2.3,0.2
1968,-1.6,-2.9,3.6,9.8,13.5,18.8,19.7,20.2,13.5,8.5,3.5,-1.6
1969,-0.8,0.2,0.7,9.8,13.9,17.8,21.6,18.4,15.6,9.6,1.9,-0.8
1970,-5.0,-0.9,3.0,10.7,14.3,18.1,19.2,20.2,18.1,9.3,2.7,1.7
1971,-1.9,-0.4,1.9,7.7,11.9,19.3,19.8,18.6,17.3,12.3,3.2,3.8
1972,-1.2,-0.1,4.5,9.9,13.3,17.6,19.2,19.3,18.4,10.1,2.8,-1.5
1973,-1.7,-0.7,7.6,9.0,12.4,18.3,20.7,18.7,18.1,12.0,7.0,-0.4
1974,0.3,0.9,7.6,9.1,16.1,16.2,20.3,18.9,13.8,8.9,4.4,0.1
1975,0.2,0.1,2.8,8.6,15.4,18.3,19.9,20.2,13.8,9.3,4.1,0.3
1976,-3.2,3.8,6.8,9.6,11.1,16.8,19.4,17.3,14.8,6.1,-0.6,-2.8
1977,-8.0,-0.9,5.8,10.7,15.7,19.3,21.4,20.4,18.3,8.8,5.7,-1.3
1978,-6.0,-5.0,2.2,10.2,13.9,18.4,21.2,19.6,17.7,7.1,5.7,-1.0
1979,-6.8,-2.8,5.2,9.4,13.4,17.7,20.6,19.4,14.4,9.3,1.8,-0.5
1980,-0.3,-2.7,2.0,7.7,14.3,19.4,21.7,21.2,18.0,7.3,3.0,-0.5
1981,-3.2,0.0,3.7,12.6,12.4,19.9,21.7,19.2,14.4,9.4,4.4,-1.7
1982,-4.5,-1.1,6.7,7.6,15.4,17.3,20.8,20.6,14.8,8.7,4.7,3.3
1983,-1.4,1.2,3.9,6.7,12.9,17.2,20.8,21.1,15.3,10.4,4.7,-5.4
1984,-4.8,0.8,3.7,8.7,12.8,18.9,19.2,19.1,14.9,12.5,3.0,4.8
1985,-5.4,-2.1,7.0,10.5,14.1,18.1,19.8,19.7,15.5,11.9,7.3,-3.6
1986,-2.3,2.4,4.5,10.5,15.0,19.7,21.9,18.3,18.2,10.4,4.7,0.4
1987,-1.7,2.3,4.2,7.3,16.6,18.7,20.5,21.3,15.1,6.3,4.9,1.0
1988,-3.8,-1.1,3.4,8.1,12.3,16.8,20.6,20.7,16.4,7.8,4.1,-0.4
1989,1.1,-1.9,4.2,9.1,13.8,18.1,20.2,19.4,15.0,9.3,4.3,-5.9
1990,1.6,3.3,6.6,9.0,13.3,19.4,20.1,19.7,17.6,7.7,5.6,-0.6
1991,-1.3,1.2,5.8,11.5,17.2,19.8,20.7,19.3,16.2,10.1,2.6,2.7
1992,-0.4,3.0,4.9,9.1,13.1,17.8,20.9,17.5,15.2,8.9,3.9,1.1
1993,-0.8,-0.8,3.7,7.8,13.7,19.2,22.2,21.3,14.8,8.3,1.8,0.2
1994,-2.2,0.0,4.1,10.1,12.8,20.2,20.0,18.3,14.4,11.0,7.1,2.1
1995,-0.1,0.4,5.9,9.0,14.8,17.6,20.6,21.7,14.8,8.6,1.8,-0.1
1996,-2.7,-0.1,1.3,7.5,16.8,18.7,20.7,19.6,14.9,9.6,3.4,1.4
1997,-1.8,2.8,5.8,6.9,12.1,17.8,21.2,19.2,16.1,9.4,3.4,0.1
1998,2.3,2.7,4.4,8.7,16.2,20.7,22.7,20.9,19.2,11.3,6.6,1.4
1999,0.2,3.4,3.6,11.6,13.6,19.3,21.8,19.8,14.5,8.6,5.7,0.4
2000,-0.2,2.8,6.4,8.6,16.0,18.7,20.6,21.3,15.7,10.6,3.2,-5.1
2001,-2.5,2.0,3.2,12.3,14.7,18.2,22.0,21.0,15.2,7.8,6.2,1.8
2002,-0.2,-0.6,2.6,11.3,13.7,18.9,21.5,20.7,17.6,10.9,2.9,0.7
2003,-3.2,-0.3,4.2,9.5,15.3,17.4,20.9,21.2,15.1,10.2,6.9,-0.1
2004,-0.6,-0.6,7.1,9.7,16.1,19.3,20.1,18.1,15.6,13.2,7.7,-1.0
2005,2.3,3.5,3.8,9.5,12.8,18.9,20.8,21.4,18.2,9.4,5.4,-1.8
2006,2.1,-1.1,5.4,12.4,15.0,18.1,20.7,21.6,13.8,8.7,4.4,1.4
2007,-0.5,-0.9,8.6,7.6,15.6,19.3,20.1,21.9,17.4,11.6,5.2,1.1
2008,-1.9,0.5,4.5,8.6,13.9,19.7,20.6,20.0,16.3,8.6,3.1,-1.2
2009,-2.3,2.1,5.6,9.1,14.6,19.9,19.7,19.1,17.0,8.8,6.0,-1.4
2010,-2.4,-2.2,3.7,10.6,15.8,21.7,22.3,22.3,16.9,8.4,4.6,-1.8
2011,-2.5,0.8,5.4,10.8,13.8,21.2,22.8,21.8,13.9,8.0,6.6,1.1
2012,0.8,3.1,10.2,11.6,16.2,18.4,22.4,20.0,16.9,8.8,2.8,2.4
2013,0.3,0.8,2.1,8.2,13.7,19.3,19.4,20.0,17.1,10.7,2.8,-0.8
2014,-5.0,-2.1,1.2,8.9,14.3,19.9,18.6,20.1,16.7,11.0,1.3,2.6
2015,-2.2,-3.3,4.6,11.2,15.2,20.3,22.4,19.3,17.1,10.6,7.1,4.0
2016,-1.3,2.1,6.8,10.8,13.7,20.4,22.2,21.9,17.9,12.5,6.4,0.4
2017,2.3,5.2,6.8,11.7,13.6,18.7,21.4,20.2,16.3,9.9,5.8,0.2
2018,-3.7,2.2,5.7,6.1,17.7,20.7,21.7,20.4,19.0,11.6,2.1,2.0
2019,0.0,2.6,3.4,9.8,15.8,18.6,20.8,21.4,20.2,9.6,1.6,1.8
2020,1.8,1.9,8.4,8.8,13.6,18.9,22.2,19.7,17.0,9.1,5.5,-0.1
2021,0.3,-3.3,6.2,8.2,13.7,19.6,20.7,21.5,16.7,12.4,2.8,6.0
2022,-3.0,-1.1,3.9,9.2,15.8,19.5,22.6,21.0,16.1,8.5,3.9,1.4
2023,2.5,3.7,5.6,9.3,14.9,18.9,21.6,21.4,17.1,11.3,,
