year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-12.4,-14.9,-8.1,-2.1,2.6,6.1,9.3,9.9,5.4,-1.1,-8.8,-13.3
1896,-10.2,-10.6,-7.6,-1.8,3.4,8.6,11.7,10.3,6.1,-1.0,-9.4,-9.7
1897,-12.9,-10.8,-8.1,-1.8,4.8,7.4,9.7,9.4,8.0,0.4,-6.2,-13.1
1898,-14.3,-9.8,-8.7,-1.3,2.6,8.2,11.2,10.6,3.8,-2.1,-9.0,-15.1
1899,-13.2,-15.8,-7.4,-2.1,2.2,7.3,10.9,9.7,5.8,-0.4,-4.7,-12.0
1900,-8.9,-11.4,-5.6,-1.8,3.9,8.4,10.1,8.8,5.1,0.2,-6.4,-10.6
1901,-11.6,-11.4,-7.8,-2.7,3.9,7.4,11.9,11.0,4.7,0.4,-5.8,-10.7
1902,-11.8,-8.9,-7.4,-1.8,3.7,7.8,9.1,10.3,3.8,0.1,-5.9,-11.3
1903,-11.2,-16.3,-7.3,-2.1,1.6,7.2,10.4,9.9,4.2,-0.9,-7.0,-11.7
1904,-13.8,-8.5,-5.4,-1.9,3.1,6.6,9.3,10.1,5.8,-0.1,-7.7,-10.6
1905,-11.0,-13.1,-3.0,-1.7,2.6,8.3,9.7,10.2,6.4,-2.4,-5.3,-13.7
1906,-11.3,-9.8,-8.2,-0.8,3.1,6.6,9.6,9.2,5.7,-1.4,-6.1,-7.0
1907,-9.0,-6.4,-3.2,-2.1,1.1,6.2,10.6,10.3,5.4,0.9,-7.8,-10.2
1908,-11.7,-10.2,-5.2,-1.8,1.4,6.5,10.5,10.1,5.5,-1.3,-7.9,-11.9
1909,-8.7,-10.7,-6.8,-3.3,1.4,7.8,11.6,11.8,5.9,-0.2,-5.2,-15.6
1910,-11.5,-12.1,-3.2,-1.1,2.9,7.9,11.2,10.1,6.9,-0.2,-4.1,-9.2
1911,-8.0,-10.1,-4.0,-1.6,3.3,8.8,11.1,9.2,7.4,-1.0,-8.6,-14.0
1912,-12.9,-10.3,-8.2,-2.9,2.7,6.8,10.7,9.6,2.8,-0.9,-6.8,-13.6
1913,-14.3,-12.9,-7.9,-1.8,3.6,8.1,10.6,10.8,4.6,-1.6,-3.8,-14.1
1914,-9.4,-12.0,-6.8,-0.7,4.2,8.6,11.7,9.9,6.2,0.6,-6.6,-13.8
1915,-13.8,-9.1,-7.8,1.1,1.8,6.5,9.7,8.5,5.7,-0.7,-6.3,-10.4
1916,-12.2,-9.6,-4.6,-1.8,1.8,6.3,11.5,10.3,4.4,-0.2,-8.8,-13.2
1917,-14.1,-10.1,-10.1,-3.3,1.1,6.1,11.2,8.8,5.9,-2.1,-4.8,-8.9
1918,-14.2,-10.2,-4.0,-3.1,2.6,9.9,10.9,9.8,5.2,1.9,-8.2,-11.5
1919,-14.8,-12.1,-6.6,-0.9,3.2,6.9,12.3,10.3,7.8,-1.4,-7.9,-12.9
1920,-10.6,-8.6,-7.8,-4.7,3.7,7.7,10.4,8.8,4.9,-0.3,-6.7,-11.4
1921,-9.3,-8.9,-4.4,-3.1,3.6,8.5,11.4,10.5,5.4,1.1,-5.8,-7.7
1922,-14.6,-11.3,-7.8,-2.6,2.8,8.6,10.5,11.4,6.5,-0.9,-7.0,-9.1
1923,-9.1,-12.6,-9.7,-2.2,3.3,7.3,11.8,10.1,5.1,-1.0,-6.3,-11.1
1924,-15.1,-8.0,-9.8,-2.9,1.3,7.5,10.1,9.1,4.3,0.3,-6.6,-14.6
1925,-15.0,-8.2,-5.2,-0.6,4.3,8.6,11.9,10.0,6.7,-1.0,-7.3,-10.1
1926,-12.4,-7.6,-6.7,-1.1,4.1,7.9,10.5,10.1,5.5,0.1,-5.9,-11.6
1927,-10.1,-8.3,-7.1,-1.1,3.2,8.0,10.7,9.3,6.2,-0.1,-4.3,-13.8
1928,-10.2,-10.4,-5.1,-3.3,4.3,6.5,10.2,8.9,4.6,0.6,-6.0,-12.7
1929,-13.0,-15.0,-6.7,-2.6,2.3,7.1,11.6,11.0,5.3,0.2,-10.1,-10.1
1930,-17.1,-7.4,-7.9,0.7,1.8,7.4,11.5,10.8,5.4,-0.5,-8.3,-13.5
1931,-12.0,-7.1,-8.1,-1.9,1.9,9.4,11.6,10.1,7.7,1.2,-8.3,-12.6
1932,-14.2,-7.7,-8.8,-1.4,3.7,7.1,11.9,10.8,5.0,-1.5,-6.4,-15.0
1933,-12.0,-15.4,-5.7,-3.7,1.8,9.6,12.1,10.2,7.9,0.7,-5.6,-7.1
1934,-8.8,-6.4,-4.3,-0.4,5.9,8.0,12.4,11.7,4.0,0.8,-5.4,-9.7
1935,-9.6,-9.3,-5.8,-1.6,2.6,7.7,11.7,11.2,5.9,-0.2,-7.0,-10.5
1936,-11.4,-11.8,-6.2,-1.7,4.5,9.8,12.3,11.3,5.7,-0.4,-7.7,-9.8
1937,-18.2,-11.6,-7.1,-2.4,3.9,7.8,11.7,11.5,6.9,0.8,-5.8,-9.7
1938,-10.2,-8.6,-4.5,-1.9,2.9,8.7,10.2,11.0,7.1,1.1,-9.1,-10.0
1939,-10.3,-15.4,-6.3,-1.1,3.9,7.4,11.1,9.7,7.9,-0.4,-6.7,-8.5
1940,-13.4,-8.6,-4.9,-1.2,4.0,8.5,11.8,10.0,8.2,1.3,-7.7,-9.0
1941,-10.8,-8.1,-5.9,-1.1,5.1,7.6,10.5,10.2,5.4,1.4,-6.0,-9.4
1942,-13.6,-13.5,-8.5,0.1,2.2,7.6,10.6,10.1,4.9,0.6,-5.6,-9.0
1943,-10.6,-8.6,-8.1,0.9,2.6,7.7,11.3,11.9,4.7,-0.9,-7.1,-10.1
1944,-12.9,-10.1,-7.9,-3.0,3.4,7.3,10.3,9.8,4.9,0.9,-5.6,-11.0
1945,-10.3,-7.6,-6.4,-3.9,3.1,5.9,10.8,11.2,4.6,0.4,-6.8,-12.1
1946,-12.6,-10.4,-4.8,1.1,2.1,8.0,11.6,10.8,5.7,-0.2,-7.5,-7.6
1947,-12.2,-10.0,-6.9,-1.8,3.8,6.9,11.0,11.4,6.8,2.2,-8.3,-10.2
1948,-12.3,-11.5,-10.1,-0.6,3.8,8.2,10.4,10.1,6.8,-0.9,-8.5,-10.3
1949,-15.7,-12.3,-5.5,-0.8,4.2,8.3,11.4,9.5,5.6,-0.7,-4.1,-10.8
1950,-12.1,-8.4,-7.1,-2.1,1.4,7.2,10.1,8.3,6.1,1.9,-5.9,-7.9
1951,-11.8,-9.3,-7.7,-2.3,3.8,6.1,11.6,10.5,4.4,-0.3,-8.1,-11.3
1952,-10.6,-10.8,-8.8,-1.3,3.7,9.6,11.0,11.1,6.1,-1.1,-9.1,-11.1
1953,-7.3,-10.4,-5.2,-3.1,2.1,9.2,12.4,10.1,5.6,0.7,-4.6,-11.0
1954,-8.7,-5.9,-7.3,0.0,3.8,8.3,13.1,10.3,7.4,1.0,-4.8,-10.8
1955,-12.4,-13.9,-8.2,-2.3,3.5,7.0,11.4,11.8,5.9,-0.1,-7.8,-8.1
1956,-8.2,-12.7,-7.3,-2.4,4.6,9.6,10.6,9.1,5.3,0.3,-8.7,-10.4
1957,-11.9,-6.7,-5.7,-2.4,2.9,7.7,11.8,11.0,3.9,1.8,-7.3,-8.8
1958,-11.7,-7.1,-7.7,-2.7,5.1,8.8,10.1,11.0,6.7,0.1,-6.3,-7.9
1959,-11.2,-9.4,-7.1,-2.3,3.9,9.4,10.3,11.1,5.1,-0.6,-7.6,-8.7
1960,-12.5,-13.2,-6.3,-0.8,2.7,8.3,10.7,9.9,6.8,0.7,-5.9,-10.8
1961,-12.4,-8.7,-5.3,-2.6,3.5,8.5,10.9,11.5,4.1,-0.6,-7.3,-12.3
1962,-15.0,-7.8,-8.9,-0.4,3.6,7.5,10.4,9.2,5.9,1.0,-4.5,-9.1
1963,-16.0,-7.4,-6.5,-1.1,4.5,8.3,12.3,11.7,8.2,3.2,-5.1,-12.0
1964,-12.6,-13.3,-9.7,-2.2,3.6,7.5,12.4,9.6,5.7,-0.5,-6.3,-10.3
1965,-8.8,-11.6,-10.6,-0.7,3.2,7.7,11.6,9.4,4.3,0.6,-3.4,-8.6
1966,-13.8,-12.6,-6.2,-2.6,3.4,8.1,12.9,9.9,6.3,-0.7,-4.7,-11.1
1967,-10.0,-9.6,-4.2,-1.4,2.2,7.5,11.7,9.7,5.9,0.1,-6.3,-12.4
1968,-12.6,-8.9,-6.4,-3.7,2.1,8.1,11.0,9.4,4.2,0.2,-6.9,-11.9
1969,-8.6,-9.4,-9.8,-0.3,4.7,6.9,12.2,11.8,7.3,-1.7,-6.8,-8.9
1970,-10.8,-8.0,-7.8,-4.1,3.2,7.5,11.6,11.6,4.6,-1.9,-5.1,-9.8
1971,-9.9,-9.7,-7.3,-2.1,2.1,8.1,10.8,10.7,3.9,-0.4,-6.3,-10.6
1972,-11.4,-8.6,-4.1,-1.1,2.8,9.1,10.6,10.2,6.5,2.1,-8.2,-13.6
1973,-13.6,-10.6,-5.7,-3.9,2.9,7.3,10.6,10.4,5.2,0.3,-5.3,-10.2
1974,-13.4,-11.8,-4.1,-2.3,3.7,8.2,11.5,8.7,4.2,1.6,-6.1,-12.0
1975,-11.9,-11.1,-6.7,-3.4,2.1,6.7,11.4,9.6,4.7,-1.0,-7.9,-9.0
1976,-12.1,-7.1,-7.7,-1.1,3.3,7.0,11.6,9.6,6.4,-2.2,-7.6,-11.0
1977,-13.3,-8.8,-7.6,-0.3,4.2,9.8,12.3,11.2,7.1,0.2,-5.3,-7.9
1978,-10.7,-9.9,-4.2,-0.4,2.8,8.6,11.4,9.2,6.0,0.1,-5.3,-14.1
1979,-15.9,-11.1,-5.4,-1.5,3.2,7.5,11.2,9.8,6.6,0.9,-9.3,-9.9
1980,-10.1,-8.2,-7.2,-2.9,3.1,8.3,12.2,10.3,6.3,-1.1,-6.1,-5.9
1981,-8.8,-9.4,-5.0,0.7,3.7,9.6,12.3,10.5,7.3,1.1,-4.0,-8.9
1982,-11.6,-10.9,-5.1,-3.0,3.1,6.9,11.1,12.2,7.3,-0.8,-6.9,-9.7
1983,-8.9,-7.4,-4.7,-3.8,1.8,7.1,11.7,12.5,7.0,0.9,-5.6,-12.7
1984,-14.2,-10.6,-6.8,-3.5,4.4,7.9,12.1,11.4,6.0,-0.6,-5.7,-8.9
1985,-12.2,-12.2,-5.1,-0.1,4.6,8.2,11.9,10.2,5.0,0.1,-6.7,-10.8
1986,-7.8,-7.0,-3.0,-0.3,2.9,9.4,11.2,10.6,5.8,0.1,-5.6,-10.0
1987,-10.9,-7.4,-6.9,-1.2,4.8,8.7,10.9,10.1,5.2,0.3,-5.7,-10.6
1988,-13.9,-9.8,-7.3,-1.6,3.4,10.2,11.4,11.3,5.3,1.4,-5.5,-10.9
1989,-11.8,-12.1,-4.2,-0.1,4.4,7.6,12.0,10.3,6.1,-0.2,-5.4,-11.7
1990,-10.1,-9.2,-4.1,-0.1,2.6,9.4,11.2,10.1,8.3,0.1,-4.8,-13.7
1991,-12.5,-7.9,-5.4,-2.0,4.0,8.9,11.1,10.9,6.2,-0.1,-6.8,-9.9
1992,-11.2,-6.9,-3.6,0.8,4.9,7.7,10.3,9.7,6.2,1.2,-8.0,-11.8
1993,-10.7,-9.7,-4.7,-1.6,3.9,7.4,10.5,10.2,4.7,-0.4,-8.6,-9.9
1994,-10.1,-10.5,-4.6,-1.1,5.1,10.1,10.8,11.8,6.7,0.6,-6.5,-8.3
1995,-9.3,-6.2,-4.8,-2.7,2.3,7.0,10.3,12.0,6.3,-0.9,-4.4,-8.6
1996,-11.7,-8.5,-6.9,-1.6,5.0,9.1,12.0,10.7,5.7,-0.3,-5.4,-9.5
1997,-10.7,-9.5,-5.2,-3.6,3.6,8.9,11.2,11.0,8.1,-0.2,-6.4,-10.1
1998,-8.7,-7.4,-6.3,-2.4,4.1,6.7,12.9,11.0,8.6,1.1,-3.4,-10.3
1999,-7.8,-7.3,-4.0,-2.4,2.8,7.6,12.5,11.3,5.2,-0.5,-3.8,-9.3
2000,-8.2,-6.1,-4.3,-0.6,4.9,8.5,12.3,12.2,6.7,1.2,-9.3,-10.4
2001,-11.2,-8.6,-4.3,0.1,4.4,8.8,13.0,11.2,6.9,0.4,-4.2,-10.2
2002,-10.9,-11.0,-8.3,0.1,3.1,10.2,12.8,10.7,7.1,-1.1,-6.0,-9.2
2003,-7.4,-9.7,-4.5,-0.3,4.3,7.6,13.1,11.9,5.1,2.0,-5.9,-9.1
2004,-10.6,-10.2,-2.8,-0.3,4.3,7.8,10.8,9.2,6.3,1.1,-5.2,-8.9
2005,-7.2,-7.2,-5.6,-1.4,3.8,7.8,11.8,10.4,7.2,1.4,-4.4,-10.3
2006,-8.7,-10.3,-5.7,-0.4,4.4,9.7,13.1,11.2,4.2,0.1,-5.1,-9.3
2007,-13.9,-8.7,-2.9,-1.1,4.2,8.4,12.6,12.4,7.2,0.7,-5.0,-11.6
2008,-13.1,-9.4,-6.6,-3.4,2.4,7.5,11.9,11.1,5.8,0.5,-3.8,-10.4
2009,-9.2,-7.4,-5.2,-1.8,5.1,7.9,11.1,9.7,6.3,-1.9,-4.4,-13.1
2010,-10.4,-10.6,-5.6,-1.1,2.3,9.3,12.2,11.1,6.9,1.6,-6.6,-7.1
2011,-11.7,-11.9,-4.4,-1.6,2.1,8.3,12.9,12.2,6.7,0.4,-5.9,-11.2
2012,-9.0,-9.2,-3.0,0.9,4.3,10.6,13.1,11.3,6.8,0.0,-4.2,-10.3
2013,-12.7,-10.8,-6.1,-3.3,3.6,9.4,12.3,11.6,8.7,-0.6,-5.3,-11.8
2014,-10.5,-9.0,-5.5,-1.3,3.6,8.3,12.3,10.5,7.6,2.0,-6.6,-8.7
2015,-8.2,-7.0,-3.2,-0.5,3.6,10.3,11.6,11.1,8.4,3.4,-5.7,-9.9
2016,-10.4,-7.2,-4.5,-0.8,3.1,10.3,12.2,10.2,7.1,2.3,-3.1,-10.7
