year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-10.2,-13.1,-5.2,0.9,7.4,13.4,13.6,14.3,10.7,1.1,-0.2,-5.2
1896,-10.8,-8.5,-7.0,1.7,8.7,11.6,16.2,14.8,9.8,3.3,0.7,-8.3
1897,-9.2,-7.9,-3.7,1.2,7.6,10.5,16.6,13.8,9.4,4.0,-1.3,-5.2
1898,-8.6,-7.4,-1.0,0.7,7.2,12.7,15.7,16.0,11.3,5.5,-1.9,-6.9
1899,-9.8,-10.4,-4.7,0.6,6.7,13.0,14.7,13.6,9.2,5.3,-1.9,-5.6
1900,-9.0,-9.1,-6.9,1.7,5.7,12.4,15.7,15.3,11.7,7.3,0.1,-7.0
1901,-9.2,-11.8,-4.2,2.5,6.9,12.4,17.1,15.3,10.7,3.2,-4.0,-7.2
1902,-10.3,-9.4,-0.9,1.8,6.5,11.1,14.1,12.7,10.5,4.8,0.9,-9.1
1903,-8.9,-7.6,0.4,1.7,7.1,10.2,14.9,11.6,9.7,5.1,-3.6,-10.1
1904,-13.9,-13.2,-5.3,-0.2,8.2,11.4,15.1,13.3,9.6,2.1,-3.8,-11.0
1905,-11.0,-13.4,-5.1,0.9,7.3,11.4,16.0,13.2,10.1,4.1,-3.1,-5.8
1906,-6.0,-9.4,-6.9,0.9,7.0,12.3,15.5,15.9,11.1,4.6,-1.3,-8.6
1907,-9.6,-14.4,-3.9,-0.9,4.4,10.2,14.9,12.8,11.8,1.4,-0.9,-4.6
1908,-8.4,-11.3,-3.5,1.3,8.8,12.6,16.6,13.9,10.9,5.3,-1.3,-6.7
1909,-7.7,-6.2,-4.3,1.1,7.0,12.9,13.6,12.7,9.8,2.8,0.5,-7.8
1910,-8.3,-9.1,-2.2,3.1,7.1,11.6,15.6,13.1,10.3,5.0,-1.9,-10.3
1911,-7.3,-9.4,-5.8,-0.7,9.3,11.9,16.1,13.7,9.9,3.7,-2.7,-3.7
1912,-14.2,-10.8,-5.9,1.1,7.6,10.5,15.0,12.8,10.3,4.8,-0.5,-4.1
1913,-4.2,-10.3,-1.9,2.2,6.4,11.3,14.7,13.5,8.9,7.7,0.1,-4.7
1914,-9.2,-12.8,-4.7,0.1,7.9,11.3,14.0,14.8,8.7,6.0,-2.3,-7.8
1915,-6.9,-6.3,-5.7,2.7,5.8,11.1,14.8,13.7,11.7,5.1,-0.8,-6.7
1916,-7.2,-11.1,-8.3,1.0,7.2,10.4,16.6,14.6,9.9,4.0,-1.9,-6.1
1917,-8.7,-10.9,-4.0,0.3,3.9,12.6,16.2,15.5,7.4,2.3,-4.3,-12.2
1918,-14.2,-11.3,-4.3,0.9,9.1,10.4,14.4,14.8,8.2,5.1,-0.9,-5.4
1919,-6.6,-6.9,-2.3,0.8,7.3,12.8,15.7,13.1,10.4,5.8,-1.2,-9.7
1920,-13.8,-10.6,-4.6,0.3,5.6,11.5,14.2,15.4,11.0,6.6,-1.4,-4.4
1921,-8.7,-7.4,-0.4,4.0,6.8,11.9,17.2,12.8,12.3,3.9,-0.8,-7.7
1922,-10.9,-7.7,-3.4,1.4,7.7,13.9,15.1,14.0,10.4,4.6,-0.9,-7.6
1923,-10.9,-12.8,-6.4,0.8,5.8,12.9,13.6,12.3,10.9,3.8,-1.6,-2.4
1924,-8.5,-10.7,-3.9,0.7,6.0,11.1,14.4,13.8,8.1,2.9,-1.8,-7.7
1925,-11.1,-4.7,-2.5,1.7,5.4,14.3,14.4,13.6,10.9,1.1,-1.8,-5.4
1926,-7.9,-9.6,-6.2,-0.7,5.8,10.1,14.4,15.2,9.6,3.4,-1.4,-9.8
1927,-9.1,-5.8,-2.4,0.1,6.2,10.4,15.3,12.5,9.9,5.9,1.2,-5.4
1928,-7.3,-8.8,-4.3,0.1,6.5,11.9,16.2,16.6,9.3,4.7,-0.1,-4.2
1929,-9.5,-8.6,-2.1,1.9,6.9,12.4,14.2,12.7,10.5,3.0,-0.6,-6.3
1930,-7.9,-6.9,-3.8,0.2,8.0,14.1,15.0,13.3,12.1,3.1,-0.6,-5.7
1931,-8.9,-8.7,-2.5,1.7,7.3,12.6,16.8,15.2,12.3,5.7,2.1,-4.2
1932,-2.6,-7.0,-5.0,0.4,7.2,12.1,14.1,14.3,10.3,6.4,-2.4,-5.0
1933,-4.2,-6.9,-3.4,2.1,9.0,13.1,14.9,15.1,11.9,3.9,-3.5,-8.6
1934,-7.4,-16.9,-5.6,1.6,8.2,13.7,15.9,12.9,12.7,3.2,1.2,-7.1
1935,-10.9,-9.2,-2.8,1.6,5.5,12.3,16.7,14.4,9.2,3.7,1.9,-7.8
1936,-9.3,-12.7,-0.3,0.9,7.7,12.6,14.5,14.7,11.2,4.7,-3.1,-4.4
1937,-4.0,-5.8,-5.3,1.1,7.8,13.1,15.2,16.8,8.9,3.8,-1.0,-6.2
1938,-9.3,-6.1,-2.1,2.4,6.1,12.4,16.3,15.7,8.8,5.9,-0.5,-5.1
1939,-8.7,-6.8,-4.8,0.4,7.6,12.2,14.6,16.5,9.8,3.9,-3.1,-5.8
1940,-12.4,-7.7,-5.7,0.1,7.7,11.5,15.1,12.6,8.8,1.9,-0.6,-4.7
1941,-9.4,-8.3,-6.2,3.1,6.8,12.6,15.5,13.2,9.3,5.3,0.0,-4.5
1942,-9.8,-9.0,-1.1,2.6,9.9,13.3,15.6,14.3,10.4,4.9,-1.2,-8.4
1943,-9.3,-8.4,-4.3,-1.0,7.9,14.8,16.0,14.3,9.7,4.5,-1.7,-9.3
1944,-7.3,-8.6,-5.0,0.6,9.2,12.8,15.6,15.0,11.4,3.4,-0.8,-8.2
1945,-12.2,-7.9,0.4,4.3,6.4,12.6,15.9,13.6,12.6,3.4,0.0,-9.1
1946,-8.3,-9.7,-0.3,0.8,6.6,11.3,14.4,13.0,10.9,5.8,1.1,-6.1
1947,-6.7,-9.3,-4.5,1.2,6.7,11.0,16.2,15.7,10.3,5.9,-1.8,-7.9
1948,-12.4,-11.3,-4.1,1.7,7.6,11.7,15.4,15.1,9.8,4.0,2.1,-5.3
1949,-4.4,-5.6,-2.9,2.6,7.2,13.8,17.2,15.3,9.3,6.9,-1.6,-5.3
1950,-4.1,-8.6,-6.2,0.6,6.7,11.7,14.5,14.1,9.1,5.4,0.5,-5.9
