year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,1.9,-2.4,6.7,10.9,14.7,19.1,20.3,20.8,18.9,9.0,6.0,0.7
1896,1.3,2.7,5.3,12.9,17.9,19.7,21.7,21.4,17.9,11.2,8.9,1.6
1897,0.3,5.6,9.9,10.7,13.8,20.6,20.9,20.4,17.1,13.4,6.4,3.3
1898,4.1,0.6,9.6,8.2,15.9,20.3,21.4,21.2,18.9,11.2,5.0,2.2
1899,1.8,1.1,7.1,10.2,16.9,19.9,20.4,21.1,16.2,12.9,6.6,1.3
1900,0.4,1.1,5.6,11.4,14.6,19.6,20.8,20.9,18.8,15.2,6.6,2.4
1901,1.1,0.6,5.0,7.5,14.9,19.2,21.2,20.3,16.9,9.8,2.0,-0.4
1902,-0.3,-0.3,6.2,9.2,17.0,19.5,21.0,20.5,17.1,11.4,8.1,2.0
1903,1.0,3.2,10.4,8.8,15.5,17.6,20.4,21.0,16.3,10.1,4.9,-1.9
1904,-1.3,1.9,7.2,8.7,13.8,18.3,19.6,19.7,17.7,10.8,4.4,2.1
1905,-2.0,-0.6,8.2,11.3,17.6,19.6,20.7,20.1,18.7,12.1,5.8,1.4
1906,2.8,1.3,4.7,10.6,14.9,19.8,20.4,21.1,19.9,10.4,5.3,2.7
1907,5.8,2.4,10.4,7.8,15.0,17.6,21.1,20.3,18.4,9.6,5.1,2.0
1908,0.7,0.4,9.8,13.3,15.3,18.7,20.5,20.1,16.7,8.9,6.6,4.2
1909,4.1,2.8,6.4,10.9,14.3,19.8,20.4,20.4,17.2,9.1,6.9,-0.7
1910,0.2,0.8,7.8,9.3,14.1,17.9,20.3,20.0,17.9,12.4,3.2,-1.4
1911,3.0,5.2,6.1,11.1,15.2,19.8,19.4,20.1,20.0,14.6,4.3,3.8
1912,-0.7,-0.6,5.7,12.0,16.0,18.3,20.5,20.1,19.9,12.6,2.8,3.6
1913,5.7,2.9,7.2,9.5,14.6,17.7,21.1,20.1,16.4,9.1,4.8,3.3
1914,1.3,1.3,3.6,11.0,14.7,20.7,20.6,20.3,16.5,12.2,4.1,2.2
1915,1.2,2.8,1.7,9.9,17.4,19.1,20.6,20.4,18.3,13.8,6.4,0.4
1916,5.2,2.1,4.4,9.3,15.9,18.6,20.8,20.4,16.2,11.7,5.0,1.8
1917,4.4,1.7,6.8,10.9,12.2,18.1,20.4,19.7,16.7,7.7,2.8,-2.2
1918,-2.8,4.9,9.3,10.1,15.2,19.2,18.7,19.9,15.0,14.7,5.1,5.1
1919,1.1,3.0,7.5,9.5,15.1,19.1,20.4,20.1,16.7,17.4,7.9,1.9
1920,2.8,1.7,4.8,10.7,14.7,18.4,20.1,19.9,18.4,9.6,4.4,1.7
1921,2.8,4.0,10.3,10.1,14.3,19.4,20.5,20.1,19.8,10.0,8.2,4.1
1922,2.2,6.8,7.4,12.1,16.2,19.4,20.4,19.2,17.6,12.2,6.7,6.0
1923,3.4,3.1,6.9,10.7,14.6,18.8,19.8,20.6,18.3,10.9,4.0,6.2
1924,-0.6,1.3,4.2,10.3,13.2,19.9,20.1,20.3,16.6,10.0,5.3,3.1
1925,3.0,4.7,6.3,11.7,13.6,19.7,20.8,19.7,20.8,12.4,4.7,1.4
1926,1.5,3.4,3.1,8.9,13.9,18.7,19.8,21.0,19.8,11.9,3.9,3.9
1927,1.6,7.8,7.3,12.0,15.3,19.3,20.1,19.3,17.4,11.7,7.9,1.9
1928,0.2,2.3,6.9,9.2,13.6,18.4,20.6,20.8,17.1,13.4,4.7,1.7
1929,3.0,2.8,8.5,12.4,15.3,18.1,19.7,19.7,17.9,10.7,7.9,0.5
1930,2.2,3.9,4.8,10.4,15.7,17.7,20.9,18.7,19.2,9.3,5.8,0.5
1931,0.4,2.0,3.3,9.0,13.3,18.5,21.4,19.3,18.5,11.6,7.4,7.3
1932,6.3,7.4,3.8,10.1,14.4,19.4,21.3,20.7,17.7,11.0,4.2,5.4
1933,5.1,3.7,5.7,10.0,17.3,18.4,20.1,20.3,18.8,11.9,4.1,5.3
1934,3.1,-0.7,4.7,10.5,14.8,19.7,21.2,20.9,17.4,11.8,6.2,1.1
1935,2.4,2.1,8.7,11.4,15.4,18.3,20.7,20.8,17.3,11.2,7.2,-1.9
1936,-0.1,0.8,7.2,9.7,15.1,18.7,20.9,20.4,18.7,13.4,4.9,4.3
1937,9.7,2.8,4.6,9.3,14.8,19.6,20.0,20.2,16.5,10.4,3.7,1.1
1938,2.2,5.4,9.0,10.2,15.7,17.9,19.8,20.6,16.8,9.6,6.6,1.2
1939,2.6,5.6,7.5,9.7,14.5,20.2,20.3,19.7,18.5,11.7,3.4,1.8
1940,-4.8,1.4,4.7,9.2,12.6,18.8,19.9,20.5,15.3,9.8,5.4,4.2
1941,1.4,-0.6,2.8,11.2,14.1,19.6,21.0,21.0,18.3,15.1,5.1,3.3
1942,0.1,0.1,5.5,9.2,14.7,19.3,20.7,19.6,16.9,10.7,5.7,2.3
1943,3.1,1.8,5.3,9.3,15.7,20.2,20.8,20.3,15.8,8.6,2.6,1.3
1944,1.4,6.0,6.6,10.0,14.9,19.6,19.4,19.9,18.3,9.7,4.8,-0.2
1945,1.1,4.8,10.2,11.9,13.2,18.9,20.4,19.7,19.0,10.0,5.7,-0.8
1946,2.8,2.5,8.7,10.9,15.0,17.9,20.2,19.4,16.9,10.7,9.6,2.4
1947,5.1,-1.8,2.4,12.3,14.4,18.3,18.3,20.3,17.9,14.3,5.8,2.2
1948,-1.3,4.3,8.6,12.6,14.8,18.9,20.6,19.3,16.8,8.5,8.0,4.5
1949,6.3,6.6,5.3,9.9,14.7,18.9,21.0,20.1,16.6,14.8,3.2,3.2
1950,8.4,4.7,4.7,7.6,16.2,19.2,19.7,18.8,16.7,12.9,2.0,-0.4
