year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-11.3,-10.3,-6.8,-1.7,2.0,4.5,8.3,8.4,3.5,-0.9,-5.9,-9.7
1896,-7.1,-6.6,-6.3,-2.4,0.6,7.1,11.4,9.1,4.2,-1.1,-6.9,-5.0
1897,-10.2,-8.1,-8.8,-1.1,5.6,5.6,7.7,9.0,5.2,-0.2,-3.5,-8.3
1898,-13.8,-6.7,-7.8,-1.2,1.9,6.1,8.9,10.4,3.9,-1.8,-7.2,-12.2
1899,-7.4,-11.0,-5.7,-2.3,0.8,4.7,8.8,6.8,4.8,-0.8,-1.7,-9.8
1900,-6.9,-8.5,-3.4,0.1,3.3,7.4,7.8,7.2,4.2,-0.1,-5.6,-5.6
1901,-8.4,-9.1,-5.3,-2.7,4.4,3.9,9.8,10.1,3.2,1.7,-3.5,-7.7
1902,-11.1,-5.4,-6.1,-1.8,2.8,5.1,7.1,7.7,2.9,-0.6,-4.9,-8.3
1903,-8.3,-15.1,-5.9,-2.3,1.2,7.9,7.4,8.2,3.0,-0.1,-5.1,-9.1
1904,-9.9,-7.8,-4.7,-1.6,2.4,4.9,8.4,9.2,4.8,1.0,-3.8,-8.6
1905,-8.1,-11.2,-2.9,-0.7,1.9,5.3,9.4,9.0,4.8,-2.8,-6.4,-10.9
1906,-9.4,-7.2,-7.6,-0.7,2.7,4.7,10.3,9.1,4.7,0.3,-5.6,-4.6
1907,-11.8,-4.8,-2.6,-1.1,1.9,5.1,8.9,6.8,4.1,1.6,-4.8,-7.3
1908,-9.5,-7.8,-4.9,-1.3,1.7,4.8,10.0,8.1,4.7,-0.2,-5.2,-9.1
1909,-8.1,-5.9,-4.5,-3.6,0.9,6.3,8.8,8.3,6.0,-0.3,-2.7,-11.9
1910,-12.7,-11.5,-2.2,0.3,2.9,5.3,10.2,6.0,5.1,0.2,-3.0,-6.2
1911,-8.7,-11.6,-5.3,-2.7,1.5,7.5,8.7,6.4,3.6,-2.0,-7.1,-9.8
1912,-9.2,-6.3,-6.7,-1.6,2.1,6.7,8.2,7.5,1.8,-1.2,-3.7,-9.5
1913,-11.8,-12.7,-6.5,-1.5,3.2,7.1,9.1,9.2,4.2,-1.2,-2.9,-10.8
1914,-6.9,-8.6,-4.6,-0.3,3.3,5.6,9.9,7.7,3.6,1.7,-5.8,-14.1
1915,-11.7,-5.0,-3.7,1.0,2.9,4.2,8.1,9.9,4.1,-0.1,-5.2,-8.6
1916,-14.4,-7.5,-3.6,-1.2,-0.1,4.1,9.1,7.6,3.8,-1.9,-8.7,-11.7
1917,-14.2,-10.1,-10.6,-2.7,1.8,4.0,10.1,7.7,5.3,-1.1,-3.3,-2.4
1918,-6.9,-9.4,-4.2,-2.9,0.9,8.7,9.9,7.4,6.1,2.2,-5.7,-9.4
1919,-10.3,-7.9,-5.3,-0.9,2.3,5.4,9.5,9.3,5.0,-2.2,-6.9,-13.9
1920,-10.1,-8.0,-5.6,-2.7,1.3,4.9,10.1,8.7,5.2,0.0,-4.4,-7.2
1921,-8.1,-7.9,-3.5,-2.2,3.2,7.6,9.1,8.9,2.2,-0.1,-3.9,-8.3
