year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-11.6,-13.1,-3.6,5.1,9.8,15.8,15.6,15.8,13.6,0.5,-1.1,-4.3
1896,-6.6,-5.8,-4.1,7.8,13.6,14.9,17.4,16.3,10.7,2.9,0.4,-3.7
1897,-9.2,-4.9,-0.7,3.8,7.1,14.1,18.4,14.4,11.2,6.6,-0.6,-5.3
1898,-4.7,-5.4,1.1,2.8,10.7,15.7,17.3,16.8,14.2,6.2,-2.7,-7.4
1899,-7.8,-11.5,-3.6,5.7,11.4,16.2,16.9,17.1,11.2,7.4,1.4,-6.6
1900,-5.3,-9.5,-4.3,4.2,10.6,15.4,17.5,19.1,14.1,8.9,-0.2,-4.8
1901,-6.8,-10.8,-1.5,2.4,8.9,16.2,19.4,16.4,11.3,4.9,-2.7,-8.1
1902,-7.9,-12.2,0.3,2.9,11.6,14.3,17.3,14.7,10.7,6.8,4.1,-6.1
1903,-8.3,-7.0,2.1,4.1,11.2,12.2,16.8,15.2,10.8,5.3,-3.0,-10.6
1904,-12.2,-11.0,-1.4,1.5,9.7,14.2,15.7,13.8,12.3,4.3,-1.9,-7.7
1905,-11.3,-12.8,0.8,3.8,10.4,15.1,16.9,16.4,12.4,4.7,-2.1,-5.0
1906,-4.4,-9.2,-5.3,4.6,9.8,14.8,15.8,17.7,14.0,5.2,-1.3,-4.6
1907,-4.8,-7.7,2.1,-0.2,6.5,13.1,17.1,14.9,11.7,3.3,-2.5,-4.1
1908,-6.8,-7.5,0.4,4.3,11.2,14.2,16.8,15.2,11.7,3.8,-0.9,-4.9
1909,-5.9,-4.4,-2.1,2.8,8.8,15.9,16.0,16.4,10.1,2.2,3.5,-10.2
1910,-7.5,-9.4,2.1,3.7,7.3,12.4,17.3,14.3,12.7,6.3,-3.5,-8.5
1911,-5.8,-3.9,-2.4,3.3,11.7,15.6,16.1,15.8,14.3,5.8,-3.3,-2.6
1912,-14.0,-11.2,-5.6,4.9,11.0,12.8,17.7,15.4,12.9,4.7,-0.9,-4.8
1913,-4.8,-9.2,-3.0,3.8,9.4,14.8,17.8,16.9,11.4,5.5,2.5,-2.3
1914,-3.6,-12.1,-2.8,4.1,10.1,16.0,17.1,16.3,11.3,7.5,-0.9,-8.3
1915,-9.7,-2.6,-4.0,6.0,8.7,13.5,16.3,14.0,13.2,6.0,0.6,-5.6
1916,-5.9,-8.3,-4.0,3.4,10.8,12.9,18.9,17.2,10.6,4.2,-0.6,-8.2
1917,-8.2,-10.3,-1.4,3.2,6.3,13.3,16.6,14.8,10.1,1.3,-1.3,-11.4
1918,-17.1,-7.7,-0.3,2.8,12.4,14.1,15.1,18.5,7.6,7.2,0.1,-1.1
1919,-5.6,-5.1,-1.2,4.2,8.7,17.2,17.3,14.9,12.6,8.7,-0.8,-9.2
1920,-11.0,-6.9,-1.2,2.1,8.7,14.5,15.3,14.8,12.8,7.1,-0.7,-4.2
1921,-4.3,-3.1,2.7,5.9,10.6,17.4,19.2,15.9,15.2,5.3,0.6,-3.2
1922,-9.6,-4.9,0.2,5.3,11.8,15.1,16.2,15.2,12.8,6.0,0.9,-5.6
1923,-4.3,-8.8,-3.5,2.2,8.0,15.3,16.4,15.4,12.6,3.6,-0.2,-0.4
1924,-11.1,-6.3,-2.6,3.9,6.2,14.6,14.8,15.3,9.5,5.8,-0.6,-8.6
1925,-8.7,-3.3,-1.3,5.7,5.9,16.1,16.4,15.1,15.7,2.8,-1.8,-7.4
1926,-7.6,-3.9,-5.0,0.6,9.0,12.1,16.6,17.7,13.8,6.2,-2.1,-6.3
1927,-7.8,-2.4,0.6,4.8,9.8,12.7,16.0,12.2,13.8,6.6,1.9,-6.2
1928,-7.6,-5.6,-2.3,1.8,8.3,12.7,16.8,16.5,8.9,7.4,0.7,-4.3
1929,-10.6,-10.3,1.6,5.7,8.4,13.1,16.8,14.1,11.8,4.4,-2.0,-5.8
1930,-9.7,-1.2,-2.8,4.5,10.2,13.7,16.6,15.2,12.7,4.1,-0.4,-5.2
1931,-4.9,-3.0,-2.6,3.8,7.8,16.0,18.2,16.1,14.8,7.7,4.4,-0.6
1932,-1.9,-2.2,-5.2,3.3,9.2,15.4,17.1,15.6,11.5,5.6,-2.9,-6.3
1933,-2.3,-7.1,-1.6,4.1,12.1,16.6,17.2,14.8,14.9,4.6,-1.9,-3.7
1934,-4.5,-10.9,-4.3,3.2,10.1,16.9,19.2,16.2,12.4,5.6,1.6,-6.3
1935,-6.4,-4.9,2.2,3.2,7.8,13.6,18.6,17.2,10.9,5.5,0.2,-8.7
1936,-11.1,-12.2,-0.3,1.7,10.7,13.3,18.9,18.3,14.4,5.8,-2.7,-4.1
1937,-5.3,-6.3,-3.7,3.7,9.8,15.0,16.2,17.3,10.3,4.7,-2.7,-6.2
1938,-7.2,-1.7,1.8,5.2,9.7,14.2,17.4,17.2,12.9,5.3,-0.3,-5.2
1939,-4.2,-6.5,-1.1,2.6,10.4,16.6,16.9,15.6,12.9,5.7,-1.8,-3.8
1940,-14.7,-5.1,-2.7,2.5,8.1,15.4,16.4,16.6,9.7,6.1,-1.6,-2.5
1941,-5.7,-8.0,-4.6,6.2,10.2,15.4,17.1,15.6,13.3,8.4,0.3,-1.7
1942,-8.1,-7.1,-0.1,5.4,10.6,15.7,17.7,15.9,11.1,5.6,0.9,-7.6
1943,-7.5,-6.7,-4.1,2.3,10.6,17.7,17.6,16.8,9.7,4.3,-2.4,-7.2
1944,-5.6,-5.2,-3.2,3.5,12.9,16.7,16.0,16.6,12.0,4.4,1.6,-8.4
1945,-9.9,-5.6,4.0,5.3,7.4,14.0,15.6,15.4,13.6,4.2,0.5,-8.9
1946,-7.0,-5.4,4.4,4.6,9.2,14.8,16.2,13.3,10.8,6.2,1.3,-3.4
1947,-4.6,-10.3,-4.8,4.2,7.9,14.2,14.9,19.6,12.5,8.9,-1.6,-5.2
1948,-11.6,-7.0,-1.0,6.2,8.7,14.7,17.3,15.2,12.6,3.7,2.1,-3.9
1949,-3.7,-4.6,-1.1,3.2,9.9,16.7,19.5,16.3,8.7,8.0,-0.3,-3.8
1950,-3.2,-5.7,-3.1,1.7,10.4,14.3,15.6,14.4,11.9,7.4,-3.1,-10.2
1951,-6.3,-6.4,-2.2,3.3,10.1,14.8,16.8,15.1,10.2,6.0,-3.8,-6.6
1952,-4.9,-3.6,-1.8,4.1,9.6,17.6,17.9,15.1,10.3,1.4,-0.1,-2.6
1953,-3.9,-4.3,-0.2,2.8,11.3,16.7,17.1,15.3,10.5,5.3,-0.6,-5.0
1954,-6.1,-1.8,-3.0,6.6,6.9,16.4,16.9,16.6,12.6,6.9,-0.2,-4.2
1955,-7.5,-5.8,-1.4,7.1,10.4,12.8,19.7,17.2,11.9,5.8,-2.6,-7.3
1956,-7.9,-4.2,-1.9,2.8,10.2,15.4,17.0,15.9,9.6,6.8,-0.8,-1.2
1957,-10.0,-2.7,-1.5,5.8,10.0,16.0,17.3,15.4,11.3,3.9,-0.6,-2.9
1958,-6.7,-10.2,-2.0,4.4,8.7,12.9,17.5,15.6,12.1,5.1,0.6,-10.4
1959,-10.2,-6.0,-2.2,4.8,12.5,15.1,16.5,18.6,12.9,5.6,-3.2,-2.2
1960,-5.0,-6.3,-9.1,5.8,8.8,14.0,15.7,16.8,13.8,5.3,0.2,-8.7
