year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-7.0,-10.0,0.2,6.8,10.7,17.0,17.3,17.6,15.6,2.3,0.7,-2.3
1896,-3.3,-2.9,-1.6,9.7,14.3,16.1,18.9,17.8,12.7,5.2,3.0,-2.1
1897,-6.3,-1.2,3.2,6.1,9.0,15.7,18.8,17.1,12.5,8.1,1.7,-1.7
1898,-1.2,-2.9,4.3,4.2,12.6,17.2,18.9,18.4,15.8,7.8,-0.4,-5.2
1899,-4.7,-9.3,-0.1,7.3,13.7,17.4,17.7,18.5,12.3,8.4,3.3,-4.2
1900,-3.3,-6.3,-0.7,5.8,11.1,17.4,18.9,19.7,16.7,10.3,1.7,-2.4
1901,-3.6,-5.8,1.3,3.8,10.3,17.1,20.0,18.1,13.0,5.8,-2.1,-5.6
1902,-5.2,-7.3,2.1,4.8,13.6,15.9,18.4,16.9,12.3,7.9,5.5,-2.2
1903,-4.3,-3.2,5.6,5.6,12.7,13.9,18.4,17.7,11.9,6.1,-1.2,-7.0
1904,-6.1,-4.8,1.9,3.7,10.9,16.1,17.0,16.9,14.4,5.5,-0.6,-3.2
1905,-8.1,-8.2,3.7,6.4,13.4,17.3,18.2,17.8,14.0,7.0,0.4,-2.2
1906,-1.8,-5.8,-1.0,6.9,11.1,16.8,17.6,19.6,17.1,7.1,0.4,-1.0
1907,0.0,-4.3,6.0,2.7,9.4,14.7,18.6,17.2,13.6,4.8,-0.1,-1.7
1908,-4.3,-3.3,4.3,6.9,12.9,16.0,18.1,17.4,13.0,5.0,1.6,-1.4
1909,-1.9,-0.8,0.9,6.1,11.0,17.6,17.7,18.0,12.7,4.2,4.6,-6.7
1910,-4.9,-5.7,3.8,5.9,9.3,14.2,19.0,16.3,15.3,8.1,-2.1,-6.1
1911,-1.2,-0.4,0.8,5.7,12.6,16.8,17.3,18.0,16.9,8.9,-1.0,0.0
1912,-9.6,-7.3,-0.4,7.7,12.2,14.4,19.0,17.1,14.7,6.8,-0.3,-3.2
1913,-0.7,-4.6,1.2,6.0,11.1,15.9,19.4,18.0,13.7,6.6,3.0,-1.0
1914,-1.2,-6.2,-0.6,6.4,10.8,17.9,18.1,17.8,12.8,9.1,-0.1,-4.1
1915,-5.1,-0.2,-2.6,7.1,11.9,15.6,17.8,16.5,14.8,8.3,2.6,-2.7
