year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-15.4,-16.9,-11.4,-0.1,5.3,10.8,10.8,11.7,9.6,-1.3,-5.6,-8.9
1896,-11.0,-11.9,-10.4,1.9,9.0,10.8,12.9,12.3,6.6,-0.3,-4.2,-8.1
1897,-12.2,-10.7,-8.4,-1.1,3.9,8.8,14.8,10.4,8.9,3.7,-4.3,-10.3
1898,-10.4,-11.8,-5.5,-1.7,5.2,10.7,12.6,12.1,9.7,3.3,-4.4,-10.7
1899,-13.8,-17.9,-11.6,0.2,5.9,10.9,12.7,12.3,6.5,3.7,-0.9,-8.8
1900,-9.8,-16.1,-11.7,0.3,5.8,9.8,12.4,14.8,10.0,6.3,-3.8,-8.2
1901,-12.2,-16.3,-8.6,-0.3,5.2,11.2,15.2,12.3,8.4,2.4,-4.6,-10.8
1902,-11.8,-13.6,-4.2,-0.6,5.4,8.7,13.8,10.3,7.9,2.0,0.1,-9.5
1903,-12.1,-12.7,-3.3,-0.5,6.0,8.4,12.9,10.6,8.1,2.7,-5.6,-12.8
1904,-16.8,-20.6,-8.2,-3.0,5.1,10.3,11.9,9.8,7.9,1.8,-3.2,-11.7
1905,-14.6,-16.9,-7.7,-1.4,4.4,10.0,12.8,12.5,9.2,2.2,-4.2,-7.3
1906,-7.7,-13.6,-10.6,0.2,4.7,11.0,12.2,14.0,10.4,2.2,-2.7,-9.6
1907,-12.6,-15.0,-5.7,-4.3,1.2,9.7,12.4,10.5,9.1,0.2,-3.8,-8.1
1908,-11.2,-13.4,-7.3,-0.8,6.3,10.5,13.4,11.3,9.9,3.2,-3.1,-9.5
1909,-10.8,-10.4,-7.6,-2.5,4.1,10.6,12.1,13.1,7.4,0.7,-0.9,-10.2
1910,-11.9,-14.6,-2.9,0.9,2.9,9.9,13.1,11.6,7.4,3.5,-3.7,-11.4
1911,-11.8,-9.7,-7.3,-1.1,7.7,12.0,13.4,11.7,8.1,2.3,-5.3,-5.8
1912,-20.0,-16.3,-12.9,-0.9,5.7,8.8,13.0,11.0,9.7,3.0,-2.7,-7.4
1913,-10.4,-15.2,-9.4,-0.2,4.7,10.6,12.7,12.9,7.9,3.4,-1.1,-5.4
1914,-9.2,-18.1,-8.5,-1.7,6.0,10.1,13.3,12.1,8.1,5.2,-3.8,-11.2
1915,-13.1,-8.7,-8.3,2.4,3.6,7.9,11.8,10.1,9.1,3.2,-2.1,-9.3
1916,-10.4,-14.3,-11.5,-0.3,5.2,8.7,15.6,13.2,7.9,1.8,-3.4,-11.7
1917,-14.4,-18.2,-7.4,-1.8,2.2,8.3,13.5,10.8,6.6,-0.6,-4.3,-13.4
1918,-18.8,-15.2,-6.3,-2.2,6.5,9.2,12.0,13.0,5.0,3.5,-0.9,-5.4
1919,-8.4,-9.6,-6.3,-0.2,4.6,14.2,13.9,12.0,9.5,3.6,-4.2,-13.4
1920,-17.4,-14.8,-7.2,-2.7,3.6,10.9,11.4,11.3,9.3,6.2,-2.9,-6.0
1921,-8.6,-9.2,-4.2,2.4,6.9,12.8,16.7,12.4,11.4,3.5,-3.8,-8.1
1922,-13.8,-12.2,-6.4,-0.2,8.1,10.7,12.4,11.9,9.5,3.0,-0.6,-10.1
1923,-11.6,-16.2,-11.3,-2.9,2.9,11.8,12.7,10.3,8.6,1.2,-2.5,-4.1
1924,-15.2,-13.0,-7.3,-1.2,2.2,8.8,11.2,11.2,6.1,3.3,-3.3,-12.4
1925,-14.3,-10.6,-6.8,0.3,2.2,11.3,11.9,11.9,9.8,-0.8,-4.4,-9.4
1926,-11.6,-11.7,-11.3,-4.3,3.6,7.8,12.2,12.9,8.2,2.1,-4.6,-11.3
1927,-13.3,-9.3,-4.3,-0.8,4.6,8.3,12.0,8.3,10.3,3.9,-2.6,-9.8
1928,-10.8,-12.2,-8.5,-2.9,4.7,8.6,13.4,12.5,6.1,4.0,-1.8,-6.5
1929,-16.0,-15.9,-4.6,0.3,3.6,8.7,12.7,10.1,8.0,1.9,-4.7,-9.5
1930,-14.1,-9.2,-7.7,-1.2,6.3,11.3,12.6,11.7,8.6,2.3,-2.0,-8.4
1931,-9.3,-7.8,-6.3,-0.8,4.6,12.0,14.7,12.3,11.6,5.3,0.9,-4.5
1932,-5.0,-9.0,-9.3,-2.3,5.4,11.3,13.2,12.7,7.6,3.0,-5.0,-9.3
1933,-7.7,-13.1,-6.9,-0.3,6.8,12.9,13.7,10.9,10.3,1.7,-5.8,-10.4
1934,-8.6,-18.4,-10.2,-1.6,5.7,11.7,13.4,10.4,9.3,3.0,-0.3,-10.1
1935,-12.3,-12.1,-5.6,-1.4,2.7,9.4,15.7,13.7,7.1,2.2,-3.0,-9.9
1936,-13.1,-19.3,-5.9,-2.8,6.6,8.5,13.4,12.7,9.4,1.2,-5.6,-7.7
1937,-11.7,-10.6,-9.1,-0.7,5.3,10.7,13.8,14.2,8.1,1.7,-3.5,-10.1
1938,-12.7,-9.4,-4.4,0.4,5.6,10.5,13.8,14.5,8.1,3.9,-2.5,-7.6
1939,-10.2,-13.3,-8.3,-2.1,6.2,11.8,13.3,13.2,8.9,2.4,-3.8,-5.4
1940,-13.7,-10.8,-9.6,-2.6,4.3,10.8,13.3,13.0,8.8,3.2,-3.8,-6.9
1941,-10.4,-11.6,-10.1,1.4,6.8,11.5,13.5,11.7,9.9,4.1,-1.1,-4.7
1942,-10.9,-12.3,-4.4,1.6,5.8,11.1,13.1,12.6,7.9,2.6,-3.5,-9.8
1943,-13.9,-11.8,-10.2,-2.8,4.9,12.7,13.7,12.9,6.6,2.0,-3.8,-9.9
1944,-7.6,-10.3,-8.5,-2.4,7.7,11.8,12.7,12.9,9.4,1.6,-0.6,-10.4
1945,-14.9,-11.3,-1.8,0.6,2.6,8.9,11.9,12.2,8.8,1.6,-2.5,-11.0
1946,-10.4,-12.7,-1.9,-0.6,3.7,10.1,12.6,10.5,8.1,4.1,-1.9,-8.4
1947,-10.2,-13.2,-8.7,-1.7,3.3,9.2,12.7,15.7,9.6,6.5,-4.1,-8.4
1948,-15.8,-14.0,-8.8,1.4,3.6,9.9,13.6,12.7,9.4,1.8,0.3,-7.9
1949,-8.8,-10.3,-6.7,-0.9,5.3,12.8,15.0,13.0,6.9,4.4,-3.6,-7.5
1950,-10.9,-11.9,-10.0,-3.4,4.4,10.4,11.6,10.2,8.1,4.6,-4.9,-10.6
1951,-11.6,-11.1,-6.4,0.1,6.4,9.9,12.7,11.1,7.3,3.6,-6.8,-9.7
1952,-10.2,-9.7,-7.4,0.4,4.8,11.9,14.6,11.9,8.4,-0.9,-2.1,-5.1
1953,-8.9,-9.1,-4.7,-1.1,5.7,11.6,13.4,13.0,7.9,3.5,-0.8,-6.3
1954,-12.4,-6.9,-7.9,0.2,2.8,12.4,12.3,11.6,9.3,3.7,-1.7,-8.2
1955,-11.1,-11.6,-7.9,2.7,6.3,10.7,15.9,15.2,7.9,4.2,-4.4,-10.1
1956,-11.1,-11.7,-9.2,-1.8,3.9,11.7,12.3,12.6,6.4,4.3,-2.5,-6.7
1957,-14.6,-10.4,-7.2,0.6,5.1,11.3,13.4,11.6,7.6,1.7,-2.2,-7.2
1958,-10.6,-13.6,-5.2,-0.3,3.5,7.8,12.9,11.7,8.7,3.9,-2.2,-13.9
1959,-15.1,-14.7,-8.4,-0.3,7.6,11.4,13.2,15.9,10.1,3.1,-5.9,-5.3
1960,-9.4,-10.7,-12.9,1.0,6.2,9.7,11.7,12.8,9.8,2.7,-1.1,-11.3
1961,-13.6,-9.9,-4.7,-1.2,3.3,9.8,13.3,12.7,11.1,4.3,-2.5,-8.7
1962,-13.8,-14.3,-6.7,-0.8,8.3,10.2,11.8,11.8,7.1,4.2,-2.7,-10.4
1963,-16.4,-17.2,-7.1,-0.3,3.9,10.7,13.3,11.1,7.3,5.9,0.0,-12.1
1964,-9.2,-11.0,-7.2,0.4,7.4,10.3,14.0,11.1,8.2,1.1,-1.4,-9.7
1965,-12.8,-12.8,-9.5,-1.6,7.1,9.2,11.0,11.8,8.8,2.9,-2.3,-4.8
1966,-14.6,-10.3,-4.6,-1.1,2.4,11.2,13.9,12.1,7.6,2.3,-2.3,-8.7
1967,-9.8,-15.2,-7.4,-0.1,2.5,12.1,12.3,10.4,6.8,3.1,-3.9,-7.3
1968,-12.8,-14.0,-5.2,1.0,4.1,10.8,12.8,12.5,10.2,4.6,-1.9,-9.1
1969,-11.0,-10.9,-9.1,0.3,4.9,8.8,13.4,13.3,9.0,2.8,-3.2,-8.6
