year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-24.0,-21.4,-11.9,1.4,5.6,10.6,11.8,10.9,7.8,-2.8,-9.1,-15.3
1896,-18.9,-16.1,-14.2,-0.3,8.7,11.4,12.7,11.0,5.0,-1.6,-14.1,-13.5
1897,-21.8,-17.2,-13.8,-0.8,4.1,9.4,15.2,10.4,9.8,2.5,-10.4,-18.4
1898,-15.9,-17.3,-8.9,-2.1,5.1,11.2,12.9,11.2,7.3,-0.4,-10.0,-19.3
1899,-21.2,-23.3,-18.3,-1.8,5.2,11.2,13.2,13.1,5.4,1.8,-2.6,-14.9
1900,-15.4,-23.0,-12.2,1.3,5.8,10.5,12.3,15.7,7.8,5.7,-9.7,-13.8
1901,-19.2,-20.2,-9.7,0.3,6.2,11.2,16.1,12.5,6.4,1.4,-9.1,-17.1
1902,-16.9,-16.9,-6.4,-2.3,7.3,8.8,13.6,11.1,5.2,0.5,-4.7,-17.6
1903,-19.3,-20.3,-7.9,-1.1,6.3,8.8,12.2,10.3,5.5,1.1,-9.8,-20.5
1904,-22.8,-24.9,-11.1,-2.8,4.9,10.4,11.7,10.5,6.7,2.3,-4.7,-15.7
1905,-23.4,-20.8,-6.3,-2.2,3.8,10.3,12.7,13.1,9.2,-0.2,-6.2,-13.6
1906,-16.2,-19.2,-13.2,1.1,4.8,10.9,12.6,12.9,9.9,0.7,-5.9,-16.4
1907,-24.1,-17.7,-9.9,-5.3,0.0,10.4,12.7,11.4,6.3,-0.6,-6.5,-13.0
1908,-16.8,-14.8,-10.7,-0.6,4.9,10.8,13.4,10.8,9.5,1.9,-5.1,-15.2
1909,-19.7,-17.9,-9.7,-4.6,3.9,11.2,13.5,14.3,7.1,0.6,-5.7,-17.7
1910,-18.1,-21.6,-3.2,0.2,2.7,11.4,12.9,10.7,6.9,2.3,-8.9,-16.9
1911,-23.2,-16.2,-7.8,-1.4,6.6,13.2,12.2,10.6,6.6,0.3,-13.1,-12.4
1912,-28.8,-18.8,-14.4,-0.9,5.8,9.0,13.4,10.9,6.9,0.6,-5.6,-13.8
1913,-21.8,-20.8,-14.1,0.2,4.0,11.7,12.3,13.2,7.2,-1.2,-3.5,-9.8
1914,-15.3,-24.4,-9.8,-2.2,6.5,11.2,14.8,11.3,7.8,3.7,-6.4,-19.4
1915,-20.1,-11.9,-9.8,3.5,3.9,8.2,11.3,9.7,7.5,1.7,-5.9,-13.3
1916,-23.7,-21.3,-12.6,-1.7,4.7,9.2,17.2,12.8,6.4,-0.5,-7.4,-20.9
1917,-24.2,-24.7,-10.7,-2.3,2.3,8.2,14.1,10.2,6.9,-3.7,-3.9,-21.9
1918,-24.3,-18.8,-5.9,-2.8,5.4,10.8,12.4,12.5,3.1,1.8,-4.1,-10.8
1919,-14.1,-16.7,-10.2,-0.2,5.6,13.7,14.7,11.8,8.6,-2.3,-11.2,-19.9
1920,-22.6,-17.4,-9.8,-5.0,5.0,11.2,12.4,11.0,9.2,3.9,-6.6,-12.2
1921,-14.9,-13.4,-9.1,0.4,6.2,13.9,15.9,11.8,8.8,1.9,-10.3,-14.5
1922,-19.8,-21.3,-8.2,-0.6,8.4,11.8,12.2,13.0,8.7,1.8,-2.2,-17.6
1923,-18.2,-22.2,-15.7,-2.6,5.0,12.7,15.2,10.0,8.3,0.2,-4.3,-10.6
1924,-24.0,-14.7,-8.9,-1.6,1.3,8.8,11.4,11.0,5.8,3.8,-7.8,-21.8
1925,-19.9,-15.2,-8.3,1.5,2.8,10.9,12.3,12.6,9.1,-3.7,-8.0,-16.1
1926,-17.8,-13.4,-11.8,-3.8,6.2,8.6,13.1,12.1,6.3,-0.1,-10.1,-18.4
1927,-19.2,-14.9,-6.3,-0.3,4.4,9.8,11.9,9.2,8.9,1.5,-9.1,-22.2
1928,-17.4,-14.7,-9.9,-4.5,5.9,8.4,13.4,12.0,5.8,1.2,-4.9,-11.4
1929,-26.7,-22.0,-7.2,-0.8,2.9,9.1,13.2,11.5,6.3,1.1,-9.6,-16.2
1930,-24.3,-11.6,-9.6,-0.6,5.6,11.2,14.1,12.6,6.6,0.8,-6.5,-12.9
1931,-13.1,-9.7,-8.4,-0.8,4.1,13.3,14.3,12.1,10.2,3.7,-4.1,-9.2
1932,-15.8,-17.1,-13.8,-0.9,6.0,12.8,13.7,12.6,5.9,-0.3,-9.6,-17.7
1933,-15.8,-20.4,-9.4,-1.7,6.1,13.9,14.6,11.2,9.6,-1.3,-9.3,-19.0
1934,-15.7,-17.6,-11.8,-1.2,8.2,11.9,13.6,10.7,5.6,3.2,-3.8,-17.6
1935,-22.1,-11.3,-8.0,-1.8,3.8,9.4,16.8,13.1,6.4,-0.1,-10.8,-15.4
1936,-25.3,-28.0,-9.1,-4.6,7.7,9.8,16.1,13.6,8.9,-1.9,-9.4,-14.6
1937,-26.2,-19.8,-12.0,-1.1,6.5,10.4,14.6,15.4,7.4,-0.3,-8.2,-17.7
1938,-19.7,-15.7,-5.9,-1.2,5.4,11.1,14.3,14.0,8.0,3.6,-8.8,-14.3
1939,-16.2,-23.3,-11.7,-2.9,7.2,11.7,14.3,12.7,7.9,0.2,-5.7,-9.7
1940,-21.7,-14.5,-11.9,-2.2,4.2,10.3,14.1,12.6,9.0,3.6,-8.7,-13.3
1941,-16.9,-17.8,-10.2,2.8,8.3,12.4,14.8,12.9,8.8,2.0,-5.4,-11.3
1942,-14.9,-15.4,-5.4,1.1,4.5,10.8,12.9,12.8,6.1,0.9,-7.9,-17.9
1943,-23.1,-17.8,-14.3,-1.8,4.1,11.9,14.9,13.1,5.6,0.5,-7.7,-13.9
1944,-12.0,-17.1,-11.4,-2.9,7.6,11.8,13.2,12.8,8.1,0.8,-2.5,-14.7
1945,-17.8,-16.6,-5.2,-1.9,2.3,8.7,12.9,12.8,6.9,-0.4,-7.2,-17.8
1946,-18.6,-18.9,-3.9,0.8,3.9,10.6,14.1,11.1,6.9,1.3,-8.1,-15.6
1947,-16.1,-19.0,-10.3,-2.2,2.9,9.7,13.8,15.6,7.6,5.6,-9.3,-16.4
1948,-22.3,-19.7,-12.0,0.2,5.0,10.7,14.2,13.1,9.3,1.1,-5.1,-16.2
1949,-19.0,-21.0,-10.6,-0.7,6.4,12.4,14.9,14.2,5.7,2.1,-4.4,-16.1
1950,-25.1,-18.8,-12.8,-4.8,4.3,10.4,12.4,10.0,7.8,2.7,-9.9,-19.3
1951,-21.9,-15.8,-13.8,-1.7,7.2,9.6,13.0,11.8,6.1,1.2,-10.8,-17.3
1952,-20.9,-12.3,-11.2,0.3,5.2,12.2,13.8,11.9,8.0,-2.3,-6.1,-11.2
1953,-16.9,-16.0,-8.1,-2.1,5.2,12.2,13.6,14.1,7.2,3.8,-4.1,-14.8
1954,-22.8,-8.9,-10.6,-1.5,3.2,12.3,14.3,12.0,7.9,1.2,-4.0,-11.3
1955,-18.6,-19.7,-14.5,2.4,7.4,11.8,16.7,14.9,7.2,1.6,-11.1,-19.9
1956,-19.0,-20.1,-12.4,-3.6,4.9,13.3,12.3,12.2,5.1,3.5,-6.1,-14.1
1957,-22.9,-16.7,-10.3,-1.3,4.9,10.3,15.9,12.7,6.6,1.6,-5.7,-12.2
1958,-13.8,-18.3,-7.4,-0.4,5.0,7.9,12.4,11.9,8.1,2.1,-6.7,-19.1
1959,-22.2,-19.7,-8.4,-1.7,6.6,12.5,13.7,14.6,7.9,-0.2,-11.9,-9.3
1960,-17.9,-16.7,-15.3,-0.7,5.3,9.9,13.3,13.9,8.4,1.3,-5.4,-16.9
1961,-19.7,-12.7,-5.4,-3.2,3.7,11.2,13.3,13.4,7.6,1.8,-6.4,-16.3
1962,-21.6,-18.5,-9.3,-2.7,7.7,11.4,12.8,12.4,6.3,2.9,-3.6,-14.7
1963,-22.9,-19.3,-7.3,0.1,4.9,13.0,14.8,12.4,8.9,6.2,-4.2,-19.1
1964,-15.1,-15.1,-13.0,-0.5,7.4,11.0,15.0,11.2,6.8,1.0,-6.0,-18.8
