year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,0.3,-2.6,6.4,11.2,15.1,20.0,21.4,21.1,19.3,6.9,5.1,1.3
1896,1.4,3.0,5.8,13.9,18.7,19.6,22.0,21.3,16.3,10.1,7.4,1.9
1897,-0.2,4.9,10.8,11.0,13.9,20.3,21.6,20.7,17.3,12.2,5.6,2.8
1898,4.4,2.7,9.0,8.9,16.5,20.6,21.1,21.2,19.0,9.7,3.8,-0.2
1899,1.3,-2.7,6.7,10.9,18.3,19.9,21.1,21.8,14.9,12.3,6.2,1.1
1900,1.2,0.7,5.7,11.4,15.4,20.3,21.4,21.2,19.8,14.3,6.1,2.3
1901,2.1,1.1,5.6,8.3,14.1,19.9,21.6,20.8,16.6,9.7,2.8,-0.4
1902,-0.4,-0.5,7.6,10.8,18.0,20.1,21.2,21.6,16.8,10.7,9.2,2.2
1903,1.2,2.8,9.9,9.9,15.5,16.9,20.9,21.2,15.1,9.7,3.3,-1.4
1904,-1.1,4.0,8.8,9.6,13.9,18.9,19.9,20.3,18.2,10.0,3.7,1.7
1905,-1.7,-1.9,8.8,11.8,18.1,20.4,20.6,21.3,18.1,11.8,6.9,0.2
1906,1.6,0.1,4.7,11.5,14.7,19.7,20.6,20.6,19.9,9.7,5.8,4.7
1907,6.4,3.3,11.7,8.7,14.0,18.1,21.2,21.2,17.2,10.4,3.7,2.6
1908,0.9,1.9,10.6,13.8,16.2,19.4,20.8,20.7,17.5,6.9,6.7,4.0
1909,3.4,2.9,7.4,11.1,14.3,20.2,21.7,21.4,17.4,9.5,7.6,-1.4
1910,1.0,0.6,8.6,9.7,14.0,18.2,21.2,20.8,18.4,11.6,4.3,0.8
1911,5.0,7.3,7.7,12.0,15.1,20.3,20.4,20.9,20.4,13.1,2.9,3.8
1912,-1.9,-1.1,5.2,12.7,15.8,18.4,21.4,20.5,18.8,12.2,2.4,2.6
1913,4.8,1.8,6.2,9.8,14.5,18.2,21.3,20.2,17.6,10.1,7.0,3.2
1914,2.4,0.6,4.1,11.1,14.6,21.2,21.5,20.9,17.1,11.9,4.6,0.7
1915,0.1,3.5,1.9,10.5,16.6,19.3,20.6,20.0,17.8,12.0,6.1,2.0
1916,4.9,1.3,5.8,9.8,16.1,18.8,21.6,20.7,15.8,9.3,3.4,1.8
1917,3.8,2.8,7.1,10.2,11.9,18.2,20.9,19.8,16.4,5.7,2.1,-1.3
1918,-4.3,4.8,9.4,10.4,16.1,20.4,19.0,20.6,13.9,14.8,4.7,4.7
1919,0.1,2.9,6.4,9.6,14.8,19.7,20.9,21.3,17.3,17.1,7.0,2.0
1920,2.7,3.1,5.8,10.8,17.2,18.6,20.9,19.9,18.8,10.1,2.6,1.8
1921,3.9,4.2,11.4,9.9,14.4,20.2,21.4,21.3,20.7,8.8,7.3,4.2
1922,2.6,6.1,7.0,13.3,16.4,19.9,20.7,19.8,17.7,10.7,7.2,6.2
1923,4.6,2.2,5.5,11.2,15.1,19.2,20.2,20.9,17.8,9.9,4.3,6.9
1924,-1.8,2.3,4.2,11.0,13.1,20.9,19.9,20.8,15.8,9.8,5.5,2.1
1925,1.7,5.0,7.2,13.0,13.4,20.5,21.3,19.8,20.9,11.9,4.9,0.2
1926,0.9,4.1,4.3,8.7,14.2,18.8,19.9,21.5,19.7,13.0,2.5,3.9
1927,3.4,8.1,7.2,13.8,16.9,20.2,20.8,19.3,17.9,11.1,8.8,1.2
1928,0.9,2.5,7.0,8.7,14.1,19.3,21.3,21.4,15.6,12.7,4.4,0.9
1929,2.0,0.7,8.8,13.3,16.1,18.9,20.7,19.4,17.7,10.7,5.8,1.1
1930,0.7,6.0,5.5,11.2,16.2,17.4,21.4,19.7,18.5,10.3,6.2,0.8
1931,0.7,3.7,3.7,9.1,13.2,18.5,21.3,19.0,18.7,12.8,8.6,7.1
1932,5.1,8.4,4.3,11.4,14.6,20.2,22.3,21.1,17.6,9.4,2.9,2.6
1933,5.3,3.4,6.8,11.0,18.1,18.1,21.4,20.6,19.6,11.6,5.7,6.4
